"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
244,6339,222,62,"Diporiphora valens"
244,6165,308,75,"Diporiphora valens"
257,6114,251,80,"Diporiphora valens"
240,5558,334,77,"Diporiphora valens"
242,6138,239,72,"Diporiphora valens"
242,5268,388,88,"Diporiphora valens"
228,5215,461,94,"Diporiphora valens"
242,5542,342,84,"Diporiphora valens"
258,6113,221,78,"Diporiphora valens"
244,6160,265,71,"Diporiphora valens"
251,5829,297,82,"Diporiphora valens"
244,5829,270,81,"Diporiphora valens"
249,5991,240,63,"Diporiphora valens"
245,6373,227,62,"Diporiphora valens"
243,5182,422,85,"Diporiphora valens"
246,5158,371,89,"Diporiphora valens"
245,6339,222,63,"Diporiphora valens"
246,6059,230,70,"Diporiphora valens"
246,6212,259,73,"Diporiphora valens"
253,5834,316,77,"Diporiphora valens"
243,5977,238,72,"Diporiphora valens"
254,5852,262,68,"Diporiphora valens"
244,6365,226,62,"Diporiphora valens"
263,5991,219,68,"Diporiphora valens"
243,6346,232,61,"Diporiphora valens"
248,6259,237,70,"Diporiphora valens"
248,5882,266,78,"Diporiphora valens"
245,5903,257,78,"Diporiphora valens"
241,5821,337,79,"Diporiphora valens"
248,5739,352,79,"Diporiphora valens"
243,5246,390,87,"Diporiphora valens"
239,5501,358,89,"Diporiphora valens"
238,5635,405,80,"Diporiphora valens"
251,5850,225,78,"Diporiphora valens"
242,5196,401,88,"Diporiphora valens"
253,6220,240,65,"Diporiphora valens"
248,6333,230,66,"Diporiphora valens"
249,6243,282,72,"Diporiphora valens"
256,5823,253,78,"Diporiphora valens"
250,5822,276,81,"Diporiphora valens"
260,6022,253,67,"Diporiphora valens"
245,6158,257,72,"Diporiphora valens"
251,6030,296,76,"Diporiphora valens"
260,6126,229,73,"Diporiphora valens"
258,5701,282,82,"Diporiphora valens"
238,5360,427,80,"Diporiphora valens"
237,5240,437,86,"Diporiphora valens"
246,5648,368,80,"Diporiphora valens"
259,5953,244,68,"Diporiphora valens"
245,6072,226,68,"Diporiphora valens"
244,6147,243,70,"Diporiphora valens"
261,6063,241,68,"Diporiphora valens"
247,6032,243,75,"Diporiphora valens"
237,6342,231,60,"Diporiphora valens"
251,6090,288,75,"Diporiphora valens"
241,5822,289,78,"Diporiphora valens"
239,6186,287,69,"Diporiphora valens"
245,6381,228,63,"Diporiphora valens"
253,5948,311,74,"Diporiphora valens"
246,5951,243,72,"Diporiphora valens"
249,6205,243,75,"Diporiphora valens"
243,5184,369,88,"Diporiphora valens"
235,5563,335,87,"Diporiphora valens"
252,6228,235,77,"Diporiphora valens"
253,6109,242,73,"Diporiphora valens"
242,5218,423,86,"Diporiphora valens"
247,6347,229,63,"Diporiphora valens"
243,5192,367,94,"Diporiphora valens"
242,5208,377,91,"Diporiphora valens"
260,5625,302,90,"Diporiphora valens"
247,6340,230,67,"Diporiphora valens"
242,6350,232,61,"Diporiphora valens"
246,5754,351,78,"Diporiphora valens"
254,6112,248,74,"Diporiphora valens"
244,5672,309,87,"Diporiphora valens"
244,6294,273,73,"Diporiphora valens"
243,6332,258,62,"Diporiphora valens"
234,5385,460,87,"Diporiphora valens"
262,5937,230,75,"Diporiphora valens"
259,6191,232,74,"Diporiphora valens"
234,5024,431,89,"Diporiphora valens"
252,6007,295,80,"Diporiphora valens"
241,5621,380,82,"Diporiphora valens"
240,6051,295,71,"Diporiphora valens"
251,6003,275,75,"Diporiphora valens"
251,6237,245,67,"Diporiphora valens"
246,5844,309,81,"Diporiphora valens"
247,5742,349,75,"Diporiphora valens"
247,6211,285,71,"Diporiphora valens"
242,5085,376,89,"Diporiphora valens"
257,6084,232,76,"Diporiphora valens"
255,6016,254,79,"Diporiphora valens"
250,6051,225,69,"Diporiphora valens"
248,6134,276,74,"Diporiphora valens"
229,4998,467,90,"Diporiphora valens"
242,6193,236,70,"Diporiphora valens"
243,6369,223,62,"Diporiphora valens"
242,5339,355,98,"Diporiphora valens"
258,6211,233,73,"Diporiphora valens"
255,5793,286,75,"Diporiphora valens"
246,5950,233,76,"Diporiphora valens"
249,5341,326,94,"Diporiphora valens"
244,5921,243,73,"Diporiphora valens"
250,5800,272,72,"Diporiphora valens"
250,5957,291,75,"Diporiphora valens"
247,6101,245,74,"Diporiphora valens"
240,5190,421,86,"Diporiphora valens"
243,6144,225,74,"Diporiphora valens"
252,6114,234,70,"Diporiphora valens"
245,6287,270,66,"Diporiphora valens"
250,6231,232,66,"Diporiphora valens"
259,5973,230,76,"Diporiphora valens"
242,5514,394,83,"Diporiphora valens"
245,6274,264,69,"Diporiphora valens"
251,5868,306,81,"Diporiphora valens"
246,5598,368,83,"Diporiphora valens"
243,6182,223,73,"Diporiphora valens"
245,6113,292,73,"Diporiphora valens"
241,6361,223,62,"Diporiphora valens"
249,6192,259,76,"Diporiphora valens"
246,6371,223,63,"Diporiphora valens"
243,5699,307,81,"Diporiphora valens"
241,6228,262,65,"Diporiphora valens"
246,5904,293,78,"Diporiphora valens"
234,6143,313,67,"Diporiphora valens"
257,6242,231,68,"Diporiphora valens"
258,6080,231,75,"Diporiphora valens"
261,6159,221,71,"Diporiphora valens"
261,6063,248,67,"Diporiphora valens"
255,5844,247,82,"Diporiphora valens"
248,6004,255,72,"Diporiphora valens"
249,5629,344,80,"Diporiphora valens"
254,6241,238,66,"Diporiphora valens"
258,5885,249,80,"Diporiphora valens"
258,5808,262,72,"Diporiphora valens"
260,6082,243,75,"Diporiphora valens"
262,6016,235,65,"Diporiphora valens"
247,6239,244,71,"Diporiphora valens"
251,5868,223,79,"Diporiphora valens"
249,6176,322,69,"Diporiphora valens"
257,5653,259,81,"Diporiphora valens"
247,5675,356,78,"Diporiphora valens"
238,5405,370,88,"Diporiphora valens"
251,5881,260,78,"Diporiphora valens"
261,6132,228,69,"Diporiphora valens"
247,6307,236,65,"Diporiphora valens"
245,6224,264,72,"Diporiphora valens"
247,6301,257,69,"Diporiphora valens"
237,5540,356,76,"Diporiphora valens"
248,6002,227,75,"Diporiphora valens"
250,6262,238,69,"Diporiphora valens"
253,5525,324,84,"Diporiphora valens"
225,5272,435,83,"Diporiphora valens"
245,6228,264,68,"Diporiphora valens"
237,5508,363,89,"Diporiphora valens"
256,6084,255,75,"Diporiphora valens"
245,6174,231,72,"Diporiphora valens"
261,6034,240,67,"Diporiphora valens"
254,6136,236,73,"Diporiphora valens"
239,5684,355,86,"Diporiphora valens"
253,5621,275,82,"Diporiphora valens"
247,6334,236,69,"Diporiphora valens"
246,6105,242,69,"Diporiphora valens"
250,5955,277,76,"Diporiphora valens"
240,5326,380,82,"Diporiphora valens"
257,5848,247,79,"Diporiphora valens"
245,6319,233,62,"Diporiphora valens"
244,6261,238,66,"Diporiphora valens"
254,5557,349,82,"Diporiphora valens"
247,6109,230,73,"Diporiphora valens"
247,5841,265,81,"Diporiphora valens"
243,6151,270,72,"Diporiphora valens"
255,6227,241,79,"Diporiphora valens"
255,6146,226,73,"Diporiphora valens"
248,6192,252,77,"Diporiphora valens"
240,5251,370,81,"Diporiphora valens"
237,5618,355,83,"Diporiphora valens"
249,5852,223,83,"Diporiphora valens"
244,6169,226,66,"Diporiphora valens"
251,5813,299,81,"Diporiphora valens"
254,6062,261,65,"Diporiphora valens"
258,6224,246,74,"Diporiphora valens"
233,5318,415,86,"Diporiphora valens"
248,5803,284,83,"Diporiphora valens"
252,6114,300,76,"Diporiphora valens"
241,5290,355,85,"Diporiphora valens"
262,5888,235,73,"Diporiphora valens"
243,6096,252,76,"Diporiphora valens"
242,6373,226,61,"Diporiphora valens"
253,6070,268,69,"Diporiphora valens"
246,6156,236,74,"Diporiphora valens"
260,5858,262,75,"Diporiphora valens"
254,5754,276,76,"Diporiphora valens"
261,6067,238,68,"Diporiphora valens"
250,5895,308,76,"Diporiphora valens"
230,5308,359,87,"Diporiphora valens"
242,5256,391,87,"Diporiphora valens"
262,6045,233,65,"Diporiphora valens"
261,5957,247,68,"Diporiphora valens"
256,6234,248,78,"Diporiphora valens"
252,6155,237,76,"Diporiphora valens"
245,6224,237,69,"Diporiphora valens"
246,5721,350,77,"Diporiphora valens"
262,5733,259,85,"Diporiphora valens"
257,6178,239,76,"Diporiphora valens"
259,6075,244,70,"Diporiphora valens"
243,6237,261,68,"Diporiphora valens"
242,6366,229,60,"Diporiphora valens"
237,5425,403,79,"Diporiphora valens"
244,5342,409,81,"Diporiphora valens"
247,6278,230,67,"Diporiphora valens"
252,6065,278,76,"Diporiphora valens"
247,6293,250,66,"Diporiphora valens"
246,5715,312,82,"Diporiphora valens"
262,6031,222,68,"Diporiphora valens"
243,6186,238,73,"Diporiphora valens"
260,6147,210,71,"Diporiphora valens"
245,5408,334,86,"Diporiphora valens"
262,6091,229,68,"Diporiphora valens"
255,6177,272,69,"Diporiphora valens"
259,5791,249,87,"Diporiphora valens"
242,6205,235,69,"Diporiphora valens"
263,5769,245,83,"Diporiphora valens"
246,6159,232,71,"Diporiphora valens"
243,6261,249,67,"Diporiphora valens"
246,5837,253,82,"Diporiphora valens"
242,5822,287,77,"Diporiphora valens"
253,5809,253,83,"Diporiphora valens"
246,6199,225,73,"Diporiphora valens"
254,5796,264,76,"Diporiphora valens"
254,6046,294,69,"Diporiphora valens"
245,6301,233,61,"Diporiphora valens"
253,6155,272,70,"Diporiphora valens"
243,6332,222,62,"Diporiphora valens"
252,6172,269,75,"Diporiphora valens"
243,5993,247,71,"Diporiphora valens"
253,5797,237,81,"Diporiphora valens"
247,6335,243,66,"Diporiphora valens"
240,5292,441,88,"Diporiphora valens"
245,5341,326,95,"Diporiphora valens"
260,6011,243,67,"Diporiphora valens"
252,5741,306,84,"Diporiphora valens"
244,5620,334,86,"Diporiphora valens"
248,6328,223,72,"Diporiphora valens"
260,6219,231,77,"Diporiphora valens"
243,6155,232,68,"Diporiphora valens"
259,5675,266,83,"Diporiphora valens"
244,6321,230,64,"Diporiphora valens"
262,5938,221,71,"Diporiphora valens"
261,5709,250,85,"Diporiphora valens"
236,5019,391,94,"Diporiphora valens"
245,6231,226,68,"Diporiphora valens"
247,6292,236,67,"Diporiphora valens"
259,5991,236,73,"Diporiphora valens"
244,5822,240,80,"Diporiphora valens"
249,5966,276,78,"Diporiphora valens"
243,6035,232,70,"Diporiphora valens"
245,6183,245,72,"Diporiphora valens"
243,5262,375,88,"Diporiphora valens"
250,5648,325,76,"Diporiphora valens"
253,6087,268,77,"Diporiphora valens"
256,5582,281,86,"Diporiphora valens"
252,6033,267,75,"Diporiphora valens"
245,6261,225,70,"Diporiphora valens"
254,6156,287,76,"Diporiphora valens"
244,6017,245,70,"Diporiphora valens"
248,6217,242,64,"Diporiphora valens"
249,5443,330,83,"Diporiphora valens"
260,6085,242,75,"Diporiphora valens"
256,6252,243,71,"Diporiphora valens"
242,5961,275,73,"Diporiphora valens"
238,6159,297,71,"Diporiphora valens"
245,6038,231,70,"Diporiphora valens"
244,6224,226,67,"Diporiphora valens"
246,6161,236,72,"Diporiphora valens"
242,5948,309,76,"Diporiphora valens"
253,6252,244,69,"Diporiphora valens"
261,5970,236,68,"Diporiphora valens"
244,6270,234,65,"Diporiphora valens"
246,5321,337,88,"Diporiphora valens"
252,6012,255,76,"Diporiphora valens"
243,5604,330,76,"Diporiphora valens"
242,6224,243,67,"Diporiphora valens"
249,5811,264,83,"Diporiphora valens"
239,5536,347,75,"Diporiphora valens"
245,6017,245,73,"Diporiphora valens"
242,6359,224,62,"Diporiphora valens"
255,6164,283,78,"Diporiphora valens"
254,6145,278,79,"Diporiphora valens"
245,6295,234,62,"Diporiphora valens"
240,5219,428,86,"Diporiphora valens"
236,5454,389,90,"Diporiphora valens"
257,6204,252,80,"Diporiphora valens"
240,6364,231,62,"Diporiphora valens"
244,6147,249,74,"Diporiphora valens"
257,6169,241,76,"Diporiphora valens"
259,5908,247,70,"Diporiphora valens"
251,5900,252,72,"Diporiphora valens"
257,6036,234,70,"Diporiphora valens"
245,6275,248,73,"Diporiphora valens"
243,6252,239,64,"Diporiphora valens"
249,5765,357,77,"Diporiphora valens"
242,6224,235,66,"Diporiphora valens"
241,5979,257,72,"Diporiphora valens"
251,5875,287,82,"Diporiphora valens"
247,5929,234,76,"Diporiphora valens"
253,5776,268,82,"Diporiphora valens"
248,6027,228,73,"Diporiphora valens"
254,5815,272,81,"Diporiphora valens"
248,5686,291,83,"Diporiphora valens"
253,6176,241,75,"Diporiphora valens"
249,5868,238,79,"Diporiphora valens"
259,6108,243,78,"Diporiphora valens"
257,5592,281,83,"Diporiphora valens"
241,6331,248,60,"Diporiphora valens"
253,6049,257,77,"Diporiphora valens"
253,6049,297,69,"Diporiphora valens"
248,6341,231,68,"Diporiphora valens"
231,5481,436,87,"Diporiphora valens"
244,6196,262,70,"Diporiphora valens"
252,6056,246,66,"Diporiphora valens"
246,6110,238,75,"Diporiphora valens"
