"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
123,2295,1950,22,"Drysdalia coronoides"
93,4798,1253,28,"Drysdalia coronoides"
72,3340,902,20,"Drysdalia coronoides"
142,3339,681,44,"Drysdalia coronoides"
136,4305,627,23,"Drysdalia coronoides"
142,4404,521,30,"Drysdalia coronoides"
126,3952,666,16,"Drysdalia coronoides"
117,2817,710,14,"Drysdalia coronoides"
148,2841,660,12,"Drysdalia coronoides"
167,5102,664,32,"Drysdalia coronoides"
145,3002,690,48,"Drysdalia coronoides"
126,3650,748,22,"Drysdalia coronoides"
140,4457,676,29,"Drysdalia coronoides"
88,4522,960,18,"Drysdalia coronoides"
87,2885,1822,34,"Drysdalia coronoides"
119,4666,1031,29,"Drysdalia coronoides"
100,2901,1164,22,"Drysdalia coronoides"
172,3631,994,23,"Drysdalia coronoides"
123,4864,1231,31,"Drysdalia coronoides"
146,2963,628,12,"Drysdalia coronoides"
141,4289,569,36,"Drysdalia coronoides"
137,4285,513,15,"Drysdalia coronoides"
121,2253,1832,22,"Drysdalia coronoides"
130,2831,1210,18,"Drysdalia coronoides"
137,3259,685,29,"Drysdalia coronoides"
100,4099,986,12,"Drysdalia coronoides"
112,1953,2350,21,"Drysdalia coronoides"
128,4821,713,11,"Drysdalia coronoides"
142,4331,762,25,"Drysdalia coronoides"
144,4389,476,31,"Drysdalia coronoides"
86,3159,1063,22,"Drysdalia coronoides"
148,3204,801,14,"Drysdalia coronoides"
126,2751,1146,28,"Drysdalia coronoides"
164,3754,993,16,"Drysdalia coronoides"
125,4087,674,14,"Drysdalia coronoides"
151,3276,671,14,"Drysdalia coronoides"
109,2697,1326,33,"Drysdalia coronoides"
138,5146,775,18,"Drysdalia coronoides"
148,4664,546,22,"Drysdalia coronoides"
127,2986,929,31,"Drysdalia coronoides"
112,3013,581,12,"Drysdalia coronoides"
136,3349,650,29,"Drysdalia coronoides"
155,4071,824,15,"Drysdalia coronoides"
88,3043,1458,30,"Drysdalia coronoides"
148,4707,445,28,"Drysdalia coronoides"
153,3060,1109,18,"Drysdalia coronoides"
121,4215,1088,28,"Drysdalia coronoides"
126,4781,889,32,"Drysdalia coronoides"
128,5271,885,18,"Drysdalia coronoides"
175,5025,633,29,"Drysdalia coronoides"
98,3665,1594,23,"Drysdalia coronoides"
138,4189,939,30,"Drysdalia coronoides"
168,4856,654,28,"Drysdalia coronoides"
132,3839,595,19,"Drysdalia coronoides"
134,3792,652,40,"Drysdalia coronoides"
118,4248,959,32,"Drysdalia coronoides"
132,3653,682,27,"Drysdalia coronoides"
112,4862,1358,37,"Drysdalia coronoides"
113,3143,668,19,"Drysdalia coronoides"
66,3049,1837,31,"Drysdalia coronoides"
112,2992,1016,31,"Drysdalia coronoides"
99,2768,2837,23,"Drysdalia coronoides"
138,3132,631,25,"Drysdalia coronoides"
141,3584,848,12,"Drysdalia coronoides"
143,3074,953,24,"Drysdalia coronoides"
131,2576,622,11,"Drysdalia coronoides"
132,3571,689,32,"Drysdalia coronoides"
178,3665,915,21,"Drysdalia coronoides"
134,4037,1059,26,"Drysdalia coronoides"
140,3861,628,39,"Drysdalia coronoides"
141,3491,1165,17,"Drysdalia coronoides"
135,3549,590,20,"Drysdalia coronoides"
87,4831,1015,16,"Drysdalia coronoides"
116,4141,900,15,"Drysdalia coronoides"
145,2842,738,11,"Drysdalia coronoides"
117,3144,704,14,"Drysdalia coronoides"
122,2288,1639,32,"Drysdalia coronoides"
147,4641,451,28,"Drysdalia coronoides"
171,3679,1082,19,"Drysdalia coronoides"
105,2933,835,11,"Drysdalia coronoides"
129,3790,919,15,"Drysdalia coronoides"
160,5067,714,34,"Drysdalia coronoides"
127,3891,745,28,"Drysdalia coronoides"
156,3943,892,23,"Drysdalia coronoides"
173,3609,1187,20,"Drysdalia coronoides"
118,4211,886,14,"Drysdalia coronoides"
142,2610,783,38,"Drysdalia coronoides"
141,3893,626,39,"Drysdalia coronoides"
134,3495,990,16,"Drysdalia coronoides"
143,4478,605,23,"Drysdalia coronoides"
135,3996,614,34,"Drysdalia coronoides"
79,3174,1243,21,"Drysdalia coronoides"
120,2849,972,38,"Drysdalia coronoides"
93,2747,1901,28,"Drysdalia coronoides"
136,4635,737,28,"Drysdalia coronoides"
149,3292,637,12,"Drysdalia coronoides"
140,4470,693,30,"Drysdalia coronoides"
129,2658,838,12,"Drysdalia coronoides"
172,3897,803,21,"Drysdalia coronoides"
116,2514,1556,29,"Drysdalia coronoides"
97,4179,1271,37,"Drysdalia coronoides"
88,4370,1235,20,"Drysdalia coronoides"
137,3286,822,38,"Drysdalia coronoides"
140,2800,1050,24,"Drysdalia coronoides"
113,3733,941,14,"Drysdalia coronoides"
145,2312,773,21,"Drysdalia coronoides"
136,4603,793,26,"Drysdalia coronoides"
163,4893,722,29,"Drysdalia coronoides"
136,3504,597,21,"Drysdalia coronoides"
123,4726,514,12,"Drysdalia coronoides"
112,2647,2365,24,"Drysdalia coronoides"
153,3721,1345,15,"Drysdalia coronoides"
105,3852,941,22,"Drysdalia coronoides"
142,5102,706,20,"Drysdalia coronoides"
143,4823,835,29,"Drysdalia coronoides"
118,3119,863,24,"Drysdalia coronoides"
129,2274,641,14,"Drysdalia coronoides"
149,3026,1184,17,"Drysdalia coronoides"
156,3753,1303,17,"Drysdalia coronoides"
102,4204,1012,18,"Drysdalia coronoides"
145,2738,887,27,"Drysdalia coronoides"
110,4152,652,16,"Drysdalia coronoides"
124,3183,556,17,"Drysdalia coronoides"
77,4335,1008,23,"Drysdalia coronoides"
58,3182,1819,28,"Drysdalia coronoides"
174,3247,1407,22,"Drysdalia coronoides"
133,2735,571,10,"Drysdalia coronoides"
136,2005,926,37,"Drysdalia coronoides"
104,4507,934,16,"Drysdalia coronoides"
110,4474,521,23,"Drysdalia coronoides"
175,3910,895,30,"Drysdalia coronoides"
107,3823,851,12,"Drysdalia coronoides"
142,4420,527,27,"Drysdalia coronoides"
132,3976,1010,15,"Drysdalia coronoides"
127,4574,815,24,"Drysdalia coronoides"
144,4595,503,31,"Drysdalia coronoides"
174,3784,928,21,"Drysdalia coronoides"
100,3162,1209,34,"Drysdalia coronoides"
131,2872,802,29,"Drysdalia coronoides"
149,3986,790,28,"Drysdalia coronoides"
150,3148,681,13,"Drysdalia coronoides"
99,3959,1366,34,"Drysdalia coronoides"
144,3088,865,19,"Drysdalia coronoides"
123,3672,716,17,"Drysdalia coronoides"
98,3258,505,11,"Drysdalia coronoides"
181,5186,606,29,"Drysdalia coronoides"
138,3669,946,11,"Drysdalia coronoides"
109,2831,1600,21,"Drysdalia coronoides"
144,4810,802,36,"Drysdalia coronoides"
141,3727,624,15,"Drysdalia coronoides"
136,3401,621,21,"Drysdalia coronoides"
105,2549,1980,33,"Drysdalia coronoides"
145,5357,678,20,"Drysdalia coronoides"
151,3412,805,12,"Drysdalia coronoides"
93,4498,850,16,"Drysdalia coronoides"
76,3339,850,16,"Drysdalia coronoides"
124,4025,660,16,"Drysdalia coronoides"
139,2970,796,26,"Drysdalia coronoides"
166,4945,677,26,"Drysdalia coronoides"
123,3070,479,15,"Drysdalia coronoides"
68,3275,1058,29,"Drysdalia coronoides"
127,2665,1045,33,"Drysdalia coronoides"
95,4074,877,16,"Drysdalia coronoides"
130,3926,962,14,"Drysdalia coronoides"
67,3333,799,23,"Drysdalia coronoides"
126,4364,712,16,"Drysdalia coronoides"
96,2719,1410,20,"Drysdalia coronoides"
111,2844,757,9,"Drysdalia coronoides"
78,4317,1443,29,"Drysdalia coronoides"
111,4450,1127,17,"Drysdalia coronoides"
94,2618,991,21,"Drysdalia coronoides"
124,4202,868,35,"Drysdalia coronoides"
146,3199,756,16,"Drysdalia coronoides"
141,2838,751,30,"Drysdalia coronoides"
108,4037,923,11,"Drysdalia coronoides"
122,3873,870,11,"Drysdalia coronoides"
93,3033,1533,19,"Drysdalia coronoides"
136,2681,875,29,"Drysdalia coronoides"
134,4990,934,31,"Drysdalia coronoides"
149,3035,614,12,"Drysdalia coronoides"
123,2993,909,33,"Drysdalia coronoides"
143,2727,796,48,"Drysdalia coronoides"
151,3399,735,15,"Drysdalia coronoides"
115,4163,727,16,"Drysdalia coronoides"
139,3398,564,19,"Drysdalia coronoides"
130,4076,870,19,"Drysdalia coronoides"
146,3103,1042,13,"Drysdalia coronoides"
148,3356,1055,12,"Drysdalia coronoides"
133,5356,1077,22,"Drysdalia coronoides"
122,3187,551,13,"Drysdalia coronoides"
124,3518,1274,18,"Drysdalia coronoides"
133,4295,781,18,"Drysdalia coronoides"
142,2361,840,24,"Drysdalia coronoides"
91,3085,852,15,"Drysdalia coronoides"
140,2833,781,41,"Drysdalia coronoides"
168,4998,711,32,"Drysdalia coronoides"
131,3925,1090,28,"Drysdalia coronoides"
142,4241,485,31,"Drysdalia coronoides"
134,2919,1258,24,"Drysdalia coronoides"
110,2694,790,12,"Drysdalia coronoides"
130,3651,614,22,"Drysdalia coronoides"
118,2962,1107,35,"Drysdalia coronoides"
132,4944,588,9,"Drysdalia coronoides"
116,4581,706,18,"Drysdalia coronoides"
129,2233,1449,32,"Drysdalia coronoides"
150,3840,1083,24,"Drysdalia coronoides"
133,3725,635,28,"Drysdalia coronoides"
137,2536,840,20,"Drysdalia coronoides"
125,3789,813,17,"Drysdalia coronoides"
139,4518,589,27,"Drysdalia coronoides"
114,2411,1778,24,"Drysdalia coronoides"
86,4590,969,16,"Drysdalia coronoides"
47,3181,2290,30,"Drysdalia coronoides"
134,3932,591,35,"Drysdalia coronoides"
131,3767,660,29,"Drysdalia coronoides"
180,5177,609,31,"Drysdalia coronoides"
132,4053,898,11,"Drysdalia coronoides"
172,3904,755,19,"Drysdalia coronoides"
168,3695,988,17,"Drysdalia coronoides"
70,4289,978,12,"Drysdalia coronoides"
136,4371,609,34,"Drysdalia coronoides"
73,4627,1034,16,"Drysdalia coronoides"
106,3075,658,11,"Drysdalia coronoides"
153,5367,619,20,"Drysdalia coronoides"
131,3972,1067,31,"Drysdalia coronoides"
105,2646,1596,37,"Drysdalia coronoides"
129,2399,1158,34,"Drysdalia coronoides"
103,2837,1733,29,"Drysdalia coronoides"
119,5057,1245,33,"Drysdalia coronoides"
146,3515,507,13,"Drysdalia coronoides"
155,4861,674,24,"Drysdalia coronoides"
129,2598,892,10,"Drysdalia coronoides"
135,4236,693,46,"Drysdalia coronoides"
143,3907,827,13,"Drysdalia coronoides"
135,3349,672,26,"Drysdalia coronoides"
149,4645,411,28,"Drysdalia coronoides"
113,3969,1084,13,"Drysdalia coronoides"
97,2771,2051,25,"Drysdalia coronoides"
138,4712,721,26,"Drysdalia coronoides"
133,3424,1042,17,"Drysdalia coronoides"
141,2751,996,14,"Drysdalia coronoides"
120,4465,910,30,"Drysdalia coronoides"
154,4749,777,28,"Drysdalia coronoides"
141,4274,668,21,"Drysdalia coronoides"
112,2773,1316,35,"Drysdalia coronoides"
138,3629,898,11,"Drysdalia coronoides"
129,3654,765,34,"Drysdalia coronoides"
123,4517,900,32,"Drysdalia coronoides"
149,3790,1131,19,"Drysdalia coronoides"
138,3203,605,26,"Drysdalia coronoides"
