"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
271,2670,845,113,"Egernia douglasi"
271,2762,838,118,"Egernia douglasi"
279,2549,667,111,"Egernia douglasi"
251,2449,1106,114,"Egernia douglasi"
264,3026,800,119,"Egernia douglasi"
277,2782,823,115,"Egernia douglasi"
268,2332,1077,124,"Egernia douglasi"
276,3191,550,116,"Egernia douglasi"
274,2578,748,113,"Egernia douglasi"
262,3002,803,115,"Egernia douglasi"
264,2510,905,112,"Egernia douglasi"
276,2729,871,118,"Egernia douglasi"
275,2499,936,121,"Egernia douglasi"
277,2226,843,121,"Egernia douglasi"
272,2674,765,113,"Egernia douglasi"
281,2892,837,123,"Egernia douglasi"
272,2377,781,116,"Egernia douglasi"
261,2569,839,113,"Egernia douglasi"
283,2950,703,122,"Egernia douglasi"
270,2642,957,113,"Egernia douglasi"
264,2884,787,114,"Egernia douglasi"
277,2640,701,113,"Egernia douglasi"
272,2737,734,111,"Egernia douglasi"
264,2576,857,110,"Egernia douglasi"
259,3072,846,114,"Egernia douglasi"
270,2658,758,114,"Egernia douglasi"
277,2488,868,120,"Egernia douglasi"
272,2123,1033,118,"Egernia douglasi"
273,2637,965,120,"Egernia douglasi"
283,2942,763,123,"Egernia douglasi"
274,2776,859,123,"Egernia douglasi"
264,2910,789,114,"Egernia douglasi"
269,3045,617,113,"Egernia douglasi"
280,2677,857,114,"Egernia douglasi"
271,2996,633,108,"Egernia douglasi"
261,3018,794,111,"Egernia douglasi"
277,2751,893,123,"Egernia douglasi"
265,2606,934,117,"Egernia douglasi"
277,3113,689,120,"Egernia douglasi"
275,2749,701,116,"Egernia douglasi"
268,2641,774,109,"Egernia douglasi"
274,2923,598,113,"Egernia douglasi"
279,2587,853,122,"Egernia douglasi"
264,2673,816,110,"Egernia douglasi"
276,2512,879,116,"Egernia douglasi"
254,2523,942,116,"Egernia douglasi"
258,2549,916,114,"Egernia douglasi"
265,3059,752,117,"Egernia douglasi"
275,2658,1009,121,"Egernia douglasi"
277,2499,889,120,"Egernia douglasi"
268,2155,1140,121,"Egernia douglasi"
276,2903,689,115,"Egernia douglasi"
271,2628,855,119,"Egernia douglasi"
261,2700,973,116,"Egernia douglasi"
271,2926,781,107,"Egernia douglasi"
268,2863,647,112,"Egernia douglasi"
274,2793,1001,122,"Egernia douglasi"
276,2650,786,117,"Egernia douglasi"
286,2782,697,115,"Egernia douglasi"
261,2454,799,114,"Egernia douglasi"
275,2383,913,119,"Egernia douglasi"
270,2345,926,117,"Egernia douglasi"
265,2766,836,114,"Egernia douglasi"
258,2523,920,115,"Egernia douglasi"
278,2780,767,109,"Egernia douglasi"
262,2631,792,111,"Egernia douglasi"
272,2328,1028,122,"Egernia douglasi"
256,2458,1037,116,"Egernia douglasi"
272,2632,808,118,"Egernia douglasi"
280,3103,618,116,"Egernia douglasi"
273,2594,702,114,"Egernia douglasi"
270,2696,823,116,"Egernia douglasi"
272,2690,818,119,"Egernia douglasi"
272,2781,841,116,"Egernia douglasi"
266,2566,868,119,"Egernia douglasi"
270,2644,1054,123,"Egernia douglasi"
256,2551,838,108,"Egernia douglasi"
254,2431,894,111,"Egernia douglasi"
267,2670,811,117,"Egernia douglasi"
270,2269,850,114,"Egernia douglasi"
269,3030,678,111,"Egernia douglasi"
269,2666,776,116,"Egernia douglasi"
279,2785,869,121,"Egernia douglasi"
249,2405,1111,116,"Egernia douglasi"
270,2692,795,115,"Egernia douglasi"
274,2697,850,115,"Egernia douglasi"
276,2587,905,121,"Egernia douglasi"
274,2635,709,115,"Egernia douglasi"
267,2947,717,110,"Egernia douglasi"
279,2333,879,118,"Egernia douglasi"
277,2973,760,117,"Egernia douglasi"
272,2390,843,114,"Egernia douglasi"
269,3062,642,111,"Egernia douglasi"
288,2607,664,112,"Egernia douglasi"
258,2413,939,113,"Egernia douglasi"
274,2431,857,121,"Egernia douglasi"
255,2476,998,115,"Egernia douglasi"
257,2462,1003,119,"Egernia douglasi"
273,2771,812,121,"Egernia douglasi"
269,2766,827,117,"Egernia douglasi"
285,2625,713,112,"Egernia douglasi"
252,2397,987,114,"Egernia douglasi"
270,2976,736,114,"Egernia douglasi"
260,2514,1041,112,"Egernia douglasi"
272,2563,1054,120,"Egernia douglasi"
280,2805,815,121,"Egernia douglasi"
270,2628,739,113,"Egernia douglasi"
270,2890,806,115,"Egernia douglasi"
269,2506,737,114,"Egernia douglasi"
271,2848,689,115,"Egernia douglasi"
261,2626,743,108,"Egernia douglasi"
255,2503,819,109,"Egernia douglasi"
272,2641,918,120,"Egernia douglasi"
264,2756,851,114,"Egernia douglasi"
274,2624,699,117,"Egernia douglasi"
277,2440,847,115,"Egernia douglasi"
261,2780,888,120,"Egernia douglasi"
278,2478,854,123,"Egernia douglasi"
277,2580,936,121,"Egernia douglasi"
280,2983,722,123,"Egernia douglasi"
282,2850,650,111,"Egernia douglasi"
261,2477,842,113,"Egernia douglasi"
276,2715,892,122,"Egernia douglasi"
271,2828,753,118,"Egernia douglasi"
266,2679,965,116,"Egernia douglasi"
261,2744,918,112,"Egernia douglasi"
268,2359,860,115,"Egernia douglasi"
265,2862,789,117,"Egernia douglasi"
267,2558,787,112,"Egernia douglasi"
281,2898,852,122,"Egernia douglasi"
280,2987,705,119,"Egernia douglasi"
273,2992,706,117,"Egernia douglasi"
271,2383,982,121,"Egernia douglasi"
272,2977,603,118,"Egernia douglasi"
281,2923,759,126,"Egernia douglasi"
256,2544,962,110,"Egernia douglasi"
264,2542,829,112,"Egernia douglasi"
278,2899,692,116,"Egernia douglasi"
270,3075,693,116,"Egernia douglasi"
282,2970,809,124,"Egernia douglasi"
281,2888,739,119,"Egernia douglasi"
270,2950,718,108,"Egernia douglasi"
271,2992,653,109,"Egernia douglasi"
272,2733,879,121,"Egernia douglasi"
264,2754,765,110,"Egernia douglasi"
261,2812,848,115,"Egernia douglasi"
262,2678,806,109,"Egernia douglasi"
273,2641,824,118,"Egernia douglasi"
271,2451,834,118,"Egernia douglasi"
273,2623,828,116,"Egernia douglasi"
266,2892,702,122,"Egernia douglasi"
263,2396,1014,120,"Egernia douglasi"
263,2862,808,110,"Egernia douglasi"
268,2675,708,114,"Egernia douglasi"
282,2928,747,124,"Egernia douglasi"
268,2548,786,112,"Egernia douglasi"
261,2826,820,115,"Egernia douglasi"
272,2620,701,113,"Egernia douglasi"
260,2430,973,118,"Egernia douglasi"
269,2829,721,113,"Egernia douglasi"
262,2443,849,112,"Egernia douglasi"
273,2997,609,120,"Egernia douglasi"
277,2880,707,114,"Egernia douglasi"
273,2637,894,116,"Egernia douglasi"
263,2725,857,110,"Egernia douglasi"
268,3062,687,116,"Egernia douglasi"
267,2854,717,114,"Egernia douglasi"
268,2832,756,122,"Egernia douglasi"
276,2711,910,124,"Egernia douglasi"
274,3028,667,117,"Egernia douglasi"
276,2682,939,122,"Egernia douglasi"
271,2423,807,117,"Egernia douglasi"
264,2862,923,112,"Egernia douglasi"
278,2606,882,111,"Egernia douglasi"
275,2572,1028,121,"Egernia douglasi"
275,2742,786,113,"Egernia douglasi"
268,2681,874,119,"Egernia douglasi"
267,2471,848,111,"Egernia douglasi"
265,2856,759,109,"Egernia douglasi"
265,2897,829,111,"Egernia douglasi"
277,2805,894,124,"Egernia douglasi"
279,2910,724,118,"Egernia douglasi"
262,2698,800,115,"Egernia douglasi"
273,2955,699,119,"Egernia douglasi"
277,2757,873,122,"Egernia douglasi"
263,2686,813,114,"Egernia douglasi"
265,2833,765,108,"Egernia douglasi"
268,2768,779,119,"Egernia douglasi"
263,2558,855,117,"Egernia douglasi"
256,2330,1176,120,"Egernia douglasi"
271,2939,761,123,"Egernia douglasi"
267,2293,1143,119,"Egernia douglasi"
272,2453,1119,123,"Egernia douglasi"
266,2933,689,114,"Egernia douglasi"
275,2230,900,124,"Egernia douglasi"
273,2970,727,111,"Egernia douglasi"
290,2709,661,111,"Egernia douglasi"
265,3083,764,111,"Egernia douglasi"
269,2741,749,116,"Egernia douglasi"
274,2763,755,119,"Egernia douglasi"
