"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
226,6299,221,49,"Egernia formosa"
227,6416,218,43,"Egernia formosa"
240,6386,253,62,"Egernia formosa"
260,5252,305,89,"Egernia formosa"
253,5827,315,83,"Egernia formosa"
261,5800,207,80,"Egernia formosa"
253,6098,261,70,"Egernia formosa"
243,6045,237,75,"Egernia formosa"
203,5659,228,37,"Egernia formosa"
188,5147,229,21,"Egernia formosa"
258,5247,288,84,"Egernia formosa"
261,6108,229,71,"Egernia formosa"
246,6371,265,67,"Egernia formosa"
231,6417,224,55,"Egernia formosa"
245,5945,218,64,"Egernia formosa"
188,5136,247,24,"Egernia formosa"
239,6402,234,60,"Egernia formosa"
225,6364,227,45,"Egernia formosa"
242,6172,260,66,"Egernia formosa"
253,6086,263,73,"Egernia formosa"
241,5723,356,85,"Egernia formosa"
240,6402,264,62,"Egernia formosa"
262,5275,230,82,"Egernia formosa"
205,6117,244,41,"Egernia formosa"
213,6302,240,38,"Egernia formosa"
249,6139,243,71,"Egernia formosa"
241,6251,231,63,"Egernia formosa"
260,5648,205,85,"Egernia formosa"
242,6443,228,59,"Egernia formosa"
238,5708,339,85,"Egernia formosa"
199,5411,210,30,"Egernia formosa"
216,6256,222,40,"Egernia formosa"
216,6049,209,47,"Egernia formosa"
234,6454,211,56,"Egernia formosa"
247,6210,275,71,"Egernia formosa"
243,6235,255,67,"Egernia formosa"
244,6405,258,68,"Egernia formosa"
204,5781,252,33,"Egernia formosa"
190,5095,203,24,"Egernia formosa"
241,5241,441,96,"Egernia formosa"
241,6392,247,64,"Egernia formosa"
263,6210,315,78,"Egernia formosa"
186,4878,210,27,"Egernia formosa"
261,6140,275,77,"Egernia formosa"
237,6270,201,58,"Egernia formosa"
260,6134,234,71,"Egernia formosa"
236,5467,403,82,"Egernia formosa"
205,6162,244,28,"Egernia formosa"
225,6403,243,42,"Egernia formosa"
238,6053,198,62,"Egernia formosa"
209,5999,237,32,"Egernia formosa"
228,6440,243,39,"Egernia formosa"
259,5994,275,78,"Egernia formosa"
236,6303,231,58,"Egernia formosa"
