"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
151,2944,563,47,"Egernia napoleonis"
154,3625,678,69,"Egernia napoleonis"
162,2953,1010,85,"Egernia napoleonis"
145,3689,564,53,"Egernia napoleonis"
157,2474,863,53,"Egernia napoleonis"
189,4374,552,78,"Egernia napoleonis"
173,2856,534,43,"Egernia napoleonis"
149,3914,512,64,"Egernia napoleonis"
154,4107,439,55,"Egernia napoleonis"
154,2740,750,46,"Egernia napoleonis"
178,4710,590,72,"Egernia napoleonis"
169,3543,396,21,"Egernia napoleonis"
149,2501,866,46,"Egernia napoleonis"
171,3190,432,36,"Egernia napoleonis"
160,2831,1011,73,"Egernia napoleonis"
171,3267,307,21,"Egernia napoleonis"
152,3697,397,46,"Egernia napoleonis"
155,3620,641,67,"Egernia napoleonis"
167,4321,590,76,"Egernia napoleonis"
189,3690,792,86,"Egernia napoleonis"
167,4572,547,80,"Egernia napoleonis"
192,4063,618,80,"Egernia napoleonis"
167,4594,443,71,"Egernia napoleonis"
167,4372,888,84,"Egernia napoleonis"
162,4457,493,69,"Egernia napoleonis"
169,3473,408,27,"Egernia napoleonis"
188,4078,741,83,"Egernia napoleonis"
160,3239,429,29,"Egernia napoleonis"
153,3646,384,36,"Egernia napoleonis"
156,3554,430,26,"Egernia napoleonis"
160,2270,1144,56,"Egernia napoleonis"
177,3232,259,25,"Egernia napoleonis"
168,2933,533,29,"Egernia napoleonis"
164,2869,561,29,"Egernia napoleonis"
162,2945,519,33,"Egernia napoleonis"
151,2816,789,49,"Egernia napoleonis"
155,3870,587,70,"Egernia napoleonis"
161,2391,1126,71,"Egernia napoleonis"
162,2691,1009,81,"Egernia napoleonis"
168,3635,380,20,"Egernia napoleonis"
170,3565,366,31,"Egernia napoleonis"
171,3567,321,16,"Egernia napoleonis"
181,3674,219,19,"Egernia napoleonis"
152,3120,466,36,"Egernia napoleonis"
168,4068,1052,85,"Egernia napoleonis"
177,3454,242,21,"Egernia napoleonis"
173,4614,569,81,"Egernia napoleonis"
155,4245,509,62,"Egernia napoleonis"
162,4439,631,76,"Egernia napoleonis"
167,2606,600,48,"Egernia napoleonis"
164,4549,525,78,"Egernia napoleonis"
162,3822,342,24,"Egernia napoleonis"
157,3546,1037,75,"Egernia napoleonis"
148,3417,563,59,"Egernia napoleonis"
168,3844,1221,83,"Egernia napoleonis"
176,3313,250,23,"Egernia napoleonis"
172,2850,878,84,"Egernia napoleonis"
171,3303,441,35,"Egernia napoleonis"
156,4287,526,62,"Egernia napoleonis"
166,3111,385,25,"Egernia napoleonis"
173,3464,299,19,"Egernia napoleonis"
169,3639,373,24,"Egernia napoleonis"
166,3055,490,30,"Egernia napoleonis"
151,3376,409,47,"Egernia napoleonis"
158,4426,465,57,"Egernia napoleonis"
166,3679,370,15,"Egernia napoleonis"
180,4410,778,80,"Egernia napoleonis"
166,2574,542,38,"Egernia napoleonis"
168,2841,598,48,"Egernia napoleonis"
155,3637,427,36,"Egernia napoleonis"
166,4051,973,80,"Egernia napoleonis"
195,3908,597,84,"Egernia napoleonis"
190,4521,526,80,"Egernia napoleonis"
156,2676,1154,70,"Egernia napoleonis"
174,4578,605,81,"Egernia napoleonis"
152,3607,610,70,"Egernia napoleonis"
161,2278,1094,64,"Egernia napoleonis"
153,3650,385,42,"Egernia napoleonis"
166,3619,406,18,"Egernia napoleonis"
171,2704,337,23,"Egernia napoleonis"
163,2977,856,70,"Egernia napoleonis"
152,3720,381,41,"Egernia napoleonis"
169,3230,338,23,"Egernia napoleonis"
157,3284,442,27,"Egernia napoleonis"
175,3190,264,22,"Egernia napoleonis"
167,3077,479,32,"Egernia napoleonis"
165,3675,391,14,"Egernia napoleonis"
164,2832,552,40,"Egernia napoleonis"
149,3643,441,48,"Egernia napoleonis"
148,3522,523,52,"Egernia napoleonis"
180,3372,248,23,"Egernia napoleonis"
170,2605,433,34,"Egernia napoleonis"
169,2921,603,50,"Egernia napoleonis"
193,4181,613,80,"Egernia napoleonis"
156,4154,584,68,"Egernia napoleonis"
181,3658,227,22,"Egernia napoleonis"
147,3214,1066,72,"Egernia napoleonis"
165,2865,434,36,"Egernia napoleonis"
152,3002,903,63,"Egernia napoleonis"
156,3360,449,21,"Egernia napoleonis"
163,4266,850,83,"Egernia napoleonis"
168,2921,593,48,"Egernia napoleonis"
166,4534,489,74,"Egernia napoleonis"
185,4949,475,73,"Egernia napoleonis"
155,2750,1189,66,"Egernia napoleonis"
155,2652,767,49,"Egernia napoleonis"
161,3068,479,30,"Egernia napoleonis"
155,3363,411,24,"Egernia napoleonis"
182,3594,252,28,"Egernia napoleonis"
175,3156,260,25,"Egernia napoleonis"
166,4164,1013,80,"Egernia napoleonis"
149,3661,602,66,"Egernia napoleonis"
167,3097,362,26,"Egernia napoleonis"
186,4613,610,82,"Egernia napoleonis"
167,3130,466,28,"Egernia napoleonis"
167,3498,407,22,"Egernia napoleonis"
155,4048,368,46,"Egernia napoleonis"
158,4289,578,73,"Egernia napoleonis"
150,3089,584,43,"Egernia napoleonis"
190,3705,740,84,"Egernia napoleonis"
155,3629,456,34,"Egernia napoleonis"
163,2578,1059,81,"Egernia napoleonis"
170,3840,343,24,"Egernia napoleonis"
166,3280,500,30,"Egernia napoleonis"
172,2996,492,35,"Egernia napoleonis"
155,3615,993,75,"Egernia napoleonis"
171,3626,353,28,"Egernia napoleonis"
167,2504,1010,79,"Egernia napoleonis"
151,3255,677,64,"Egernia napoleonis"
184,4392,701,82,"Egernia napoleonis"
168,3165,429,23,"Egernia napoleonis"
157,4211,428,55,"Egernia napoleonis"
146,3351,847,72,"Egernia napoleonis"
187,4888,464,76,"Egernia napoleonis"
155,2559,1188,64,"Egernia napoleonis"
171,3035,305,22,"Egernia napoleonis"
149,2773,877,52,"Egernia napoleonis"
164,3061,491,31,"Egernia napoleonis"
165,4111,962,80,"Egernia napoleonis"
190,3656,765,88,"Egernia napoleonis"
175,2892,312,19,"Egernia napoleonis"
159,4371,502,64,"Egernia napoleonis"
185,4592,607,78,"Egernia napoleonis"
156,3979,513,68,"Egernia napoleonis"
161,3911,348,29,"Egernia napoleonis"
198,3704,621,83,"Egernia napoleonis"
157,3388,465,26,"Egernia napoleonis"
167,3645,389,22,"Egernia napoleonis"
188,4770,486,78,"Egernia napoleonis"
149,3485,604,62,"Egernia napoleonis"
151,2844,789,54,"Egernia napoleonis"
166,3004,521,32,"Egernia napoleonis"
155,3851,655,70,"Egernia napoleonis"
150,3467,525,54,"Egernia napoleonis"
166,4176,686,78,"Egernia napoleonis"
194,3888,553,86,"Egernia napoleonis"
166,3057,398,26,"Egernia napoleonis"
187,3741,845,84,"Egernia napoleonis"
167,2710,723,52,"Egernia napoleonis"
167,3665,377,26,"Egernia napoleonis"
151,3437,431,52,"Egernia napoleonis"
169,3054,330,23,"Egernia napoleonis"
168,3187,350,24,"Egernia napoleonis"
155,3571,368,43,"Egernia napoleonis"
158,3857,388,29,"Egernia napoleonis"
199,3583,592,85,"Egernia napoleonis"
173,3082,465,40,"Egernia napoleonis"
160,3869,809,77,"Egernia napoleonis"
156,2644,1274,73,"Egernia napoleonis"
151,3493,418,37,"Egernia napoleonis"
196,3935,585,84,"Egernia napoleonis"
173,2737,373,32,"Egernia napoleonis"
170,3190,314,21,"Egernia napoleonis"
171,3017,541,42,"Egernia napoleonis"
166,3705,367,19,"Egernia napoleonis"
188,3882,756,84,"Egernia napoleonis"
188,4135,622,85,"Egernia napoleonis"
170,2866,618,47,"Egernia napoleonis"
168,3193,522,40,"Egernia napoleonis"
194,4005,571,86,"Egernia napoleonis"
169,3202,494,34,"Egernia napoleonis"
172,4751,449,76,"Egernia napoleonis"
166,3297,423,15,"Egernia napoleonis"
165,3810,1235,80,"Egernia napoleonis"
171,4745,646,81,"Egernia napoleonis"
164,4362,528,73,"Egernia napoleonis"
156,3502,447,29,"Egernia napoleonis"
169,2605,456,35,"Egernia napoleonis"
154,2412,1112,55,"Egernia napoleonis"
151,3505,419,39,"Egernia napoleonis"
172,3223,463,28,"Egernia napoleonis"
151,3459,695,73,"Egernia napoleonis"
161,3113,444,35,"Egernia napoleonis"
163,2498,1101,78,"Egernia napoleonis"
154,4024,447,53,"Egernia napoleonis"
155,2774,1089,64,"Egernia napoleonis"
188,4700,527,79,"Egernia napoleonis"
152,3244,588,58,"Egernia napoleonis"
189,4154,689,82,"Egernia napoleonis"
175,3544,273,18,"Egernia napoleonis"
161,2695,1004,74,"Egernia napoleonis"
157,2342,1154,60,"Egernia napoleonis"
169,3865,354,18,"Egernia napoleonis"
168,3038,538,43,"Egernia napoleonis"
150,3256,479,40,"Egernia napoleonis"
165,4414,767,80,"Egernia napoleonis"
161,3987,774,75,"Egernia napoleonis"
169,3573,397,23,"Egernia napoleonis"
151,2733,1047,63,"Egernia napoleonis"
158,4392,453,55,"Egernia napoleonis"
169,2399,972,77,"Egernia napoleonis"
166,3288,454,28,"Egernia napoleonis"
198,3932,542,87,"Egernia napoleonis"
169,3501,406,24,"Egernia napoleonis"
198,3743,577,84,"Egernia napoleonis"
153,2899,600,41,"Egernia napoleonis"
170,2627,706,63,"Egernia napoleonis"
171,4029,1061,83,"Egernia napoleonis"
168,3908,366,30,"Egernia napoleonis"
161,2873,972,72,"Egernia napoleonis"
148,3046,859,63,"Egernia napoleonis"
155,3975,429,55,"Egernia napoleonis"
159,3557,1124,79,"Egernia napoleonis"
156,3791,383,37,"Egernia napoleonis"
169,3281,353,24,"Egernia napoleonis"
169,3498,384,28,"Egernia napoleonis"
148,3371,719,65,"Egernia napoleonis"
164,2530,1126,83,"Egernia napoleonis"
164,2246,1086,66,"Egernia napoleonis"
176,3299,247,24,"Egernia napoleonis"
169,3348,431,32,"Egernia napoleonis"
149,3410,497,57,"Egernia napoleonis"
149,2994,778,54,"Egernia napoleonis"
167,3713,396,19,"Egernia napoleonis"
163,3435,406,18,"Egernia napoleonis"
150,3386,608,57,"Egernia napoleonis"
169,3097,327,23,"Egernia napoleonis"
157,3226,473,33,"Egernia napoleonis"
169,2789,551,42,"Egernia napoleonis"
156,3948,386,42,"Egernia napoleonis"
153,3721,542,68,"Egernia napoleonis"
159,3030,505,37,"Egernia napoleonis"
161,2935,957,76,"Egernia napoleonis"
154,3900,392,37,"Egernia napoleonis"
170,3341,321,22,"Egernia napoleonis"
170,3390,409,26,"Egernia napoleonis"
156,2568,891,54,"Egernia napoleonis"
151,3567,432,37,"Egernia napoleonis"
171,4394,870,82,"Egernia napoleonis"
149,3418,889,70,"Egernia napoleonis"
168,3250,354,25,"Egernia napoleonis"
169,3291,449,39,"Egernia napoleonis"
161,3820,855,74,"Egernia napoleonis"
167,4618,514,74,"Egernia napoleonis"
184,3598,954,82,"Egernia napoleonis"
171,3028,501,38,"Egernia napoleonis"
192,4024,650,84,"Egernia napoleonis"
161,3981,986,74,"Egernia napoleonis"
197,3902,587,81,"Egernia napoleonis"
152,3229,459,42,"Egernia napoleonis"
194,4043,596,83,"Egernia napoleonis"
169,2951,356,15,"Egernia napoleonis"
159,3722,1106,72,"Egernia napoleonis"
175,3175,265,24,"Egernia napoleonis"
157,2545,757,50,"Egernia napoleonis"
177,3483,253,19,"Egernia napoleonis"
155,4162,486,58,"Egernia napoleonis"
144,3252,475,42,"Egernia napoleonis"
168,3514,418,28,"Egernia napoleonis"
162,3247,1037,78,"Egernia napoleonis"
181,3466,263,28,"Egernia napoleonis"
170,3401,456,35,"Egernia napoleonis"
163,2650,977,74,"Egernia napoleonis"
172,3079,862,82,"Egernia napoleonis"
196,4018,580,83,"Egernia napoleonis"
175,3921,1057,88,"Egernia napoleonis"
186,3936,900,87,"Egernia napoleonis"
163,4645,581,77,"Egernia napoleonis"
168,3042,594,46,"Egernia napoleonis"
169,3460,349,22,"Egernia napoleonis"
170,3410,333,17,"Egernia napoleonis"
168,3148,337,24,"Egernia napoleonis"
178,4631,690,79,"Egernia napoleonis"
162,2427,1078,70,"Egernia napoleonis"
155,3583,779,75,"Egernia napoleonis"
151,3507,425,49,"Egernia napoleonis"
153,3305,416,48,"Egernia napoleonis"
154,3014,502,40,"Egernia napoleonis"
158,3189,493,41,"Egernia napoleonis"
158,2597,804,52,"Egernia napoleonis"
198,3845,581,80,"Egernia napoleonis"
168,3888,378,25,"Egernia napoleonis"
189,4322,648,84,"Egernia napoleonis"
148,3436,723,65,"Egernia napoleonis"
180,3597,224,21,"Egernia napoleonis"
172,2805,371,25,"Egernia napoleonis"
161,4322,597,71,"Egernia napoleonis"
144,3729,562,53,"Egernia napoleonis"
161,3945,370,28,"Egernia napoleonis"
172,3148,417,27,"Egernia napoleonis"
155,4130,587,70,"Egernia napoleonis"
181,3649,219,19,"Egernia napoleonis"
167,4458,491,71,"Egernia napoleonis"
170,3460,340,20,"Egernia napoleonis"
151,2751,940,57,"Egernia napoleonis"
154,3630,380,33,"Egernia napoleonis"
190,4200,674,83,"Egernia napoleonis"
169,3556,406,22,"Egernia napoleonis"
170,2525,455,40,"Egernia napoleonis"
162,3807,355,27,"Egernia napoleonis"
171,3323,367,27,"Egernia napoleonis"
162,3911,360,30,"Egernia napoleonis"
168,3715,397,19,"Egernia napoleonis"
192,4206,628,81,"Egernia napoleonis"
156,4073,562,64,"Egernia napoleonis"
180,3523,228,22,"Egernia napoleonis"
199,3617,607,85,"Egernia napoleonis"
168,3225,343,24,"Egernia napoleonis"
155,3495,453,36,"Egernia napoleonis"
158,3348,397,31,"Egernia napoleonis"
154,2820,1120,69,"Egernia napoleonis"
147,3202,885,66,"Egernia napoleonis"
167,3200,504,40,"Egernia napoleonis"
147,3291,723,58,"Egernia napoleonis"
170,3390,324,21,"Egernia napoleonis"
162,2342,1176,65,"Egernia napoleonis"
162,3460,1170,80,"Egernia napoleonis"
169,4153,1040,86,"Egernia napoleonis"
179,4589,659,77,"Egernia napoleonis"
152,3759,368,36,"Egernia napoleonis"
168,3601,394,26,"Egernia napoleonis"
154,2628,999,55,"Egernia napoleonis"
165,2788,854,70,"Egernia napoleonis"
172,2952,349,18,"Egernia napoleonis"
169,3257,483,31,"Egernia napoleonis"
166,2505,975,75,"Egernia napoleonis"
167,3363,456,27,"Egernia napoleonis"
175,4711,704,79,"Egernia napoleonis"
167,3099,510,38,"Egernia napoleonis"
156,2360,1070,61,"Egernia napoleonis"
166,2931,396,25,"Egernia napoleonis"
165,3936,1104,80,"Egernia napoleonis"
152,3373,582,60,"Egernia napoleonis"
168,3182,413,21,"Egernia napoleonis"
165,3381,421,26,"Egernia napoleonis"
172,2851,306,25,"Egernia napoleonis"
157,3809,370,31,"Egernia napoleonis"
176,2927,286,24,"Egernia napoleonis"
161,3904,366,33,"Egernia napoleonis"
170,2885,316,24,"Egernia napoleonis"
154,2795,679,45,"Egernia napoleonis"
