"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
183,4891,273,17,"Egernia richardi"
183,5031,231,21,"Egernia richardi"
182,4877,243,16,"Egernia richardi"
187,5448,293,47,"Egernia richardi"
185,4632,180,13,"Egernia richardi"
275,1591,1503,109,"Egernia richardi"
174,4488,310,10,"Egernia richardi"
181,4555,258,34,"Egernia richardi"
175,5140,364,42,"Egernia richardi"
172,4786,282,32,"Egernia richardi"
175,4319,298,15,"Egernia richardi"
177,4768,300,19,"Egernia richardi"
173,4354,311,41,"Egernia richardi"
158,4421,374,50,"Egernia richardi"
178,3906,204,17,"Egernia richardi"
176,3223,274,26,"Egernia richardi"
184,5147,289,23,"Egernia richardi"
182,4870,241,26,"Egernia richardi"
161,4047,371,39,"Egernia richardi"
178,4885,241,33,"Egernia richardi"
175,3539,380,63,"Egernia richardi"
181,4908,240,28,"Egernia richardi"
181,5113,282,26,"Egernia richardi"
172,3912,347,47,"Egernia richardi"
179,4149,266,37,"Egernia richardi"
158,3560,401,30,"Egernia richardi"
177,3663,218,21,"Egernia richardi"
178,5014,307,33,"Egernia richardi"
152,4024,425,49,"Egernia richardi"
183,5182,274,33,"Egernia richardi"
169,3446,421,66,"Egernia richardi"
183,4220,191,15,"Egernia richardi"
178,3525,226,20,"Egernia richardi"
179,4020,193,16,"Egernia richardi"
163,4039,340,32,"Egernia richardi"
183,4913,261,25,"Egernia richardi"
278,1900,1438,109,"Egernia richardi"
183,4846,236,21,"Egernia richardi"
187,5448,256,26,"Egernia richardi"
160,4395,378,48,"Egernia richardi"
167,4600,355,48,"Egernia richardi"
170,3912,343,19,"Egernia richardi"
168,4665,317,55,"Egernia richardi"
174,4292,300,24,"Egernia richardi"
176,3251,266,22,"Egernia richardi"
177,4567,284,14,"Egernia richardi"
277,1642,1525,106,"Egernia richardi"
159,4161,369,52,"Egernia richardi"
179,5326,343,35,"Egernia richardi"
174,4955,334,36,"Egernia richardi"
177,4671,306,37,"Egernia richardi"
182,4701,229,19,"Egernia richardi"
172,4037,333,42,"Egernia richardi"
176,3310,267,25,"Egernia richardi"
177,3445,287,36,"Egernia richardi"
182,4575,253,40,"Egernia richardi"
178,4779,310,25,"Egernia richardi"
173,3417,399,55,"Egernia richardi"
173,3695,301,18,"Egernia richardi"
153,3893,417,54,"Egernia richardi"
177,3164,307,46,"Egernia richardi"
183,4196,263,29,"Egernia richardi"
179,4542,297,41,"Egernia richardi"
178,4487,272,24,"Egernia richardi"
183,4750,254,29,"Egernia richardi"
169,4068,362,14,"Egernia richardi"
191,5343,254,25,"Egernia richardi"
169,3410,407,35,"Egernia richardi"
188,4928,244,29,"Egernia richardi"
186,5394,301,45,"Egernia richardi"
178,3292,291,41,"Egernia richardi"
179,3875,199,17,"Egernia richardi"
180,5146,303,30,"Egernia richardi"
187,4736,174,14,"Egernia richardi"
160,4390,358,51,"Egernia richardi"
168,4189,327,25,"Egernia richardi"
173,3246,390,62,"Egernia richardi"
163,4558,371,55,"Egernia richardi"
167,3666,381,29,"Egernia richardi"
160,4223,375,45,"Egernia richardi"
166,4483,329,47,"Egernia richardi"
183,4404,170,17,"Egernia richardi"
178,4457,275,18,"Egernia richardi"
177,3667,226,20,"Egernia richardi"
173,4380,302,25,"Egernia richardi"
171,3856,337,27,"Egernia richardi"
183,4729,234,22,"Egernia richardi"
179,3803,207,17,"Egernia richardi"
178,3365,232,24,"Egernia richardi"
178,3993,297,38,"Egernia richardi"
187,5071,201,19,"Egernia richardi"
177,3104,306,38,"Egernia richardi"
181,4129,181,17,"Egernia richardi"
177,4495,289,41,"Egernia richardi"
277,1720,1526,107,"Egernia richardi"
160,3598,388,15,"Egernia richardi"
185,4882,242,20,"Egernia richardi"
183,4408,168,17,"Egernia richardi"
189,5142,256,26,"Egernia richardi"
177,3316,246,21,"Egernia richardi"
164,4483,346,34,"Egernia richardi"
153,4016,421,55,"Egernia richardi"
177,4251,315,48,"Egernia richardi"
170,4654,331,34,"Egernia richardi"
