"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
107,4613,694,20,"Egernia saxatilis"
137,5278,885,23,"Egernia saxatilis"
146,4425,742,13,"Egernia saxatilis"
149,4744,610,27,"Egernia saxatilis"
159,5081,405,19,"Egernia saxatilis"
131,4229,1224,28,"Egernia saxatilis"
140,4490,905,18,"Egernia saxatilis"
120,5049,881,12,"Egernia saxatilis"
111,4461,919,17,"Egernia saxatilis"
154,4490,686,23,"Egernia saxatilis"
112,4560,770,12,"Egernia saxatilis"
97,4612,746,15,"Egernia saxatilis"
152,5331,758,17,"Egernia saxatilis"
151,5333,704,25,"Egernia saxatilis"
155,4990,575,20,"Egernia saxatilis"
151,4736,467,21,"Egernia saxatilis"
149,5473,783,21,"Egernia saxatilis"
124,5208,930,9,"Egernia saxatilis"
153,4232,1024,37,"Egernia saxatilis"
170,5419,559,18,"Egernia saxatilis"
166,5370,657,22,"Egernia saxatilis"
139,4690,750,26,"Egernia saxatilis"
144,4691,492,32,"Egernia saxatilis"
145,4640,535,24,"Egernia saxatilis"
110,4471,956,19,"Egernia saxatilis"
160,4921,666,30,"Egernia saxatilis"
147,4553,791,28,"Egernia saxatilis"
161,4889,651,20,"Egernia saxatilis"
84,4349,942,13,"Egernia saxatilis"
110,4790,911,13,"Egernia saxatilis"
92,4498,1312,21,"Egernia saxatilis"
81,4603,769,12,"Egernia saxatilis"
125,5261,1222,30,"Egernia saxatilis"
131,5262,970,27,"Egernia saxatilis"
156,4087,904,34,"Egernia saxatilis"
97,4840,717,11,"Egernia saxatilis"
148,5098,743,25,"Egernia saxatilis"
155,4827,773,26,"Egernia saxatilis"
154,4890,569,19,"Egernia saxatilis"
121,4442,892,25,"Egernia saxatilis"
128,4712,592,10,"Egernia saxatilis"
156,5186,530,20,"Egernia saxatilis"
165,5419,599,14,"Egernia saxatilis"
122,4460,829,24,"Egernia saxatilis"
121,4577,745,8,"Egernia saxatilis"
111,4533,534,25,"Egernia saxatilis"
117,4177,1372,33,"Egernia saxatilis"
147,5116,819,24,"Egernia saxatilis"
170,4765,558,20,"Egernia saxatilis"
171,5437,567,20,"Egernia saxatilis"
151,5221,673,17,"Egernia saxatilis"
138,4948,783,20,"Egernia saxatilis"
132,4226,544,29,"Egernia saxatilis"
154,5237,595,23,"Egernia saxatilis"
152,5278,643,27,"Egernia saxatilis"
117,4743,850,8,"Egernia saxatilis"
119,4692,847,14,"Egernia saxatilis"
142,4581,515,29,"Egernia saxatilis"
161,5352,601,13,"Egernia saxatilis"
107,5082,1190,29,"Egernia saxatilis"
166,5373,601,16,"Egernia saxatilis"
166,5046,764,27,"Egernia saxatilis"
159,5157,422,19,"Egernia saxatilis"
145,4399,972,26,"Egernia saxatilis"
77,4755,1457,30,"Egernia saxatilis"
128,4875,765,15,"Egernia saxatilis"
92,4807,847,14,"Egernia saxatilis"
165,4294,954,31,"Egernia saxatilis"
135,5237,828,22,"Egernia saxatilis"
144,5175,889,28,"Egernia saxatilis"
140,4289,1135,15,"Egernia saxatilis"
127,4254,731,30,"Egernia saxatilis"
100,4472,1151,8,"Egernia saxatilis"
147,4725,441,20,"Egernia saxatilis"
118,4490,760,12,"Egernia saxatilis"
123,4750,796,12,"Egernia saxatilis"
148,5217,673,15,"Egernia saxatilis"
146,5279,796,27,"Egernia saxatilis"
117,4425,1100,24,"Egernia saxatilis"
89,5025,1369,30,"Egernia saxatilis"
142,4851,663,19,"Egernia saxatilis"
145,5264,702,22,"Egernia saxatilis"
67,4658,1154,17,"Egernia saxatilis"
143,5366,832,28,"Egernia saxatilis"
132,4080,885,12,"Egernia saxatilis"
150,5260,693,19,"Egernia saxatilis"
121,5049,852,10,"Egernia saxatilis"
133,4997,630,10,"Egernia saxatilis"
136,4356,1094,26,"Egernia saxatilis"
137,4450,681,18,"Egernia saxatilis"
153,4819,570,18,"Egernia saxatilis"
124,4293,693,20,"Egernia saxatilis"
120,4926,1114,31,"Egernia saxatilis"
133,4729,960,24,"Egernia saxatilis"
