"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
159,3566,434,19,"Elapognathus coronatus"
168,3388,442,30,"Elapognathus coronatus"
173,4943,368,65,"Elapognathus coronatus"
176,3616,264,18,"Elapognathus coronatus"
152,3840,403,51,"Elapognathus coronatus"
158,3391,778,70,"Elapognathus coronatus"
170,3422,325,20,"Elapognathus coronatus"
177,3420,241,22,"Elapognathus coronatus"
154,4001,479,57,"Elapognathus coronatus"
187,4503,587,85,"Elapognathus coronatus"
175,3544,1144,84,"Elapognathus coronatus"
160,4134,343,43,"Elapognathus coronatus"
170,3140,853,82,"Elapognathus coronatus"
154,3779,592,71,"Elapognathus coronatus"
185,5154,384,70,"Elapognathus coronatus"
201,3575,562,85,"Elapognathus coronatus"
157,4122,394,58,"Elapognathus coronatus"
168,3136,418,32,"Elapognathus coronatus"
198,5508,369,69,"Elapognathus coronatus"
169,2749,357,22,"Elapognathus coronatus"
199,5329,383,72,"Elapognathus coronatus"
205,5393,331,69,"Elapognathus coronatus"
155,2535,1201,64,"Elapognathus coronatus"
159,3016,509,36,"Elapognathus coronatus"
166,2351,1192,85,"Elapognathus coronatus"
166,3166,475,24,"Elapognathus coronatus"
175,2882,332,21,"Elapognathus coronatus"
158,4285,415,51,"Elapognathus coronatus"
169,3659,349,16,"Elapognathus coronatus"
178,4449,681,80,"Elapognathus coronatus"
202,3642,566,85,"Elapognathus coronatus"
159,4140,810,81,"Elapognathus coronatus"
153,3209,478,32,"Elapognathus coronatus"
153,3650,365,32,"Elapognathus coronatus"
189,5234,402,69,"Elapognathus coronatus"
171,3389,315,22,"Elapognathus coronatus"
170,3478,338,21,"Elapognathus coronatus"
167,2383,1113,76,"Elapognathus coronatus"
161,4249,359,48,"Elapognathus coronatus"
172,3660,310,17,"Elapognathus coronatus"
164,4562,355,57,"Elapognathus coronatus"
153,4068,454,54,"Elapognathus coronatus"
168,4390,862,84,"Elapognathus coronatus"
202,5494,336,63,"Elapognathus coronatus"
166,2718,596,38,"Elapognathus coronatus"
199,4124,508,87,"Elapognathus coronatus"
159,2933,1024,74,"Elapognathus coronatus"
156,3990,364,36,"Elapognathus coronatus"
166,3104,407,28,"Elapognathus coronatus"
157,3581,391,27,"Elapognathus coronatus"
155,3280,411,41,"Elapognathus coronatus"
204,3662,544,83,"Elapognathus coronatus"
186,3804,884,84,"Elapognathus coronatus"
190,4824,443,76,"Elapognathus coronatus"
171,2979,576,39,"Elapognathus coronatus"
185,4531,576,85,"Elapognathus coronatus"
192,5410,379,64,"Elapognathus coronatus"
169,3097,451,37,"Elapognathus coronatus"
196,3945,584,83,"Elapognathus coronatus"
167,4577,449,70,"Elapognathus coronatus"
168,2684,565,37,"Elapognathus coronatus"
159,3600,396,29,"Elapognathus coronatus"
153,2717,922,55,"Elapognathus coronatus"
150,3669,401,47,"Elapognathus coronatus"
161,4576,446,67,"Elapognathus coronatus"
163,3200,447,27,"Elapognathus coronatus"
183,4181,860,93,"Elapognathus coronatus"
166,4426,767,83,"Elapognathus coronatus"
178,3590,235,18,"Elapognathus coronatus"
150,3112,852,67,"Elapognathus coronatus"
171,4010,936,78,"Elapognathus coronatus"
