"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
138,369,3025,17,"Emoia longicauda"
271,115,3400,17,"Emoia longicauda"
262,536,2932,50,"Emoia longicauda"
248,164,2729,34,"Emoia longicauda"
261,1222,1439,111,"Emoia longicauda"
220,552,4171,20,"Emoia longicauda"
262,135,2897,41,"Emoia longicauda"
258,73,3430,38,"Emoia longicauda"
263,705,4323,28,"Emoia longicauda"
261,750,1475,49,"Emoia longicauda"
264,647,3960,27,"Emoia longicauda"
266,633,2297,65,"Emoia longicauda"
268,642,2326,64,"Emoia longicauda"
259,481,3523,30,"Emoia longicauda"
264,492,3578,13,"Emoia longicauda"
264,468,3265,47,"Emoia longicauda"
215,546,2956,21,"Emoia longicauda"
209,526,3752,6,"Emoia longicauda"
245,512,4188,25,"Emoia longicauda"
248,1439,1430,111,"Emoia longicauda"
257,518,3129,45,"Emoia longicauda"
257,572,3328,28,"Emoia longicauda"
249,726,2290,40,"Emoia longicauda"
256,763,2578,41,"Emoia longicauda"
259,571,2861,13,"Emoia longicauda"
263,629,3466,24,"Emoia longicauda"
263,423,3588,40,"Emoia longicauda"
259,449,3660,32,"Emoia longicauda"
256,515,2434,19,"Emoia longicauda"
261,198,2051,22,"Emoia longicauda"
266,618,2641,10,"Emoia longicauda"
255,730,2371,39,"Emoia longicauda"
226,456,2274,14,"Emoia longicauda"
264,598,2486,58,"Emoia longicauda"
259,419,3800,29,"Emoia longicauda"
262,794,1655,64,"Emoia longicauda"
265,445,3587,40,"Emoia longicauda"
254,643,2585,37,"Emoia longicauda"
258,587,4504,23,"Emoia longicauda"
261,529,4640,17,"Emoia longicauda"
260,491,3412,45,"Emoia longicauda"
255,1359,1558,108,"Emoia longicauda"
260,508,5135,12,"Emoia longicauda"
258,505,5141,10,"Emoia longicauda"
263,474,3956,11,"Emoia longicauda"
257,203,1985,16,"Emoia longicauda"
259,545,3073,53,"Emoia longicauda"
262,739,1704,63,"Emoia longicauda"
262,865,1568,62,"Emoia longicauda"
258,800,1828,49,"Emoia longicauda"
265,571,2621,59,"Emoia longicauda"
182,448,4233,39,"Emoia longicauda"
257,706,2294,47,"Emoia longicauda"
255,670,2425,41,"Emoia longicauda"
255,712,4594,12,"Emoia longicauda"
255,711,2144,50,"Emoia longicauda"
258,1206,1570,105,"Emoia longicauda"
261,528,5183,11,"Emoia longicauda"
259,575,5056,11,"Emoia longicauda"
256,539,5591,10,"Emoia longicauda"
194,475,3701,16,"Emoia longicauda"
259,567,3516,28,"Emoia longicauda"
238,536,2196,14,"Emoia longicauda"
263,524,4141,19,"Emoia longicauda"
263,827,2092,16,"Emoia longicauda"
264,487,3666,12,"Emoia longicauda"
256,551,3091,42,"Emoia longicauda"
261,538,4534,19,"Emoia longicauda"
263,662,3943,25,"Emoia longicauda"
259,601,4700,12,"Emoia longicauda"
258,1051,1770,108,"Emoia longicauda"
260,439,3664,36,"Emoia longicauda"
222,252,2593,27,"Emoia longicauda"
236,686,2429,31,"Emoia longicauda"
255,557,5055,12,"Emoia longicauda"
255,569,4560,23,"Emoia longicauda"
260,517,3113,44,"Emoia longicauda"
261,494,4880,11,"Emoia longicauda"
253,737,2835,35,"Emoia longicauda"
231,484,3788,30,"Emoia longicauda"
260,436,3902,35,"Emoia longicauda"
259,597,4547,19,"Emoia longicauda"
244,524,4424,33,"Emoia longicauda"
237,463,4166,33,"Emoia longicauda"
258,771,2001,48,"Emoia longicauda"
266,103,2440,34,"Emoia longicauda"
254,752,2723,42,"Emoia longicauda"
257,612,2581,49,"Emoia longicauda"
177,318,2083,28,"Emoia longicauda"
265,741,2882,69,"Emoia longicauda"
256,614,2425,34,"Emoia longicauda"
255,751,4402,17,"Emoia longicauda"
255,720,4928,17,"Emoia longicauda"
257,727,2289,47,"Emoia longicauda"
263,497,4016,13,"Emoia longicauda"
217,537,3986,20,"Emoia longicauda"
253,1435,1269,116,"Emoia longicauda"
242,82,3352,45,"Emoia longicauda"
261,436,3228,13,"Emoia longicauda"
261,543,4447,12,"Emoia longicauda"
258,543,2964,40,"Emoia longicauda"
269,715,2256,65,"Emoia longicauda"
259,224,1869,20,"Emoia longicauda"
243,168,2499,32,"Emoia longicauda"
257,576,2921,39,"Emoia longicauda"
261,470,3515,21,"Emoia longicauda"
258,596,4616,18,"Emoia longicauda"
255,595,3809,25,"Emoia longicauda"
245,172,2883,39,"Emoia longicauda"
260,197,1990,22,"Emoia longicauda"
261,442,3530,14,"Emoia longicauda"
258,633,3149,22,"Emoia longicauda"
218,452,2543,21,"Emoia longicauda"
262,422,4066,23,"Emoia longicauda"
255,782,2308,49,"Emoia longicauda"
259,548,5105,11,"Emoia longicauda"
226,561,2730,30,"Emoia longicauda"
255,776,3860,24,"Emoia longicauda"
266,98,3025,47,"Emoia longicauda"
261,1176,1584,114,"Emoia longicauda"
258,545,3771,23,"Emoia longicauda"
264,635,4307,26,"Emoia longicauda"
260,556,5413,11,"Emoia longicauda"
233,474,1864,60,"Emoia longicauda"
260,655,2101,59,"Emoia longicauda"
260,503,5047,11,"Emoia longicauda"
253,684,2808,29,"Emoia longicauda"
257,548,1934,52,"Emoia longicauda"
262,196,2055,23,"Emoia longicauda"
260,1174,1591,104,"Emoia longicauda"
273,614,3793,9,"Emoia longicauda"
257,592,4972,12,"Emoia longicauda"
259,414,4144,21,"Emoia longicauda"
261,514,4780,12,"Emoia longicauda"
269,607,4449,9,"Emoia longicauda"
265,597,2533,63,"Emoia longicauda"
263,415,3680,36,"Emoia longicauda"
251,1439,1451,108,"Emoia longicauda"
253,584,2956,17,"Emoia longicauda"
265,625,2302,62,"Emoia longicauda"
261,600,2457,56,"Emoia longicauda"
248,506,1935,62,"Emoia longicauda"
269,691,2184,66,"Emoia longicauda"
259,221,1998,18,"Emoia longicauda"
245,234,2343,25,"Emoia longicauda"
259,528,5584,11,"Emoia longicauda"
256,511,3310,38,"Emoia longicauda"
257,590,4590,23,"Emoia longicauda"
260,528,4939,10,"Emoia longicauda"
223,416,4092,14,"Emoia longicauda"
263,839,1625,65,"Emoia longicauda"
255,548,5497,12,"Emoia longicauda"
259,490,4722,12,"Emoia longicauda"
268,668,2267,65,"Emoia longicauda"
272,617,3969,8,"Emoia longicauda"
252,228,1894,18,"Emoia longicauda"
261,519,5043,11,"Emoia longicauda"
261,836,1643,55,"Emoia longicauda"
258,685,3477,21,"Emoia longicauda"
258,580,2685,40,"Emoia longicauda"
260,185,2089,23,"Emoia longicauda"
258,514,3607,23,"Emoia longicauda"
189,489,4965,27,"Emoia longicauda"
257,230,1884,21,"Emoia longicauda"
226,227,2010,17,"Emoia longicauda"
211,373,3040,14,"Emoia longicauda"
209,465,2375,47,"Emoia longicauda"
257,511,3280,36,"Emoia longicauda"
260,514,4479,13,"Emoia longicauda"
219,74,3531,40,"Emoia longicauda"
260,556,5413,13,"Emoia longicauda"
224,230,2224,15,"Emoia longicauda"
254,737,3870,22,"Emoia longicauda"
256,701,4452,25,"Emoia longicauda"
204,445,4237,10,"Emoia longicauda"
