"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
259,1882,1501,123,"Eremiascincus brongersmai"
264,1856,1436,114,"Eremiascincus brongersmai"
265,1953,1275,111,"Eremiascincus brongersmai"
268,1693,1243,116,"Eremiascincus brongersmai"
272,1622,1731,124,"Eremiascincus brongersmai"
268,1961,1323,113,"Eremiascincus brongersmai"
270,1886,1024,109,"Eremiascincus brongersmai"
260,2031,1206,111,"Eremiascincus brongersmai"
261,2013,1235,111,"Eremiascincus brongersmai"
279,1675,1204,120,"Eremiascincus brongersmai"
269,1842,1490,122,"Eremiascincus brongersmai"
271,1662,1302,112,"Eremiascincus brongersmai"
262,1741,1640,114,"Eremiascincus brongersmai"
265,2013,1001,118,"Eremiascincus brongersmai"
269,1875,1414,116,"Eremiascincus brongersmai"
260,2198,1142,108,"Eremiascincus brongersmai"
274,1525,1495,122,"Eremiascincus brongersmai"
261,1868,1613,114,"Eremiascincus brongersmai"
266,1600,1572,119,"Eremiascincus brongersmai"
257,2124,1238,120,"Eremiascincus brongersmai"
273,1815,1162,112,"Eremiascincus brongersmai"
276,2071,1050,113,"Eremiascincus brongersmai"
254,2165,1223,112,"Eremiascincus brongersmai"
258,1894,1480,108,"Eremiascincus brongersmai"
255,1886,1616,120,"Eremiascincus brongersmai"
278,1683,1094,129,"Eremiascincus brongersmai"
262,2210,1081,108,"Eremiascincus brongersmai"
261,1956,1217,119,"Eremiascincus brongersmai"
275,1732,1078,112,"Eremiascincus brongersmai"
273,1625,1144,121,"Eremiascincus brongersmai"
264,1969,1233,124,"Eremiascincus brongersmai"
263,1952,1482,113,"Eremiascincus brongersmai"
270,2015,983,110,"Eremiascincus brongersmai"
261,2008,1379,108,"Eremiascincus brongersmai"
272,1763,1098,114,"Eremiascincus brongersmai"
275,1734,1002,110,"Eremiascincus brongersmai"
262,1909,1293,107,"Eremiascincus brongersmai"
276,1548,1316,119,"Eremiascincus brongersmai"
261,2099,1187,108,"Eremiascincus brongersmai"
262,2043,1258,107,"Eremiascincus brongersmai"
268,1998,1067,110,"Eremiascincus brongersmai"
276,1718,1193,115,"Eremiascincus brongersmai"
259,1683,1634,113,"Eremiascincus brongersmai"
277,1746,1183,114,"Eremiascincus brongersmai"
273,1834,983,110,"Eremiascincus brongersmai"
269,1882,1295,110,"Eremiascincus brongersmai"
274,2023,1128,113,"Eremiascincus brongersmai"
274,1979,1196,116,"Eremiascincus brongersmai"
272,1793,1128,116,"Eremiascincus brongersmai"
270,1728,1253,117,"Eremiascincus brongersmai"
265,2037,1020,120,"Eremiascincus brongersmai"
264,1934,1435,112,"Eremiascincus brongersmai"
278,1671,990,118,"Eremiascincus brongersmai"
278,1512,1464,124,"Eremiascincus brongersmai"
275,1830,1441,116,"Eremiascincus brongersmai"
275,2097,1044,112,"Eremiascincus brongersmai"
260,2034,1353,108,"Eremiascincus brongersmai"
267,1878,1192,112,"Eremiascincus brongersmai"
272,1525,1584,122,"Eremiascincus brongersmai"
270,1988,1012,112,"Eremiascincus brongersmai"
274,1770,1574,119,"Eremiascincus brongersmai"
269,1886,1146,115,"Eremiascincus brongersmai"
269,1818,1396,113,"Eremiascincus brongersmai"
273,1539,1318,123,"Eremiascincus brongersmai"
262,1926,1485,112,"Eremiascincus brongersmai"
275,1634,1093,126,"Eremiascincus brongersmai"
266,1726,1266,112,"Eremiascincus brongersmai"
277,1758,993,120,"Eremiascincus brongersmai"
262,1867,1488,113,"Eremiascincus brongersmai"
271,2071,1083,107,"Eremiascincus brongersmai"
261,2061,1349,111,"Eremiascincus brongersmai"
259,1829,1682,113,"Eremiascincus brongersmai"
269,1960,1027,110,"Eremiascincus brongersmai"
269,1920,1156,111,"Eremiascincus brongersmai"
260,2092,1357,109,"Eremiascincus brongersmai"
258,1952,1361,119,"Eremiascincus brongersmai"
265,2119,1158,116,"Eremiascincus brongersmai"
278,1798,1211,117,"Eremiascincus brongersmai"
267,1600,1502,115,"Eremiascincus brongersmai"
274,1546,1557,125,"Eremiascincus brongersmai"
259,2181,1166,108,"Eremiascincus brongersmai"
271,1637,1296,121,"Eremiascincus brongersmai"
273,1692,1434,114,"Eremiascincus brongersmai"
257,2117,1416,118,"Eremiascincus brongersmai"
268,1925,1211,119,"Eremiascincus brongersmai"
267,1630,1475,123,"Eremiascincus brongersmai"
256,2098,1367,114,"Eremiascincus brongersmai"
260,2098,1379,111,"Eremiascincus brongersmai"
262,2052,1379,110,"Eremiascincus brongersmai"
262,1759,1510,116,"Eremiascincus brongersmai"
274,1589,1394,119,"Eremiascincus brongersmai"
263,2034,1262,107,"Eremiascincus brongersmai"
277,1577,1146,124,"Eremiascincus brongersmai"
279,1786,967,114,"Eremiascincus brongersmai"
277,1896,1140,118,"Eremiascincus brongersmai"
275,1735,1172,117,"Eremiascincus brongersmai"
274,1693,1000,121,"Eremiascincus brongersmai"
