"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
266,4764,342,91,"Eremiascincus pallidus"
264,5080,396,91,"Eremiascincus pallidus"
261,5699,325,71,"Eremiascincus pallidus"
259,5380,363,80,"Eremiascincus pallidus"
212,6311,298,43,"Eremiascincus pallidus"
262,6130,317,69,"Eremiascincus pallidus"
265,5067,279,88,"Eremiascincus pallidus"
263,6093,277,66,"Eremiascincus pallidus"
271,4691,335,95,"Eremiascincus pallidus"
253,6031,262,74,"Eremiascincus pallidus"
238,6339,268,51,"Eremiascincus pallidus"
263,5857,269,81,"Eremiascincus pallidus"
227,6250,206,36,"Eremiascincus pallidus"
270,4866,290,89,"Eremiascincus pallidus"
215,5954,242,30,"Eremiascincus pallidus"
238,6357,282,56,"Eremiascincus pallidus"
273,3975,340,97,"Eremiascincus pallidus"
236,5562,203,75,"Eremiascincus pallidus"
227,6185,224,37,"Eremiascincus pallidus"
259,4308,289,83,"Eremiascincus pallidus"
234,5319,377,87,"Eremiascincus pallidus"
258,5826,361,68,"Eremiascincus pallidus"
254,6279,255,58,"Eremiascincus pallidus"
250,6315,275,57,"Eremiascincus pallidus"
266,5941,295,73,"Eremiascincus pallidus"
258,4641,271,85,"Eremiascincus pallidus"
247,5861,249,77,"Eremiascincus pallidus"
237,5436,447,85,"Eremiascincus pallidus"
247,6091,240,75,"Eremiascincus pallidus"
247,5590,244,74,"Eremiascincus pallidus"
260,5685,358,73,"Eremiascincus pallidus"
255,5923,375,66,"Eremiascincus pallidus"
207,6029,241,25,"Eremiascincus pallidus"
276,4660,424,107,"Eremiascincus pallidus"
262,5876,259,79,"Eremiascincus pallidus"
238,6361,246,50,"Eremiascincus pallidus"
262,5753,365,71,"Eremiascincus pallidus"
268,5201,389,88,"Eremiascincus pallidus"
272,5781,308,86,"Eremiascincus pallidus"
224,6275,229,37,"Eremiascincus pallidus"
216,6115,228,31,"Eremiascincus pallidus"
271,3939,322,98,"Eremiascincus pallidus"
258,6102,291,63,"Eremiascincus pallidus"
216,6202,261,29,"Eremiascincus pallidus"
215,6075,230,29,"Eremiascincus pallidus"
260,5649,297,84,"Eremiascincus pallidus"
254,6265,280,58,"Eremiascincus pallidus"
261,6103,312,66,"Eremiascincus pallidus"
258,6036,319,62,"Eremiascincus pallidus"
262,5810,337,71,"Eremiascincus pallidus"
246,6322,237,52,"Eremiascincus pallidus"
264,5686,193,80,"Eremiascincus pallidus"
266,5379,365,86,"Eremiascincus pallidus"
212,5823,237,30,"Eremiascincus pallidus"
257,5635,396,73,"Eremiascincus pallidus"
264,5808,351,75,"Eremiascincus pallidus"
240,5932,231,65,"Eremiascincus pallidus"
265,4677,384,98,"Eremiascincus pallidus"
257,6224,278,65,"Eremiascincus pallidus"
246,6356,267,53,"Eremiascincus pallidus"
256,5508,369,74,"Eremiascincus pallidus"
215,6112,205,29,"Eremiascincus pallidus"
232,6273,229,50,"Eremiascincus pallidus"
267,5047,422,96,"Eremiascincus pallidus"
214,6204,237,31,"Eremiascincus pallidus"
214,5825,241,33,"Eremiascincus pallidus"
261,6097,293,65,"Eremiascincus pallidus"
209,6309,332,46,"Eremiascincus pallidus"
210,6023,227,24,"Eremiascincus pallidus"
251,5932,297,79,"Eremiascincus pallidus"
253,4981,455,98,"Eremiascincus pallidus"
242,5576,302,81,"Eremiascincus pallidus"
265,5668,339,77,"Eremiascincus pallidus"
248,6389,254,63,"Eremiascincus pallidus"
264,6030,302,67,"Eremiascincus pallidus"
245,5844,278,75,"Eremiascincus pallidus"
254,6173,266,73,"Eremiascincus pallidus"
262,6117,302,61,"Eremiascincus pallidus"
243,6392,228,56,"Eremiascincus pallidus"
273,4401,332,99,"Eremiascincus pallidus"
242,6362,233,57,"Eremiascincus pallidus"
200,5982,308,33,"Eremiascincus pallidus"
257,5651,438,80,"Eremiascincus pallidus"
260,5512,230,82,"Eremiascincus pallidus"
274,4619,304,96,"Eremiascincus pallidus"
259,6096,311,66,"Eremiascincus pallidus"
227,6217,213,34,"Eremiascincus pallidus"
235,5339,225,71,"Eremiascincus pallidus"
251,6335,273,55,"Eremiascincus pallidus"
274,3821,325,99,"Eremiascincus pallidus"
201,6170,343,40,"Eremiascincus pallidus"
250,5782,313,81,"Eremiascincus pallidus"
227,6214,222,44,"Eremiascincus pallidus"
222,6087,224,41,"Eremiascincus pallidus"
254,6213,223,68,"Eremiascincus pallidus"
265,5767,361,75,"Eremiascincus pallidus"
270,5993,286,75,"Eremiascincus pallidus"
270,5857,329,77,"Eremiascincus pallidus"
275,4349,466,111,"Eremiascincus pallidus"
257,5590,256,81,"Eremiascincus pallidus"
257,4574,396,95,"Eremiascincus pallidus"
254,6110,244,72,"Eremiascincus pallidus"
267,5155,350,91,"Eremiascincus pallidus"
251,6333,252,61,"Eremiascincus pallidus"
266,5019,329,89,"Eremiascincus pallidus"
248,6183,311,58,"Eremiascincus pallidus"
271,4165,343,102,"Eremiascincus pallidus"
230,6336,266,54,"Eremiascincus pallidus"
253,6336,241,64,"Eremiascincus pallidus"
275,4338,317,98,"Eremiascincus pallidus"
249,5989,266,75,"Eremiascincus pallidus"
249,6256,314,57,"Eremiascincus pallidus"
253,6216,260,71,"Eremiascincus pallidus"
250,6007,343,68,"Eremiascincus pallidus"
247,5872,249,80,"Eremiascincus pallidus"
260,6304,265,74,"Eremiascincus pallidus"
203,6172,299,43,"Eremiascincus pallidus"
264,5398,228,81,"Eremiascincus pallidus"
247,5386,273,79,"Eremiascincus pallidus"
219,6019,234,37,"Eremiascincus pallidus"
248,6199,331,63,"Eremiascincus pallidus"
262,4200,313,91,"Eremiascincus pallidus"
255,6341,239,65,"Eremiascincus pallidus"
239,5177,412,94,"Eremiascincus pallidus"
255,5736,406,75,"Eremiascincus pallidus"
272,4598,318,102,"Eremiascincus pallidus"
213,6308,303,42,"Eremiascincus pallidus"
