"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
138,5041,738,17,"Eulamprus heatwolei"
156,4773,788,22,"Eulamprus heatwolei"
172,5019,661,28,"Eulamprus heatwolei"
176,4169,800,41,"Eulamprus heatwolei"
165,5495,712,20,"Eulamprus heatwolei"
127,4301,963,36,"Eulamprus heatwolei"
174,5631,589,11,"Eulamprus heatwolei"
178,3583,1004,26,"Eulamprus heatwolei"
152,5559,588,17,"Eulamprus heatwolei"
118,5017,1026,24,"Eulamprus heatwolei"
161,5654,564,9,"Eulamprus heatwolei"
157,5686,541,9,"Eulamprus heatwolei"
163,4208,1081,29,"Eulamprus heatwolei"
158,5588,584,21,"Eulamprus heatwolei"
154,3890,1062,18,"Eulamprus heatwolei"
144,5214,665,19,"Eulamprus heatwolei"
137,4273,692,15,"Eulamprus heatwolei"
128,4395,778,29,"Eulamprus heatwolei"
153,2885,572,43,"Eulamprus heatwolei"
162,3781,996,13,"Eulamprus heatwolei"
143,5264,709,8,"Eulamprus heatwolei"
161,4918,600,27,"Eulamprus heatwolei"
138,4254,1023,27,"Eulamprus heatwolei"
144,5180,587,9,"Eulamprus heatwolei"
190,5231,570,23,"Eulamprus heatwolei"
147,5252,598,9,"Eulamprus heatwolei"
143,5201,710,11,"Eulamprus heatwolei"
111,3855,857,15,"Eulamprus heatwolei"
116,4366,1178,36,"Eulamprus heatwolei"
105,4766,1061,30,"Eulamprus heatwolei"
162,5389,591,16,"Eulamprus heatwolei"
174,3887,938,22,"Eulamprus heatwolei"
141,5302,642,14,"Eulamprus heatwolei"
128,4707,811,17,"Eulamprus heatwolei"
149,5396,654,17,"Eulamprus heatwolei"
170,5540,620,15,"Eulamprus heatwolei"
159,5231,659,17,"Eulamprus heatwolei"
122,3622,810,20,"Eulamprus heatwolei"
158,5553,632,12,"Eulamprus heatwolei"
98,4044,744,23,"Eulamprus heatwolei"
141,5097,718,21,"Eulamprus heatwolei"
131,4653,966,21,"Eulamprus heatwolei"
151,4780,689,29,"Eulamprus heatwolei"
170,5013,650,28,"Eulamprus heatwolei"
163,5435,599,14,"Eulamprus heatwolei"
116,4655,974,17,"Eulamprus heatwolei"
163,5400,712,24,"Eulamprus heatwolei"
134,4922,672,15,"Eulamprus heatwolei"
158,5614,596,13,"Eulamprus heatwolei"
150,4237,927,35,"Eulamprus heatwolei"
121,4565,858,10,"Eulamprus heatwolei"
124,3714,1160,18,"Eulamprus heatwolei"
154,5590,536,6,"Eulamprus heatwolei"
152,5556,636,17,"Eulamprus heatwolei"
120,4984,866,19,"Eulamprus heatwolei"
153,4081,915,33,"Eulamprus heatwolei"
151,5348,608,22,"Eulamprus heatwolei"
154,4954,801,33,"Eulamprus heatwolei"
113,4726,867,21,"Eulamprus heatwolei"
163,3394,496,42,"Eulamprus heatwolei"
145,5385,840,29,"Eulamprus heatwolei"
162,5419,548,12,"Eulamprus heatwolei"
185,5304,574,28,"Eulamprus heatwolei"
137,5093,715,9,"Eulamprus heatwolei"
139,3303,921,16,"Eulamprus heatwolei"
148,4872,798,29,"Eulamprus heatwolei"
166,5652,647,16,"Eulamprus heatwolei"
134,4043,1079,20,"Eulamprus heatwolei"
143,5222,572,11,"Eulamprus heatwolei"
164,5319,651,27,"Eulamprus heatwolei"
151,3787,1398,17,"Eulamprus heatwolei"
169,5030,706,38,"Eulamprus heatwolei"
152,5469,709,12,"Eulamprus heatwolei"
134,3953,800,12,"Eulamprus heatwolei"
128,3973,672,16,"Eulamprus heatwolei"
128,3941,972,19,"Eulamprus heatwolei"
147,5584,756,14,"Eulamprus heatwolei"
151,5424,531,10,"Eulamprus heatwolei"
129,3857,765,29,"Eulamprus heatwolei"
122,5176,798,14,"Eulamprus heatwolei"
161,5404,693,11,"Eulamprus heatwolei"
119,4422,960,28,"Eulamprus heatwolei"
178,3705,846,25,"Eulamprus heatwolei"
124,4595,693,12,"Eulamprus heatwolei"
164,5437,625,17,"Eulamprus heatwolei"
171,5468,761,27,"Eulamprus heatwolei"
118,4954,864,16,"Eulamprus heatwolei"
148,5450,723,25,"Eulamprus heatwolei"
148,5434,723,12,"Eulamprus heatwolei"
133,4278,520,13,"Eulamprus heatwolei"
169,3648,1345,23,"Eulamprus heatwolei"
162,5111,682,34,"Eulamprus heatwolei"
165,5412,757,24,"Eulamprus heatwolei"
167,4840,781,39,"Eulamprus heatwolei"
175,5585,568,12,"Eulamprus heatwolei"
127,4992,822,15,"Eulamprus heatwolei"
185,5397,585,28,"Eulamprus heatwolei"
165,4174,834,22,"Eulamprus heatwolei"
174,4756,623,34,"Eulamprus heatwolei"
170,4961,668,32,"Eulamprus heatwolei"
143,5320,812,15,"Eulamprus heatwolei"
159,5168,605,20,"Eulamprus heatwolei"
163,5552,545,14,"Eulamprus heatwolei"
193,5441,567,25,"Eulamprus heatwolei"
131,5075,862,12,"Eulamprus heatwolei"
165,4150,1073,24,"Eulamprus heatwolei"
167,4971,675,28,"Eulamprus heatwolei"
166,4937,752,33,"Eulamprus heatwolei"
89,4232,752,16,"Eulamprus heatwolei"
142,4705,712,32,"Eulamprus heatwolei"
143,4371,694,21,"Eulamprus heatwolei"
140,4686,705,29,"Eulamprus heatwolei"
133,4106,800,11,"Eulamprus heatwolei"
163,5339,616,26,"Eulamprus heatwolei"
132,5324,919,27,"Eulamprus heatwolei"
157,5393,678,13,"Eulamprus heatwolei"
193,5502,588,27,"Eulamprus heatwolei"
193,5525,594,29,"Eulamprus heatwolei"
170,5501,554,12,"Eulamprus heatwolei"
148,5495,782,13,"Eulamprus heatwolei"
149,4333,717,42,"Eulamprus heatwolei"
147,5019,727,18,"Eulamprus heatwolei"
166,4840,619,27,"Eulamprus heatwolei"
139,4430,798,20,"Eulamprus heatwolei"
103,4895,986,17,"Eulamprus heatwolei"
151,3098,927,10,"Eulamprus heatwolei"
179,5188,569,34,"Eulamprus heatwolei"
159,5538,517,16,"Eulamprus heatwolei"
125,4688,747,15,"Eulamprus heatwolei"
164,3269,931,25,"Eulamprus heatwolei"
152,5586,650,17,"Eulamprus heatwolei"
124,4413,977,36,"Eulamprus heatwolei"
117,4541,692,11,"Eulamprus heatwolei"
165,5702,530,8,"Eulamprus heatwolei"
146,3332,906,12,"Eulamprus heatwolei"
155,5545,633,15,"Eulamprus heatwolei"
155,5554,594,12,"Eulamprus heatwolei"
144,5230,750,35,"Eulamprus heatwolei"
135,4901,674,11,"Eulamprus heatwolei"
144,5195,893,28,"Eulamprus heatwolei"
164,5704,500,9,"Eulamprus heatwolei"
142,4461,872,30,"Eulamprus heatwolei"
114,4166,951,17,"Eulamprus heatwolei"
122,4354,1219,29,"Eulamprus heatwolei"
180,3511,1019,23,"Eulamprus heatwolei"
170,3505,1100,21,"Eulamprus heatwolei"
153,5262,608,12,"Eulamprus heatwolei"
135,5104,732,13,"Eulamprus heatwolei"
155,5534,591,17,"Eulamprus heatwolei"
183,5286,626,30,"Eulamprus heatwolei"
87,4073,1241,12,"Eulamprus heatwolei"
158,3330,727,15,"Eulamprus heatwolei"
142,5363,786,11,"Eulamprus heatwolei"
134,3945,721,11,"Eulamprus heatwolei"
106,4868,1154,31,"Eulamprus heatwolei"
177,5675,537,12,"Eulamprus heatwolei"
157,5568,583,20,"Eulamprus heatwolei"
155,5136,661,18,"Eulamprus heatwolei"
165,5717,519,9,"Eulamprus heatwolei"
146,5493,673,25,"Eulamprus heatwolei"
117,4613,594,15,"Eulamprus heatwolei"
167,5053,720,31,"Eulamprus heatwolei"
162,4870,721,27,"Eulamprus heatwolei"
164,4946,592,34,"Eulamprus heatwolei"
134,4219,1001,41,"Eulamprus heatwolei"
191,5234,576,27,"Eulamprus heatwolei"
101,5185,1156,29,"Eulamprus heatwolei"
175,4232,705,28,"Eulamprus heatwolei"
120,4664,805,11,"Eulamprus heatwolei"
150,3967,818,25,"Eulamprus heatwolei"
93,4323,861,22,"Eulamprus heatwolei"
171,5548,560,12,"Eulamprus heatwolei"
128,4998,809,18,"Eulamprus heatwolei"
169,5712,536,10,"Eulamprus heatwolei"
187,5417,622,32,"Eulamprus heatwolei"
140,5233,788,22,"Eulamprus heatwolei"
144,4828,781,30,"Eulamprus heatwolei"
177,5309,663,25,"Eulamprus heatwolei"
159,5664,514,14,"Eulamprus heatwolei"
134,4519,899,33,"Eulamprus heatwolei"
182,3659,1164,25,"Eulamprus heatwolei"
167,4292,694,41,"Eulamprus heatwolei"
166,4910,596,27,"Eulamprus heatwolei"
174,5031,624,29,"Eulamprus heatwolei"
162,5181,565,21,"Eulamprus heatwolei"
166,5753,481,10,"Eulamprus heatwolei"
159,4243,777,42,"Eulamprus heatwolei"
106,4501,889,10,"Eulamprus heatwolei"
159,5071,564,24,"Eulamprus heatwolei"
181,5073,647,22,"Eulamprus heatwolei"
97,4462,938,11,"Eulamprus heatwolei"
118,5130,1089,28,"Eulamprus heatwolei"
158,5541,552,16,"Eulamprus heatwolei"
132,3430,1058,11,"Eulamprus heatwolei"
