"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
98,5100,1147,21,"Eulamprus kosciuskoi"
138,4359,1038,38,"Eulamprus kosciuskoi"
93,4770,789,11,"Eulamprus kosciuskoi"
156,4506,655,23,"Eulamprus kosciuskoi"
45,4736,1303,16,"Eulamprus kosciuskoi"
178,4104,769,31,"Eulamprus kosciuskoi"
131,4529,893,25,"Eulamprus kosciuskoi"
107,4484,726,15,"Eulamprus kosciuskoi"
172,3937,1211,26,"Eulamprus kosciuskoi"
155,4291,993,27,"Eulamprus kosciuskoi"
110,4984,1222,34,"Eulamprus kosciuskoi"
93,4741,732,14,"Eulamprus kosciuskoi"
164,4143,931,33,"Eulamprus kosciuskoi"
121,5268,994,21,"Eulamprus kosciuskoi"
156,4783,761,24,"Eulamprus kosciuskoi"
79,5009,1304,19,"Eulamprus kosciuskoi"
103,5098,955,27,"Eulamprus kosciuskoi"
105,4899,1171,28,"Eulamprus kosciuskoi"
148,4983,609,19,"Eulamprus kosciuskoi"
111,4800,672,15,"Eulamprus kosciuskoi"
131,4645,748,22,"Eulamprus kosciuskoi"
120,4178,654,12,"Eulamprus kosciuskoi"
113,4021,712,16,"Eulamprus kosciuskoi"
162,4137,904,47,"Eulamprus kosciuskoi"
104,4067,824,24,"Eulamprus kosciuskoi"
122,4624,749,15,"Eulamprus kosciuskoi"
120,4220,915,17,"Eulamprus kosciuskoi"
141,5075,807,23,"Eulamprus kosciuskoi"
132,4381,1033,34,"Eulamprus kosciuskoi"
123,4853,827,14,"Eulamprus kosciuskoi"
84,4601,968,16,"Eulamprus kosciuskoi"
139,4910,669,23,"Eulamprus kosciuskoi"
109,4189,865,15,"Eulamprus kosciuskoi"
93,4699,702,13,"Eulamprus kosciuskoi"
121,4539,611,15,"Eulamprus kosciuskoi"
116,4633,658,13,"Eulamprus kosciuskoi"
101,4422,707,14,"Eulamprus kosciuskoi"
140,5101,822,24,"Eulamprus kosciuskoi"
127,4528,756,33,"Eulamprus kosciuskoi"
92,4707,1619,30,"Eulamprus kosciuskoi"
64,4423,1212,16,"Eulamprus kosciuskoi"
168,4226,957,40,"Eulamprus kosciuskoi"
161,4974,609,26,"Eulamprus kosciuskoi"
99,4909,1220,24,"Eulamprus kosciuskoi"
122,4745,661,10,"Eulamprus kosciuskoi"
142,4486,874,32,"Eulamprus kosciuskoi"
110,4894,1190,22,"Eulamprus kosciuskoi"
133,4479,826,19,"Eulamprus kosciuskoi"
116,4295,495,19,"Eulamprus kosciuskoi"
145,4308,628,14,"Eulamprus kosciuskoi"
147,4723,839,32,"Eulamprus kosciuskoi"
132,4359,747,29,"Eulamprus kosciuskoi"
165,3900,1109,27,"Eulamprus kosciuskoi"
179,4138,731,28,"Eulamprus kosciuskoi"
163,3889,1257,33,"Eulamprus kosciuskoi"
127,4352,863,39,"Eulamprus kosciuskoi"
167,4086,1100,50,"Eulamprus kosciuskoi"
129,4981,875,17,"Eulamprus kosciuskoi"
136,5340,782,21,"Eulamprus kosciuskoi"
174,4130,932,37,"Eulamprus kosciuskoi"
94,4066,1063,12,"Eulamprus kosciuskoi"
101,4685,1033,24,"Eulamprus kosciuskoi"
136,4625,847,28,"Eulamprus kosciuskoi"
