"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
260,1920,1044,113,"Furina tristis"
242,679,2051,33,"Furina tristis"
254,703,2667,34,"Furina tristis"
266,681,2746,37,"Furina tristis"
258,643,2346,46,"Furina tristis"
254,762,3565,28,"Furina tristis"
258,760,1905,51,"Furina tristis"
252,1711,1202,116,"Furina tristis"
262,837,1629,58,"Furina tristis"
259,1707,1246,99,"Furina tristis"
261,1054,1870,98,"Furina tristis"
265,1095,1594,112,"Furina tristis"
259,1326,1340,104,"Furina tristis"
262,1876,1133,113,"Furina tristis"
256,764,2876,39,"Furina tristis"
246,1356,1420,112,"Furina tristis"
260,645,2066,57,"Furina tristis"
243,623,1957,50,"Furina tristis"
258,1072,1639,103,"Furina tristis"
262,1226,1513,96,"Furina tristis"
246,2073,1018,115,"Furina tristis"
257,1776,1576,97,"Furina tristis"
261,1061,1736,99,"Furina tristis"
260,663,1972,58,"Furina tristis"
262,764,1665,62,"Furina tristis"
257,769,2782,38,"Furina tristis"
258,613,2298,50,"Furina tristis"
238,2035,1381,107,"Furina tristis"
265,1040,1713,104,"Furina tristis"
267,742,2659,44,"Furina tristis"
255,753,2443,40,"Furina tristis"
260,1798,1148,110,"Furina tristis"
257,1898,1129,108,"Furina tristis"
259,778,1857,56,"Furina tristis"
254,742,2869,32,"Furina tristis"
254,648,2697,35,"Furina tristis"
260,700,1864,58,"Furina tristis"
263,848,1902,57,"Furina tristis"
255,745,2307,39,"Furina tristis"
262,847,1590,58,"Furina tristis"
253,748,3176,33,"Furina tristis"
229,1526,1468,114,"Furina tristis"
260,1676,1431,114,"Furina tristis"
257,566,3292,32,"Furina tristis"
259,1690,1593,93,"Furina tristis"
256,545,3204,41,"Furina tristis"
265,1072,1552,111,"Furina tristis"
262,706,1776,64,"Furina tristis"
263,731,1682,69,"Furina tristis"
259,570,2612,44,"Furina tristis"
261,809,1721,54,"Furina tristis"
262,1149,1486,108,"Furina tristis"
262,1760,1167,113,"Furina tristis"
261,1330,1437,116,"Furina tristis"
256,1895,1153,107,"Furina tristis"
261,1935,1138,113,"Furina tristis"
249,1344,1831,96,"Furina tristis"
258,1719,1068,105,"Furina tristis"
258,1958,1009,112,"Furina tristis"
254,568,1810,60,"Furina tristis"
254,1636,1374,110,"Furina tristis"
263,776,1574,64,"Furina tristis"
261,773,1784,64,"Furina tristis"
258,1873,1221,113,"Furina tristis"
249,1592,1401,116,"Furina tristis"
264,841,1544,68,"Furina tristis"
249,1927,1299,103,"Furina tristis"
259,798,1817,50,"Furina tristis"
256,616,2579,48,"Furina tristis"
258,1343,1792,93,"Furina tristis"
260,1182,1701,114,"Furina tristis"
262,740,1665,65,"Furina tristis"
262,845,1661,59,"Furina tristis"
264,823,1553,69,"Furina tristis"
262,696,1839,61,"Furina tristis"
251,2081,973,114,"Furina tristis"
257,783,2222,47,"Furina tristis"
255,670,2506,39,"Furina tristis"
255,615,2737,39,"Furina tristis"
260,723,1861,59,"Furina tristis"
258,613,2453,46,"Furina tristis"
262,771,1641,62,"Furina tristis"
228,651,2429,35,"Furina tristis"
252,742,1759,36,"Furina tristis"
260,671,1975,58,"Furina tristis"
256,554,3174,39,"Furina tristis"
261,791,1704,62,"Furina tristis"
258,1576,1534,113,"Furina tristis"
263,1045,1731,106,"Furina tristis"
259,697,1932,58,"Furina tristis"
259,744,1841,56,"Furina tristis"
251,1852,1734,98,"Furina tristis"
263,805,1617,66,"Furina tristis"
257,1899,1418,100,"Furina tristis"
261,1099,1661,95,"Furina tristis"
258,1106,1748,101,"Furina tristis"
257,726,2218,43,"Furina tristis"
262,1654,1390,114,"Furina tristis"
259,1059,1727,98,"Furina tristis"
267,675,2693,47,"Furina tristis"
257,811,1933,52,"Furina tristis"
255,1552,1232,114,"Furina tristis"
233,626,2163,36,"Furina tristis"
229,2048,1238,112,"Furina tristis"
261,696,1885,62,"Furina tristis"
262,1055,1514,104,"Furina tristis"
240,1939,1620,96,"Furina tristis"
263,583,1465,54,"Furina tristis"
245,681,2089,28,"Furina tristis"
254,755,3436,30,"Furina tristis"
260,770,1734,60,"Furina tristis"
261,1097,1636,95,"Furina tristis"
262,1846,1132,114,"Furina tristis"
254,1554,1216,116,"Furina tristis"
260,1042,1695,104,"Furina tristis"
262,1041,1744,108,"Furina tristis"
244,1344,1682,104,"Furina tristis"
250,1840,1216,106,"Furina tristis"
263,856,1968,57,"Furina tristis"
265,1175,1538,115,"Furina tristis"
255,1515,1226,115,"Furina tristis"
257,2037,975,114,"Furina tristis"
262,694,1848,65,"Furina tristis"
254,732,3218,24,"Furina tristis"
256,764,2433,43,"Furina tristis"
261,1189,1545,100,"Furina tristis"
253,725,3410,24,"Furina tristis"
262,568,1675,51,"Furina tristis"
251,1503,1686,111,"Furina tristis"
248,1916,2827,88,"Furina tristis"
266,660,2884,43,"Furina tristis"
268,720,2768,43,"Furina tristis"
260,1162,1508,102,"Furina tristis"
256,770,2650,41,"Furina tristis"
256,757,2329,42,"Furina tristis"
243,2026,1780,94,"Furina tristis"
261,764,1709,64,"Furina tristis"
262,759,1668,64,"Furina tristis"
257,766,2195,46,"Furina tristis"
267,723,2655,45,"Furina tristis"
260,1410,1490,100,"Furina tristis"
242,1479,1621,114,"Furina tristis"
255,1958,1001,113,"Furina tristis"
259,1079,1776,96,"Furina tristis"
260,832,1675,55,"Furina tristis"
255,735,2319,41,"Furina tristis"
267,699,2607,45,"Furina tristis"
257,599,2647,46,"Furina tristis"
