"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
203,5636,239,24,"Gehyra purpurascens"
202,6118,266,36,"Gehyra purpurascens"
229,6295,205,57,"Gehyra purpurascens"
219,5956,314,63,"Gehyra purpurascens"
211,6385,208,38,"Gehyra purpurascens"
211,6295,360,48,"Gehyra purpurascens"
262,5263,419,90,"Gehyra purpurascens"
259,4836,494,95,"Gehyra purpurascens"
220,6306,285,43,"Gehyra purpurascens"
197,5709,170,20,"Gehyra purpurascens"
219,6305,273,44,"Gehyra purpurascens"
252,5819,329,76,"Gehyra purpurascens"
217,6309,291,47,"Gehyra purpurascens"
254,5542,469,81,"Gehyra purpurascens"
188,5094,194,13,"Gehyra purpurascens"
238,6414,222,57,"Gehyra purpurascens"
234,6204,309,54,"Gehyra purpurascens"
264,5619,379,80,"Gehyra purpurascens"
202,6274,263,38,"Gehyra purpurascens"
270,4454,416,111,"Gehyra purpurascens"
195,5697,182,16,"Gehyra purpurascens"
212,6105,263,28,"Gehyra purpurascens"
256,5203,406,86,"Gehyra purpurascens"
265,5182,423,87,"Gehyra purpurascens"
249,6184,339,65,"Gehyra purpurascens"
249,5375,392,84,"Gehyra purpurascens"
218,5906,216,36,"Gehyra purpurascens"
272,4903,425,91,"Gehyra purpurascens"
192,5678,280,22,"Gehyra purpurascens"
204,5406,208,29,"Gehyra purpurascens"
206,5732,245,34,"Gehyra purpurascens"
225,6247,269,61,"Gehyra purpurascens"
260,6154,286,65,"Gehyra purpurascens"
213,6115,210,41,"Gehyra purpurascens"
214,6268,253,38,"Gehyra purpurascens"
262,4604,398,107,"Gehyra purpurascens"
245,6153,356,61,"Gehyra purpurascens"
268,5697,333,82,"Gehyra purpurascens"
204,5714,236,42,"Gehyra purpurascens"
243,6365,252,53,"Gehyra purpurascens"
221,6384,237,36,"Gehyra purpurascens"
203,6268,329,46,"Gehyra purpurascens"
264,4995,372,93,"Gehyra purpurascens"
247,6235,316,59,"Gehyra purpurascens"
226,6420,239,42,"Gehyra purpurascens"
244,5660,358,79,"Gehyra purpurascens"
266,5722,333,71,"Gehyra purpurascens"
267,5410,351,95,"Gehyra purpurascens"
212,6292,180,34,"Gehyra purpurascens"
189,4885,191,13,"Gehyra purpurascens"
269,4501,509,98,"Gehyra purpurascens"
222,6402,285,39,"Gehyra purpurascens"
219,6418,173,35,"Gehyra purpurascens"
236,6329,202,47,"Gehyra purpurascens"
244,6413,218,60,"Gehyra purpurascens"
194,5825,262,31,"Gehyra purpurascens"
214,6332,237,38,"Gehyra purpurascens"
255,5291,350,99,"Gehyra purpurascens"
200,5476,207,30,"Gehyra purpurascens"
203,6252,270,40,"Gehyra purpurascens"
267,6048,299,77,"Gehyra purpurascens"
222,6447,262,41,"Gehyra purpurascens"
220,6392,158,34,"Gehyra purpurascens"
249,6152,294,61,"Gehyra purpurascens"
227,6181,202,34,"Gehyra purpurascens"
227,6260,228,60,"Gehyra purpurascens"
194,5625,218,12,"Gehyra purpurascens"
253,6315,259,60,"Gehyra purpurascens"
244,6383,237,48,"Gehyra purpurascens"
235,6585,180,37,"Gehyra purpurascens"
209,6329,312,45,"Gehyra purpurascens"
230,5762,290,65,"Gehyra purpurascens"
258,6207,261,59,"Gehyra purpurascens"
204,5496,230,32,"Gehyra purpurascens"
216,6357,167,43,"Gehyra purpurascens"
244,6382,233,51,"Gehyra purpurascens"
272,4749,448,97,"Gehyra purpurascens"
196,5359,205,29,"Gehyra purpurascens"
276,4510,438,110,"Gehyra purpurascens"
264,5220,359,89,"Gehyra purpurascens"
257,5952,337,63,"Gehyra purpurascens"
197,5732,260,24,"Gehyra purpurascens"
265,6203,262,71,"Gehyra purpurascens"
203,5953,151,24,"Gehyra purpurascens"
251,6239,253,56,"Gehyra purpurascens"
234,6586,185,41,"Gehyra purpurascens"
207,6229,135,29,"Gehyra purpurascens"
189,4998,181,11,"Gehyra purpurascens"
275,4485,466,112,"Gehyra purpurascens"
266,4609,414,106,"Gehyra purpurascens"
248,5631,349,81,"Gehyra purpurascens"
234,6357,211,58,"Gehyra purpurascens"
240,6431,223,59,"Gehyra purpurascens"
263,5647,379,78,"Gehyra purpurascens"
260,5213,395,96,"Gehyra purpurascens"
264,5134,422,86,"Gehyra purpurascens"
257,5755,352,82,"Gehyra purpurascens"
264,4918,425,93,"Gehyra purpurascens"
217,6159,316,49,"Gehyra purpurascens"
259,5902,342,66,"Gehyra purpurascens"
228,6243,236,40,"Gehyra purpurascens"
239,6402,205,59,"Gehyra purpurascens"
194,5509,177,11,"Gehyra purpurascens"
205,5583,231,26,"Gehyra purpurascens"
263,4590,406,102,"Gehyra purpurascens"
201,5888,212,26,"Gehyra purpurascens"
196,5336,225,19,"Gehyra purpurascens"
218,6133,224,41,"Gehyra purpurascens"
219,6346,138,32,"Gehyra purpurascens"
267,5619,310,81,"Gehyra purpurascens"
205,6094,172,34,"Gehyra purpurascens"
251,6329,273,59,"Gehyra purpurascens"
193,5366,227,24,"Gehyra purpurascens"
219,6415,286,47,"Gehyra purpurascens"
222,5944,305,62,"Gehyra purpurascens"
201,6140,292,35,"Gehyra purpurascens"
263,6041,305,70,"Gehyra purpurascens"
192,5504,213,13,"Gehyra purpurascens"
237,5957,329,61,"Gehyra purpurascens"
228,6247,295,51,"Gehyra purpurascens"
272,5839,311,83,"Gehyra purpurascens"
214,6371,330,47,"Gehyra purpurascens"
193,4822,203,22,"Gehyra purpurascens"
216,6095,217,53,"Gehyra purpurascens"
251,5353,419,84,"Gehyra purpurascens"
245,5627,365,79,"Gehyra purpurascens"
216,6070,198,41,"Gehyra purpurascens"
224,6395,179,26,"Gehyra purpurascens"
188,5026,197,13,"Gehyra purpurascens"
259,5145,505,97,"Gehyra purpurascens"
190,5343,253,26,"Gehyra purpurascens"
204,5962,169,26,"Gehyra purpurascens"
252,5257,450,88,"Gehyra purpurascens"
231,6582,148,38,"Gehyra purpurascens"
199,5994,245,28,"Gehyra purpurascens"
228,6251,226,39,"Gehyra purpurascens"
231,5710,366,70,"Gehyra purpurascens"
