"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
276,1527,1332,118,"Gehyra spheniscus"
261,2489,892,119,"Gehyra spheniscus"
256,2563,864,108,"Gehyra spheniscus"
263,2307,1001,116,"Gehyra spheniscus"
264,1631,1746,121,"Gehyra spheniscus"
277,1778,1338,115,"Gehyra spheniscus"
265,1739,1473,113,"Gehyra spheniscus"
268,1609,1428,113,"Gehyra spheniscus"
275,1821,1467,124,"Gehyra spheniscus"
265,2805,984,117,"Gehyra spheniscus"
259,2344,1104,115,"Gehyra spheniscus"
276,2837,697,115,"Gehyra spheniscus"
261,2658,886,111,"Gehyra spheniscus"
258,2292,1006,114,"Gehyra spheniscus"
256,2478,850,111,"Gehyra spheniscus"
279,2950,695,117,"Gehyra spheniscus"
278,2903,698,116,"Gehyra spheniscus"
255,2292,1054,113,"Gehyra spheniscus"
268,1928,1123,122,"Gehyra spheniscus"
257,2149,1216,113,"Gehyra spheniscus"
264,2751,912,115,"Gehyra spheniscus"
260,1778,1749,116,"Gehyra spheniscus"
265,2061,1141,122,"Gehyra spheniscus"
273,2088,1221,119,"Gehyra spheniscus"
256,2357,920,109,"Gehyra spheniscus"
256,2357,1092,116,"Gehyra spheniscus"
254,2305,1100,117,"Gehyra spheniscus"
274,1745,1364,116,"Gehyra spheniscus"
278,1506,1275,120,"Gehyra spheniscus"
262,2676,864,117,"Gehyra spheniscus"
261,2204,1139,122,"Gehyra spheniscus"
255,2205,1173,117,"Gehyra spheniscus"
268,2109,1061,111,"Gehyra spheniscus"
254,2142,1342,114,"Gehyra spheniscus"
258,2408,897,113,"Gehyra spheniscus"
278,1489,1425,124,"Gehyra spheniscus"
253,2466,1011,115,"Gehyra spheniscus"
276,1902,1065,118,"Gehyra spheniscus"
256,2025,1187,114,"Gehyra spheniscus"
272,1690,1538,118,"Gehyra spheniscus"
276,2927,742,115,"Gehyra spheniscus"
271,2145,1060,114,"Gehyra spheniscus"
250,2113,1345,114,"Gehyra spheniscus"
278,1617,1220,115,"Gehyra spheniscus"
276,1628,1470,121,"Gehyra spheniscus"
278,1479,1072,121,"Gehyra spheniscus"
269,2815,783,115,"Gehyra spheniscus"
253,2277,1052,112,"Gehyra spheniscus"
259,2049,1147,120,"Gehyra spheniscus"
277,1670,1183,115,"Gehyra spheniscus"
262,2600,828,114,"Gehyra spheniscus"
251,2104,1450,113,"Gehyra spheniscus"
266,2648,759,111,"Gehyra spheniscus"
256,2521,815,111,"Gehyra spheniscus"
273,1599,1245,112,"Gehyra spheniscus"
278,1731,1182,111,"Gehyra spheniscus"
257,1859,1511,116,"Gehyra spheniscus"
250,2247,1169,116,"Gehyra spheniscus"
275,1783,1465,124,"Gehyra spheniscus"
278,1685,1372,121,"Gehyra spheniscus"
262,2103,1098,119,"Gehyra spheniscus"
261,2113,1328,112,"Gehyra spheniscus"
270,1558,1608,123,"Gehyra spheniscus"
269,1784,1507,116,"Gehyra spheniscus"
260,1965,1466,109,"Gehyra spheniscus"
273,1533,1492,122,"Gehyra spheniscus"
250,2378,1164,111,"Gehyra spheniscus"
250,2158,1327,114,"Gehyra spheniscus"
248,2100,1473,115,"Gehyra spheniscus"
254,2391,1000,114,"Gehyra spheniscus"
262,1777,1499,112,"Gehyra spheniscus"
255,2143,1395,111,"Gehyra spheniscus"
256,2086,1383,114,"Gehyra spheniscus"
264,1848,1386,110,"Gehyra spheniscus"
254,2002,1581,113,"Gehyra spheniscus"
262,2029,1472,117,"Gehyra spheniscus"
260,2587,844,109,"Gehyra spheniscus"
270,2776,695,114,"Gehyra spheniscus"
259,2704,911,113,"Gehyra spheniscus"
254,2189,1136,112,"Gehyra spheniscus"
270,1789,1115,110,"Gehyra spheniscus"
279,1691,1178,119,"Gehyra spheniscus"
260,1872,1495,109,"Gehyra spheniscus"
274,1959,1127,113,"Gehyra spheniscus"
272,2815,664,114,"Gehyra spheniscus"
259,2247,1009,109,"Gehyra spheniscus"
267,1807,1250,112,"Gehyra spheniscus"
261,2002,1100,119,"Gehyra spheniscus"
259,2522,826,115,"Gehyra spheniscus"
274,1634,1478,123,"Gehyra spheniscus"
257,2678,987,114,"Gehyra spheniscus"
266,2795,865,116,"Gehyra spheniscus"
277,2871,715,113,"Gehyra spheniscus"
256,2358,1182,116,"Gehyra spheniscus"
253,2452,1071,116,"Gehyra spheniscus"
257,2403,1122,116,"Gehyra spheniscus"
265,2722,762,110,"Gehyra spheniscus"
270,1682,1565,118,"Gehyra spheniscus"
263,1958,1294,119,"Gehyra spheniscus"
267,2618,770,111,"Gehyra spheniscus"
264,1649,1356,110,"Gehyra spheniscus"
280,2963,691,116,"Gehyra spheniscus"
275,1622,1210,121,"Gehyra spheniscus"
269,1745,1438,122,"Gehyra spheniscus"
