"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
261,1744,1811,118,"Gehyra xenopus"
267,2073,1295,109,"Gehyra xenopus"
275,1596,1622,122,"Gehyra xenopus"
259,2137,1312,111,"Gehyra xenopus"
265,2085,1388,120,"Gehyra xenopus"
255,1884,1574,121,"Gehyra xenopus"
268,1884,1128,109,"Gehyra xenopus"
260,2111,1242,107,"Gehyra xenopus"
264,1937,1199,109,"Gehyra xenopus"
269,1811,1487,126,"Gehyra xenopus"
253,2015,1592,112,"Gehyra xenopus"
262,2201,1006,108,"Gehyra xenopus"
271,2120,918,111,"Gehyra xenopus"
258,2201,1199,112,"Gehyra xenopus"
257,2096,1410,110,"Gehyra xenopus"
278,1917,897,106,"Gehyra xenopus"
265,2240,1094,117,"Gehyra xenopus"
268,1609,1358,116,"Gehyra xenopus"
275,1433,1582,123,"Gehyra xenopus"
259,1966,1424,118,"Gehyra xenopus"
271,1813,1083,111,"Gehyra xenopus"
275,1919,1074,113,"Gehyra xenopus"
275,1655,1073,114,"Gehyra xenopus"
268,2248,1072,113,"Gehyra xenopus"
265,2103,1170,111,"Gehyra xenopus"
266,1789,1530,114,"Gehyra xenopus"
271,1501,1076,124,"Gehyra xenopus"
261,2189,1119,108,"Gehyra xenopus"
269,1971,1073,110,"Gehyra xenopus"
264,2272,1143,112,"Gehyra xenopus"
271,2073,1119,112,"Gehyra xenopus"
270,1641,1645,125,"Gehyra xenopus"
266,2324,979,109,"Gehyra xenopus"
258,1913,1421,107,"Gehyra xenopus"
273,2237,928,108,"Gehyra xenopus"
266,1749,1446,113,"Gehyra xenopus"
269,1835,1115,109,"Gehyra xenopus"
270,1651,1253,118,"Gehyra xenopus"
263,1969,1192,116,"Gehyra xenopus"
273,1811,999,112,"Gehyra xenopus"
273,1709,1248,115,"Gehyra xenopus"
275,2158,834,110,"Gehyra xenopus"
260,1982,1424,109,"Gehyra xenopus"
263,1977,1302,110,"Gehyra xenopus"
269,1751,1584,117,"Gehyra xenopus"
273,2024,988,111,"Gehyra xenopus"
264,2318,1004,110,"Gehyra xenopus"
271,1829,1239,122,"Gehyra xenopus"
272,1980,1032,106,"Gehyra xenopus"
261,1961,1495,111,"Gehyra xenopus"
269,1634,1713,121,"Gehyra xenopus"
276,1633,1219,122,"Gehyra xenopus"
260,2239,1313,110,"Gehyra xenopus"
266,1579,1583,120,"Gehyra xenopus"
262,1981,1416,111,"Gehyra xenopus"
271,1989,1014,113,"Gehyra xenopus"
271,1837,1448,118,"Gehyra xenopus"
270,2086,1074,111,"Gehyra xenopus"
264,2293,1123,114,"Gehyra xenopus"
263,2319,1027,108,"Gehyra xenopus"
256,2237,1054,109,"Gehyra xenopus"
268,2054,982,108,"Gehyra xenopus"
252,2165,1377,111,"Gehyra xenopus"
277,1464,1261,122,"Gehyra xenopus"
279,1693,1096,117,"Gehyra xenopus"
276,1564,1344,117,"Gehyra xenopus"
272,1907,1088,114,"Gehyra xenopus"
277,2042,846,109,"Gehyra xenopus"
258,2248,1138,109,"Gehyra xenopus"
278,1769,1149,121,"Gehyra xenopus"
275,2042,1006,118,"Gehyra xenopus"
274,1871,908,106,"Gehyra xenopus"
271,1801,1101,112,"Gehyra xenopus"
260,1863,1570,110,"Gehyra xenopus"
264,2080,1384,114,"Gehyra xenopus"
273,2147,1092,109,"Gehyra xenopus"
272,1974,1146,115,"Gehyra xenopus"
255,2226,1033,109,"Gehyra xenopus"
260,2065,1354,115,"Gehyra xenopus"
254,2094,1421,113,"Gehyra xenopus"
273,1503,1638,122,"Gehyra xenopus"
253,2166,1197,110,"Gehyra xenopus"
261,1865,1273,113,"Gehyra xenopus"
261,2209,1079,111,"Gehyra xenopus"
267,2117,1051,111,"Gehyra xenopus"
262,2319,1061,109,"Gehyra xenopus"
276,1978,921,113,"Gehyra xenopus"
274,1810,1105,116,"Gehyra xenopus"
272,2244,932,109,"Gehyra xenopus"
265,1773,1524,114,"Gehyra xenopus"
264,2192,1042,113,"Gehyra xenopus"
264,2137,1154,112,"Gehyra xenopus"
270,1986,958,109,"Gehyra xenopus"
269,2281,920,110,"Gehyra xenopus"
268,1659,1437,121,"Gehyra xenopus"
249,1896,1652,115,"Gehyra xenopus"
264,1904,1379,112,"Gehyra xenopus"
