"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
237,2279,779,111,"Glaphyromorphus fuscicaudis"
225,2529,968,107,"Glaphyromorphus fuscicaudis"
237,2271,943,104,"Glaphyromorphus fuscicaudis"
221,2447,964,106,"Glaphyromorphus fuscicaudis"
245,2060,2849,85,"Glaphyromorphus fuscicaudis"
222,2190,1695,95,"Glaphyromorphus fuscicaudis"
226,2377,1039,96,"Glaphyromorphus fuscicaudis"
250,2111,2427,85,"Glaphyromorphus fuscicaudis"
242,1967,2022,92,"Glaphyromorphus fuscicaudis"
235,2211,920,103,"Glaphyromorphus fuscicaudis"
222,2316,951,108,"Glaphyromorphus fuscicaudis"
227,2357,1064,98,"Glaphyromorphus fuscicaudis"
219,2116,1322,108,"Glaphyromorphus fuscicaudis"
224,2532,1015,108,"Glaphyromorphus fuscicaudis"
234,2137,1015,109,"Glaphyromorphus fuscicaudis"
198,2083,1770,97,"Glaphyromorphus fuscicaudis"
226,2174,1559,94,"Glaphyromorphus fuscicaudis"
229,2028,1327,110,"Glaphyromorphus fuscicaudis"
238,2411,703,112,"Glaphyromorphus fuscicaudis"
247,1943,2069,90,"Glaphyromorphus fuscicaudis"
215,1853,2234,95,"Glaphyromorphus fuscicaudis"
235,2374,888,112,"Glaphyromorphus fuscicaudis"
243,2054,1314,98,"Glaphyromorphus fuscicaudis"
244,1939,1305,101,"Glaphyromorphus fuscicaudis"
254,2086,2374,84,"Glaphyromorphus fuscicaudis"
209,1990,2583,89,"Glaphyromorphus fuscicaudis"
251,1973,1242,104,"Glaphyromorphus fuscicaudis"
231,2329,1112,103,"Glaphyromorphus fuscicaudis"
235,1941,1403,109,"Glaphyromorphus fuscicaudis"
243,2001,2024,87,"Glaphyromorphus fuscicaudis"
258,1849,1764,97,"Glaphyromorphus fuscicaudis"
250,1978,1279,103,"Glaphyromorphus fuscicaudis"
232,2119,918,108,"Glaphyromorphus fuscicaudis"
198,2033,1801,93,"Glaphyromorphus fuscicaudis"
221,2452,909,107,"Glaphyromorphus fuscicaudis"
222,2273,954,107,"Glaphyromorphus fuscicaudis"
251,1939,1325,102,"Glaphyromorphus fuscicaudis"
216,2405,1118,107,"Glaphyromorphus fuscicaudis"
225,2498,850,109,"Glaphyromorphus fuscicaudis"
228,2316,1178,98,"Glaphyromorphus fuscicaudis"
249,1917,1441,98,"Glaphyromorphus fuscicaudis"
225,2401,1246,103,"Glaphyromorphus fuscicaudis"
247,1894,1729,99,"Glaphyromorphus fuscicaudis"
246,1916,3101,86,"Glaphyromorphus fuscicaudis"
242,2364,756,112,"Glaphyromorphus fuscicaudis"
230,2129,2166,91,"Glaphyromorphus fuscicaudis"
222,2186,890,109,"Glaphyromorphus fuscicaudis"
242,2407,706,113,"Glaphyromorphus fuscicaudis"
242,2016,2373,88,"Glaphyromorphus fuscicaudis"
209,2006,1045,106,"Glaphyromorphus fuscicaudis"
