"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
247,2422,760,113,"Glaphyromorphus pumilus"
227,2221,1092,108,"Glaphyromorphus pumilus"
259,1924,1147,113,"Glaphyromorphus pumilus"
249,2014,1287,106,"Glaphyromorphus pumilus"
258,1707,1416,112,"Glaphyromorphus pumilus"
245,2191,2045,92,"Glaphyromorphus pumilus"
254,1673,1236,116,"Glaphyromorphus pumilus"
251,1939,1894,89,"Glaphyromorphus pumilus"
230,1787,2434,94,"Glaphyromorphus pumilus"
258,1608,1186,116,"Glaphyromorphus pumilus"
247,1599,1310,117,"Glaphyromorphus pumilus"
258,1557,1341,116,"Glaphyromorphus pumilus"
257,2088,1005,117,"Glaphyromorphus pumilus"
262,1169,1470,113,"Glaphyromorphus pumilus"
250,1754,1676,99,"Glaphyromorphus pumilus"
253,1568,1587,111,"Glaphyromorphus pumilus"
244,2114,1008,113,"Glaphyromorphus pumilus"
253,1595,1156,119,"Glaphyromorphus pumilus"
255,1855,1081,107,"Glaphyromorphus pumilus"
242,2414,761,113,"Glaphyromorphus pumilus"
260,1933,1177,119,"Glaphyromorphus pumilus"
254,2028,1106,119,"Glaphyromorphus pumilus"
253,1709,1198,114,"Glaphyromorphus pumilus"
254,2042,2331,84,"Glaphyromorphus pumilus"
253,1859,1569,101,"Glaphyromorphus pumilus"
250,1726,1297,116,"Glaphyromorphus pumilus"
228,2363,1036,104,"Glaphyromorphus pumilus"
262,1634,1407,115,"Glaphyromorphus pumilus"
263,1177,1518,115,"Glaphyromorphus pumilus"
252,2091,1968,86,"Glaphyromorphus pumilus"
227,1891,2680,85,"Glaphyromorphus pumilus"
259,1489,1389,115,"Glaphyromorphus pumilus"
262,1107,1710,95,"Glaphyromorphus pumilus"
255,1623,1176,116,"Glaphyromorphus pumilus"
256,1892,1210,107,"Glaphyromorphus pumilus"
258,1979,1070,119,"Glaphyromorphus pumilus"
219,2243,1096,106,"Glaphyromorphus pumilus"
264,1049,1897,98,"Glaphyromorphus pumilus"
226,2409,1158,100,"Glaphyromorphus pumilus"
262,1756,1176,113,"Glaphyromorphus pumilus"
258,1946,1023,113,"Glaphyromorphus pumilus"
260,1504,1358,109,"Glaphyromorphus pumilus"
260,1047,1766,112,"Glaphyromorphus pumilus"
232,2185,766,110,"Glaphyromorphus pumilus"
247,1254,2053,95,"Glaphyromorphus pumilus"
258,2053,948,116,"Glaphyromorphus pumilus"
251,1289,1733,101,"Glaphyromorphus pumilus"
256,1649,1245,116,"Glaphyromorphus pumilus"
256,1242,1600,99,"Glaphyromorphus pumilus"
252,1688,1234,118,"Glaphyromorphus pumilus"
249,1844,1225,104,"Glaphyromorphus pumilus"
231,2077,1307,110,"Glaphyromorphus pumilus"
230,2268,1217,96,"Glaphyromorphus pumilus"
261,1931,1068,114,"Glaphyromorphus pumilus"
259,1862,1140,118,"Glaphyromorphus pumilus"
229,2218,1942,93,"Glaphyromorphus pumilus"
261,1148,1638,100,"Glaphyromorphus pumilus"
257,1609,1212,117,"Glaphyromorphus pumilus"
229,2320,794,108,"Glaphyromorphus pumilus"
255,1865,1110,118,"Glaphyromorphus pumilus"
259,1072,1624,102,"Glaphyromorphus pumilus"
256,1817,1131,120,"Glaphyromorphus pumilus"
260,1305,1481,114,"Glaphyromorphus pumilus"
263,1191,1714,115,"Glaphyromorphus pumilus"
258,1643,1362,115,"Glaphyromorphus pumilus"
250,1755,1309,114,"Glaphyromorphus pumilus"
260,2007,1017,117,"Glaphyromorphus pumilus"
261,1983,1064,116,"Glaphyromorphus pumilus"
261,1650,1364,115,"Glaphyromorphus pumilus"
231,1522,1351,118,"Glaphyromorphus pumilus"
203,2019,1663,99,"Glaphyromorphus pumilus"
249,1726,1193,104,"Glaphyromorphus pumilus"
263,1201,1658,112,"Glaphyromorphus pumilus"
256,1835,1133,107,"Glaphyromorphus pumilus"
260,1280,1794,90,"Glaphyromorphus pumilus"
261,1185,1546,102,"Glaphyromorphus pumilus"
250,1719,1281,115,"Glaphyromorphus pumilus"
248,2190,1028,113,"Glaphyromorphus pumilus"
250,1922,1569,100,"Glaphyromorphus pumilus"
261,1737,1149,111,"Glaphyromorphus pumilus"
259,1584,1402,104,"Glaphyromorphus pumilus"
235,1941,1609,105,"Glaphyromorphus pumilus"
246,2436,861,114,"Glaphyromorphus pumilus"
258,1837,1170,119,"Glaphyromorphus pumilus"
261,1205,1542,101,"Glaphyromorphus pumilus"
257,1813,1115,107,"Glaphyromorphus pumilus"
255,1855,1100,117,"Glaphyromorphus pumilus"
256,1391,1285,111,"Glaphyromorphus pumilus"
259,1455,1568,112,"Glaphyromorphus pumilus"
255,1849,1060,116,"Glaphyromorphus pumilus"
258,1711,1305,114,"Glaphyromorphus pumilus"
260,1671,1340,114,"Glaphyromorphus pumilus"
251,1686,1290,115,"Glaphyromorphus pumilus"
239,2058,1587,100,"Glaphyromorphus pumilus"
250,1645,1305,116,"Glaphyromorphus pumilus"
259,1370,1354,111,"Glaphyromorphus pumilus"
261,1979,1039,117,"Glaphyromorphus pumilus"
257,1928,1017,118,"Glaphyromorphus pumilus"
257,1361,1306,110,"Glaphyromorphus pumilus"
242,1480,1674,111,"Glaphyromorphus pumilus"
259,1729,1312,112,"Glaphyromorphus pumilus"
262,1677,1357,113,"Glaphyromorphus pumilus"
248,2429,815,113,"Glaphyromorphus pumilus"
255,1326,1385,109,"Glaphyromorphus pumilus"
260,2025,1024,116,"Glaphyromorphus pumilus"
255,1874,1468,98,"Glaphyromorphus pumilus"
267,1071,1569,112,"Glaphyromorphus pumilus"
244,1979,959,114,"Glaphyromorphus pumilus"
255,1371,1531,113,"Glaphyromorphus pumilus"
263,1244,1578,115,"Glaphyromorphus pumilus"
263,1147,1608,96,"Glaphyromorphus pumilus"
261,1170,1487,103,"Glaphyromorphus pumilus"
260,1665,1142,110,"Glaphyromorphus pumilus"
250,1652,1559,112,"Glaphyromorphus pumilus"
254,1788,1112,122,"Glaphyromorphus pumilus"
236,2045,1212,104,"Glaphyromorphus pumilus"
237,2015,1581,102,"Glaphyromorphus pumilus"
242,1500,1424,117,"Glaphyromorphus pumilus"
259,1071,1625,107,"Glaphyromorphus pumilus"
238,2124,2430,88,"Glaphyromorphus pumilus"
216,2061,942,105,"Glaphyromorphus pumilus"
260,1911,1123,118,"Glaphyromorphus pumilus"
251,1754,1375,104,"Glaphyromorphus pumilus"
