"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
183,3870,1078,43,"Harrisoniascincus zia"
166,4093,864,37,"Harrisoniascincus zia"
170,4056,689,38,"Harrisoniascincus zia"
143,4024,1032,39,"Harrisoniascincus zia"
154,4200,829,39,"Harrisoniascincus zia"
169,4380,652,31,"Harrisoniascincus zia"
180,3989,1218,54,"Harrisoniascincus zia"
112,3899,1287,39,"Harrisoniascincus zia"
185,3860,1118,46,"Harrisoniascincus zia"
172,4107,936,39,"Harrisoniascincus zia"
178,4410,644,37,"Harrisoniascincus zia"
150,4064,1215,48,"Harrisoniascincus zia"
141,3770,1728,46,"Harrisoniascincus zia"
138,4117,1131,43,"Harrisoniascincus zia"
162,4189,942,48,"Harrisoniascincus zia"
191,3912,950,39,"Harrisoniascincus zia"
164,4053,785,35,"Harrisoniascincus zia"
188,3981,954,45,"Harrisoniascincus zia"
134,4417,707,32,"Harrisoniascincus zia"
156,4070,1265,46,"Harrisoniascincus zia"
200,4091,704,41,"Harrisoniascincus zia"
116,4133,1017,39,"Harrisoniascincus zia"
147,4123,1026,40,"Harrisoniascincus zia"
114,4287,912,39,"Harrisoniascincus zia"
189,3819,1152,47,"Harrisoniascincus zia"
110,3960,1281,32,"Harrisoniascincus zia"
162,4069,1164,50,"Harrisoniascincus zia"
166,4108,925,42,"Harrisoniascincus zia"
138,4158,941,47,"Harrisoniascincus zia"
180,3797,1266,49,"Harrisoniascincus zia"
127,3761,1717,51,"Harrisoniascincus zia"
185,3865,1021,49,"Harrisoniascincus zia"
136,4173,992,36,"Harrisoniascincus zia"
180,4317,617,35,"Harrisoniascincus zia"
160,3819,1439,48,"Harrisoniascincus zia"
164,4070,826,40,"Harrisoniascincus zia"
131,4225,1077,41,"Harrisoniascincus zia"
174,4103,768,41,"Harrisoniascincus zia"
175,4187,818,41,"Harrisoniascincus zia"
167,4395,709,27,"Harrisoniascincus zia"
165,3830,1239,41,"Harrisoniascincus zia"
178,4217,658,39,"Harrisoniascincus zia"
168,4186,779,36,"Harrisoniascincus zia"
174,4124,668,40,"Harrisoniascincus zia"
178,4180,700,37,"Harrisoniascincus zia"
138,3970,1136,42,"Harrisoniascincus zia"
196,3657,1029,46,"Harrisoniascincus zia"
180,4327,741,39,"Harrisoniascincus zia"
110,3836,1627,46,"Harrisoniascincus zia"
117,3793,1711,46,"Harrisoniascincus zia"
161,4166,934,41,"Harrisoniascincus zia"
192,3820,995,43,"Harrisoniascincus zia"
122,4244,899,40,"Harrisoniascincus zia"
153,3918,1154,43,"Harrisoniascincus zia"
182,4148,903,48,"Harrisoniascincus zia"
188,3984,1022,46,"Harrisoniascincus zia"
180,4179,663,37,"Harrisoniascincus zia"
118,4183,976,32,"Harrisoniascincus zia"
183,4149,799,45,"Harrisoniascincus zia"
182,3773,1246,45,"Harrisoniascincus zia"
117,4338,807,29,"Harrisoniascincus zia"
132,4054,1120,44,"Harrisoniascincus zia"
144,3819,1309,43,"Harrisoniascincus zia"
168,4291,803,42,"Harrisoniascincus zia"
175,4192,787,40,"Harrisoniascincus zia"
136,4204,901,46,"Harrisoniascincus zia"
192,3938,920,47,"Harrisoniascincus zia"
167,4110,1165,49,"Harrisoniascincus zia"
136,4169,1088,41,"Harrisoniascincus zia"
139,4292,866,43,"Harrisoniascincus zia"
187,4126,841,44,"Harrisoniascincus zia"
186,3755,1176,48,"Harrisoniascincus zia"
123,4283,889,41,"Harrisoniascincus zia"
123,4133,969,32,"Harrisoniascincus zia"
123,3945,1290,31,"Harrisoniascincus zia"
139,4157,964,40,"Harrisoniascincus zia"
145,4323,727,43,"Harrisoniascincus zia"
176,4214,694,35,"Harrisoniascincus zia"
136,3892,1348,38,"Harrisoniascincus zia"
163,3952,1125,51,"Harrisoniascincus zia"
186,3893,1034,37,"Harrisoniascincus zia"
127,4244,847,44,"Harrisoniascincus zia"
163,4121,1087,47,"Harrisoniascincus zia"
177,3807,1328,48,"Harrisoniascincus zia"
149,4063,1290,41,"Harrisoniascincus zia"
192,3779,1039,43,"Harrisoniascincus zia"
146,4213,745,35,"Harrisoniascincus zia"
128,4025,1112,35,"Harrisoniascincus zia"
161,3826,1167,40,"Harrisoniascincus zia"
172,4165,833,37,"Harrisoniascincus zia"
172,4086,951,41,"Harrisoniascincus zia"
118,4307,827,35,"Harrisoniascincus zia"
170,4144,824,38,"Harrisoniascincus zia"
168,4136,784,38,"Harrisoniascincus zia"
184,3913,1000,38,"Harrisoniascincus zia"
172,3996,863,40,"Harrisoniascincus zia"
184,3719,1309,47,"Harrisoniascincus zia"
172,4002,867,39,"Harrisoniascincus zia"
150,4243,848,27,"Harrisoniascincus zia"
149,3706,1585,33,"Harrisoniascincus zia"
162,4079,1072,39,"Harrisoniascincus zia"
172,4115,689,35,"Harrisoniascincus zia"
186,4090,819,45,"Harrisoniascincus zia"
179,4231,694,39,"Harrisoniascincus zia"
137,4184,1014,48,"Harrisoniascincus zia"
154,4244,719,27,"Harrisoniascincus zia"
152,4264,769,27,"Harrisoniascincus zia"
162,4350,827,32,"Harrisoniascincus zia"
133,4205,742,39,"Harrisoniascincus zia"
185,3817,1180,53,"Harrisoniascincus zia"
131,4285,950,41,"Harrisoniascincus zia"
153,3716,1559,41,"Harrisoniascincus zia"
171,4216,838,43,"Harrisoniascincus zia"
188,3866,1143,40,"Harrisoniascincus zia"
135,4308,932,35,"Harrisoniascincus zia"
161,4150,1040,47,"Harrisoniascincus zia"
127,4223,964,45,"Harrisoniascincus zia"
154,4075,1268,42,"Harrisoniascincus zia"
122,4299,928,35,"Harrisoniascincus zia"
174,3999,1193,52,"Harrisoniascincus zia"
179,4254,658,41,"Harrisoniascincus zia"
137,4044,1322,47,"Harrisoniascincus zia"
178,4199,672,35,"Harrisoniascincus zia"
151,3980,1066,48,"Harrisoniascincus zia"
114,3935,1253,29,"Harrisoniascincus zia"
183,3710,1204,45,"Harrisoniascincus zia"
133,4431,691,31,"Harrisoniascincus zia"
173,3996,1132,48,"Harrisoniascincus zia"
187,3890,1081,51,"Harrisoniascincus zia"
174,4075,1182,52,"Harrisoniascincus zia"
