"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
167,5863,452,17,"Hemiergis decresiensis"
216,6415,202,30,"Hemiergis decresiensis"
184,5578,225,12,"Hemiergis decresiensis"
206,6133,178,35,"Hemiergis decresiensis"
147,5357,353,13,"Hemiergis decresiensis"
189,6109,321,12,"Hemiergis decresiensis"
166,3755,915,25,"Hemiergis decresiensis"
194,6129,258,15,"Hemiergis decresiensis"
169,5335,253,13,"Hemiergis decresiensis"
89,4894,1288,26,"Hemiergis decresiensis"
164,5079,327,20,"Hemiergis decresiensis"
150,4394,444,33,"Hemiergis decresiensis"
212,6303,170,25,"Hemiergis decresiensis"
171,5863,442,10,"Hemiergis decresiensis"
181,5600,228,18,"Hemiergis decresiensis"
108,4663,962,12,"Hemiergis decresiensis"
201,5964,452,27,"Hemiergis decresiensis"
176,5293,237,19,"Hemiergis decresiensis"
200,6189,241,17,"Hemiergis decresiensis"
175,5545,295,12,"Hemiergis decresiensis"
167,5356,605,25,"Hemiergis decresiensis"
212,6344,286,31,"Hemiergis decresiensis"
152,4822,417,28,"Hemiergis decresiensis"
207,6121,184,28,"Hemiergis decresiensis"
209,6303,312,24,"Hemiergis decresiensis"
197,5909,446,22,"Hemiergis decresiensis"
162,5530,565,11,"Hemiergis decresiensis"
186,5980,295,10,"Hemiergis decresiensis"
207,6331,250,19,"Hemiergis decresiensis"
170,4309,863,32,"Hemiergis decresiensis"
160,4833,335,24,"Hemiergis decresiensis"
163,3651,1201,23,"Hemiergis decresiensis"
130,4880,698,19,"Hemiergis decresiensis"
178,5358,271,15,"Hemiergis decresiensis"
189,5870,224,17,"Hemiergis decresiensis"
175,5515,301,13,"Hemiergis decresiensis"
137,4605,578,24,"Hemiergis decresiensis"
168,4221,348,35,"Hemiergis decresiensis"
168,4890,293,24,"Hemiergis decresiensis"
158,5462,555,10,"Hemiergis decresiensis"
153,2071,652,61,"Hemiergis decresiensis"
128,3796,681,20,"Hemiergis decresiensis"
107,4743,1466,32,"Hemiergis decresiensis"
181,5665,211,14,"Hemiergis decresiensis"
178,5641,526,15,"Hemiergis decresiensis"
163,5102,310,28,"Hemiergis decresiensis"
120,4499,842,22,"Hemiergis decresiensis"
123,3705,743,18,"Hemiergis decresiensis"
171,5546,317,12,"Hemiergis decresiensis"
118,4189,907,33,"Hemiergis decresiensis"
