"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
173,3981,318,18,"Hemiergis initialis"
153,2641,929,52,"Hemiergis initialis"
181,3978,212,14,"Hemiergis initialis"
153,2947,565,40,"Hemiergis initialis"
153,2912,784,64,"Hemiergis initialis"
182,3679,254,27,"Hemiergis initialis"
177,3537,240,22,"Hemiergis initialis"
189,3986,796,86,"Hemiergis initialis"
149,3283,436,54,"Hemiergis initialis"
180,3849,210,14,"Hemiergis initialis"
178,4058,270,43,"Hemiergis initialis"
153,2996,1086,76,"Hemiergis initialis"
176,4279,311,14,"Hemiergis initialis"
180,5167,313,47,"Hemiergis initialis"
178,3682,226,15,"Hemiergis initialis"
164,2966,453,37,"Hemiergis initialis"
164,4184,331,30,"Hemiergis initialis"
166,2815,411,23,"Hemiergis initialis"
153,2615,1136,63,"Hemiergis initialis"
167,4702,360,61,"Hemiergis initialis"
156,4021,538,64,"Hemiergis initialis"
179,4021,193,16,"Hemiergis initialis"
169,2847,906,88,"Hemiergis initialis"
153,4022,473,61,"Hemiergis initialis"
155,4112,417,59,"Hemiergis initialis"
173,4782,260,31,"Hemiergis initialis"
186,4173,198,16,"Hemiergis initialis"
171,3931,341,18,"Hemiergis initialis"
185,3983,199,16,"Hemiergis initialis"
179,2914,315,31,"Hemiergis initialis"
178,2782,292,28,"Hemiergis initialis"
167,3830,1139,76,"Hemiergis initialis"
173,4989,343,63,"Hemiergis initialis"
186,3773,852,84,"Hemiergis initialis"
165,4551,492,70,"Hemiergis initialis"
169,3356,425,32,"Hemiergis initialis"
179,4106,187,16,"Hemiergis initialis"
150,3831,517,59,"Hemiergis initialis"
179,3841,207,19,"Hemiergis initialis"
167,3696,1320,85,"Hemiergis initialis"
157,4187,485,64,"Hemiergis initialis"
176,4830,254,32,"Hemiergis initialis"
165,4214,288,18,"Hemiergis initialis"
180,3162,257,20,"Hemiergis initialis"
179,3909,204,17,"Hemiergis initialis"
181,5364,344,59,"Hemiergis initialis"
165,4290,709,81,"Hemiergis initialis"
173,4085,311,22,"Hemiergis initialis"
148,3596,534,53,"Hemiergis initialis"
171,4540,666,79,"Hemiergis initialis"
171,3154,475,32,"Hemiergis initialis"
161,4354,373,40,"Hemiergis initialis"
180,3897,198,17,"Hemiergis initialis"
156,4066,520,62,"Hemiergis initialis"
185,4154,221,16,"Hemiergis initialis"
174,4169,314,27,"Hemiergis initialis"
150,3419,431,54,"Hemiergis initialis"
185,4993,406,68,"Hemiergis initialis"
177,3391,233,20,"Hemiergis initialis"
147,3876,536,59,"Hemiergis initialis"
180,4569,280,40,"Hemiergis initialis"
172,4555,271,23,"Hemiergis initialis"
185,4084,204,17,"Hemiergis initialis"
174,4758,309,31,"Hemiergis initialis"
183,4854,537,78,"Hemiergis initialis"
175,3103,310,36,"Hemiergis initialis"
169,4520,577,83,"Hemiergis initialis"
178,3968,200,19,"Hemiergis initialis"
157,2660,1200,70,"Hemiergis initialis"
178,3747,209,18,"Hemiergis initialis"
163,2868,548,38,"Hemiergis initialis"
153,4031,494,56,"Hemiergis initialis"
171,4060,314,12,"Hemiergis initialis"
158,4421,374,50,"Hemiergis initialis"
173,4906,417,68,"Hemiergis initialis"
177,3664,219,18,"Hemiergis initialis"
178,4098,258,20,"Hemiergis initialis"
174,3990,282,22,"Hemiergis initialis"
181,3446,261,28,"Hemiergis initialis"
171,3299,303,20,"Hemiergis initialis"
173,4936,393,70,"Hemiergis initialis"
180,4097,240,19,"Hemiergis initialis"
177,4769,273,28,"Hemiergis initialis"
169,4482,275,18,"Hemiergis initialis"
177,3317,270,25,"Hemiergis initialis"
175,3732,1198,87,"Hemiergis initialis"
164,4741,451,73,"Hemiergis initialis"
167,3534,401,20,"Hemiergis initialis"
168,3418,369,14,"Hemiergis initialis"
155,2671,1167,71,"Hemiergis initialis"
177,3326,270,26,"Hemiergis initialis"
150,3316,628,57,"Hemiergis initialis"
169,4247,349,14,"Hemiergis initialis"
166,4167,317,26,"Hemiergis initialis"
160,2506,1163,70,"Hemiergis initialis"
177,3434,253,24,"Hemiergis initialis"
148,2910,653,55,"Hemiergis initialis"
169,3664,379,21,"Hemiergis initialis"
172,4722,308,35,"Hemiergis initialis"
167,3333,461,31,"Hemiergis initialis"
150,2924,738,51,"Hemiergis initialis"
163,3834,367,22,"Hemiergis initialis"
164,4489,465,69,"Hemiergis initialis"
154,3098,456,31,"Hemiergis initialis"
177,3364,303,47,"Hemiergis initialis"
166,2859,518,25,"Hemiergis initialis"
151,3204,799,69,"Hemiergis initialis"
152,3602,398,39,"Hemiergis initialis"
165,4633,361,59,"Hemiergis initialis"
157,4203,514,60,"Hemiergis initialis"
169,3410,408,35,"Hemiergis initialis"
161,3106,899,72,"Hemiergis initialis"
160,3940,780,73,"Hemiergis initialis"
152,3640,658,68,"Hemiergis initialis"
167,4690,379,65,"Hemiergis initialis"
154,3710,671,66,"Hemiergis initialis"
179,3558,230,18,"Hemiergis initialis"
152,3070,565,43,"Hemiergis initialis"
150,3687,412,41,"Hemiergis initialis"
171,3169,307,23,"Hemiergis initialis"
165,3289,448,21,"Hemiergis initialis"
183,3675,989,84,"Hemiergis initialis"
175,3658,280,15,"Hemiergis initialis"
172,4771,283,20,"Hemiergis initialis"
168,3203,410,21,"Hemiergis initialis"
165,3364,407,17,"Hemiergis initialis"
169,3802,365,25,"Hemiergis initialis"
157,2511,747,45,"Hemiergis initialis"
169,3531,406,29,"Hemiergis initialis"
181,5234,305,48,"Hemiergis initialis"
187,4835,474,78,"Hemiergis initialis"
161,4402,615,67,"Hemiergis initialis"
170,4802,325,49,"Hemiergis initialis"
177,3747,215,18,"Hemiergis initialis"
184,4948,415,70,"Hemiergis initialis"
159,4050,685,78,"Hemiergis initialis"
177,3824,306,45,"Hemiergis initialis"
148,3346,573,54,"Hemiergis initialis"
170,4427,319,31,"Hemiergis initialis"
159,3675,407,26,"Hemiergis initialis"
164,4421,358,39,"Hemiergis initialis"
164,2626,985,79,"Hemiergis initialis"
175,3209,261,24,"Hemiergis initialis"
164,4067,982,83,"Hemiergis initialis"
175,2859,316,43,"Hemiergis initialis"
159,3906,1007,77,"Hemiergis initialis"
152,3271,433,47,"Hemiergis initialis"
172,2954,561,37,"Hemiergis initialis"
170,3196,497,31,"Hemiergis initialis"
185,5119,369,72,"Hemiergis initialis"
181,3921,272,38,"Hemiergis initialis"
162,4524,330,55,"Hemiergis initialis"
180,3876,217,13,"Hemiergis initialis"
180,3890,208,15,"Hemiergis initialis"
170,4657,535,73,"Hemiergis initialis"
176,3329,271,34,"Hemiergis initialis"
173,2960,293,24,"Hemiergis initialis"
181,3872,216,17,"Hemiergis initialis"
182,3254,282,26,"Hemiergis initialis"
158,2370,1101,59,"Hemiergis initialis"
157,3780,399,25,"Hemiergis initialis"
182,4657,252,29,"Hemiergis initialis"
180,4643,285,38,"Hemiergis initialis"
176,3007,274,22,"Hemiergis initialis"
157,4133,423,58,"Hemiergis initialis"
166,4466,341,34,"Hemiergis initialis"
157,2380,1314,61,"Hemiergis initialis"
173,3339,290,19,"Hemiergis initialis"
166,4609,517,74,"Hemiergis initialis"
179,5224,323,43,"Hemiergis initialis"
