"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
230,3997,719,57,"Lampropholis delicata"
97,4669,549,20,"Lampropholis delicata"
216,3472,1023,50,"Lampropholis delicata"
231,3551,659,76,"Lampropholis delicata"
105,4567,1003,15,"Lampropholis delicata"
151,3039,1074,18,"Lampropholis delicata"
205,3604,1254,48,"Lampropholis delicata"
218,3976,570,60,"Lampropholis delicata"
203,3760,848,41,"Lampropholis delicata"
166,3016,414,56,"Lampropholis delicata"
245,3036,872,93,"Lampropholis delicata"
217,2555,3107,66,"Lampropholis delicata"
212,3904,716,50,"Lampropholis delicata"
188,4694,569,32,"Lampropholis delicata"
122,4740,625,10,"Lampropholis delicata"
163,4217,338,35,"Lampropholis delicata"
216,4720,608,46,"Lampropholis delicata"
196,3675,1100,46,"Lampropholis delicata"
175,4616,559,27,"Lampropholis delicata"
160,3213,909,24,"Lampropholis delicata"
106,3754,1398,18,"Lampropholis delicata"
148,3800,1085,17,"Lampropholis delicata"
222,3209,967,48,"Lampropholis delicata"
98,4124,757,16,"Lampropholis delicata"
132,2814,909,30,"Lampropholis delicata"
130,3988,1157,28,"Lampropholis delicata"
93,4389,700,13,"Lampropholis delicata"
141,4161,523,35,"Lampropholis delicata"
237,3546,810,79,"Lampropholis delicata"
136,4559,749,33,"Lampropholis delicata"
95,4461,1276,23,"Lampropholis delicata"
225,3264,730,85,"Lampropholis delicata"
183,4080,887,45,"Lampropholis delicata"
147,4674,831,31,"Lampropholis delicata"
201,4640,641,41,"Lampropholis delicata"
168,4038,942,22,"Lampropholis delicata"
245,2894,2004,90,"Lampropholis delicata"
194,4321,605,39,"Lampropholis delicata"
245,3035,914,94,"Lampropholis delicata"
152,4752,378,26,"Lampropholis delicata"
223,4130,741,58,"Lampropholis delicata"
212,2797,966,96,"Lampropholis delicata"
203,3624,684,50,"Lampropholis delicata"
230,3420,557,82,"Lampropholis delicata"
203,3917,626,42,"Lampropholis delicata"
159,3910,1045,37,"Lampropholis delicata"
152,3651,1546,25,"Lampropholis delicata"
128,4451,690,16,"Lampropholis delicata"
152,3855,1392,41,"Lampropholis delicata"
196,3342,1406,38,"Lampropholis delicata"
190,3940,869,46,"Lampropholis delicata"
222,3480,850,60,"Lampropholis delicata"
229,3372,769,86,"Lampropholis delicata"
175,4636,609,30,"Lampropholis delicata"
231,4124,635,56,"Lampropholis delicata"
202,3633,1159,42,"Lampropholis delicata"
225,3223,1003,59,"Lampropholis delicata"
142,3404,863,15,"Lampropholis delicata"
224,4310,643,47,"Lampropholis delicata"
132,4092,1443,36,"Lampropholis delicata"
182,4073,748,40,"Lampropholis delicata"
180,4314,684,30,"Lampropholis delicata"
169,4993,654,35,"Lampropholis delicata"
188,3311,1355,38,"Lampropholis delicata"
107,4764,602,15,"Lampropholis delicata"
208,4129,685,41,"Lampropholis delicata"
141,4388,668,14,"Lampropholis delicata"
134,2979,783,30,"Lampropholis delicata"
120,2718,1035,16,"Lampropholis delicata"
163,3155,419,55,"Lampropholis delicata"
231,3503,647,87,"Lampropholis delicata"
222,3564,951,74,"Lampropholis delicata"
229,4023,619,53,"Lampropholis delicata"
158,3819,365,24,"Lampropholis delicata"
193,4379,630,41,"Lampropholis delicata"
218,3346,998,48,"Lampropholis delicata"
141,2948,747,48,"Lampropholis delicata"
230,3616,714,63,"Lampropholis delicata"
155,4873,761,26,"Lampropholis delicata"
191,4585,710,42,"Lampropholis delicata"
102,4081,789,12,"Lampropholis delicata"
103,4117,1017,18,"Lampropholis delicata"
130,3440,1139,16,"Lampropholis delicata"
207,2461,3470,62,"Lampropholis delicata"
149,3933,485,40,"Lampropholis delicata"
163,4082,842,32,"Lampropholis delicata"
198,3716,909,47,"Lampropholis delicata"
129,2665,675,10,"Lampropholis delicata"
114,4017,1125,13,"Lampropholis delicata"
163,4154,987,24,"Lampropholis delicata"
179,4456,694,41,"Lampropholis delicata"
221,4505,743,52,"Lampropholis delicata"
227,3613,599,73,"Lampropholis delicata"
207,3863,685,46,"Lampropholis delicata"
228,4123,621,50,"Lampropholis delicata"
147,4136,518,37,"Lampropholis delicata"
165,3899,1200,49,"Lampropholis delicata"
223,3928,632,51,"Lampropholis delicata"
225,4275,694,59,"Lampropholis delicata"
230,4006,728,54,"Lampropholis delicata"
192,3774,881,41,"Lampropholis delicata"
243,2952,1451,92,"Lampropholis delicata"
229,4179,655,48,"Lampropholis delicata"
150,4194,822,48,"Lampropholis delicata"
122,3160,626,17,"Lampropholis delicata"
226,3404,798,57,"Lampropholis delicata"
223,3824,591,53,"Lampropholis delicata"
227,3194,985,95,"Lampropholis delicata"
191,3305,1330,38,"Lampropholis delicata"
225,3350,703,92,"Lampropholis delicata"
130,4519,694,11,"Lampropholis delicata"
231,3249,923,60,"Lampropholis delicata"
128,3754,1026,13,"Lampropholis delicata"
229,3591,815,67,"Lampropholis delicata"
239,3860,646,73,"Lampropholis delicata"
190,3283,1396,37,"Lampropholis delicata"
209,3057,895,100,"Lampropholis delicata"
217,3581,897,50,"Lampropholis delicata"
109,4368,962,17,"Lampropholis delicata"
131,4379,877,38,"Lampropholis delicata"
153,3349,816,11,"Lampropholis delicata"
127,4457,919,29,"Lampropholis delicata"
247,3188,934,94,"Lampropholis delicata"
184,4469,657,38,"Lampropholis delicata"
122,3381,1202,10,"Lampropholis delicata"
116,4504,1050,26,"Lampropholis delicata"
221,3275,943,57,"Lampropholis delicata"
225,3565,711,74,"Lampropholis delicata"
235,3765,588,84,"Lampropholis delicata"
238,3736,740,71,"Lampropholis delicata"
166,3494,319,33,"Lampropholis delicata"
215,4690,672,47,"Lampropholis delicata"
235,3647,682,74,"Lampropholis delicata"
115,3001,658,12,"Lampropholis delicata"
161,4967,732,31,"Lampropholis delicata"
230,3864,572,56,"Lampropholis delicata"
157,4034,340,28,"Lampropholis delicata"
174,4783,542,29,"Lampropholis delicata"
160,4902,717,34,"Lampropholis delicata"
89,3043,1185,28,"Lampropholis delicata"
201,3749,1155,52,"Lampropholis delicata"
145,4176,928,40,"Lampropholis delicata"
222,2609,3006,72,"Lampropholis delicata"
126,4512,853,23,"Lampropholis delicata"
190,3343,1364,39,"Lampropholis delicata"
198,3380,1209,35,"Lampropholis delicata"
121,4379,1133,35,"Lampropholis delicata"
218,3330,1095,51,"Lampropholis delicata"
131,4075,1118,35,"Lampropholis delicata"
96,3165,930,26,"Lampropholis delicata"
188,4054,1039,51,"Lampropholis delicata"
223,4186,610,59,"Lampropholis delicata"
185,4324,627,43,"Lampropholis delicata"
238,3346,995,87,"Lampropholis delicata"
143,3572,683,10,"Lampropholis delicata"
166,4231,269,24,"Lampropholis delicata"
146,3749,588,40,"Lampropholis delicata"
215,2676,923,102,"Lampropholis delicata"
106,4029,865,12,"Lampropholis delicata"
110,4091,1384,37,"Lampropholis delicata"
147,3851,1350,45,"Lampropholis delicata"
155,3936,1258,52,"Lampropholis delicata"
244,2770,2219,74,"Lampropholis delicata"
167,4086,1173,54,"Lampropholis delicata"
247,3201,861,94,"Lampropholis delicata"
153,3893,382,42,"Lampropholis delicata"
146,3558,585,43,"Lampropholis delicata"
149,4914,795,26,"Lampropholis delicata"
138,4448,789,22,"Lampropholis delicata"
147,4744,737,35,"Lampropholis delicata"
177,3758,1112,47,"Lampropholis delicata"
147,4710,464,31,"Lampropholis delicata"
225,3619,705,63,"Lampropholis delicata"
213,4515,669,55,"Lampropholis delicata"
130,4471,833,30,"Lampropholis delicata"
123,3548,938,10,"Lampropholis delicata"
221,3322,1142,82,"Lampropholis delicata"
221,2511,935,100,"Lampropholis delicata"
176,4018,277,26,"Lampropholis delicata"
228,3718,563,66,"Lampropholis delicata"
102,4647,1082,23,"Lampropholis delicata"
120,4729,709,12,"Lampropholis delicata"
128,4546,763,33,"Lampropholis delicata"
215,3002,842,98,"Lampropholis delicata"
230,3326,849,59,"Lampropholis delicata"
152,4161,893,43,"Lampropholis delicata"
150,4679,402,29,"Lampropholis delicata"
178,4248,247,17,"Lampropholis delicata"
147,3906,531,40,"Lampropholis delicata"
230,3808,662,63,"Lampropholis delicata"
201,4158,649,39,"Lampropholis delicata"
220,3671,689,54,"Lampropholis delicata"
146,2923,1137,15,"Lampropholis delicata"
241,3738,663,75,"Lampropholis delicata"
150,4664,405,28,"Lampropholis delicata"
222,3860,615,52,"Lampropholis delicata"
224,4186,571,57,"Lampropholis delicata"
146,4450,441,28,"Lampropholis delicata"
203,3918,856,52,"Lampropholis delicata"
125,4534,644,14,"Lampropholis delicata"
209,3803,636,47,"Lampropholis delicata"
142,2639,764,43,"Lampropholis delicata"
154,4155,856,33,"Lampropholis delicata"
165,4168,1218,30,"Lampropholis delicata"
236,3984,567,64,"Lampropholis delicata"
230,4333,557,53,"Lampropholis delicata"
137,3099,695,41,"Lampropholis delicata"
222,4096,714,61,"Lampropholis delicata"
241,2716,2211,68,"Lampropholis delicata"
199,4637,638,44,"Lampropholis delicata"
156,4900,727,30,"Lampropholis delicata"
167,3249,448,61,"Lampropholis delicata"
239,3798,627,73,"Lampropholis delicata"
228,3231,951,58,"Lampropholis delicata"
171,3878,1075,51,"Lampropholis delicata"
246,2956,862,92,"Lampropholis delicata"
231,3670,725,76,"Lampropholis delicata"
207,4221,697,41,"Lampropholis delicata"
203,4634,690,45,"Lampropholis delicata"
130,4294,957,36,"Lampropholis delicata"
237,2610,3625,72,"Lampropholis delicata"
114,4625,531,18,"Lampropholis delicata"
126,4427,1134,17,"Lampropholis delicata"
205,4220,674,45,"Lampropholis delicata"
215,3277,1323,60,"Lampropholis delicata"
165,3774,1261,31,"Lampropholis delicata"
168,3577,395,49,"Lampropholis delicata"
150,4095,1250,48,"Lampropholis delicata"
134,3863,676,12,"Lampropholis delicata"
222,3190,1089,50,"Lampropholis delicata"
215,3193,1234,86,"Lampropholis delicata"
207,3293,1245,38,"Lampropholis delicata"
196,4786,619,40,"Lampropholis delicata"
194,4662,601,38,"Lampropholis delicata"
128,3787,661,36,"Lampropholis delicata"
213,3376,1511,39,"Lampropholis delicata"
99,3099,631,15,"Lampropholis delicata"
173,4018,263,17,"Lampropholis delicata"
150,4558,674,18,"Lampropholis delicata"
135,4258,926,36,"Lampropholis delicata"
196,4408,606,43,"Lampropholis delicata"
127,2854,603,10,"Lampropholis delicata"
148,4419,858,29,"Lampropholis delicata"
107,4408,1049,20,"Lampropholis delicata"
141,3829,619,40,"Lampropholis delicata"
203,4722,612,41,"Lampropholis delicata"
235,3760,547,72,"Lampropholis delicata"
143,2541,730,46,"Lampropholis delicata"
223,3286,732,97,"Lampropholis delicata"
126,3585,1120,31,"Lampropholis delicata"
176,4235,723,42,"Lampropholis delicata"
137,3295,735,32,"Lampropholis delicata"
209,4557,797,50,"Lampropholis delicata"
151,3458,941,24,"Lampropholis delicata"
123,4658,963,32,"Lampropholis delicata"
158,4037,967,38,"Lampropholis delicata"
188,3657,1000,42,"Lampropholis delicata"
227,3338,1340,79,"Lampropholis delicata"
188,4415,626,36,"Lampropholis delicata"
203,2792,1414,81,"Lampropholis delicata"
91,3027,1248,29,"Lampropholis delicata"
112,4356,745,16,"Lampropholis delicata"
107,4224,677,14,"Lampropholis delicata"
193,3790,937,42,"Lampropholis delicata"
211,3921,748,55,"Lampropholis delicata"
227,4280,675,50,"Lampropholis delicata"
142,3627,1024,27,"Lampropholis delicata"
139,3994,1335,43,"Lampropholis delicata"
235,3102,1506,97,"Lampropholis delicata"
198,4191,675,43,"Lampropholis delicata"
233,3810,554,66,"Lampropholis delicata"
126,2770,653,12,"Lampropholis delicata"
142,4231,1123,34,"Lampropholis delicata"
138,3585,762,21,"Lampropholis delicata"
