"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
263,865,1534,62,"Lepidodactylus pumilus"
258,805,1875,50,"Lepidodactylus pumilus"
262,852,1606,59,"Lepidodactylus pumilus"
258,799,2009,54,"Lepidodactylus pumilus"
262,852,1888,57,"Lepidodactylus pumilus"
262,865,1556,62,"Lepidodactylus pumilus"
262,867,1580,61,"Lepidodactylus pumilus"
261,820,2157,51,"Lepidodactylus pumilus"
260,819,1699,52,"Lepidodactylus pumilus"
261,831,1665,54,"Lepidodactylus pumilus"
258,784,1879,48,"Lepidodactylus pumilus"
264,860,1608,65,"Lepidodactylus pumilus"
258,799,1905,52,"Lepidodactylus pumilus"
260,829,1763,54,"Lepidodactylus pumilus"
257,773,1987,48,"Lepidodactylus pumilus"
257,805,1906,52,"Lepidodactylus pumilus"
263,843,1977,55,"Lepidodactylus pumilus"
261,819,1727,52,"Lepidodactylus pumilus"
267,1042,1613,109,"Lepidodactylus pumilus"
262,829,2034,53,"Lepidodactylus pumilus"
259,822,1754,53,"Lepidodactylus pumilus"
265,1049,1712,101,"Lepidodactylus pumilus"
262,849,1539,59,"Lepidodactylus pumilus"
263,843,1944,55,"Lepidodactylus pumilus"
257,797,1876,48,"Lepidodactylus pumilus"
258,795,1864,49,"Lepidodactylus pumilus"
262,862,1800,60,"Lepidodactylus pumilus"
260,812,1804,49,"Lepidodactylus pumilus"
266,1040,1795,107,"Lepidodactylus pumilus"
264,882,1490,65,"Lepidodactylus pumilus"
257,783,1919,47,"Lepidodactylus pumilus"
258,776,1906,51,"Lepidodactylus pumilus"
262,861,1678,61,"Lepidodactylus pumilus"
260,831,1781,55,"Lepidodactylus pumilus"
264,851,1548,72,"Lepidodactylus pumilus"
262,859,1589,60,"Lepidodactylus pumilus"
262,836,1656,57,"Lepidodactylus pumilus"
260,834,1726,56,"Lepidodactylus pumilus"
262,854,1895,59,"Lepidodactylus pumilus"
258,779,1913,51,"Lepidodactylus pumilus"
263,864,1905,59,"Lepidodactylus pumilus"
264,881,1511,65,"Lepidodactylus pumilus"
261,828,1696,58,"Lepidodactylus pumilus"
259,821,1974,52,"Lepidodactylus pumilus"
263,867,1792,60,"Lepidodactylus pumilus"
258,787,1940,47,"Lepidodactylus pumilus"
264,837,1542,65,"Lepidodactylus pumilus"
