"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
231,6467,243,48,"Lerista aericeps"
247,6036,223,69,"Lerista aericeps"
244,6517,222,52,"Lerista aericeps"
250,6003,243,76,"Lerista aericeps"
249,5976,240,70,"Lerista aericeps"
242,6619,180,51,"Lerista aericeps"
248,6448,202,55,"Lerista aericeps"
236,6643,169,54,"Lerista aericeps"
253,5919,247,75,"Lerista aericeps"
233,6594,170,48,"Lerista aericeps"
255,5233,318,95,"Lerista aericeps"
248,6480,217,56,"Lerista aericeps"
241,6629,181,45,"Lerista aericeps"
233,6425,230,51,"Lerista aericeps"
234,6396,237,53,"Lerista aericeps"
230,5822,300,64,"Lerista aericeps"
232,6605,179,46,"Lerista aericeps"
231,6543,198,49,"Lerista aericeps"
257,5384,334,91,"Lerista aericeps"
243,6162,235,62,"Lerista aericeps"
240,6613,152,52,"Lerista aericeps"
248,6090,226,67,"Lerista aericeps"
247,5462,330,84,"Lerista aericeps"
263,4651,389,99,"Lerista aericeps"
249,6366,209,57,"Lerista aericeps"
233,6380,273,50,"Lerista aericeps"
236,6035,299,72,"Lerista aericeps"
246,6061,229,68,"Lerista aericeps"
239,6641,182,44,"Lerista aericeps"
249,6316,222,61,"Lerista aericeps"
252,5831,268,85,"Lerista aericeps"
239,6630,158,56,"Lerista aericeps"
234,6655,178,46,"Lerista aericeps"
250,5392,348,89,"Lerista aericeps"
242,6629,162,52,"Lerista aericeps"
239,5417,324,93,"Lerista aericeps"
257,5253,334,91,"Lerista aericeps"
254,5463,285,92,"Lerista aericeps"
246,5347,312,90,"Lerista aericeps"
232,6391,236,57,"Lerista aericeps"
233,6382,236,57,"Lerista aericeps"
263,4630,425,99,"Lerista aericeps"
238,6679,159,50,"Lerista aericeps"
232,6450,221,48,"Lerista aericeps"
239,6657,175,48,"Lerista aericeps"
252,5926,247,78,"Lerista aericeps"
221,6291,298,48,"Lerista aericeps"
239,6666,160,52,"Lerista aericeps"
246,6535,175,64,"Lerista aericeps"
231,6476,214,48,"Lerista aericeps"
243,6512,164,56,"Lerista aericeps"
244,6549,209,51,"Lerista aericeps"
250,6107,238,73,"Lerista aericeps"
226,6436,241,55,"Lerista aericeps"
247,6096,233,67,"Lerista aericeps"
250,5992,229,75,"Lerista aericeps"
242,6573,159,58,"Lerista aericeps"
234,6616,164,41,"Lerista aericeps"
231,6346,236,54,"Lerista aericeps"
246,5370,347,93,"Lerista aericeps"
263,4901,368,96,"Lerista aericeps"
245,6598,178,54,"Lerista aericeps"
249,6288,224,63,"Lerista aericeps"
256,5295,295,94,"Lerista aericeps"
257,4926,398,99,"Lerista aericeps"
254,5445,281,93,"Lerista aericeps"
244,6586,160,64,"Lerista aericeps"
200,5792,375,58,"Lerista aericeps"
237,6110,297,70,"Lerista aericeps"
247,6521,212,54,"Lerista aericeps"
227,6342,277,48,"Lerista aericeps"
242,6495,210,50,"Lerista aericeps"
246,6155,245,68,"Lerista aericeps"
242,6258,231,58,"Lerista aericeps"
240,6631,181,44,"Lerista aericeps"
256,5292,328,91,"Lerista aericeps"
257,5267,341,92,"Lerista aericeps"
230,6603,177,46,"Lerista aericeps"
238,6538,158,47,"Lerista aericeps"
248,5616,269,88,"Lerista aericeps"
237,6120,291,69,"Lerista aericeps"
243,5474,353,86,"Lerista aericeps"
247,5409,323,89,"Lerista aericeps"
254,5738,288,86,"Lerista aericeps"
233,5864,277,63,"Lerista aericeps"
237,6266,248,66,"Lerista aericeps"
245,5293,365,95,"Lerista aericeps"
253,5806,278,79,"Lerista aericeps"
244,5566,320,89,"Lerista aericeps"
256,5175,364,93,"Lerista aericeps"
248,6472,207,55,"Lerista aericeps"
231,6615,151,45,"Lerista aericeps"
238,6667,171,48,"Lerista aericeps"
253,5761,282,79,"Lerista aericeps"
245,6338,252,61,"Lerista aericeps"
246,6354,192,57,"Lerista aericeps"
240,6546,143,42,"Lerista aericeps"
254,5422,288,93,"Lerista aericeps"
249,5400,344,97,"Lerista aericeps"
237,6671,166,50,"Lerista aericeps"
241,6654,175,47,"Lerista aericeps"
248,6369,233,60,"Lerista aericeps"
251,6302,212,65,"Lerista aericeps"
239,6578,184,45,"Lerista aericeps"
251,5962,230,74,"Lerista aericeps"
