"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
181,3728,237,17,"Lerista baynesi"
175,3541,274,19,"Lerista baynesi"
177,3653,256,17,"Lerista baynesi"
180,2885,281,27,"Lerista baynesi"
173,3431,294,18,"Lerista baynesi"
183,3720,244,22,"Lerista baynesi"
182,3306,269,20,"Lerista baynesi"
171,3045,313,23,"Lerista baynesi"
178,3604,231,17,"Lerista baynesi"
177,3437,258,20,"Lerista baynesi"
179,3844,234,17,"Lerista baynesi"
173,3242,281,23,"Lerista baynesi"
175,2906,312,19,"Lerista baynesi"
183,3651,243,26,"Lerista baynesi"
177,3264,273,25,"Lerista baynesi"
183,4010,203,15,"Lerista baynesi"
176,3147,273,23,"Lerista baynesi"
185,3548,261,24,"Lerista baynesi"
180,3052,257,23,"Lerista baynesi"
183,3752,248,21,"Lerista baynesi"
170,3196,318,21,"Lerista baynesi"
175,3663,275,17,"Lerista baynesi"
178,3432,235,21,"Lerista baynesi"
173,2958,293,25,"Lerista baynesi"
184,3947,220,20,"Lerista baynesi"
179,2831,287,28,"Lerista baynesi"
183,3865,238,21,"Lerista baynesi"
178,3634,231,15,"Lerista baynesi"
175,3543,276,19,"Lerista baynesi"
177,3462,245,20,"Lerista baynesi"
174,3236,272,24,"Lerista baynesi"
180,3583,269,19,"Lerista baynesi"
179,2948,329,30,"Lerista baynesi"
176,3562,263,18,"Lerista baynesi"
183,3869,242,20,"Lerista baynesi"
184,3358,286,30,"Lerista baynesi"
178,3843,250,17,"Lerista baynesi"
180,3734,230,17,"Lerista baynesi"
180,3697,217,16,"Lerista baynesi"
184,3960,219,17,"Lerista baynesi"
174,3346,279,18,"Lerista baynesi"
180,3912,240,17,"Lerista baynesi"
179,3719,230,17,"Lerista baynesi"
176,3077,292,21,"Lerista baynesi"
181,3106,297,29,"Lerista baynesi"
175,3305,270,22,"Lerista baynesi"
180,3028,264,22,"Lerista baynesi"
170,3027,313,23,"Lerista baynesi"
179,2918,281,29,"Lerista baynesi"
179,3582,266,18,"Lerista baynesi"
183,3971,220,15,"Lerista baynesi"
178,3558,241,19,"Lerista baynesi"
178,3330,252,21,"Lerista baynesi"
182,3621,280,22,"Lerista baynesi"
172,2654,347,22,"Lerista baynesi"
177,3136,295,21,"Lerista baynesi"
176,3357,252,21,"Lerista baynesi"
176,3630,268,17,"Lerista baynesi"
185,4058,216,15,"Lerista baynesi"
184,3888,233,22,"Lerista baynesi"
180,2981,270,23,"Lerista baynesi"
180,3763,226,16,"Lerista baynesi"
173,3129,281,22,"Lerista baynesi"
174,3215,267,21,"Lerista baynesi"
184,4061,219,16,"Lerista baynesi"
179,2870,314,31,"Lerista baynesi"
170,2960,318,23,"Lerista baynesi"
182,3765,247,22,"Lerista baynesi"
184,4097,220,14,"Lerista baynesi"
176,3718,270,16,"Lerista baynesi"
174,3593,281,18,"Lerista baynesi"
178,3634,235,18,"Lerista baynesi"
176,3396,263,19,"Lerista baynesi"
177,3307,253,21,"Lerista baynesi"
182,3957,217,17,"Lerista baynesi"
183,3372,295,30,"Lerista baynesi"
183,3391,278,26,"Lerista baynesi"
179,2924,276,27,"Lerista baynesi"
183,3787,233,24,"Lerista baynesi"
181,3540,273,28,"Lerista baynesi"
171,2892,342,16,"Lerista baynesi"
181,3138,282,26,"Lerista baynesi"
180,3702,221,17,"Lerista baynesi"
181,3164,312,33,"Lerista baynesi"
184,3947,226,18,"Lerista baynesi"
175,3594,273,18,"Lerista baynesi"
181,3576,279,26,"Lerista baynesi"
