"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
282,2447,696,113,"Lerista borealis"
275,1754,1382,117,"Lerista borealis"
288,2591,760,111,"Lerista borealis"
278,1550,1336,119,"Lerista borealis"
271,1850,1133,111,"Lerista borealis"
278,3017,691,115,"Lerista borealis"
264,1967,1109,120,"Lerista borealis"
275,2090,833,110,"Lerista borealis"
263,2317,925,109,"Lerista borealis"
266,2335,973,108,"Lerista borealis"
268,1727,1243,114,"Lerista borealis"
275,1666,1138,117,"Lerista borealis"
278,2706,880,115,"Lerista borealis"
273,2968,654,111,"Lerista borealis"
265,3078,707,109,"Lerista borealis"
274,2069,1167,119,"Lerista borealis"
276,1631,1110,117,"Lerista borealis"
263,2855,721,109,"Lerista borealis"
272,2747,685,109,"Lerista borealis"
260,2126,1241,111,"Lerista borealis"
270,1866,1253,124,"Lerista borealis"
275,2853,695,113,"Lerista borealis"
269,2040,978,110,"Lerista borealis"
272,2919,729,120,"Lerista borealis"
266,2187,989,116,"Lerista borealis"
266,2540,961,114,"Lerista borealis"
273,1865,983,112,"Lerista borealis"
263,2516,881,117,"Lerista borealis"
262,2918,815,114,"Lerista borealis"
261,2213,1076,111,"Lerista borealis"
262,1991,1468,112,"Lerista borealis"
259,2338,1099,116,"Lerista borealis"
276,1764,1167,116,"Lerista borealis"
264,2155,1120,108,"Lerista borealis"
281,2300,710,109,"Lerista borealis"
276,3223,567,113,"Lerista borealis"
261,2053,1484,114,"Lerista borealis"
262,2494,901,118,"Lerista borealis"
269,1565,1625,123,"Lerista borealis"
261,2632,858,113,"Lerista borealis"
260,2317,1085,109,"Lerista borealis"
283,2783,766,111,"Lerista borealis"
262,2466,926,116,"Lerista borealis"
272,1804,1592,123,"Lerista borealis"
270,2134,1088,122,"Lerista borealis"
263,2989,774,114,"Lerista borealis"
283,3043,710,108,"Lerista borealis"
279,3064,700,107,"Lerista borealis"
260,2445,952,117,"Lerista borealis"
264,2427,930,113,"Lerista borealis"
275,2040,1055,111,"Lerista borealis"
272,1550,1399,115,"Lerista borealis"
272,2536,798,110,"Lerista borealis"
266,2529,953,119,"Lerista borealis"
267,1773,1426,126,"Lerista borealis"
275,2465,832,112,"Lerista borealis"
255,2506,899,110,"Lerista borealis"
266,2101,1150,113,"Lerista borealis"
270,2437,949,121,"Lerista borealis"
261,2269,1064,110,"Lerista borealis"
265,2804,967,110,"Lerista borealis"
267,2704,846,119,"Lerista borealis"
263,2481,1013,120,"Lerista borealis"
252,2420,1076,110,"Lerista borealis"
262,2841,1021,112,"Lerista borealis"
257,2417,978,109,"Lerista borealis"
270,1993,1044,115,"Lerista borealis"
278,2452,777,120,"Lerista borealis"
270,2212,907,114,"Lerista borealis"
267,2078,1101,111,"Lerista borealis"
268,2591,989,115,"Lerista borealis"
267,1698,1339,115,"Lerista borealis"
262,2507,913,109,"Lerista borealis"
271,2402,828,116,"Lerista borealis"
276,1580,1591,127,"Lerista borealis"
279,2313,707,109,"Lerista borealis"
270,2165,965,117,"Lerista borealis"
276,1961,1103,115,"Lerista borealis"
268,2914,849,111,"Lerista borealis"
279,2289,692,117,"Lerista borealis"
270,2847,729,113,"Lerista borealis"
286,2765,714,115,"Lerista borealis"
259,2096,1265,108,"Lerista borealis"
272,1809,1072,111,"Lerista borealis"
265,2112,1118,113,"Lerista borealis"
274,2548,797,117,"Lerista borealis"
266,1920,1277,119,"Lerista borealis"
273,2610,812,117,"Lerista borealis"
274,2688,938,120,"Lerista borealis"
257,2135,1180,118,"Lerista borealis"
264,2288,1125,121,"Lerista borealis"
276,1614,1107,119,"Lerista borealis"
278,1626,1060,114,"Lerista borealis"
286,2578,725,116,"Lerista borealis"
278,2569,814,119,"Lerista borealis"
265,2414,855,115,"Lerista borealis"
288,2517,753,115,"Lerista borealis"
277,1591,1109,122,"Lerista borealis"
258,1936,1475,113,"Lerista borealis"
280,2609,664,116,"Lerista borealis"
276,2854,720,109,"Lerista borealis"
262,3190,742,110,"Lerista borealis"
274,2390,843,119,"Lerista borealis"
276,1736,1206,117,"Lerista borealis"
272,3143,723,118,"Lerista borealis"
288,2566,742,117,"Lerista borealis"
267,2497,863,119,"Lerista borealis"
275,1665,1245,122,"Lerista borealis"
273,1654,1384,122,"Lerista borealis"
260,2716,876,112,"Lerista borealis"
264,2275,1058,109,"Lerista borealis"
265,2311,991,113,"Lerista borealis"
262,2514,822,109,"Lerista borealis"
262,2821,810,118,"Lerista borealis"
278,2094,896,117,"Lerista borealis"
269,2580,761,112,"Lerista borealis"
269,2021,990,110,"Lerista borealis"
268,1966,1259,116,"Lerista borealis"
255,2146,1341,111,"Lerista borealis"
262,2564,843,109,"Lerista borealis"
261,2385,1021,114,"Lerista borealis"
282,2532,701,110,"Lerista borealis"
263,2166,1101,110,"Lerista borealis"
266,2847,751,110,"Lerista borealis"
269,2440,810,111,"Lerista borealis"
264,2798,853,114,"Lerista borealis"
275,2946,756,115,"Lerista borealis"
275,2017,868,109,"Lerista borealis"
262,2597,790,108,"Lerista borealis"
274,2558,985,122,"Lerista borealis"
290,2627,669,111,"Lerista borealis"
259,2066,1292,107,"Lerista borealis"
275,2120,857,111,"Lerista borealis"
285,3049,657,111,"Lerista borealis"
275,2825,823,110,"Lerista borealis"
259,2371,1126,111,"Lerista borealis"
262,2406,953,109,"Lerista borealis"
275,2056,1038,110,"Lerista borealis"
260,2111,1251,107,"Lerista borealis"
267,1813,1217,110,"Lerista borealis"
272,2796,765,112,"Lerista borealis"
263,1680,1513,111,"Lerista borealis"
261,3085,797,116,"Lerista borealis"
267,1834,1539,123,"Lerista borealis"
256,2250,1049,110,"Lerista borealis"
277,2049,960,124,"Lerista borealis"
271,2230,959,116,"Lerista borealis"
267,1821,1434,113,"Lerista borealis"
254,2481,858,110,"Lerista borealis"
289,2594,694,115,"Lerista borealis"
260,1867,1659,113,"Lerista borealis"
277,2598,936,121,"Lerista borealis"
277,2960,696,114,"Lerista borealis"
272,1821,1126,112,"Lerista borealis"
271,1784,1082,109,"Lerista borealis"
267,3160,720,107,"Lerista borealis"
254,2399,1055,118,"Lerista borealis"
277,2435,836,115,"Lerista borealis"
272,1896,1260,117,"Lerista borealis"
271,2401,919,118,"Lerista borealis"
268,1840,1252,126,"Lerista borealis"
274,1829,1106,115,"Lerista borealis"
266,3206,731,121,"Lerista borealis"
266,1642,1378,121,"Lerista borealis"
259,2029,1375,108,"Lerista borealis"
256,2114,1448,110,"Lerista borealis"
264,2329,1162,119,"Lerista borealis"
260,2152,1117,108,"Lerista borealis"
274,2515,722,109,"Lerista borealis"
270,1929,1054,111,"Lerista borealis"
268,2086,959,112,"Lerista borealis"
286,2368,644,114,"Lerista borealis"
274,2598,800,112,"Lerista borealis"
260,2581,811,110,"Lerista borealis"
270,2097,1064,107,"Lerista borealis"
274,1721,1247,116,"Lerista borealis"
269,3057,728,114,"Lerista borealis"
256,2331,1011,115,"Lerista borealis"
273,1587,1422,130,"Lerista borealis"
278,1671,1081,120,"Lerista borealis"
267,2915,794,111,"Lerista borealis"
272,2379,895,117,"Lerista borealis"
250,2433,1123,113,"Lerista borealis"
268,3072,758,113,"Lerista borealis"
269,2097,1178,106,"Lerista borealis"
267,1601,1342,115,"Lerista borealis"
284,2396,680,112,"Lerista borealis"
266,2159,1132,113,"Lerista borealis"
273,1801,1431,122,"Lerista borealis"
270,1891,1211,110,"Lerista borealis"
262,2709,787,114,"Lerista borealis"
276,2446,798,109,"Lerista borealis"
275,2843,673,115,"Lerista borealis"
263,2003,1242,107,"Lerista borealis"
286,2371,735,114,"Lerista borealis"
254,2080,1469,110,"Lerista borealis"
260,1870,1461,111,"Lerista borealis"
275,2487,853,120,"Lerista borealis"
272,1800,999,110,"Lerista borealis"
268,3056,665,111,"Lerista borealis"
261,2384,924,110,"Lerista borealis"
263,3126,764,110,"Lerista borealis"
259,2179,1149,107,"Lerista borealis"
254,2393,1230,118,"Lerista borealis"
273,2773,806,116,"Lerista borealis"
263,1828,1409,112,"Lerista borealis"
270,2570,760,114,"Lerista borealis"
275,2806,680,117,"Lerista borealis"
263,1946,1393,111,"Lerista borealis"
266,2400,843,112,"Lerista borealis"
279,2606,843,122,"Lerista borealis"
263,3100,779,109,"Lerista borealis"
265,2218,1165,115,"Lerista borealis"
274,2108,1084,117,"Lerista borealis"
267,1913,1434,122,"Lerista borealis"
261,1910,1291,107,"Lerista borealis"
276,1639,1072,115,"Lerista borealis"
279,2742,721,111,"Lerista borealis"
273,2809,895,116,"Lerista borealis"
279,1792,964,114,"Lerista borealis"
259,2553,854,114,"Lerista borealis"
283,2938,691,107,"Lerista borealis"
272,2230,983,123,"Lerista borealis"
269,1912,1140,111,"Lerista borealis"
260,2115,1248,110,"Lerista borealis"
262,2061,1260,108,"Lerista borealis"
267,2386,863,109,"Lerista borealis"
269,2122,1056,111,"Lerista borealis"
271,2244,781,109,"Lerista borealis"
262,2295,1039,110,"Lerista borealis"
269,2678,786,115,"Lerista borealis"
286,3030,661,111,"Lerista borealis"
278,2916,745,118,"Lerista borealis"
274,2779,717,116,"Lerista borealis"
286,2802,706,114,"Lerista borealis"
261,2232,1169,109,"Lerista borealis"
276,2887,688,115,"Lerista borealis"
264,2059,976,117,"Lerista borealis"
256,2175,1190,108,"Lerista borealis"
267,2702,976,118,"Lerista borealis"
258,2487,910,116,"Lerista borealis"
268,1680,1300,112,"Lerista borealis"
262,2012,1251,107,"Lerista borealis"
274,2684,852,120,"Lerista borealis"
261,2338,1148,117,"Lerista borealis"
263,2778,917,114,"Lerista borealis"
275,1671,1049,115,"Lerista borealis"
264,2168,1102,107,"Lerista borealis"
268,1682,1369,119,"Lerista borealis"
262,2457,931,108,"Lerista borealis"
274,3272,580,115,"Lerista borealis"
273,2903,814,109,"Lerista borealis"
276,2063,976,119,"Lerista borealis"
278,2436,864,122,"Lerista borealis"
276,2536,959,121,"Lerista borealis"
270,2347,1001,118,"Lerista borealis"
277,2168,793,111,"Lerista borealis"
257,1889,1494,121,"Lerista borealis"
268,3110,710,107,"Lerista borealis"
266,1763,1581,114,"Lerista borealis"
263,3190,731,115,"Lerista borealis"
265,2302,1050,109,"Lerista borealis"
277,1566,1501,121,"Lerista borealis"
262,2430,929,110,"Lerista borealis"
269,1601,1529,123,"Lerista borealis"
260,2267,1100,117,"Lerista borealis"
265,2288,897,110,"Lerista borealis"
265,1589,1749,122,"Lerista borealis"
264,2416,900,114,"Lerista borealis"
278,3052,792,113,"Lerista borealis"
261,2327,966,108,"Lerista borealis"
263,2796,851,114,"Lerista borealis"
274,2629,711,115,"Lerista borealis"
258,2262,1086,110,"Lerista borealis"
259,2049,1345,111,"Lerista borealis"
276,2716,895,124,"Lerista borealis"
261,2530,982,113,"Lerista borealis"
267,2396,891,113,"Lerista borealis"
267,1813,1516,125,"Lerista borealis"
273,2722,790,120,"Lerista borealis"
274,2921,681,117,"Lerista borealis"
271,2162,1169,119,"Lerista borealis"
267,1924,1094,113,"Lerista borealis"
272,2315,1098,120,"Lerista borealis"
272,1752,1131,114,"Lerista borealis"
278,3085,655,119,"Lerista borealis"
283,2640,756,111,"Lerista borealis"
262,2425,944,117,"Lerista borealis"
256,2216,1206,119,"Lerista borealis"
268,1922,1157,112,"Lerista borealis"
266,3168,636,108,"Lerista borealis"
268,2693,820,117,"Lerista borealis"
251,2354,919,109,"Lerista borealis"
262,3194,679,112,"Lerista borealis"
264,2284,911,110,"Lerista borealis"
280,2641,770,109,"Lerista borealis"
277,1517,1305,120,"Lerista borealis"
268,2344,924,121,"Lerista borealis"
271,1644,1218,117,"Lerista borealis"
273,1652,1505,119,"Lerista borealis"
253,2435,875,113,"Lerista borealis"
258,2536,940,115,"Lerista borealis"
272,1662,1260,130,"Lerista borealis"
271,1940,983,122,"Lerista borealis"
260,2439,1055,120,"Lerista borealis"
262,2115,1245,107,"Lerista borealis"
282,2756,691,109,"Lerista borealis"
264,2400,978,111,"Lerista borealis"
259,2350,1005,108,"Lerista borealis"
271,2589,862,115,"Lerista borealis"
262,1957,1606,113,"Lerista borealis"
255,2160,1202,120,"Lerista borealis"
273,1526,1664,126,"Lerista borealis"
258,2105,1126,118,"Lerista borealis"
265,2232,1151,109,"Lerista borealis"
267,1861,1187,112,"Lerista borealis"
262,2019,1363,112,"Lerista borealis"
271,2930,763,110,"Lerista borealis"
270,2325,819,112,"Lerista borealis"
272,1629,1471,123,"Lerista borealis"
266,2184,1004,113,"Lerista borealis"
269,2967,790,115,"Lerista borealis"
270,3051,762,107,"Lerista borealis"
260,2699,850,107,"Lerista borealis"
276,2899,767,118,"Lerista borealis"
266,2629,901,114,"Lerista borealis"
259,2261,894,112,"Lerista borealis"
266,2189,873,112,"Lerista borealis"
289,2547,700,113,"Lerista borealis"
267,2242,904,117,"Lerista borealis"
267,2912,775,119,"Lerista borealis"
263,2527,874,110,"Lerista borealis"
262,2329,1029,115,"Lerista borealis"
270,3164,662,108,"Lerista borealis"
269,1806,1237,114,"Lerista borealis"
271,2577,724,113,"Lerista borealis"
277,1707,1148,119,"Lerista borealis"
270,2043,868,118,"Lerista borealis"
251,2171,1227,112,"Lerista borealis"
272,2621,799,118,"Lerista borealis"
257,2138,1217,110,"Lerista borealis"
263,1824,1382,124,"Lerista borealis"
253,2184,1249,121,"Lerista borealis"
260,2299,1100,117,"Lerista borealis"
264,1947,1061,120,"Lerista borealis"
283,2674,678,110,"Lerista borealis"
252,2524,1004,112,"Lerista borealis"
272,2955,701,113,"Lerista borealis"
286,2381,741,114,"Lerista borealis"
268,1948,1184,112,"Lerista borealis"
276,2945,675,115,"Lerista borealis"
261,2629,917,111,"Lerista borealis"
261,2084,1250,119,"Lerista borealis"
261,2274,1183,109,"Lerista borealis"
280,2519,771,119,"Lerista borealis"
276,2931,736,115,"Lerista borealis"
276,1805,1041,114,"Lerista borealis"
255,2378,1065,118,"Lerista borealis"
261,2251,1179,121,"Lerista borealis"
285,2992,679,108,"Lerista borealis"
278,1677,1057,120,"Lerista borealis"
267,1876,1411,120,"Lerista borealis"
273,2718,719,111,"Lerista borealis"
280,2688,852,124,"Lerista borealis"
274,2386,880,121,"Lerista borealis"
264,2890,844,118,"Lerista borealis"
265,2407,903,111,"Lerista borealis"
273,2802,677,115,"Lerista borealis"
260,2257,1073,108,"Lerista borealis"
268,2527,778,113,"Lerista borealis"
269,2779,750,112,"Lerista borealis"
270,1755,1056,111,"Lerista borealis"
270,2229,860,115,"Lerista borealis"
270,2028,1132,113,"Lerista borealis"
269,1750,1619,124,"Lerista borealis"
275,1637,1584,123,"Lerista borealis"
278,2700,883,109,"Lerista borealis"
264,2263,1017,112,"Lerista borealis"
265,1819,1414,115,"Lerista borealis"
249,2230,1255,116,"Lerista borealis"
269,2272,907,116,"Lerista borealis"
260,2368,925,107,"Lerista borealis"
269,2253,842,108,"Lerista borealis"
278,1596,1035,121,"Lerista borealis"
259,1928,1346,119,"Lerista borealis"
260,2587,770,113,"Lerista borealis"
272,1911,1041,123,"Lerista borealis"
266,3070,742,118,"Lerista borealis"
277,2482,880,120,"Lerista borealis"
247,2341,1170,115,"Lerista borealis"
278,1678,1108,125,"Lerista borealis"
273,2702,815,121,"Lerista borealis"
258,2291,1120,117,"Lerista borealis"
271,2532,747,118,"Lerista borealis"
271,2019,949,124,"Lerista borealis"
268,1984,1178,112,"Lerista borealis"
273,2767,774,118,"Lerista borealis"
279,2650,844,111,"Lerista borealis"
267,1659,1317,114,"Lerista borealis"
276,2448,879,120,"Lerista borealis"
264,1724,1610,118,"Lerista borealis"
267,2094,1130,112,"Lerista borealis"
261,2645,893,112,"Lerista borealis"
272,2663,776,118,"Lerista borealis"
274,2686,824,114,"Lerista borealis"
274,2117,830,109,"Lerista borealis"
280,2735,876,125,"Lerista borealis"
276,2119,1041,111,"Lerista borealis"
259,2397,1198,118,"Lerista borealis"
264,2437,953,109,"Lerista borealis"
264,2334,1002,109,"Lerista borealis"
289,2671,770,118,"Lerista borealis"
281,2699,798,126,"Lerista borealis"
277,2638,919,116,"Lerista borealis"
267,1927,1367,115,"Lerista borealis"
261,2478,1013,112,"Lerista borealis"
272,2438,848,117,"Lerista borealis"
258,2008,1345,112,"Lerista borealis"
259,2315,940,115,"Lerista borealis"
271,1754,1488,117,"Lerista borealis"
268,2808,884,114,"Lerista borealis"
286,2761,718,117,"Lerista borealis"
269,1922,1041,109,"Lerista borealis"
287,2818,667,111,"Lerista borealis"
268,3005,646,114,"Lerista borealis"
277,1672,1286,116,"Lerista borealis"
266,2207,855,112,"Lerista borealis"
287,2832,644,111,"Lerista borealis"
267,2388,951,114,"Lerista borealis"
272,2318,930,119,"Lerista borealis"
289,2707,662,112,"Lerista borealis"
274,2518,962,119,"Lerista borealis"
271,2640,728,114,"Lerista borealis"
276,2500,788,112,"Lerista borealis"
276,2134,789,115,"Lerista borealis"
263,1919,1275,111,"Lerista borealis"
256,2241,1080,116,"Lerista borealis"
270,2843,788,123,"Lerista borealis"
269,1985,1083,113,"Lerista borealis"
269,2925,658,114,"Lerista borealis"
252,2417,937,111,"Lerista borealis"
277,2636,903,121,"Lerista borealis"
264,1627,1745,121,"Lerista borealis"
255,2094,1345,108,"Lerista borealis"
261,2258,1048,108,"Lerista borealis"
263,2585,793,110,"Lerista borealis"
277,1645,1119,129,"Lerista borealis"
275,2634,889,115,"Lerista borealis"
260,1964,1328,123,"Lerista borealis"
272,2865,705,108,"Lerista borealis"
275,1902,963,109,"Lerista borealis"
267,2273,848,110,"Lerista borealis"
275,1920,1150,114,"Lerista borealis"
272,2710,697,110,"Lerista borealis"
263,2278,1197,111,"Lerista borealis"
270,1977,1354,122,"Lerista borealis"
275,2159,931,125,"Lerista borealis"
260,2655,990,118,"Lerista borealis"
254,2194,1058,113,"Lerista borealis"
274,2652,758,117,"Lerista borealis"
269,2278,922,110,"Lerista borealis"
266,2383,964,113,"Lerista borealis"
269,1936,1196,113,"Lerista borealis"
263,2191,1108,123,"Lerista borealis"
254,2180,1245,109,"Lerista borealis"
269,1777,1279,113,"Lerista borealis"
267,2735,715,111,"Lerista borealis"
260,2353,1119,112,"Lerista borealis"
267,2029,1367,114,"Lerista borealis"
271,2151,847,107,"Lerista borealis"
264,2828,861,113,"Lerista borealis"
268,2725,731,108,"Lerista borealis"
271,2858,771,116,"Lerista borealis"
267,1998,1164,111,"Lerista borealis"
289,2713,738,118,"Lerista borealis"
277,2997,711,108,"Lerista borealis"
261,2134,1204,121,"Lerista borealis"
255,2394,1047,115,"Lerista borealis"
285,2916,734,116,"Lerista borealis"
272,2552,781,112,"Lerista borealis"
276,1899,1020,114,"Lerista borealis"
271,1578,1249,122,"Lerista borealis"
276,1996,1101,111,"Lerista borealis"
276,2624,971,122,"Lerista borealis"
278,2664,944,125,"Lerista borealis"
279,2782,807,116,"Lerista borealis"
286,2863,659,110,"Lerista borealis"
256,2523,920,114,"Lerista borealis"
272,2241,809,115,"Lerista borealis"
266,2137,1024,111,"Lerista borealis"
278,3041,658,117,"Lerista borealis"
267,2081,1076,111,"Lerista borealis"
256,1989,1321,120,"Lerista borealis"
286,2347,752,115,"Lerista borealis"
257,2578,894,108,"Lerista borealis"
265,2511,814,111,"Lerista borealis"
266,2830,686,110,"Lerista borealis"
269,1695,1604,123,"Lerista borealis"
276,2368,752,111,"Lerista borealis"
263,2638,781,113,"Lerista borealis"
262,2206,1219,115,"Lerista borealis"
273,2262,998,112,"Lerista borealis"
260,2408,976,109,"Lerista borealis"
287,2726,663,111,"Lerista borealis"
259,2199,1267,109,"Lerista borealis"
284,3013,708,110,"Lerista borealis"
267,1934,1224,112,"Lerista borealis"
259,2057,1438,116,"Lerista borealis"
252,2390,1024,112,"Lerista borealis"
267,1621,1418,124,"Lerista borealis"
274,2738,759,116,"Lerista borealis"
266,2946,772,111,"Lerista borealis"
277,1778,1323,115,"Lerista borealis"
265,2639,746,110,"Lerista borealis"
270,3056,669,116,"Lerista borealis"
274,2758,785,116,"Lerista borealis"
268,2532,819,115,"Lerista borealis"
262,2561,854,110,"Lerista borealis"
268,3120,652,112,"Lerista borealis"
277,2649,793,118,"Lerista borealis"
266,2478,858,111,"Lerista borealis"
258,1799,1678,121,"Lerista borealis"
273,2771,917,111,"Lerista borealis"
263,3094,713,115,"Lerista borealis"
285,2745,656,112,"Lerista borealis"
271,2778,661,111,"Lerista borealis"
271,1906,942,111,"Lerista borealis"
278,2577,867,120,"Lerista borealis"
285,2928,665,108,"Lerista borealis"
269,1873,1189,110,"Lerista borealis"
267,2213,1208,112,"Lerista borealis"
276,2978,781,107,"Lerista borealis"
261,2061,1361,109,"Lerista borealis"
267,2809,696,108,"Lerista borealis"
276,1758,1592,121,"Lerista borealis"
269,3167,723,119,"Lerista borealis"
264,2608,752,112,"Lerista borealis"
277,2626,934,123,"Lerista borealis"
277,1670,1183,115,"Lerista borealis"
265,2284,1051,117,"Lerista borealis"
272,1712,1427,120,"Lerista borealis"
269,1823,1245,114,"Lerista borealis"
276,2142,826,114,"Lerista borealis"
272,1607,1359,123,"Lerista borealis"
270,1778,1130,111,"Lerista borealis"
250,2306,1115,110,"Lerista borealis"
263,2275,1112,108,"Lerista borealis"
262,2344,1023,118,"Lerista borealis"
278,1777,1114,116,"Lerista borealis"
265,1793,1327,111,"Lerista borealis"
277,1761,1181,115,"Lerista borealis"
257,2136,1348,109,"Lerista borealis"
272,1541,1423,129,"Lerista borealis"
265,2800,757,114,"Lerista borealis"
270,2226,972,107,"Lerista borealis"
266,1949,1258,124,"Lerista borealis"
263,2328,1066,111,"Lerista borealis"
274,2518,944,121,"Lerista borealis"
247,2374,1028,109,"Lerista borealis"
275,2890,819,117,"Lerista borealis"
271,3051,834,114,"Lerista borealis"
280,2658,874,124,"Lerista borealis"
278,1562,1459,123,"Lerista borealis"
277,2157,730,113,"Lerista borealis"
263,2128,1177,107,"Lerista borealis"
273,1834,1333,126,"Lerista borealis"
