"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
251,5343,359,83,"Lerista chalybura"
255,5892,265,78,"Lerista chalybura"
257,5236,322,94,"Lerista chalybura"
260,5746,296,84,"Lerista chalybura"
253,6091,234,72,"Lerista chalybura"
261,5344,298,89,"Lerista chalybura"
251,5709,326,84,"Lerista chalybura"
259,5691,308,85,"Lerista chalybura"
243,5641,333,84,"Lerista chalybura"
261,5600,288,83,"Lerista chalybura"
251,6069,273,74,"Lerista chalybura"
245,5738,316,79,"Lerista chalybura"
254,6076,252,73,"Lerista chalybura"
236,5496,380,88,"Lerista chalybura"
254,6031,276,76,"Lerista chalybura"
240,5322,358,87,"Lerista chalybura"
257,5825,254,76,"Lerista chalybura"
251,6086,235,74,"Lerista chalybura"
253,6072,240,73,"Lerista chalybura"
260,5782,296,84,"Lerista chalybura"
251,5868,306,81,"Lerista chalybura"
260,5648,298,84,"Lerista chalybura"
249,5715,332,80,"Lerista chalybura"
238,5446,365,80,"Lerista chalybura"
231,5207,447,88,"Lerista chalybura"
250,6062,251,71,"Lerista chalybura"
211,5206,488,82,"Lerista chalybura"
252,6087,247,70,"Lerista chalybura"
246,5439,352,79,"Lerista chalybura"
257,5043,394,97,"Lerista chalybura"
241,5680,348,88,"Lerista chalybura"
253,5159,418,96,"Lerista chalybura"
261,5839,282,82,"Lerista chalybura"
252,6118,264,70,"Lerista chalybura"
245,5620,386,86,"Lerista chalybura"
249,5972,256,73,"Lerista chalybura"
234,5299,412,81,"Lerista chalybura"
235,5099,495,87,"Lerista chalybura"
257,5180,425,96,"Lerista chalybura"
252,5570,329,82,"Lerista chalybura"
250,5751,275,80,"Lerista chalybura"
255,5078,435,95,"Lerista chalybura"
250,6125,253,72,"Lerista chalybura"
231,5200,497,89,"Lerista chalybura"
242,5805,314,78,"Lerista chalybura"
258,5415,388,93,"Lerista chalybura"
253,5854,293,80,"Lerista chalybura"
259,5234,352,99,"Lerista chalybura"
258,5445,373,92,"Lerista chalybura"
258,6068,227,75,"Lerista chalybura"
251,6078,241,70,"Lerista chalybura"
252,6095,218,71,"Lerista chalybura"
262,5079,365,96,"Lerista chalybura"
252,6124,253,71,"Lerista chalybura"
254,5182,426,91,"Lerista chalybura"
246,5900,283,75,"Lerista chalybura"
252,6080,238,72,"Lerista chalybura"
237,5305,479,88,"Lerista chalybura"
236,5030,373,93,"Lerista chalybura"
261,4994,346,99,"Lerista chalybura"
237,5422,391,91,"Lerista chalybura"
252,5834,285,80,"Lerista chalybura"
253,6089,244,71,"Lerista chalybura"
239,5532,330,78,"Lerista chalybura"
249,5693,315,76,"Lerista chalybura"
237,5621,396,84,"Lerista chalybura"
