"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
241,4596,465,73,"Lerista chordae"
234,4593,474,72,"Lerista chordae"
233,4178,575,86,"Lerista chordae"
240,4633,445,74,"Lerista chordae"
232,4567,572,71,"Lerista chordae"
238,4302,564,78,"Lerista chordae"
214,3755,715,89,"Lerista chordae"
233,4169,645,83,"Lerista chordae"
228,4446,578,71,"Lerista chordae"
217,3840,672,89,"Lerista chordae"
237,4328,510,84,"Lerista chordae"
236,4265,574,82,"Lerista chordae"
242,4515,491,75,"Lerista chordae"
220,3905,530,84,"Lerista chordae"
242,4593,495,75,"Lerista chordae"
232,4455,617,71,"Lerista chordae"
239,4442,484,75,"Lerista chordae"
236,4291,543,84,"Lerista chordae"
231,4098,600,83,"Lerista chordae"
236,4026,636,85,"Lerista chordae"
239,4519,450,74,"Lerista chordae"
231,4031,732,85,"Lerista chordae"
241,4582,552,75,"Lerista chordae"
215,3862,600,85,"Lerista chordae"
241,4107,610,81,"Lerista chordae"
242,4656,471,74,"Lerista chordae"
226,3788,704,88,"Lerista chordae"
236,3982,667,85,"Lerista chordae"
235,4352,584,75,"Lerista chordae"
236,4275,474,77,"Lerista chordae"
238,4345,499,81,"Lerista chordae"
228,4061,560,87,"Lerista chordae"
222,3833,692,89,"Lerista chordae"
240,4138,630,83,"Lerista chordae"
236,4151,693,83,"Lerista chordae"
236,4150,666,82,"Lerista chordae"
242,4619,484,75,"Lerista chordae"
233,3918,683,88,"Lerista chordae"
231,4193,554,81,"Lerista chordae"
218,3762,721,88,"Lerista chordae"
231,4480,490,72,"Lerista chordae"
242,4561,480,74,"Lerista chordae"
237,4368,494,77,"Lerista chordae"
235,4011,682,86,"Lerista chordae"
239,4369,522,80,"Lerista chordae"
228,3977,720,89,"Lerista chordae"
223,3754,702,89,"Lerista chordae"
216,3752,687,91,"Lerista chordae"
219,3851,716,89,"Lerista chordae"
242,4537,503,75,"Lerista chordae"
243,4645,491,76,"Lerista chordae"
233,4288,518,80,"Lerista chordae"
241,4476,517,75,"Lerista chordae"
235,4256,538,85,"Lerista chordae"
240,4689,429,73,"Lerista chordae"
235,4322,482,72,"Lerista chordae"
230,4062,717,85,"Lerista chordae"
240,4046,605,80,"Lerista chordae"
242,4526,504,76,"Lerista chordae"
240,4495,476,75,"Lerista chordae"
225,3792,669,86,"Lerista chordae"
227,3881,631,85,"Lerista chordae"
236,4225,520,80,"Lerista chordae"
235,4138,539,83,"Lerista chordae"
236,4424,490,73,"Lerista chordae"
237,4340,532,82,"Lerista chordae"
234,4226,563,84,"Lerista chordae"
242,4559,497,75,"Lerista chordae"
237,4335,490,75,"Lerista chordae"
226,3790,694,88,"Lerista chordae"
234,4244,683,81,"Lerista chordae"
230,4434,628,73,"Lerista chordae"
237,4308,514,84,"Lerista chordae"
225,4001,535,87,"Lerista chordae"
228,4046,719,88,"Lerista chordae"
237,3948,666,84,"Lerista chordae"
237,4377,589,77,"Lerista chordae"
230,4142,597,86,"Lerista chordae"
229,4097,534,86,"Lerista chordae"
237,4291,530,80,"Lerista chordae"
213,3816,687,87,"Lerista chordae"
231,3982,657,87,"Lerista chordae"
219,3890,601,87,"Lerista chordae"
233,4138,560,88,"Lerista chordae"
240,4445,501,79,"Lerista chordae"
216,3777,647,90,"Lerista chordae"
232,4097,640,83,"Lerista chordae"
241,4529,518,75,"Lerista chordae"
243,4667,494,75,"Lerista chordae"
226,4076,675,86,"Lerista chordae"
217,3726,741,90,"Lerista chordae"
234,3899,711,88,"Lerista chordae"
236,4491,567,70,"Lerista chordae"
235,4215,516,81,"Lerista chordae"
240,4086,607,81,"Lerista chordae"
217,3813,624,87,"Lerista chordae"
217,3727,717,90,"Lerista chordae"
236,4583,455,73,"Lerista chordae"
233,4381,573,73,"Lerista chordae"
241,4453,479,74,"Lerista chordae"
238,4156,660,83,"Lerista chordae"
232,4074,650,87,"Lerista chordae"
227,4073,620,87,"Lerista chordae"
241,4495,496,75,"Lerista chordae"
231,4126,497,85,"Lerista chordae"
241,4487,508,76,"Lerista chordae"
237,4038,651,83,"Lerista chordae"
237,4358,500,78,"Lerista chordae"
218,3824,752,88,"Lerista chordae"
237,4217,616,82,"Lerista chordae"
230,4001,755,88,"Lerista chordae"
241,4453,510,75,"Lerista chordae"
235,4287,468,77,"Lerista chordae"
239,4397,466,76,"Lerista chordae"
230,4368,537,73,"Lerista chordae"
236,4442,571,72,"Lerista chordae"
232,4443,582,74,"Lerista chordae"
240,4128,616,82,"Lerista chordae"
238,4251,525,80,"Lerista chordae"
237,4296,624,79,"Lerista chordae"
241,4476,506,77,"Lerista chordae"
239,4364,488,79,"Lerista chordae"
235,4234,485,84,"Lerista chordae"
218,3908,722,88,"Lerista chordae"
217,3862,686,86,"Lerista chordae"
241,4456,514,76,"Lerista chordae"
235,4188,543,82,"Lerista chordae"
222,3950,648,89,"Lerista chordae"
230,4177,689,83,"Lerista chordae"
232,4147,556,85,"Lerista chordae"
240,4519,478,74,"Lerista chordae"
237,3998,642,83,"Lerista chordae"
241,4469,513,75,"Lerista chordae"
214,3755,846,87,"Lerista chordae"
233,3995,675,88,"Lerista chordae"
237,4323,522,83,"Lerista chordae"
242,4644,493,73,"Lerista chordae"
235,4377,569,72,"Lerista chordae"
236,4417,472,75,"Lerista chordae"
231,4156,522,86,"Lerista chordae"
232,4129,648,87,"Lerista chordae"
235,4260,495,82,"Lerista chordae"
237,4258,624,80,"Lerista chordae"
234,3991,672,87,"Lerista chordae"
236,4259,527,80,"Lerista chordae"
228,4087,549,85,"Lerista chordae"
219,3839,661,87,"Lerista chordae"
242,4677,464,74,"Lerista chordae"
237,4177,579,82,"Lerista chordae"
216,3750,679,90,"Lerista chordae"
233,4550,577,71,"Lerista chordae"
232,4186,535,86,"Lerista chordae"
238,4156,649,84,"Lerista chordae"
216,3837,812,88,"Lerista chordae"
232,4128,654,85,"Lerista chordae"
216,3926,751,89,"Lerista chordae"
215,3771,701,88,"Lerista chordae"
240,4611,444,74,"Lerista chordae"
237,4157,639,84,"Lerista chordae"
235,3979,663,86,"Lerista chordae"
217,3737,725,90,"Lerista chordae"
234,4218,691,82,"Lerista chordae"
235,4337,631,79,"Lerista chordae"
237,4330,598,77,"Lerista chordae"
235,4308,623,78,"Lerista chordae"
235,4327,599,76,"Lerista chordae"
231,4070,666,89,"Lerista chordae"
230,4122,628,86,"Lerista chordae"
236,4338,505,77,"Lerista chordae"
236,4445,540,72,"Lerista chordae"
234,3955,687,87,"Lerista chordae"
236,4465,484,74,"Lerista chordae"
233,3990,679,88,"Lerista chordae"
230,4039,714,86,"Lerista chordae"
238,4150,653,83,"Lerista chordae"
221,3762,708,89,"Lerista chordae"
227,3953,532,85,"Lerista chordae"
227,4036,691,87,"Lerista chordae"
