"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
151,3435,575,46,"Lerista dorsalis"
186,5014,218,21,"Lerista dorsalis"
193,5914,222,23,"Lerista dorsalis"
160,4230,342,30,"Lerista dorsalis"
178,3839,204,16,"Lerista dorsalis"
191,5215,238,17,"Lerista dorsalis"
175,4819,253,16,"Lerista dorsalis"
181,4765,276,17,"Lerista dorsalis"
154,3622,509,44,"Lerista dorsalis"
172,4284,287,27,"Lerista dorsalis"
178,3646,231,16,"Lerista dorsalis"
178,4557,285,24,"Lerista dorsalis"
170,5248,270,11,"Lerista dorsalis"
179,3794,211,18,"Lerista dorsalis"
170,3465,389,27,"Lerista dorsalis"
166,2679,495,36,"Lerista dorsalis"
165,3433,324,36,"Lerista dorsalis"
176,3491,345,54,"Lerista dorsalis"
180,3982,194,19,"Lerista dorsalis"
142,2293,677,61,"Lerista dorsalis"
170,4615,257,23,"Lerista dorsalis"
187,4283,197,13,"Lerista dorsalis"
190,4540,186,16,"Lerista dorsalis"
166,3788,365,16,"Lerista dorsalis"
183,4912,236,26,"Lerista dorsalis"
176,3135,294,20,"Lerista dorsalis"
168,3245,444,61,"Lerista dorsalis"
167,4601,290,26,"Lerista dorsalis"
178,4042,284,32,"Lerista dorsalis"
153,3786,401,31,"Lerista dorsalis"
179,3420,251,30,"Lerista dorsalis"
181,3995,215,17,"Lerista dorsalis"
177,4190,285,40,"Lerista dorsalis"
176,3356,255,21,"Lerista dorsalis"
188,5240,210,14,"Lerista dorsalis"
191,5424,164,13,"Lerista dorsalis"
167,4132,327,33,"Lerista dorsalis"
186,4170,206,12,"Lerista dorsalis"
176,3666,267,18,"Lerista dorsalis"
177,3583,232,22,"Lerista dorsalis"
183,4080,212,16,"Lerista dorsalis"
154,5156,325,12,"Lerista dorsalis"
192,5501,167,13,"Lerista dorsalis"
180,4590,271,30,"Lerista dorsalis"
181,3908,197,17,"Lerista dorsalis"
173,4734,249,24,"Lerista dorsalis"
174,4919,237,16,"Lerista dorsalis"
168,4547,335,35,"Lerista dorsalis"
161,4363,331,28,"Lerista dorsalis"
176,3166,297,25,"Lerista dorsalis"
171,4332,316,35,"Lerista dorsalis"
161,4567,298,24,"Lerista dorsalis"
199,5777,180,17,"Lerista dorsalis"
163,3049,495,63,"Lerista dorsalis"
189,5161,201,20,"Lerista dorsalis"
157,3636,459,51,"Lerista dorsalis"
179,5070,217,28,"Lerista dorsalis"
203,5932,199,16,"Lerista dorsalis"
169,4518,340,39,"Lerista dorsalis"
170,3554,411,63,"Lerista dorsalis"
177,3287,244,22,"Lerista dorsalis"
159,2516,574,70,"Lerista dorsalis"
178,4379,301,45,"Lerista dorsalis"
188,4278,176,14,"Lerista dorsalis"
190,4554,190,19,"Lerista dorsalis"
208,6080,168,17,"Lerista dorsalis"
165,4214,421,47,"Lerista dorsalis"
210,6142,163,17,"Lerista dorsalis"
166,4664,336,45,"Lerista dorsalis"
184,3954,227,19,"Lerista dorsalis"
182,4056,268,35,"Lerista dorsalis"
170,3218,445,35,"Lerista dorsalis"
186,4145,204,17,"Lerista dorsalis"
166,4451,329,26,"Lerista dorsalis"
160,3418,376,36,"Lerista dorsalis"
