"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
194,5440,203,24,"Lerista edwardsae"
189,5294,185,13,"Lerista edwardsae"
197,5669,192,19,"Lerista edwardsae"
179,4859,245,32,"Lerista edwardsae"
189,5341,190,9,"Lerista edwardsae"
185,5062,233,22,"Lerista edwardsae"
172,3824,364,50,"Lerista edwardsae"
163,3263,405,43,"Lerista edwardsae"
163,3634,441,49,"Lerista edwardsae"
189,5287,188,14,"Lerista edwardsae"
163,4690,474,45,"Lerista edwardsae"
160,3137,381,45,"Lerista edwardsae"
156,2522,508,59,"Lerista edwardsae"
172,4736,256,22,"Lerista edwardsae"
185,5127,222,15,"Lerista edwardsae"
196,5644,237,15,"Lerista edwardsae"
172,3818,366,56,"Lerista edwardsae"
184,4769,213,20,"Lerista edwardsae"
178,3593,299,40,"Lerista edwardsae"
185,4545,207,17,"Lerista edwardsae"
171,4763,303,36,"Lerista edwardsae"
173,4433,282,16,"Lerista edwardsae"
201,5803,215,12,"Lerista edwardsae"
173,3992,326,46,"Lerista edwardsae"
180,4680,291,39,"Lerista edwardsae"
158,2451,474,53,"Lerista edwardsae"
186,4707,198,15,"Lerista edwardsae"
176,4863,281,35,"Lerista edwardsae"
171,2657,356,49,"Lerista edwardsae"
161,2773,422,49,"Lerista edwardsae"
187,5065,319,22,"Lerista edwardsae"
193,5456,211,15,"Lerista edwardsae"
180,4614,264,33,"Lerista edwardsae"
183,5082,222,20,"Lerista edwardsae"
168,4461,295,30,"Lerista edwardsae"
154,5103,341,26,"Lerista edwardsae"
179,4466,276,27,"Lerista edwardsae"
166,4453,309,17,"Lerista edwardsae"
182,4905,241,28,"Lerista edwardsae"
184,4719,242,31,"Lerista edwardsae"
156,4960,332,30,"Lerista edwardsae"
179,4851,260,37,"Lerista edwardsae"
178,3807,301,46,"Lerista edwardsae"
179,4478,275,41,"Lerista edwardsae"
167,3856,384,51,"Lerista edwardsae"
174,4495,375,39,"Lerista edwardsae"
188,5258,198,15,"Lerista edwardsae"
188,5260,199,16,"Lerista edwardsae"
170,4427,321,30,"Lerista edwardsae"
183,4928,235,25,"Lerista edwardsae"
180,4886,231,20,"Lerista edwardsae"
182,4080,249,25,"Lerista edwardsae"
206,5952,191,15,"Lerista edwardsae"
182,4886,242,22,"Lerista edwardsae"
185,4893,204,13,"Lerista edwardsae"
154,2981,536,64,"Lerista edwardsae"
178,4848,264,30,"Lerista edwardsae"
198,5744,172,14,"Lerista edwardsae"
182,4832,223,21,"Lerista edwardsae"
154,3234,451,43,"Lerista edwardsae"
180,3660,275,33,"Lerista edwardsae"
191,5353,192,13,"Lerista edwardsae"
156,3148,458,62,"Lerista edwardsae"
192,5619,205,14,"Lerista edwardsae"
182,5148,219,21,"Lerista edwardsae"
153,4875,346,30,"Lerista edwardsae"
200,5704,192,12,"Lerista edwardsae"
182,4943,221,13,"Lerista edwardsae"
173,3847,359,52,"Lerista edwardsae"
188,5266,196,16,"Lerista edwardsae"
189,5374,197,18,"Lerista edwardsae"
174,4218,359,44,"Lerista edwardsae"
157,5043,360,22,"Lerista edwardsae"
181,4548,251,32,"Lerista edwardsae"
174,4596,430,38,"Lerista edwardsae"
171,4742,308,31,"Lerista edwardsae"
180,4464,272,36,"Lerista edwardsae"
151,4541,543,47,"Lerista edwardsae"
186,4970,214,21,"Lerista edwardsae"
184,5118,213,17,"Lerista edwardsae"
174,3607,351,55,"Lerista edwardsae"
181,4544,261,21,"Lerista edwardsae"
180,4495,268,36,"Lerista edwardsae"
172,3954,347,45,"Lerista edwardsae"
181,3981,284,39,"Lerista edwardsae"
180,4945,217,19,"Lerista edwardsae"
171,3838,371,49,"Lerista edwardsae"
173,3592,374,55,"Lerista edwardsae"
178,4248,301,44,"Lerista edwardsae"
180,4499,256,24,"Lerista edwardsae"
