"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
174,4905,326,29,"Lerista gerrardii"
190,4346,573,81,"Lerista gerrardii"
208,3434,444,87,"Lerista gerrardii"
214,4034,306,89,"Lerista gerrardii"
197,5865,256,40,"Lerista gerrardii"
182,5215,365,61,"Lerista gerrardii"
188,5232,377,72,"Lerista gerrardii"
206,3821,491,87,"Lerista gerrardii"
198,5654,246,26,"Lerista gerrardii"
184,4894,501,79,"Lerista gerrardii"
188,5207,369,67,"Lerista gerrardii"
171,3518,370,28,"Lerista gerrardii"
178,4426,286,13,"Lerista gerrardii"
212,6090,294,57,"Lerista gerrardii"
182,4823,274,22,"Lerista gerrardii"
213,3389,404,91,"Lerista gerrardii"
185,4881,460,77,"Lerista gerrardii"
194,5903,318,52,"Lerista gerrardii"
175,4877,295,26,"Lerista gerrardii"
197,5897,269,28,"Lerista gerrardii"
181,5250,332,43,"Lerista gerrardii"
193,5051,422,75,"Lerista gerrardii"
172,4796,452,78,"Lerista gerrardii"
210,6101,262,52,"Lerista gerrardii"
190,4057,724,83,"Lerista gerrardii"
212,6160,258,45,"Lerista gerrardii"
196,4526,502,79,"Lerista gerrardii"
171,4137,343,16,"Lerista gerrardii"
170,4047,352,15,"Lerista gerrardii"
174,4360,302,21,"Lerista gerrardii"
197,6061,262,26,"Lerista gerrardii"
188,5303,266,29,"Lerista gerrardii"
211,6121,260,56,"Lerista gerrardii"
171,4028,329,14,"Lerista gerrardii"
171,4894,372,62,"Lerista gerrardii"
200,6029,314,46,"Lerista gerrardii"
171,4761,591,74,"Lerista gerrardii"
206,6135,233,24,"Lerista gerrardii"
182,4899,284,17,"Lerista gerrardii"
189,5493,264,36,"Lerista gerrardii"
191,5664,309,31,"Lerista gerrardii"
199,5727,251,31,"Lerista gerrardii"
182,5166,271,30,"Lerista gerrardii"
202,4205,376,84,"Lerista gerrardii"
196,5948,249,34,"Lerista gerrardii"
197,6018,257,23,"Lerista gerrardii"
194,5886,276,33,"Lerista gerrardii"
174,4230,312,13,"Lerista gerrardii"
176,5048,327,54,"Lerista gerrardii"
183,5444,361,54,"Lerista gerrardii"
195,5887,267,30,"Lerista gerrardii"
196,5983,259,28,"Lerista gerrardii"
206,5643,314,61,"Lerista gerrardii"
209,6153,238,44,"Lerista gerrardii"
210,4754,341,70,"Lerista gerrardii"
199,5992,255,27,"Lerista gerrardii"
190,5547,280,41,"Lerista gerrardii"
181,5377,346,53,"Lerista gerrardii"
197,5026,372,78,"Lerista gerrardii"
205,5374,345,64,"Lerista gerrardii"
207,5753,296,55,"Lerista gerrardii"
208,6184,258,44,"Lerista gerrardii"
182,4989,410,77,"Lerista gerrardii"
178,5186,340,43,"Lerista gerrardii"
196,6006,268,42,"Lerista gerrardii"
183,5317,296,33,"Lerista gerrardii"
176,4587,283,17,"Lerista gerrardii"
198,5911,261,27,"Lerista gerrardii"
188,5371,370,63,"Lerista gerrardii"
196,4537,484,75,"Lerista gerrardii"
188,5480,311,53,"Lerista gerrardii"
170,4105,331,17,"Lerista gerrardii"
186,5329,268,35,"Lerista gerrardii"
188,4288,620,77,"Lerista gerrardii"
203,4601,364,78,"Lerista gerrardii"
188,4954,246,28,"Lerista gerrardii"
210,6105,265,46,"Lerista gerrardii"
211,6013,273,56,"Lerista gerrardii"
174,4406,303,25,"Lerista gerrardii"
171,3981,346,24,"Lerista gerrardii"
177,5026,287,34,"Lerista gerrardii"
207,6181,237,45,"Lerista gerrardii"
173,4350,304,15,"Lerista gerrardii"
189,3691,737,88,"Lerista gerrardii"
194,5746,245,34,"Lerista gerrardii"
182,4818,275,26,"Lerista gerrardii"
200,5886,240,30,"Lerista gerrardii"
196,5632,272,28,"Lerista gerrardii"
186,5479,267,28,"Lerista gerrardii"
201,3602,568,86,"Lerista gerrardii"
196,5294,367,67,"Lerista gerrardii"
176,5067,321,51,"Lerista gerrardii"
194,5817,294,45,"Lerista gerrardii"
194,5720,250,29,"Lerista gerrardii"
181,4782,590,81,"Lerista gerrardii"
208,5117,347,70,"Lerista gerrardii"
182,5012,379,73,"Lerista gerrardii"
198,5632,301,61,"Lerista gerrardii"
180,5129,292,31,"Lerista gerrardii"
183,5209,269,35,"Lerista gerrardii"
172,4093,321,14,"Lerista gerrardii"
183,5510,352,40,"Lerista gerrardii"
200,6037,237,33,"Lerista gerrardii"
174,4135,309,26,"Lerista gerrardii"
182,4602,272,13,"Lerista gerrardii"
172,4835,363,32,"Lerista gerrardii"
203,5850,256,29,"Lerista gerrardii"
168,4430,339,41,"Lerista gerrardii"
175,4497,291,20,"Lerista gerrardii"
197,6007,256,37,"Lerista gerrardii"
211,4641,307,72,"Lerista gerrardii"
167,3679,388,21,"Lerista gerrardii"
205,5695,322,72,"Lerista gerrardii"
172,3993,326,23,"Lerista gerrardii"
179,4221,881,91,"Lerista gerrardii"
191,5759,253,28,"Lerista gerrardii"
174,5165,379,46,"Lerista gerrardii"
166,4457,335,32,"Lerista gerrardii"
204,6118,246,51,"Lerista gerrardii"
215,6001,251,50,"Lerista gerrardii"
172,4955,342,48,"Lerista gerrardii"
189,4123,694,84,"Lerista gerrardii"
192,5221,244,27,"Lerista gerrardii"
183,4416,667,83,"Lerista gerrardii"
173,4210,316,11,"Lerista gerrardii"
172,4871,367,50,"Lerista gerrardii"
197,5798,269,47,"Lerista gerrardii"
205,6133,240,24,"Lerista gerrardii"
172,4352,319,29,"Lerista gerrardii"
187,4762,494,80,"Lerista gerrardii"
192,5784,299,52,"Lerista gerrardii"
174,5064,365,34,"Lerista gerrardii"
186,5312,260,35,"Lerista gerrardii"
191,5527,322,62,"Lerista gerrardii"
