"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
245,4940,239,77,"Lerista haroldi"
248,4589,253,77,"Lerista haroldi"
244,4830,244,74,"Lerista haroldi"
246,4884,229,78,"Lerista haroldi"
243,4904,238,73,"Lerista haroldi"
243,4932,238,73,"Lerista haroldi"
238,4001,232,76,"Lerista haroldi"
239,3731,223,79,"Lerista haroldi"
247,4685,245,77,"Lerista haroldi"
240,3883,225,77,"Lerista haroldi"
245,4811,246,76,"Lerista haroldi"
238,3658,226,79,"Lerista haroldi"
237,3921,232,76,"Lerista haroldi"
245,4696,247,75,"Lerista haroldi"
247,4524,253,77,"Lerista haroldi"
238,3771,229,78,"Lerista haroldi"
244,4939,240,74,"Lerista haroldi"
243,4841,234,72,"Lerista haroldi"
239,3660,231,80,"Lerista haroldi"
240,4417,234,72,"Lerista haroldi"
242,4498,238,73,"Lerista haroldi"
237,3783,229,78,"Lerista haroldi"
237,3600,224,81,"Lerista haroldi"
248,4532,253,77,"Lerista haroldi"
244,4909,247,74,"Lerista haroldi"
238,3948,234,75,"Lerista haroldi"
244,4063,245,77,"Lerista haroldi"
247,4433,251,77,"Lerista haroldi"
244,4444,244,74,"Lerista haroldi"
242,4732,240,72,"Lerista haroldi"
242,4269,234,74,"Lerista haroldi"
241,4189,234,74,"Lerista haroldi"
240,4084,230,75,"Lerista haroldi"
245,4107,250,78,"Lerista haroldi"
240,4239,235,73,"Lerista haroldi"
242,4320,235,74,"Lerista haroldi"
241,3924,239,77,"Lerista haroldi"
243,4572,242,74,"Lerista haroldi"
237,3743,230,79,"Lerista haroldi"
244,4986,252,74,"Lerista haroldi"
243,4015,243,77,"Lerista haroldi"
243,4459,238,74,"Lerista haroldi"
244,4839,241,74,"Lerista haroldi"
241,4205,234,74,"Lerista haroldi"
244,4851,245,74,"Lerista haroldi"
245,4801,244,75,"Lerista haroldi"
244,4030,249,78,"Lerista haroldi"
240,4516,234,70,"Lerista haroldi"
245,4639,243,74,"Lerista haroldi"
243,4503,236,74,"Lerista haroldi"
244,4947,262,77,"Lerista haroldi"
246,4388,246,76,"Lerista haroldi"
236,3609,229,81,"Lerista haroldi"
239,4143,233,74,"Lerista haroldi"
238,4076,236,74,"Lerista haroldi"
243,4802,243,72,"Lerista haroldi"
242,4751,234,71,"Lerista haroldi"
243,4090,238,76,"Lerista haroldi"
246,4228,251,78,"Lerista haroldi"
242,4579,237,72,"Lerista haroldi"
236,3526,223,84,"Lerista haroldi"
241,4567,237,70,"Lerista haroldi"
247,4446,253,78,"Lerista haroldi"
236,3686,234,77,"Lerista haroldi"
241,4099,232,75,"Lerista haroldi"
238,3816,230,77,"Lerista haroldi"
245,4884,232,76,"Lerista haroldi"
244,4651,243,74,"Lerista haroldi"
238,3870,230,76,"Lerista haroldi"
240,4208,233,75,"Lerista haroldi"
247,4709,249,78,"Lerista haroldi"
244,4238,244,73,"Lerista haroldi"
244,4975,238,74,"Lerista haroldi"
246,4780,247,79,"Lerista haroldi"
245,5009,235,77,"Lerista haroldi"
248,4721,247,78,"Lerista haroldi"
243,3918,246,79,"Lerista haroldi"
244,5036,235,73,"Lerista haroldi"
243,4627,238,73,"Lerista haroldi"
242,4097,235,74,"Lerista haroldi"
242,4020,235,76,"Lerista haroldi"
245,4241,243,76,"Lerista haroldi"
245,4107,255,79,"Lerista haroldi"
242,4113,239,74,"Lerista haroldi"
239,3898,232,76,"Lerista haroldi"
245,4157,247,77,"Lerista haroldi"
238,4093,232,75,"Lerista haroldi"
245,4750,246,76,"Lerista haroldi"
244,4648,245,73,"Lerista haroldi"
243,4764,251,74,"Lerista haroldi"
244,4914,249,78,"Lerista haroldi"
244,4744,238,74,"Lerista haroldi"
241,3815,242,79,"Lerista haroldi"
239,4011,230,75,"Lerista haroldi"
243,4384,238,73,"Lerista haroldi"
243,4153,240,75,"Lerista haroldi"
244,4307,240,73,"Lerista haroldi"
244,4110,241,76,"Lerista haroldi"
237,3700,232,78,"Lerista haroldi"
241,4360,233,74,"Lerista haroldi"
238,4027,232,75,"Lerista haroldi"
242,4331,233,74,"Lerista haroldi"
242,4409,235,74,"Lerista haroldi"
243,4935,241,74,"Lerista haroldi"
239,3738,228,79,"Lerista haroldi"
243,4638,241,73,"Lerista haroldi"
246,4810,245,76,"Lerista haroldi"
246,4748,244,77,"Lerista haroldi"
240,3955,230,75,"Lerista haroldi"
244,4771,243,74,"Lerista haroldi"
246,4465,247,75,"Lerista haroldi"
244,4898,263,76,"Lerista haroldi"
245,4558,244,75,"Lerista haroldi"
245,4583,250,75,"Lerista haroldi"
243,4958,241,73,"Lerista haroldi"
243,4286,240,73,"Lerista haroldi"
239,4349,234,71,"Lerista haroldi"
246,4630,245,75,"Lerista haroldi"
238,3883,228,77,"Lerista haroldi"
246,4684,246,76,"Lerista haroldi"
244,4880,240,73,"Lerista haroldi"
241,4422,237,72,"Lerista haroldi"
247,4684,248,77,"Lerista haroldi"
243,4925,254,75,"Lerista haroldi"
247,4351,254,79,"Lerista haroldi"
244,5020,238,73,"Lerista haroldi"
238,3605,230,81,"Lerista haroldi"
238,4101,232,75,"Lerista haroldi"
243,4858,266,76,"Lerista haroldi"
241,3917,235,77,"Lerista haroldi"
242,4740,233,71,"Lerista haroldi"
248,4802,243,79,"Lerista haroldi"
242,4655,235,71,"Lerista haroldi"
244,4199,233,74,"Lerista haroldi"
246,4311,252,78,"Lerista haroldi"
241,4569,235,70,"Lerista haroldi"
236,3569,229,81,"Lerista haroldi"
244,5031,237,74,"Lerista haroldi"
239,3953,228,75,"Lerista haroldi"
243,4974,260,75,"Lerista haroldi"
238,4205,234,73,"Lerista haroldi"
240,3840,246,78,"Lerista haroldi"
243,4721,232,72,"Lerista haroldi"
237,3776,230,77,"Lerista haroldi"
243,4476,240,74,"Lerista haroldi"
247,4610,245,77,"Lerista haroldi"
244,4688,243,74,"Lerista haroldi"
240,4339,238,72,"Lerista haroldi"
243,4820,240,71,"Lerista haroldi"
244,4565,242,74,"Lerista haroldi"
241,3765,238,79,"Lerista haroldi"
242,4182,233,74,"Lerista haroldi"
240,3730,234,79,"Lerista haroldi"
240,3994,232,75,"Lerista haroldi"
246,4584,244,76,"Lerista haroldi"
240,4266,232,74,"Lerista haroldi"
244,4724,250,74,"Lerista haroldi"
246,4267,254,79,"Lerista haroldi"
240,4316,233,73,"Lerista haroldi"
246,4344,251,76,"Lerista haroldi"
239,4232,233,73,"Lerista haroldi"
240,4112,231,75,"Lerista haroldi"
243,4350,236,74,"Lerista haroldi"
242,4665,238,71,"Lerista haroldi"
245,4512,247,74,"Lerista haroldi"
244,4798,244,75,"Lerista haroldi"
245,4728,247,74,"Lerista haroldi"
240,4344,236,73,"Lerista haroldi"
245,4863,249,76,"Lerista haroldi"
238,4176,232,74,"Lerista haroldi"
241,4420,234,74,"Lerista haroldi"
242,3978,239,77,"Lerista haroldi"
245,4315,242,73,"Lerista haroldi"
247,4851,234,79,"Lerista haroldi"
245,4260,247,76,"Lerista haroldi"
247,4628,251,77,"Lerista haroldi"
237,3631,227,80,"Lerista haroldi"
241,4670,235,70,"Lerista haroldi"
245,4361,243,75,"Lerista haroldi"
243,4752,243,72,"Lerista haroldi"
247,4514,249,76,"Lerista haroldi"
244,4407,241,73,"Lerista haroldi"
241,4508,238,70,"Lerista haroldi"
244,4463,244,73,"Lerista haroldi"
242,4438,236,74,"Lerista haroldi"
241,3846,233,78,"Lerista haroldi"
237,4017,233,74,"Lerista haroldi"
245,4230,249,77,"Lerista haroldi"
244,5060,235,74,"Lerista haroldi"
241,4012,232,75,"Lerista haroldi"
243,4836,242,73,"Lerista haroldi"
245,4547,245,74,"Lerista haroldi"
240,4426,234,71,"Lerista haroldi"
242,4025,239,76,"Lerista haroldi"
243,4548,236,73,"Lerista haroldi"
245,4424,245,74,"Lerista haroldi"
237,3831,230,78,"Lerista haroldi"
243,4577,241,73,"Lerista haroldi"
240,4493,235,70,"Lerista haroldi"
243,4874,239,73,"Lerista haroldi"
244,5035,242,76,"Lerista haroldi"
243,3948,251,79,"Lerista haroldi"
