"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
256,6275,280,63,"Lerista ips"
260,5639,382,85,"Lerista ips"
267,5219,339,88,"Lerista ips"
264,5243,397,86,"Lerista ips"
241,6346,225,52,"Lerista ips"
236,6350,270,50,"Lerista ips"
255,5826,400,68,"Lerista ips"
264,5218,408,84,"Lerista ips"
249,6373,251,58,"Lerista ips"
269,5601,334,84,"Lerista ips"
271,5616,316,83,"Lerista ips"
267,5197,337,87,"Lerista ips"
258,5594,371,73,"Lerista ips"
247,6230,304,61,"Lerista ips"
261,6057,325,66,"Lerista ips"
260,6121,294,65,"Lerista ips"
270,5953,304,75,"Lerista ips"
239,6353,224,49,"Lerista ips"
262,5935,346,72,"Lerista ips"
243,6375,230,52,"Lerista ips"
259,5271,423,83,"Lerista ips"
264,6001,313,71,"Lerista ips"
266,5647,319,74,"Lerista ips"
243,6379,215,46,"Lerista ips"
265,5149,429,85,"Lerista ips"
269,5635,347,82,"Lerista ips"
256,5934,354,76,"Lerista ips"
258,6324,261,64,"Lerista ips"
249,6293,306,56,"Lerista ips"
271,4952,371,97,"Lerista ips"
254,6206,324,62,"Lerista ips"
229,6277,234,41,"Lerista ips"
257,5873,352,78,"Lerista ips"
264,5711,340,76,"Lerista ips"
261,6114,283,66,"Lerista ips"
257,5374,438,82,"Lerista ips"
257,6190,298,61,"Lerista ips"
256,5750,366,81,"Lerista ips"
267,5184,358,86,"Lerista ips"
233,6307,209,41,"Lerista ips"
264,5795,336,70,"Lerista ips"
263,5626,347,80,"Lerista ips"
266,5550,344,82,"Lerista ips"
257,5953,334,64,"Lerista ips"
246,6189,323,64,"Lerista ips"
248,6332,269,56,"Lerista ips"
259,6129,310,64,"Lerista ips"
264,6003,315,72,"Lerista ips"
237,6318,229,46,"Lerista ips"
263,5195,421,85,"Lerista ips"
264,5605,332,79,"Lerista ips"
258,5634,386,74,"Lerista ips"
261,5570,385,75,"Lerista ips"
254,6265,306,61,"Lerista ips"
258,5830,346,67,"Lerista ips"
267,5010,409,98,"Lerista ips"
247,6154,349,65,"Lerista ips"
262,5640,353,78,"Lerista ips"
244,6369,204,48,"Lerista ips"
264,5811,351,73,"Lerista ips"
236,6340,200,42,"Lerista ips"
245,6385,243,54,"Lerista ips"
267,6171,265,69,"Lerista ips"
270,5517,314,86,"Lerista ips"
244,6339,233,54,"Lerista ips"
253,5882,379,65,"Lerista ips"
256,5717,393,69,"Lerista ips"
260,6120,280,62,"Lerista ips"
267,5428,332,86,"Lerista ips"
260,6211,303,69,"Lerista ips"
276,4680,413,105,"Lerista ips"
265,5257,370,89,"Lerista ips"
265,5759,344,77,"Lerista ips"
230,6287,208,40,"Lerista ips"
261,6020,323,65,"Lerista ips"
268,5147,343,91,"Lerista ips"
243,6084,326,64,"Lerista ips"
255,6212,255,58,"Lerista ips"
249,6376,255,59,"Lerista ips"
265,5588,337,82,"Lerista ips"
262,5401,387,80,"Lerista ips"
265,5701,325,73,"Lerista ips"
241,6170,313,62,"Lerista ips"
264,5563,350,83,"Lerista ips"
273,4775,428,105,"Lerista ips"
255,6301,265,60,"Lerista ips"
271,4924,388,95,"Lerista ips"
254,6084,322,62,"Lerista ips"
243,6346,240,55,"Lerista ips"
257,6327,259,63,"Lerista ips"
259,6177,297,62,"Lerista ips"
244,6362,249,54,"Lerista ips"
259,6197,294,66,"Lerista ips"
265,5492,330,80,"Lerista ips"
256,6179,313,60,"Lerista ips"
252,6298,249,58,"Lerista ips"
254,6021,356,72,"Lerista ips"
263,5352,368,83,"Lerista ips"
254,5956,377,70,"Lerista ips"
260,5592,404,75,"Lerista ips"
264,5238,378,83,"Lerista ips"
257,5811,368,79,"Lerista ips"
255,5719,450,83,"Lerista ips"
266,5483,348,81,"Lerista ips"
250,6199,263,58,"Lerista ips"
248,6374,250,52,"Lerista ips"
259,6095,286,62,"Lerista ips"
264,5873,347,70,"Lerista ips"
241,6384,240,52,"Lerista ips"
260,6158,314,65,"Lerista ips"
265,5762,330,73,"Lerista ips"
237,6259,310,58,"Lerista ips"
264,5348,372,82,"Lerista ips"
240,6355,203,45,"Lerista ips"
253,6012,309,62,"Lerista ips"
257,5848,364,78,"Lerista ips"
236,6352,268,54,"Lerista ips"
264,5879,322,71,"Lerista ips"
