"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
211,3694,368,97,"Lerista kendricki"
221,2909,277,97,"Lerista kendricki"
215,3218,346,94,"Lerista kendricki"
221,4346,257,78,"Lerista kendricki"
220,3643,293,91,"Lerista kendricki"
223,4200,244,78,"Lerista kendricki"
214,3720,339,93,"Lerista kendricki"
213,4259,333,80,"Lerista kendricki"
219,3044,336,95,"Lerista kendricki"
223,2942,228,79,"Lerista kendricki"
222,3441,283,93,"Lerista kendricki"
224,3154,248,83,"Lerista kendricki"
221,4027,267,81,"Lerista kendricki"
224,3870,239,84,"Lerista kendricki"
219,3179,310,96,"Lerista kendricki"
221,2780,269,95,"Lerista kendricki"
225,3459,248,81,"Lerista kendricki"
225,2882,223,78,"Lerista kendricki"
218,3968,312,86,"Lerista kendricki"
212,3756,384,90,"Lerista kendricki"
214,2701,358,96,"Lerista kendricki"
219,4272,271,82,"Lerista kendricki"
220,2631,276,93,"Lerista kendricki"
221,3805,263,84,"Lerista kendricki"
212,3531,396,90,"Lerista kendricki"
214,3982,314,89,"Lerista kendricki"
219,2433,272,93,"Lerista kendricki"
220,4382,274,76,"Lerista kendricki"
217,3722,313,92,"Lerista kendricki"
221,2755,264,93,"Lerista kendricki"
219,2778,270,96,"Lerista kendricki"
225,3958,231,79,"Lerista kendricki"
224,3623,249,84,"Lerista kendricki"
214,4449,309,79,"Lerista kendricki"
223,2875,216,76,"Lerista kendricki"
220,2735,272,98,"Lerista kendricki"
217,3614,315,95,"Lerista kendricki"
222,3355,278,94,"Lerista kendricki"
212,3828,338,91,"Lerista kendricki"
218,3254,292,98,"Lerista kendricki"
220,2447,262,93,"Lerista kendricki"
219,4430,270,77,"Lerista kendricki"
216,3690,323,92,"Lerista kendricki"
216,4034,358,87,"Lerista kendricki"
220,3741,280,87,"Lerista kendricki"
216,3743,314,93,"Lerista kendricki"
219,2411,257,90,"Lerista kendricki"
213,4166,314,85,"Lerista kendricki"
224,3668,264,84,"Lerista kendricki"
215,4346,301,81,"Lerista kendricki"
214,4185,335,81,"Lerista kendricki"
218,3926,304,88,"Lerista kendricki"
223,3532,247,84,"Lerista kendricki"
225,2903,212,79,"Lerista kendricki"
218,3533,299,96,"Lerista kendricki"
218,2423,275,91,"Lerista kendricki"
212,3769,346,93,"Lerista kendricki"
216,4510,287,78,"Lerista kendricki"
226,3498,238,84,"Lerista kendricki"
219,2408,274,89,"Lerista kendricki"
223,4152,244,78,"Lerista kendricki"
214,3694,325,95,"Lerista kendricki"
210,3642,404,96,"Lerista kendricki"
219,4024,285,86,"Lerista kendricki"
213,3952,310,90,"Lerista kendricki"
221,3656,285,88,"Lerista kendricki"
221,3565,280,92,"Lerista kendricki"
226,4028,222,78,"Lerista kendricki"
213,4075,381,85,"Lerista kendricki"
223,3436,259,91,"Lerista kendricki"
217,4177,286,85,"Lerista kendricki"
217,3704,322,92,"Lerista kendricki"
211,3566,414,93,"Lerista kendricki"
225,3279,251,82,"Lerista kendricki"
221,3692,265,86,"Lerista kendricki"
220,3130,294,99,"Lerista kendricki"
216,4472,285,79,"Lerista kendricki"
211,3779,408,93,"Lerista kendricki"
212,4054,334,87,"Lerista kendricki"
213,4385,320,80,"Lerista kendricki"
220,3757,288,88,"Lerista kendricki"
218,4477,270,77,"Lerista kendricki"
214,4467,326,79,"Lerista kendricki"
224,3460,252,84,"Lerista kendricki"
211,3973,359,88,"Lerista kendricki"
215,3582,317,98,"Lerista kendricki"
218,3496,359,90,"Lerista kendricki"
219,3600,301,92,"Lerista kendricki"
219,3703,302,91,"Lerista kendricki"
219,2932,295,99,"Lerista kendricki"
221,2790,282,94,"Lerista kendricki"
225,2815,216,80,"Lerista kendricki"
220,3941,275,85,"Lerista kendricki"
216,4061,290,87,"Lerista kendricki"
211,3395,371,97,"Lerista kendricki"
215,4251,302,82,"Lerista kendricki"
223,2931,236,79,"Lerista kendricki"
214,4412,301,81,"Lerista kendricki"
222,3529,278,91,"Lerista kendricki"
220,2717,291,95,"Lerista kendricki"
220,4297,270,79,"Lerista kendricki"
221,4087,262,81,"Lerista kendricki"
221,2495,261,93,"Lerista kendricki"
216,2448,284,94,"Lerista kendricki"
223,2919,228,76,"Lerista kendricki"
219,2636,304,96,"Lerista kendricki"
223,3046,240,78,"Lerista kendricki"
221,2703,259,94,"Lerista kendricki"
222,3575,262,89,"Lerista kendricki"
221,3167,324,93,"Lerista kendricki"
223,2998,243,80,"Lerista kendricki"
223,4155,252,76,"Lerista kendricki"
214,3825,323,91,"Lerista kendricki"
222,2893,257,95,"Lerista kendricki"
211,4016,349,90,"Lerista kendricki"
219,2451,262,94,"Lerista kendricki"
221,2938,338,95,"Lerista kendricki"
220,3406,296,96,"Lerista kendricki"
220,3385,301,97,"Lerista kendricki"
218,3469,307,97,"Lerista kendricki"
221,3939,262,83,"Lerista kendricki"
224,2858,217,76,"Lerista kendricki"
212,4119,348,85,"Lerista kendricki"
223,3544,269,89,"Lerista kendricki"
210,3819,399,92,"Lerista kendricki"
215,3350,361,92,"Lerista kendricki"
222,3627,269,90,"Lerista kendricki"
223,3015,223,80,"Lerista kendricki"
219,3412,300,97,"Lerista kendricki"
218,3826,313,89,"Lerista kendricki"
221,2409,252,87,"Lerista kendricki"
219,2432,271,92,"Lerista kendricki"
220,2635,298,93,"Lerista kendricki"
221,3875,271,84,"Lerista kendricki"
223,2792,236,79,"Lerista kendricki"
221,2759,265,92,"Lerista kendricki"
224,3108,240,77,"Lerista kendricki"
