"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
246,5561,245,74,"Lerista kennedyensis"
244,5733,222,66,"Lerista kennedyensis"
241,5811,254,72,"Lerista kennedyensis"
242,5229,224,75,"Lerista kennedyensis"
246,5632,231,73,"Lerista kennedyensis"
241,5723,266,72,"Lerista kennedyensis"
243,5216,221,75,"Lerista kennedyensis"
236,5278,229,73,"Lerista kennedyensis"
244,5587,226,75,"Lerista kennedyensis"
242,5745,245,71,"Lerista kennedyensis"
243,5812,222,70,"Lerista kennedyensis"
242,5803,236,70,"Lerista kennedyensis"
246,5613,235,72,"Lerista kennedyensis"
246,5656,220,72,"Lerista kennedyensis"
245,5697,217,69,"Lerista kennedyensis"
235,5330,222,71,"Lerista kennedyensis"
246,5671,213,74,"Lerista kennedyensis"
244,5519,217,69,"Lerista kennedyensis"
245,5634,217,72,"Lerista kennedyensis"
236,5315,238,74,"Lerista kennedyensis"
243,5458,214,71,"Lerista kennedyensis"
244,5523,251,74,"Lerista kennedyensis"
246,5698,212,73,"Lerista kennedyensis"
242,5299,220,73,"Lerista kennedyensis"
243,5779,240,70,"Lerista kennedyensis"
241,5241,214,74,"Lerista kennedyensis"
244,5760,230,71,"Lerista kennedyensis"
233,5368,245,72,"Lerista kennedyensis"
243,5513,221,74,"Lerista kennedyensis"
241,5593,222,64,"Lerista kennedyensis"
241,5218,232,74,"Lerista kennedyensis"
236,5309,231,73,"Lerista kennedyensis"
247,5696,237,73,"Lerista kennedyensis"
234,5397,213,73,"Lerista kennedyensis"
241,5371,218,69,"Lerista kennedyensis"
242,5764,246,71,"Lerista kennedyensis"
248,5648,236,72,"Lerista kennedyensis"
242,5849,257,68,"Lerista kennedyensis"
245,5691,213,73,"Lerista kennedyensis"
244,5866,256,70,"Lerista kennedyensis"
245,5642,218,67,"Lerista kennedyensis"
244,5705,219,71,"Lerista kennedyensis"
246,5652,226,73,"Lerista kennedyensis"
238,5477,212,65,"Lerista kennedyensis"
244,5633,242,72,"Lerista kennedyensis"
243,5538,218,74,"Lerista kennedyensis"
243,5418,221,72,"Lerista kennedyensis"
244,5529,252,74,"Lerista kennedyensis"
242,5303,200,74,"Lerista kennedyensis"
244,5512,221,73,"Lerista kennedyensis"
236,5358,223,74,"Lerista kennedyensis"
247,5637,221,72,"Lerista kennedyensis"
239,5398,218,63,"Lerista kennedyensis"
237,5265,236,74,"Lerista kennedyensis"
247,5658,226,72,"Lerista kennedyensis"
245,5739,216,68,"Lerista kennedyensis"
241,5374,217,71,"Lerista kennedyensis"
241,5250,244,75,"Lerista kennedyensis"
242,5302,207,75,"Lerista kennedyensis"
244,5721,229,72,"Lerista kennedyensis"
242,5483,230,74,"Lerista kennedyensis"
242,5238,219,73,"Lerista kennedyensis"
243,5520,220,73,"Lerista kennedyensis"
237,5349,231,73,"Lerista kennedyensis"
245,5541,263,74,"Lerista kennedyensis"
244,5707,223,68,"Lerista kennedyensis"
241,5249,215,75,"Lerista kennedyensis"
231,5414,273,72,"Lerista kennedyensis"
247,5609,244,72,"Lerista kennedyensis"
243,5732,233,63,"Lerista kennedyensis"
241,5230,202,70,"Lerista kennedyensis"
244,5833,219,65,"Lerista kennedyensis"
242,5541,243,74,"Lerista kennedyensis"
243,5768,219,71,"Lerista kennedyensis"
236,5405,248,74,"Lerista kennedyensis"
239,5312,203,74,"Lerista kennedyensis"
247,5639,222,71,"Lerista kennedyensis"
243,5557,232,73,"Lerista kennedyensis"
238,5231,229,68,"Lerista kennedyensis"
245,5596,233,74,"Lerista kennedyensis"
236,5460,272,69,"Lerista kennedyensis"
243,5737,225,71,"Lerista kennedyensis"
242,5409,219,71,"Lerista kennedyensis"
243,5500,250,74,"Lerista kennedyensis"
243,5460,215,71,"Lerista kennedyensis"
243,5575,235,73,"Lerista kennedyensis"
244,5474,230,74,"Lerista kennedyensis"
245,5704,241,72,"Lerista kennedyensis"
243,5528,228,75,"Lerista kennedyensis"
246,5664,225,71,"Lerista kennedyensis"
237,5502,271,71,"Lerista kennedyensis"
246,5577,255,74,"Lerista kennedyensis"
242,5814,257,71,"Lerista kennedyensis"
239,5444,208,62,"Lerista kennedyensis"
241,5308,223,73,"Lerista kennedyensis"
244,5738,226,72,"Lerista kennedyensis"
236,5429,255,74,"Lerista kennedyensis"
244,5352,222,75,"Lerista kennedyensis"
246,5685,206,72,"Lerista kennedyensis"
244,5570,220,72,"Lerista kennedyensis"
245,5577,233,73,"Lerista kennedyensis"
241,5293,220,75,"Lerista kennedyensis"
243,5533,239,75,"Lerista kennedyensis"
240,5258,232,73,"Lerista kennedyensis"
244,5499,253,76,"Lerista kennedyensis"
244,5815,209,63,"Lerista kennedyensis"
240,5334,219,65,"Lerista kennedyensis"
244,5663,215,68,"Lerista kennedyensis"
241,5545,222,66,"Lerista kennedyensis"
243,5494,249,74,"Lerista kennedyensis"
242,5844,250,70,"Lerista kennedyensis"
242,5505,219,67,"Lerista kennedyensis"
247,5617,240,73,"Lerista kennedyensis"
244,5215,222,75,"Lerista kennedyensis"
244,5741,213,73,"Lerista kennedyensis"
243,5788,224,70,"Lerista kennedyensis"
245,5482,209,75,"Lerista kennedyensis"
241,5297,213,73,"Lerista kennedyensis"
237,5388,235,74,"Lerista kennedyensis"
242,5791,233,70,"Lerista kennedyensis"
243,5847,228,65,"Lerista kennedyensis"
247,5636,223,72,"Lerista kennedyensis"
243,5717,221,70,"Lerista kennedyensis"
241,5353,230,75,"Lerista kennedyensis"
243,5719,226,71,"Lerista kennedyensis"
244,5555,218,72,"Lerista kennedyensis"
242,5225,229,73,"Lerista kennedyensis"
243,5229,223,76,"Lerista kennedyensis"
238,5272,231,74,"Lerista kennedyensis"
245,5487,215,76,"Lerista kennedyensis"
243,5217,217,74,"Lerista kennedyensis"
239,5448,266,71,"Lerista kennedyensis"
245,5686,216,72,"Lerista kennedyensis"
244,5564,222,72,"Lerista kennedyensis"
236,5393,238,70,"Lerista kennedyensis"
244,5623,233,66,"Lerista kennedyensis"
236,5303,216,73,"Lerista kennedyensis"
245,5518,253,75,"Lerista kennedyensis"
243,5582,241,70,"Lerista kennedyensis"
240,5334,210,67,"Lerista kennedyensis"
242,5211,234,75,"Lerista kennedyensis"
242,5482,230,74,"Lerista kennedyensis"
243,5711,221,71,"Lerista kennedyensis"
238,5438,231,65,"Lerista kennedyensis"
243,5703,243,64,"Lerista kennedyensis"
239,5254,221,73,"Lerista kennedyensis"
241,5348,201,73,"Lerista kennedyensis"
240,5227,224,68,"Lerista kennedyensis"
233,5402,246,74,"Lerista kennedyensis"
245,5604,234,73,"Lerista kennedyensis"
246,5337,214,77,"Lerista kennedyensis"
240,5332,210,65,"Lerista kennedyensis"
242,5213,227,74,"Lerista kennedyensis"
244,5702,218,71,"Lerista kennedyensis"
245,5709,212,71,"Lerista kennedyensis"
233,5403,268,72,"Lerista kennedyensis"
240,5373,211,65,"Lerista kennedyensis"
245,5735,237,74,"Lerista kennedyensis"
245,5606,221,72,"Lerista kennedyensis"
241,5748,254,73,"Lerista kennedyensis"
244,5740,224,72,"Lerista kennedyensis"
243,5787,216,66,"Lerista kennedyensis"
242,5596,260,65,"Lerista kennedyensis"
244,5652,224,65,"Lerista kennedyensis"
241,5395,214,75,"Lerista kennedyensis"
245,5728,218,73,"Lerista kennedyensis"
242,5803,236,70,"Lerista kennedyensis"
245,5681,221,71,"Lerista kennedyensis"
245,5573,248,73,"Lerista kennedyensis"
236,5464,257,71,"Lerista kennedyensis"
244,5276,233,80,"Lerista kennedyensis"
235,5371,226,74,"Lerista kennedyensis"
243,5265,204,75,"Lerista kennedyensis"
245,5695,218,73,"Lerista kennedyensis"
244,5694,227,72,"Lerista kennedyensis"
247,5645,224,71,"Lerista kennedyensis"
246,5681,218,72,"Lerista kennedyensis"
245,5696,220,72,"Lerista kennedyensis"
238,5299,243,74,"Lerista kennedyensis"
243,5351,210,74,"Lerista kennedyensis"
240,5427,220,70,"Lerista kennedyensis"
234,5333,205,74,"Lerista kennedyensis"
245,5486,207,75,"Lerista kennedyensis"
245,5685,228,72,"Lerista kennedyensis"
245,5356,204,76,"Lerista kennedyensis"
244,5791,219,70,"Lerista kennedyensis"
244,5581,236,67,"Lerista kennedyensis"
240,5419,208,64,"Lerista kennedyensis"
238,5237,240,75,"Lerista kennedyensis"
234,5325,217,73,"Lerista kennedyensis"
241,5250,231,77,"Lerista kennedyensis"
246,5701,231,71,"Lerista kennedyensis"
244,5487,228,74,"Lerista kennedyensis"
241,5355,209,74,"Lerista kennedyensis"
242,5820,258,72,"Lerista kennedyensis"
245,5637,212,69,"Lerista kennedyensis"
244,5317,207,78,"Lerista kennedyensis"
246,5545,248,74,"Lerista kennedyensis"
241,5752,245,70,"Lerista kennedyensis"
241,5414,236,75,"Lerista kennedyensis"
242,5252,226,74,"Lerista kennedyensis"
241,5304,209,67,"Lerista kennedyensis"
241,5265,222,76,"Lerista kennedyensis"
240,5355,206,72,"Lerista kennedyensis"
243,5539,218,72,"Lerista kennedyensis"
242,5805,239,69,"Lerista kennedyensis"
242,5780,244,71,"Lerista kennedyensis"
245,5503,268,75,"Lerista kennedyensis"
240,5290,239,75,"Lerista kennedyensis"
234,5327,226,72,"Lerista kennedyensis"
242,5458,243,72,"Lerista kennedyensis"
240,5428,207,64,"Lerista kennedyensis"
243,5698,235,67,"Lerista kennedyensis"
239,5274,229,69,"Lerista kennedyensis"
244,5719,227,72,"Lerista kennedyensis"
242,5533,249,74,"Lerista kennedyensis"
242,5248,210,75,"Lerista kennedyensis"
245,5745,217,69,"Lerista kennedyensis"
243,5518,219,72,"Lerista kennedyensis"
242,5505,226,73,"Lerista kennedyensis"
242,5599,226,63,"Lerista kennedyensis"
246,5570,252,74,"Lerista kennedyensis"
241,5469,242,72,"Lerista kennedyensis"
234,5387,254,74,"Lerista kennedyensis"
245,5571,247,74,"Lerista kennedyensis"
243,5744,228,70,"Lerista kennedyensis"
243,5588,237,66,"Lerista kennedyensis"
242,5361,224,72,"Lerista kennedyensis"
244,5874,247,68,"Lerista kennedyensis"
242,5419,216,70,"Lerista kennedyensis"
240,5379,218,69,"Lerista kennedyensis"
247,5613,252,73,"Lerista kennedyensis"
246,5577,252,73,"Lerista kennedyensis"
243,5767,227,68,"Lerista kennedyensis"
238,5516,233,66,"Lerista kennedyensis"
238,5385,213,68,"Lerista kennedyensis"
245,5708,218,72,"Lerista kennedyensis"
241,5777,254,72,"Lerista kennedyensis"
244,5772,236,63,"Lerista kennedyensis"
242,5328,221,72,"Lerista kennedyensis"
244,5566,221,67,"Lerista kennedyensis"
237,5350,234,73,"Lerista kennedyensis"
247,5617,230,72,"Lerista kennedyensis"
238,5397,236,74,"Lerista kennedyensis"
242,5436,213,71,"Lerista kennedyensis"
245,5515,255,76,"Lerista kennedyensis"
234,5392,214,73,"Lerista kennedyensis"
238,5539,235,66,"Lerista kennedyensis"
246,5662,221,72,"Lerista kennedyensis"
238,5308,210,73,"Lerista kennedyensis"
246,5664,208,72,"Lerista kennedyensis"
246,5686,235,72,"Lerista kennedyensis"
246,5679,218,72,"Lerista kennedyensis"
241,5356,205,71,"Lerista kennedyensis"
242,5798,239,64,"Lerista kennedyensis"
241,5486,219,68,"Lerista kennedyensis"
243,5723,236,67,"Lerista kennedyensis"
247,5653,216,72,"Lerista kennedyensis"
241,5312,218,76,"Lerista kennedyensis"
242,5502,225,72,"Lerista kennedyensis"
244,5389,201,75,"Lerista kennedyensis"
242,5755,249,71,"Lerista kennedyensis"
237,5349,237,72,"Lerista kennedyensis"
240,5483,216,69,"Lerista kennedyensis"
244,5750,228,71,"Lerista kennedyensis"
244,5694,230,63,"Lerista kennedyensis"
240,5336,220,74,"Lerista kennedyensis"
242,5276,208,77,"Lerista kennedyensis"
243,5749,242,73,"Lerista kennedyensis"
238,5536,230,64,"Lerista kennedyensis"
245,5715,220,73,"Lerista kennedyensis"
247,5719,241,73,"Lerista kennedyensis"
239,5246,221,69,"Lerista kennedyensis"
