"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,6513,154,28,"Lerista labialis"
194,5500,238,19,"Lerista labialis"
237,6621,182,41,"Lerista labialis"
217,6439,233,44,"Lerista labialis"
198,5744,175,19,"Lerista labialis"
224,6373,256,45,"Lerista labialis"
239,5323,389,92,"Lerista labialis"
226,6496,187,40,"Lerista labialis"
191,5385,207,16,"Lerista labialis"
233,6448,175,48,"Lerista labialis"
245,6576,172,62,"Lerista labialis"
222,6054,205,31,"Lerista labialis"
246,6331,259,67,"Lerista labialis"
189,5300,181,15,"Lerista labialis"
189,5199,187,12,"Lerista labialis"
238,6497,155,48,"Lerista labialis"
230,6250,231,41,"Lerista labialis"
237,6612,155,45,"Lerista labialis"
207,6345,313,48,"Lerista labialis"
271,4025,314,102,"Lerista labialis"
242,6382,219,45,"Lerista labialis"
206,6130,185,23,"Lerista labialis"
229,6439,298,48,"Lerista labialis"
192,5320,219,15,"Lerista labialis"
255,6254,299,61,"Lerista labialis"
240,6365,221,44,"Lerista labialis"
235,6426,208,61,"Lerista labialis"
245,6371,199,47,"Lerista labialis"
262,5908,256,78,"Lerista labialis"
200,6008,170,32,"Lerista labialis"
237,6348,246,48,"Lerista labialis"
213,6316,296,43,"Lerista labialis"
187,5235,220,18,"Lerista labialis"
197,5656,179,18,"Lerista labialis"
230,6446,285,50,"Lerista labialis"
256,6306,260,61,"Lerista labialis"
210,6361,238,30,"Lerista labialis"
198,5835,167,16,"Lerista labialis"
255,4929,413,96,"Lerista labialis"
241,6602,154,57,"Lerista labialis"
242,6588,189,46,"Lerista labialis"
198,6126,241,18,"Lerista labialis"
244,6173,224,64,"Lerista labialis"
242,6388,204,59,"Lerista labialis"
238,6542,182,48,"Lerista labialis"
235,6336,214,53,"Lerista labialis"
211,6162,177,27,"Lerista labialis"
194,5534,188,13,"Lerista labialis"
204,5750,244,45,"Lerista labialis"
218,6266,274,40,"Lerista labialis"
239,6640,164,54,"Lerista labialis"
182,4902,194,16,"Lerista labialis"
203,5167,206,20,"Lerista labialis"
227,6566,144,32,"Lerista labialis"
269,4948,323,91,"Lerista labialis"
220,6074,225,32,"Lerista labialis"
193,5464,197,16,"Lerista labialis"
183,4507,179,15,"Lerista labialis"
198,6157,296,38,"Lerista labialis"
195,5455,179,13,"Lerista labialis"
186,5218,215,18,"Lerista labialis"
246,6558,181,59,"Lerista labialis"
236,6625,159,47,"Lerista labialis"
235,6675,169,46,"Lerista labialis"
236,6350,226,60,"Lerista labialis"
196,5678,156,22,"Lerista labialis"
242,5826,295,78,"Lerista labialis"
195,6062,235,17,"Lerista labialis"
206,6251,214,35,"Lerista labialis"
204,6110,230,36,"Lerista labialis"
196,5855,222,25,"Lerista labialis"
200,5455,230,21,"Lerista labialis"
219,6463,207,38,"Lerista labialis"
206,6236,185,19,"Lerista labialis"
262,5807,277,83,"Lerista labialis"
221,6470,178,23,"Lerista labialis"
253,5324,319,81,"Lerista labialis"
194,5603,195,19,"Lerista labialis"
250,6274,263,69,"Lerista labialis"
232,6304,210,39,"Lerista labialis"
242,6258,251,60,"Lerista labialis"
227,6409,237,47,"Lerista labialis"
211,6291,171,23,"Lerista labialis"
239,6605,184,42,"Lerista labialis"
225,6472,272,43,"Lerista labialis"
187,4806,170,15,"Lerista labialis"
204,6188,173,27,"Lerista labialis"
190,5291,219,15,"Lerista labialis"
187,5181,223,13,"Lerista labialis"
199,5874,156,23,"Lerista labialis"
185,4834,192,12,"Lerista labialis"
193,4911,199,15,"Lerista labialis"
199,5642,175,16,"Lerista labialis"
197,5597,270,23,"Lerista labialis"
236,6099,300,52,"Lerista labialis"
