"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
225,4811,248,69,"Lerista maculosa"
224,4711,259,72,"Lerista maculosa"
222,5313,250,65,"Lerista maculosa"
221,4722,260,74,"Lerista maculosa"
221,4831,256,71,"Lerista maculosa"
221,4910,258,68,"Lerista maculosa"
222,5100,244,67,"Lerista maculosa"
225,4953,234,68,"Lerista maculosa"
225,5132,239,67,"Lerista maculosa"
224,4756,250,72,"Lerista maculosa"
226,4920,247,67,"Lerista maculosa"
223,4832,241,72,"Lerista maculosa"
219,4669,278,73,"Lerista maculosa"
224,5177,243,66,"Lerista maculosa"
221,4997,252,68,"Lerista maculosa"
223,5170,237,66,"Lerista maculosa"
222,5271,249,62,"Lerista maculosa"
225,4886,254,69,"Lerista maculosa"
223,4989,252,69,"Lerista maculosa"
223,4903,244,69,"Lerista maculosa"
225,4767,248,70,"Lerista maculosa"
221,4629,255,76,"Lerista maculosa"
221,5288,250,61,"Lerista maculosa"
226,5268,223,65,"Lerista maculosa"
228,5114,225,68,"Lerista maculosa"
221,4902,263,68,"Lerista maculosa"
224,5305,232,66,"Lerista maculosa"
219,5111,269,66,"Lerista maculosa"
220,4632,267,77,"Lerista maculosa"
225,5035,243,69,"Lerista maculosa"
222,4716,253,74,"Lerista maculosa"
225,4878,249,68,"Lerista maculosa"
222,4843,256,69,"Lerista maculosa"
221,5190,250,64,"Lerista maculosa"
224,4712,265,72,"Lerista maculosa"
228,5177,222,67,"Lerista maculosa"
220,5136,263,65,"Lerista maculosa"
220,4781,271,72,"Lerista maculosa"
226,5093,241,67,"Lerista maculosa"
223,4641,254,73,"Lerista maculosa"
226,5171,232,66,"Lerista maculosa"
224,5234,231,66,"Lerista maculosa"
225,5318,256,64,"Lerista maculosa"
220,4972,262,67,"Lerista maculosa"
220,5051,254,65,"Lerista maculosa"
224,4833,252,69,"Lerista maculosa"
227,5030,238,68,"Lerista maculosa"
222,5189,250,63,"Lerista maculosa"
227,5032,233,68,"Lerista maculosa"
224,4916,235,68,"Lerista maculosa"
225,5201,242,66,"Lerista maculosa"
223,5251,242,64,"Lerista maculosa"
226,5332,220,66,"Lerista maculosa"
220,5051,261,66,"Lerista maculosa"
225,4803,245,70,"Lerista maculosa"
226,5238,235,64,"Lerista maculosa"
226,5246,238,66,"Lerista maculosa"
225,5001,251,70,"Lerista maculosa"
225,5089,229,69,"Lerista maculosa"
223,5085,245,67,"Lerista maculosa"
223,5019,244,68,"Lerista maculosa"
221,4987,265,66,"Lerista maculosa"
227,5310,230,66,"Lerista maculosa"
222,4672,257,75,"Lerista maculosa"
222,5215,247,63,"Lerista maculosa"
