"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
232,4073,216,71,"Lerista planiventralis"
221,3400,290,95,"Lerista planiventralis"
251,3494,269,79,"Lerista planiventralis"
232,3187,244,89,"Lerista planiventralis"
237,3616,227,80,"Lerista planiventralis"
220,3673,287,90,"Lerista planiventralis"
228,3856,225,80,"Lerista planiventralis"
250,3628,276,79,"Lerista planiventralis"
239,3402,214,83,"Lerista planiventralis"
211,3727,368,97,"Lerista planiventralis"
211,4675,306,72,"Lerista planiventralis"
185,4776,516,73,"Lerista planiventralis"
202,4290,478,85,"Lerista planiventralis"
185,4520,603,86,"Lerista planiventralis"
219,4424,273,76,"Lerista planiventralis"
211,3598,408,95,"Lerista planiventralis"
204,4183,484,81,"Lerista planiventralis"
218,3837,301,88,"Lerista planiventralis"
190,4539,521,79,"Lerista planiventralis"
190,3751,727,84,"Lerista planiventralis"
203,4677,372,76,"Lerista planiventralis"
224,4394,246,75,"Lerista planiventralis"
248,4205,262,80,"Lerista planiventralis"
212,3815,384,91,"Lerista planiventralis"
243,3897,245,78,"Lerista planiventralis"
217,4215,283,83,"Lerista planiventralis"
242,3403,256,76,"Lerista planiventralis"
242,3832,270,84,"Lerista planiventralis"
206,3538,405,91,"Lerista planiventralis"
260,4501,280,83,"Lerista planiventralis"
238,3481,252,82,"Lerista planiventralis"
248,4131,243,79,"Lerista planiventralis"
194,3946,612,86,"Lerista planiventralis"
242,3767,247,80,"Lerista planiventralis"
216,4862,274,69,"Lerista planiventralis"
247,4206,256,81,"Lerista planiventralis"
195,3757,598,86,"Lerista planiventralis"
223,3518,273,88,"Lerista planiventralis"
233,4132,216,70,"Lerista planiventralis"
238,3837,230,77,"Lerista planiventralis"
213,3721,358,92,"Lerista planiventralis"
227,4591,228,71,"Lerista planiventralis"
192,4034,605,82,"Lerista planiventralis"
212,4804,310,71,"Lerista planiventralis"
206,3851,482,87,"Lerista planiventralis"
186,4380,605,84,"Lerista planiventralis"
