"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
279,2702,899,125,"Lerista praefrontalis"
276,2012,903,124,"Lerista praefrontalis"
274,2551,1006,121,"Lerista praefrontalis"
277,2167,876,125,"Lerista praefrontalis"
274,2393,812,117,"Lerista praefrontalis"
273,2097,993,125,"Lerista praefrontalis"
279,2684,902,126,"Lerista praefrontalis"
267,2158,1019,116,"Lerista praefrontalis"
277,2556,941,121,"Lerista praefrontalis"
277,2520,928,121,"Lerista praefrontalis"
277,2670,976,126,"Lerista praefrontalis"
276,2451,794,121,"Lerista praefrontalis"
275,2420,857,114,"Lerista praefrontalis"
267,2324,906,117,"Lerista praefrontalis"
265,2273,1024,116,"Lerista praefrontalis"
279,2633,904,123,"Lerista praefrontalis"
264,2236,1115,121,"Lerista praefrontalis"
275,2443,891,120,"Lerista praefrontalis"
280,2659,874,124,"Lerista praefrontalis"
273,2668,1005,123,"Lerista praefrontalis"
268,2317,1186,122,"Lerista praefrontalis"
276,1953,923,126,"Lerista praefrontalis"
272,1895,955,125,"Lerista praefrontalis"
272,2522,981,122,"Lerista praefrontalis"
279,2597,851,122,"Lerista praefrontalis"
270,2130,1095,125,"Lerista praefrontalis"
276,2274,1044,124,"Lerista praefrontalis"
266,2360,960,119,"Lerista praefrontalis"
269,2351,892,120,"Lerista praefrontalis"
269,2249,1002,123,"Lerista praefrontalis"
268,2334,1002,119,"Lerista praefrontalis"
277,2512,920,121,"Lerista praefrontalis"
276,2520,931,122,"Lerista praefrontalis"
279,2557,899,124,"Lerista praefrontalis"
274,2424,848,120,"Lerista praefrontalis"
281,2719,846,125,"Lerista praefrontalis"
277,2528,840,119,"Lerista praefrontalis"
277,2642,927,121,"Lerista praefrontalis"
267,2247,1042,125,"Lerista praefrontalis"
273,2327,1015,126,"Lerista praefrontalis"
273,2313,827,119,"Lerista praefrontalis"
272,2098,1030,125,"Lerista praefrontalis"
274,2169,996,123,"Lerista praefrontalis"
273,2272,892,123,"Lerista praefrontalis"
277,2500,899,120,"Lerista praefrontalis"
270,2314,986,124,"Lerista praefrontalis"
275,2470,946,119,"Lerista praefrontalis"
276,1954,869,118,"Lerista praefrontalis"
268,2018,1031,122,"Lerista praefrontalis"
274,2465,934,119,"Lerista praefrontalis"
276,2711,902,124,"Lerista praefrontalis"
277,2589,932,121,"Lerista praefrontalis"
276,2237,876,115,"Lerista praefrontalis"
269,2465,982,122,"Lerista praefrontalis"
268,1915,1065,128,"Lerista praefrontalis"
277,2237,817,120,"Lerista praefrontalis"
272,2379,872,118,"Lerista praefrontalis"
267,2328,976,121,"Lerista praefrontalis"
274,1979,832,117,"Lerista praefrontalis"
271,2204,891,115,"Lerista praefrontalis"
274,2366,822,119,"Lerista praefrontalis"
262,2130,1144,121,"Lerista praefrontalis"
281,2765,816,125,"Lerista praefrontalis"
275,2420,871,120,"Lerista praefrontalis"
275,2650,1013,124,"Lerista praefrontalis"
269,2065,1106,123,"Lerista praefrontalis"
275,2423,798,118,"Lerista praefrontalis"
276,1901,970,125,"Lerista praefrontalis"
272,2148,918,123,"Lerista praefrontalis"
275,2467,891,119,"Lerista praefrontalis"
264,2198,1191,122,"Lerista praefrontalis"
279,2606,870,122,"Lerista praefrontalis"
277,2586,942,122,"Lerista praefrontalis"
276,2451,835,119,"Lerista praefrontalis"
267,1893,1096,123,"Lerista praefrontalis"
273,2251,919,124,"Lerista praefrontalis"
