"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
225,6282,328,45,"Lerista punctatovittata"
218,5946,445,41,"Lerista punctatovittata"
190,5761,525,23,"Lerista punctatovittata"
216,6352,162,25,"Lerista punctatovittata"
216,6448,173,32,"Lerista punctatovittata"
227,6136,308,51,"Lerista punctatovittata"
168,4314,376,37,"Lerista punctatovittata"
221,6429,287,41,"Lerista punctatovittata"
188,5574,597,29,"Lerista punctatovittata"
204,6080,427,25,"Lerista punctatovittata"
178,6002,404,10,"Lerista punctatovittata"
218,5794,486,44,"Lerista punctatovittata"
212,6236,326,30,"Lerista punctatovittata"
186,6061,368,11,"Lerista punctatovittata"
224,4345,761,52,"Lerista punctatovittata"
169,5456,584,18,"Lerista punctatovittata"
217,6452,241,31,"Lerista punctatovittata"
205,6309,268,16,"Lerista punctatovittata"
189,6042,199,15,"Lerista punctatovittata"
183,6034,306,13,"Lerista punctatovittata"
211,6277,175,31,"Lerista punctatovittata"
192,6081,411,18,"Lerista punctatovittata"
143,4218,496,39,"Lerista punctatovittata"
185,4622,570,34,"Lerista punctatovittata"
186,6040,307,15,"Lerista punctatovittata"
183,5793,248,16,"Lerista punctatovittata"
165,5384,376,16,"Lerista punctatovittata"
209,6250,325,24,"Lerista punctatovittata"
188,5758,241,15,"Lerista punctatovittata"
210,6324,189,26,"Lerista punctatovittata"
172,4885,247,19,"Lerista punctatovittata"
178,5958,429,13,"Lerista punctatovittata"
191,6053,442,23,"Lerista punctatovittata"
211,6222,343,28,"Lerista punctatovittata"
170,5455,309,14,"Lerista punctatovittata"
183,5527,229,21,"Lerista punctatovittata"
210,6225,341,27,"Lerista punctatovittata"
157,5243,709,19,"Lerista punctatovittata"
205,6314,282,19,"Lerista punctatovittata"
154,5072,288,22,"Lerista punctatovittata"
194,5803,487,23,"Lerista punctatovittata"
198,5012,585,50,"Lerista punctatovittata"
188,6042,243,33,"Lerista punctatovittata"
211,5863,467,40,"Lerista punctatovittata"
208,6267,335,24,"Lerista punctatovittata"
168,5489,651,20,"Lerista punctatovittata"
208,6358,191,34,"Lerista punctatovittata"
217,6442,255,31,"Lerista punctatovittata"
194,6040,421,17,"Lerista punctatovittata"
200,6162,335,20,"Lerista punctatovittata"
204,5571,514,45,"Lerista punctatovittata"
220,6182,380,46,"Lerista punctatovittata"
214,6412,245,28,"Lerista punctatovittata"
194,6185,333,17,"Lerista punctatovittata"
196,6111,375,17,"Lerista punctatovittata"
225,4292,687,49,"Lerista punctatovittata"
199,4917,657,48,"Lerista punctatovittata"
228,6260,283,45,"Lerista punctatovittata"
205,6078,194,20,"Lerista punctatovittata"
215,6362,264,30,"Lerista punctatovittata"
206,5855,506,35,"Lerista punctatovittata"
192,5822,206,16,"Lerista punctatovittata"
170,5380,316,14,"Lerista punctatovittata"
177,5197,615,27,"Lerista punctatovittata"
188,6038,284,18,"Lerista punctatovittata"
177,5224,249,20,"Lerista punctatovittata"
168,5722,411,12,"Lerista punctatovittata"
201,6208,237,21,"Lerista punctatovittata"
231,5132,468,54,"Lerista punctatovittata"
173,5404,294,14,"Lerista punctatovittata"
216,6384,258,31,"Lerista punctatovittata"
200,5721,520,30,"Lerista punctatovittata"
201,6225,248,18,"Lerista punctatovittata"
218,6439,212,40,"Lerista punctatovittata"
204,5586,545,30,"Lerista punctatovittata"
185,5723,248,11,"Lerista punctatovittata"
205,6265,221,23,"Lerista punctatovittata"
171,5579,326,12,"Lerista punctatovittata"
202,5566,584,33,"Lerista punctatovittata"
187,5994,474,23,"Lerista punctatovittata"
164,4856,289,26,"Lerista punctatovittata"
165,5141,307,17,"Lerista punctatovittata"
167,5452,357,16,"Lerista punctatovittata"
182,5958,304,12,"Lerista punctatovittata"
198,6191,254,17,"Lerista punctatovittata"
186,5944,288,9,"Lerista punctatovittata"
171,5387,311,14,"Lerista punctatovittata"
170,5751,465,7,"Lerista punctatovittata"
170,5428,558,20,"Lerista punctatovittata"
189,6039,438,19,"Lerista punctatovittata"
216,6328,318,39,"Lerista punctatovittata"
215,6044,405,40,"Lerista punctatovittata"
204,4688,650,41,"Lerista punctatovittata"
160,4610,308,24,"Lerista punctatovittata"
181,5587,241,20,"Lerista punctatovittata"
197,5976,438,24,"Lerista punctatovittata"
186,5557,273,13,"Lerista punctatovittata"
170,5888,415,9,"Lerista punctatovittata"
204,5737,547,36,"Lerista punctatovittata"
158,5305,784,29,"Lerista punctatovittata"
209,6199,357,25,"Lerista punctatovittata"
183,5530,239,18,"Lerista punctatovittata"
156,4107,426,39,"Lerista punctatovittata"
163,5265,368,19,"Lerista punctatovittata"
201,5930,461,28,"Lerista punctatovittata"
176,5941,396,10,"Lerista punctatovittata"
196,5841,472,24,"Lerista punctatovittata"
215,5927,464,45,"Lerista punctatovittata"
204,6272,312,21,"Lerista punctatovittata"
201,5934,458,28,"Lerista punctatovittata"
