"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
203,6262,310,50,"Lerista speciosa"
200,6285,298,52,"Lerista speciosa"
201,6260,288,43,"Lerista speciosa"
196,6258,295,53,"Lerista speciosa"
203,6308,288,51,"Lerista speciosa"
203,6218,281,46,"Lerista speciosa"
204,6308,303,52,"Lerista speciosa"
203,6196,301,44,"Lerista speciosa"
192,6198,363,54,"Lerista speciosa"
186,6164,347,46,"Lerista speciosa"
203,6248,287,46,"Lerista speciosa"
202,6270,306,50,"Lerista speciosa"
204,6230,302,47,"Lerista speciosa"
203,6231,297,48,"Lerista speciosa"
192,6216,348,46,"Lerista speciosa"
200,6249,325,43,"Lerista speciosa"
199,6231,316,43,"Lerista speciosa"
205,6311,303,50,"Lerista speciosa"
203,6211,307,45,"Lerista speciosa"
203,6202,289,45,"Lerista speciosa"
201,6203,292,44,"Lerista speciosa"
201,6235,323,49,"Lerista speciosa"
197,6240,340,53,"Lerista speciosa"
203,6213,305,46,"Lerista speciosa"
202,6261,287,51,"Lerista speciosa"
202,6194,291,45,"Lerista speciosa"
202,6291,319,52,"Lerista speciosa"
203,6223,297,47,"Lerista speciosa"
201,6262,320,52,"Lerista speciosa"
196,6259,336,49,"Lerista speciosa"
202,6272,296,47,"Lerista speciosa"
203,6282,306,51,"Lerista speciosa"
201,6235,303,42,"Lerista speciosa"
199,6218,318,45,"Lerista speciosa"
202,6275,312,54,"Lerista speciosa"
204,6299,319,51,"Lerista speciosa"
205,6312,306,49,"Lerista speciosa"
202,6266,280,44,"Lerista speciosa"
202,6211,293,45,"Lerista speciosa"
203,6214,290,45,"Lerista speciosa"
201,6275,294,53,"Lerista speciosa"
200,6226,295,43,"Lerista speciosa"
204,6290,315,49,"Lerista speciosa"
204,6262,288,47,"Lerista speciosa"
204,6267,308,48,"Lerista speciosa"
201,6294,332,56,"Lerista speciosa"
203,6260,295,47,"Lerista speciosa"
202,6212,283,44,"Lerista speciosa"
203,6229,311,48,"Lerista speciosa"
201,6226,365,47,"Lerista speciosa"
205,6303,307,49,"Lerista speciosa"
202,6265,297,51,"Lerista speciosa"
200,6294,270,51,"Lerista speciosa"
200,6279,298,55,"Lerista speciosa"
