"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
252,6029,267,75,"Lerista stictopleura"
244,6253,261,68,"Lerista stictopleura"
254,6145,234,69,"Lerista stictopleura"
252,6112,242,71,"Lerista stictopleura"
246,6082,253,75,"Lerista stictopleura"
246,6238,275,73,"Lerista stictopleura"
258,6104,234,77,"Lerista stictopleura"
247,6311,225,65,"Lerista stictopleura"
248,6249,241,69,"Lerista stictopleura"
253,6166,288,69,"Lerista stictopleura"
242,6144,232,65,"Lerista stictopleura"
246,6257,271,75,"Lerista stictopleura"
250,6240,253,71,"Lerista stictopleura"
255,6234,218,64,"Lerista stictopleura"
247,6265,245,71,"Lerista stictopleura"
254,6244,239,74,"Lerista stictopleura"
241,6216,262,65,"Lerista stictopleura"
255,6147,235,69,"Lerista stictopleura"
257,6123,232,71,"Lerista stictopleura"
252,6207,223,78,"Lerista stictopleura"
251,6248,259,72,"Lerista stictopleura"
251,6100,230,69,"Lerista stictopleura"
249,6243,282,72,"Lerista stictopleura"
260,6179,229,73,"Lerista stictopleura"
240,6140,274,71,"Lerista stictopleura"
247,6345,232,64,"Lerista stictopleura"
247,5923,302,78,"Lerista stictopleura"
246,6229,231,67,"Lerista stictopleura"
245,6168,246,69,"Lerista stictopleura"
249,6215,257,75,"Lerista stictopleura"
250,6230,256,67,"Lerista stictopleura"
255,6242,235,73,"Lerista stictopleura"
246,6277,248,67,"Lerista stictopleura"
254,6168,224,69,"Lerista stictopleura"
245,6232,240,69,"Lerista stictopleura"
247,6155,241,72,"Lerista stictopleura"
244,6198,260,71,"Lerista stictopleura"
244,5960,295,73,"Lerista stictopleura"
243,6157,244,72,"Lerista stictopleura"
240,5783,370,76,"Lerista stictopleura"
247,5845,321,82,"Lerista stictopleura"
258,6192,229,77,"Lerista stictopleura"
242,5829,316,78,"Lerista stictopleura"
255,6011,255,78,"Lerista stictopleura"
253,5930,277,70,"Lerista stictopleura"
243,6258,262,64,"Lerista stictopleura"
246,6286,222,65,"Lerista stictopleura"
257,6183,237,75,"Lerista stictopleura"
254,6132,255,74,"Lerista stictopleura"
253,6119,263,70,"Lerista stictopleura"
246,6264,241,73,"Lerista stictopleura"
255,6160,234,68,"Lerista stictopleura"
251,6164,302,76,"Lerista stictopleura"
251,6049,288,76,"Lerista stictopleura"
258,6235,230,69,"Lerista stictopleura"
239,6186,271,68,"Lerista stictopleura"
252,6239,246,68,"Lerista stictopleura"
255,6160,248,79,"Lerista stictopleura"
252,6086,228,72,"Lerista stictopleura"
260,6187,222,74,"Lerista stictopleura"
250,6254,243,69,"Lerista stictopleura"
261,6164,222,71,"Lerista stictopleura"
252,6237,247,66,"Lerista stictopleura"
257,6239,226,75,"Lerista stictopleura"
255,6219,222,68,"Lerista stictopleura"
254,6104,246,74,"Lerista stictopleura"
248,5965,275,73,"Lerista stictopleura"
256,6062,231,75,"Lerista stictopleura"
257,6008,270,74,"Lerista stictopleura"
248,5859,315,78,"Lerista stictopleura"
243,6194,249,68,"Lerista stictopleura"
239,5786,297,81,"Lerista stictopleura"
254,6118,244,72,"Lerista stictopleura"
249,5954,262,75,"Lerista stictopleura"
250,6164,288,75,"Lerista stictopleura"
258,6031,269,71,"Lerista stictopleura"
251,6092,250,71,"Lerista stictopleura"
252,6132,279,68,"Lerista stictopleura"
242,6218,276,70,"Lerista stictopleura"
248,6027,309,78,"Lerista stictopleura"
246,6247,254,73,"Lerista stictopleura"
247,6173,226,71,"Lerista stictopleura"
254,6134,262,74,"Lerista stictopleura"
242,6149,285,74,"Lerista stictopleura"
253,6233,238,77,"Lerista stictopleura"
250,5989,278,79,"Lerista stictopleura"
251,6208,226,67,"Lerista stictopleura"
