"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
267,2914,897,121,"Lerista stylis"
266,3029,809,118,"Lerista stylis"
259,2950,870,113,"Lerista stylis"
258,2903,907,112,"Lerista stylis"
261,2882,976,113,"Lerista stylis"
263,2899,938,114,"Lerista stylis"
266,2654,1035,118,"Lerista stylis"
274,1303,1352,104,"Lerista stylis"
269,2140,998,108,"Lerista stylis"
268,2572,778,106,"Lerista stylis"
268,1985,1004,108,"Lerista stylis"
255,2376,988,108,"Lerista stylis"
264,2866,842,116,"Lerista stylis"
263,2139,958,105,"Lerista stylis"
259,2974,694,118,"Lerista stylis"
267,1816,1270,99,"Lerista stylis"
263,2381,960,106,"Lerista stylis"
265,2674,1039,117,"Lerista stylis"
261,2607,920,105,"Lerista stylis"
270,1442,1670,111,"Lerista stylis"
267,2691,1029,117,"Lerista stylis"
263,2516,876,109,"Lerista stylis"
269,2772,827,119,"Lerista stylis"
268,1542,1405,102,"Lerista stylis"
269,2536,795,108,"Lerista stylis"
269,2790,838,118,"Lerista stylis"
263,3023,648,116,"Lerista stylis"
268,1601,1317,102,"Lerista stylis"
272,1631,1207,105,"Lerista stylis"
267,1611,1384,102,"Lerista stylis"
269,2661,772,110,"Lerista stylis"
269,2848,698,111,"Lerista stylis"
267,2686,774,110,"Lerista stylis"
265,2756,952,117,"Lerista stylis"
272,1831,1088,109,"Lerista stylis"
275,1324,1424,107,"Lerista stylis"
269,2092,1050,105,"Lerista stylis"
267,2877,938,110,"Lerista stylis"
262,1782,1283,106,"Lerista stylis"
275,1390,1424,108,"Lerista stylis"
272,1465,1522,109,"Lerista stylis"
269,2903,765,115,"Lerista stylis"
265,2451,918,104,"Lerista stylis"
267,2695,965,117,"Lerista stylis"
267,2706,998,117,"Lerista stylis"
273,1754,1142,108,"Lerista stylis"
268,2944,811,113,"Lerista stylis"
276,1741,1382,112,"Lerista stylis"
268,1878,1221,111,"Lerista stylis"
269,2558,825,108,"Lerista stylis"
265,2689,1017,118,"Lerista stylis"
269,2098,1071,104,"Lerista stylis"
268,1738,1307,107,"Lerista stylis"
269,2922,774,120,"Lerista stylis"
264,2983,859,120,"Lerista stylis"
272,1766,1191,110,"Lerista stylis"
254,2121,1353,107,"Lerista stylis"
266,2354,919,104,"Lerista stylis"
263,2671,937,108,"Lerista stylis"
258,2848,977,114,"Lerista stylis"
274,1681,1186,111,"Lerista stylis"
268,2394,890,105,"Lerista stylis"
264,2707,1022,116,"Lerista stylis"
264,2992,734,114,"Lerista stylis"
265,3133,682,114,"Lerista stylis"
267,1714,1315,110,"Lerista stylis"
270,1765,1199,105,"Lerista stylis"
273,1593,1318,111,"Lerista stylis"
258,2919,932,111,"Lerista stylis"
264,2866,956,114,"Lerista stylis"
274,1443,1237,106,"Lerista stylis"
267,2490,954,109,"Lerista stylis"
268,3049,852,113,"Lerista stylis"
267,2893,871,113,"Lerista stylis"
268,1618,1430,108,"Lerista stylis"
266,2335,903,108,"Lerista stylis"
269,1806,1183,96,"Lerista stylis"
265,2381,972,103,"Lerista stylis"
268,2517,910,110,"Lerista stylis"
268,1679,1311,109,"Lerista stylis"
269,2849,810,122,"Lerista stylis"
267,1488,1384,94,"Lerista stylis"
264,2375,919,108,"Lerista stylis"
262,3069,758,116,"Lerista stylis"
263,2802,923,119,"Lerista stylis"
269,1438,1426,96,"Lerista stylis"
267,1469,1307,101,"Lerista stylis"
269,2779,833,117,"Lerista stylis"
269,1489,1292,101,"Lerista stylis"
268,2481,868,107,"Lerista stylis"
267,2678,987,118,"Lerista stylis"
269,2518,827,107,"Lerista stylis"
267,1787,1224,96,"Lerista stylis"
268,2629,786,106,"Lerista stylis"
264,2727,1003,117,"Lerista stylis"
270,2934,764,110,"Lerista stylis"
262,2073,1120,109,"Lerista stylis"
263,2969,826,114,"Lerista stylis"
260,2643,981,109,"Lerista stylis"
267,2200,963,106,"Lerista stylis"
265,1448,1457,100,"Lerista stylis"
271,2915,822,109,"Lerista stylis"
272,1564,1365,109,"Lerista stylis"
260,2946,694,119,"Lerista stylis"
264,2510,896,106,"Lerista stylis"
269,2771,733,108,"Lerista stylis"
268,1727,1188,98,"Lerista stylis"
267,2125,1145,100,"Lerista stylis"
272,1304,1412,103,"Lerista stylis"
271,1484,1545,111,"Lerista stylis"
262,1858,1178,107,"Lerista stylis"
269,1593,1442,113,"Lerista stylis"
269,2062,1061,100,"Lerista stylis"
265,2974,1011,110,"Lerista stylis"
264,2086,964,101,"Lerista stylis"
266,3016,755,112,"Lerista stylis"
265,2351,924,104,"Lerista stylis"
267,2059,1056,99,"Lerista stylis"
264,2238,999,102,"Lerista stylis"
265,2856,890,113,"Lerista stylis"
273,1476,1355,107,"Lerista stylis"
263,1935,1246,111,"Lerista stylis"
268,2744,881,117,"Lerista stylis"
269,1625,1380,110,"Lerista stylis"
273,1561,1389,107,"Lerista stylis"
266,3029,732,118,"Lerista stylis"
263,2885,882,115,"Lerista stylis"
267,2277,958,107,"Lerista stylis"
271,1447,1501,108,"Lerista stylis"
264,3012,763,118,"Lerista stylis"
274,1519,1320,111,"Lerista stylis"
271,2940,775,112,"Lerista stylis"
266,2851,873,115,"Lerista stylis"
265,2943,902,114,"Lerista stylis"
263,3054,764,119,"Lerista stylis"
266,2850,919,122,"Lerista stylis"
269,1923,1101,100,"Lerista stylis"
267,2150,1187,105,"Lerista stylis"
274,1573,1223,111,"Lerista stylis"
268,2692,905,116,"Lerista stylis"
268,1922,1145,107,"Lerista stylis"
266,1454,1506,101,"Lerista stylis"
260,2716,883,109,"Lerista stylis"
275,1625,1325,112,"Lerista stylis"
259,2061,1108,111,"Lerista stylis"
273,1318,1492,108,"Lerista stylis"
267,2083,1193,99,"Lerista stylis"
271,1742,1182,113,"Lerista stylis"
270,1840,1224,109,"Lerista stylis"
268,2234,910,105,"Lerista stylis"
261,2514,911,107,"Lerista stylis"
269,2614,875,111,"Lerista stylis"
261,1634,1629,111,"Lerista stylis"
267,2286,928,107,"Lerista stylis"
269,1546,1477,111,"Lerista stylis"
267,1832,1283,101,"Lerista stylis"
262,1811,1367,102,"Lerista stylis"
266,2656,1036,119,"Lerista stylis"
266,2595,1076,121,"Lerista stylis"
273,1310,1290,103,"Lerista stylis"
266,2719,967,117,"Lerista stylis"
261,2665,778,111,"Lerista stylis"
268,2846,821,112,"Lerista stylis"
264,2952,900,111,"Lerista stylis"
263,2761,978,117,"Lerista stylis"
268,2632,979,117,"Lerista stylis"
266,2664,1016,119,"Lerista stylis"
265,1556,1621,106,"Lerista stylis"
270,2939,752,114,"Lerista stylis"
257,2818,987,113,"Lerista stylis"
266,2822,892,115,"Lerista stylis"
266,2822,883,115,"Lerista stylis"
266,2682,924,115,"Lerista stylis"
266,2687,1015,119,"Lerista stylis"
256,2161,1187,107,"Lerista stylis"
264,3014,811,118,"Lerista stylis"
255,2824,1038,118,"Lerista stylis"
262,1732,1429,106,"Lerista stylis"
273,1337,1405,105,"Lerista stylis"
272,1809,1098,108,"Lerista stylis"
264,2995,788,122,"Lerista stylis"
263,1823,1325,105,"Lerista stylis"
267,2792,933,115,"Lerista stylis"
266,1428,1617,101,"Lerista stylis"
274,1544,1300,110,"Lerista stylis"
275,1357,1418,107,"Lerista stylis"
264,2433,913,104,"Lerista stylis"
258,2241,1076,107,"Lerista stylis"
272,3026,798,111,"Lerista stylis"
268,2099,1055,109,"Lerista stylis"
264,2806,1004,113,"Lerista stylis"
265,1714,1442,110,"Lerista stylis"
264,2854,939,114,"Lerista stylis"
272,1540,1417,111,"Lerista stylis"
264,1712,1258,105,"Lerista stylis"
269,2883,789,121,"Lerista stylis"
269,2122,998,107,"Lerista stylis"
261,2803,905,113,"Lerista stylis"
269,2682,771,111,"Lerista stylis"
268,2492,792,108,"Lerista stylis"
266,2661,1009,117,"Lerista stylis"
266,2832,927,118,"Lerista stylis"
266,2421,901,112,"Lerista stylis"
261,2049,1256,106,"Lerista stylis"
274,1586,1238,111,"Lerista stylis"
264,2389,943,106,"Lerista stylis"
267,3050,816,117,"Lerista stylis"
266,2688,1020,118,"Lerista stylis"
259,2566,901,104,"Lerista stylis"
263,2950,845,113,"Lerista stylis"
275,1646,1525,109,"Lerista stylis"
260,2571,982,107,"Lerista stylis"
274,1327,1312,101,"Lerista stylis"
260,2626,836,109,"Lerista stylis"
266,2669,1025,119,"Lerista stylis"
267,1610,1326,99,"Lerista stylis"
266,2737,963,116,"Lerista stylis"
258,1876,1320,111,"Lerista stylis"
268,1773,1179,97,"Lerista stylis"
267,2532,1091,122,"Lerista stylis"
269,1446,1395,97,"Lerista stylis"
268,2039,1128,102,"Lerista stylis"
269,1917,1142,100,"Lerista stylis"
264,3084,688,117,"Lerista stylis"
264,2094,1126,100,"Lerista stylis"
265,1946,1153,107,"Lerista stylis"
258,2063,1099,107,"Lerista stylis"
261,1844,1399,110,"Lerista stylis"
266,2692,1006,116,"Lerista stylis"
256,2275,1080,106,"Lerista stylis"
272,1578,1343,110,"Lerista stylis"
267,2739,846,120,"Lerista stylis"
266,2201,969,106,"Lerista stylis"
269,2749,782,116,"Lerista stylis"
266,2737,931,117,"Lerista stylis"
268,2895,792,114,"Lerista stylis"
270,1922,1174,98,"Lerista stylis"
267,2420,944,105,"Lerista stylis"
273,1504,1291,110,"Lerista stylis"
266,1477,1328,93,"Lerista stylis"
266,2767,1002,115,"Lerista stylis"
268,1455,1368,95,"Lerista stylis"
261,2925,906,113,"Lerista stylis"
265,3052,762,120,"Lerista stylis"
