"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
222,6422,174,32,"Lerista taeniata"
228,6426,291,48,"Lerista taeniata"
205,6119,165,34,"Lerista taeniata"
224,6148,302,51,"Lerista taeniata"
256,5588,460,81,"Lerista taeniata"
229,6489,163,38,"Lerista taeniata"
190,5358,177,11,"Lerista taeniata"
208,6349,303,47,"Lerista taeniata"
260,5529,431,78,"Lerista taeniata"
200,5938,248,30,"Lerista taeniata"
274,3001,723,107,"Lerista taeniata"
233,6637,164,45,"Lerista taeniata"
257,5107,507,103,"Lerista taeniata"
219,6396,310,41,"Lerista taeniata"
193,5552,205,14,"Lerista taeniata"
210,6206,214,39,"Lerista taeniata"
283,3865,520,109,"Lerista taeniata"
232,6559,186,46,"Lerista taeniata"
218,6112,287,57,"Lerista taeniata"
232,6392,296,53,"Lerista taeniata"
281,3073,659,119,"Lerista taeniata"
258,5502,464,87,"Lerista taeniata"
256,6001,339,74,"Lerista taeniata"
253,5971,321,73,"Lerista taeniata"
233,6071,353,58,"Lerista taeniata"
221,6442,147,33,"Lerista taeniata"
269,4289,502,108,"Lerista taeniata"
263,3743,606,109,"Lerista taeniata"
271,3751,544,114,"Lerista taeniata"
235,6406,309,51,"Lerista taeniata"
283,3698,535,106,"Lerista taeniata"
269,4366,499,103,"Lerista taeniata"
212,6135,154,27,"Lerista taeniata"
284,3355,701,111,"Lerista taeniata"
222,6476,189,57,"Lerista taeniata"
185,5094,216,11,"Lerista taeniata"
227,6509,185,44,"Lerista taeniata"
230,6550,147,37,"Lerista taeniata"
195,5731,252,23,"Lerista taeniata"
225,6470,267,44,"Lerista taeniata"
264,4317,528,111,"Lerista taeniata"
257,5102,458,98,"Lerista taeniata"
248,6185,326,65,"Lerista taeniata"
257,5763,340,82,"Lerista taeniata"
218,6412,202,41,"Lerista taeniata"
228,6461,206,40,"Lerista taeniata"
231,6389,308,52,"Lerista taeniata"
259,4872,485,115,"Lerista taeniata"
208,6075,149,28,"Lerista taeniata"
197,5690,209,18,"Lerista taeniata"
220,6457,269,40,"Lerista taeniata"
223,6383,292,41,"Lerista taeniata"
258,5280,379,99,"Lerista taeniata"
283,3289,661,114,"Lerista taeniata"
194,5549,169,13,"Lerista taeniata"
203,6252,316,50,"Lerista taeniata"
197,5777,219,22,"Lerista taeniata"
224,6365,214,42,"Lerista taeniata"
215,6313,183,35,"Lerista taeniata"
258,5388,464,91,"Lerista taeniata"
208,6231,222,37,"Lerista taeniata"
254,5375,413,90,"Lerista taeniata"
245,5657,352,80,"Lerista taeniata"
260,5243,415,96,"Lerista taeniata"
259,4699,487,112,"Lerista taeniata"
240,6348,328,56,"Lerista taeniata"
253,5836,396,68,"Lerista taeniata"
190,5468,180,12,"Lerista taeniata"
205,6038,201,35,"Lerista taeniata"
201,6211,295,42,"Lerista taeniata"
198,5777,226,21,"Lerista taeniata"
234,6631,162,44,"Lerista taeniata"
203,6104,249,36,"Lerista taeniata"
205,6302,253,37,"Lerista taeniata"
213,6418,274,42,"Lerista taeniata"
229,6071,289,55,"Lerista taeniata"
268,4348,489,105,"Lerista taeniata"
270,4926,384,89,"Lerista taeniata"
256,5708,398,82,"Lerista taeniata"
258,5027,435,99,"Lerista taeniata"
