"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
253,4984,258,82,"Lerista talpina"
247,4157,249,79,"Lerista talpina"
244,4156,260,82,"Lerista talpina"
255,4846,267,85,"Lerista talpina"
259,4735,280,86,"Lerista talpina"
248,4482,274,81,"Lerista talpina"
253,4660,255,83,"Lerista talpina"
248,4321,275,81,"Lerista talpina"
256,4895,251,85,"Lerista talpina"
254,4687,247,84,"Lerista talpina"
248,4056,237,77,"Lerista talpina"
252,4157,251,79,"Lerista talpina"
256,4731,254,85,"Lerista talpina"
248,4095,241,78,"Lerista talpina"
257,4275,257,81,"Lerista talpina"
254,4880,252,84,"Lerista talpina"
254,4823,249,84,"Lerista talpina"
256,4495,259,83,"Lerista talpina"
247,4268,287,81,"Lerista talpina"
256,4626,260,85,"Lerista talpina"
259,4897,289,85,"Lerista talpina"
253,4395,281,82,"Lerista talpina"
250,4470,250,80,"Lerista talpina"
253,5030,250,81,"Lerista talpina"
258,4921,280,85,"Lerista talpina"
254,4584,245,84,"Lerista talpina"
250,4423,249,80,"Lerista talpina"
256,4836,267,85,"Lerista talpina"
254,4778,248,84,"Lerista talpina"
257,5039,271,83,"Lerista talpina"
258,4711,276,86,"Lerista talpina"
254,5080,260,82,"Lerista talpina"
252,4841,253,81,"Lerista talpina"
255,4808,258,85,"Lerista talpina"
258,4430,266,82,"Lerista talpina"
256,4561,260,84,"Lerista talpina"
249,4036,236,78,"Lerista talpina"
253,4267,274,81,"Lerista talpina"
256,4696,263,86,"Lerista talpina"
254,4060,244,79,"Lerista talpina"
258,4563,277,84,"Lerista talpina"
253,4683,260,85,"Lerista talpina"
258,4394,267,82,"Lerista talpina"
255,4720,255,85,"Lerista talpina"
246,4236,290,80,"Lerista talpina"
254,4078,244,79,"Lerista talpina"
251,4569,272,82,"Lerista talpina"
250,4040,240,78,"Lerista talpina"
257,4383,263,82,"Lerista talpina"
253,4851,247,83,"Lerista talpina"
246,4241,283,79,"Lerista talpina"
258,4630,266,85,"Lerista talpina"
253,4951,249,83,"Lerista talpina"
255,4610,251,85,"Lerista talpina"
255,4775,266,85,"Lerista talpina"
256,5064,264,83,"Lerista talpina"
249,4496,278,81,"Lerista talpina"
247,4242,271,82,"Lerista talpina"
258,4795,281,86,"Lerista talpina"
255,4926,246,84,"Lerista talpina"
259,4921,285,86,"Lerista talpina"
257,4766,263,86,"Lerista talpina"
252,3988,246,78,"Lerista talpina"
249,4128,239,79,"Lerista talpina"
259,4668,277,85,"Lerista talpina"
248,4217,276,81,"Lerista talpina"
259,4816,288,85,"Lerista talpina"
249,4351,264,80,"Lerista talpina"
253,4950,251,84,"Lerista talpina"
256,4816,265,85,"Lerista talpina"
260,4777,286,85,"Lerista talpina"
254,4736,256,85,"Lerista talpina"
253,5069,250,82,"Lerista talpina"
253,4908,246,84,"Lerista talpina"
246,4202,281,80,"Lerista talpina"
257,4289,267,82,"Lerista talpina"
252,4292,268,82,"Lerista talpina"
255,4982,262,84,"Lerista talpina"
253,4978,251,83,"Lerista talpina"
256,4879,274,85,"Lerista talpina"
254,3918,268,77,"Lerista talpina"
253,4670,249,82,"Lerista talpina"
256,4411,271,82,"Lerista talpina"
257,4995,275,84,"Lerista talpina"
253,4085,242,78,"Lerista talpina"
256,5055,258,83,"Lerista talpina"
248,4310,264,81,"Lerista talpina"
249,4412,252,80,"Lerista talpina"
258,4494,270,83,"Lerista talpina"
252,4093,239,78,"Lerista talpina"
255,4528,257,83,"Lerista talpina"
247,4089,237,77,"Lerista talpina"
257,4928,271,85,"Lerista talpina"
253,4818,241,82,"Lerista talpina"
253,4161,285,81,"Lerista talpina"
256,4952,268,85,"Lerista talpina"
255,4859,239,84,"Lerista talpina"
252,4774,245,81,"Lerista talpina"
254,4910,244,85,"Lerista talpina"
245,4171,268,80,"Lerista talpina"
254,4344,263,82,"Lerista talpina"
251,4510,250,82,"Lerista talpina"
258,4560,268,84,"Lerista talpina"
252,4413,270,82,"Lerista talpina"
253,4525,251,83,"Lerista talpina"
254,4417,277,82,"Lerista talpina"
260,4846,287,86,"Lerista talpina"
256,5026,259,83,"Lerista talpina"
254,4968,264,84,"Lerista talpina"
250,4012,238,77,"Lerista talpina"
258,4807,271,85,"Lerista talpina"
253,4640,254,84,"Lerista talpina"
