"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
239,6108,234,66,"Lerista varia"
243,5538,243,73,"Lerista varia"
242,5733,245,63,"Lerista varia"
240,4692,229,66,"Lerista varia"
238,6029,198,63,"Lerista varia"
237,5780,202,67,"Lerista varia"
241,5002,228,72,"Lerista varia"
244,5917,238,72,"Lerista varia"
233,5361,228,72,"Lerista varia"
242,6040,239,68,"Lerista varia"
238,4969,216,67,"Lerista varia"
243,5871,252,68,"Lerista varia"
239,5345,219,64,"Lerista varia"
240,6082,216,68,"Lerista varia"
240,5925,248,59,"Lerista varia"
241,6021,208,66,"Lerista varia"
233,5446,283,73,"Lerista varia"
235,6080,213,60,"Lerista varia"
235,6101,224,64,"Lerista varia"
235,6058,207,63,"Lerista varia"
240,5647,223,62,"Lerista varia"
241,5561,224,66,"Lerista varia"
241,5285,223,74,"Lerista varia"
246,5605,239,73,"Lerista varia"
240,6123,235,68,"Lerista varia"
236,5475,275,71,"Lerista varia"
243,5840,272,70,"Lerista varia"
243,6052,221,68,"Lerista varia"
237,5127,210,65,"Lerista varia"
243,6081,227,71,"Lerista varia"
237,4531,217,69,"Lerista varia"
237,5838,201,65,"Lerista varia"
236,6156,231,62,"Lerista varia"
244,5745,221,72,"Lerista varia"
242,5931,261,72,"Lerista varia"
241,4908,225,69,"Lerista varia"
243,5915,241,60,"Lerista varia"
239,5460,222,69,"Lerista varia"
242,5079,222,72,"Lerista varia"
239,6101,247,68,"Lerista varia"
240,6068,221,66,"Lerista varia"
239,5613,223,63,"Lerista varia"
235,6057,201,61,"Lerista varia"
244,5929,239,70,"Lerista varia"
236,5897,200,71,"Lerista varia"
239,5225,230,69,"Lerista varia"
242,6059,214,66,"Lerista varia"
244,5944,233,59,"Lerista varia"
238,4860,211,66,"Lerista varia"
242,5845,267,72,"Lerista varia"
244,5561,233,68,"Lerista varia"
238,4615,213,68,"Lerista varia"
243,6010,229,69,"Lerista varia"
245,5629,229,63,"Lerista varia"
236,5563,216,73,"Lerista varia"
236,6004,211,66,"Lerista varia"
240,5952,220,65,"Lerista varia"
245,5650,235,62,"Lerista varia"
237,6100,207,63,"Lerista varia"
236,4297,220,69,"Lerista varia"
238,5519,232,64,"Lerista varia"
243,6011,225,70,"Lerista varia"
236,6075,211,62,"Lerista varia"
240,6066,201,63,"Lerista varia"
239,5649,227,62,"Lerista varia"
236,6041,208,61,"Lerista varia"
243,5983,214,63,"Lerista varia"
243,5885,262,72,"Lerista varia"
238,6079,213,64,"Lerista varia"
240,5255,219,74,"Lerista varia"
240,6143,253,67,"Lerista varia"
235,5451,271,75,"Lerista varia"
238,5107,216,65,"Lerista varia"
244,6017,241,70,"Lerista varia"
244,5666,242,61,"Lerista varia"
242,6104,228,71,"Lerista varia"
243,5958,220,63,"Lerista varia"
236,6062,206,63,"Lerista varia"
244,5564,219,72,"Lerista varia"
239,6070,209,64,"Lerista varia"
238,5765,218,64,"Lerista varia"
244,5872,245,70,"Lerista varia"
237,4628,212,67,"Lerista varia"
237,6015,208,65,"Lerista varia"
236,6015,210,62,"Lerista varia"
238,5052,211,68,"Lerista varia"
242,5998,205,65,"Lerista varia"
243,5897,240,59,"Lerista varia"
236,5980,203,65,"Lerista varia"
240,5880,233,66,"Lerista varia"
238,5636,210,67,"Lerista varia"
242,5987,242,69,"Lerista varia"
244,5535,236,74,"Lerista varia"
233,5372,250,74,"Lerista varia"
235,5884,249,65,"Lerista varia"
240,6056,202,65,"Lerista varia"
237,5967,197,66,"Lerista varia"
239,4772,222,66,"Lerista varia"
244,5580,233,73,"Lerista varia"
237,6031,200,64,"Lerista varia"
242,5834,257,75,"Lerista varia"
243,5790,225,71,"Lerista varia"
245,5620,223,72,"Lerista varia"
237,4771,223,67,"Lerista varia"
241,5918,224,64,"Lerista varia"
237,5472,236,65,"Lerista varia"
237,6028,209,63,"Lerista varia"
233,6082,232,60,"Lerista varia"
241,6189,237,65,"Lerista varia"
242,5160,227,73,"Lerista varia"
242,5777,242,74,"Lerista varia"
241,5983,215,62,"Lerista varia"
242,5102,228,72,"Lerista varia"
235,5966,221,66,"Lerista varia"
244,5979,235,70,"Lerista varia"
235,5868,242,66,"Lerista varia"
241,5818,268,72,"Lerista varia"
245,5600,227,75,"Lerista varia"
240,5706,240,63,"Lerista varia"
237,5344,222,67,"Lerista varia"
244,5817,249,59,"Lerista varia"
244,5796,217,66,"Lerista varia"
238,5763,210,66,"Lerista varia"
236,6123,215,62,"Lerista varia"
244,5970,231,70,"Lerista varia"
238,5999,243,68,"Lerista varia"
238,5466,213,63,"Lerista varia"
243,5837,232,70,"Lerista varia"
242,5564,222,65,"Lerista varia"
244,5934,239,59,"Lerista varia"
238,5544,224,67,"Lerista varia"
241,5310,206,66,"Lerista varia"
244,5518,211,69,"Lerista varia"
244,5994,241,70,"Lerista varia"
238,5920,201,68,"Lerista varia"
239,5988,213,65,"Lerista varia"
243,5906,253,62,"Lerista varia"
245,5797,253,59,"Lerista varia"
238,6020,198,64,"Lerista varia"
237,5531,223,66,"Lerista varia"
234,5389,274,72,"Lerista varia"
239,6103,246,65,"Lerista varia"
243,5974,214,63,"Lerista varia"
243,5931,221,66,"Lerista varia"
237,5795,216,63,"Lerista varia"
245,5728,214,73,"Lerista varia"
243,6057,223,68,"Lerista varia"
242,5010,222,71,"Lerista varia"
241,5778,250,71,"Lerista varia"
241,5919,245,61,"Lerista varia"
237,5751,193,72,"Lerista varia"
237,5541,240,65,"Lerista varia"
238,5995,224,62,"Lerista varia"
238,5719,201,70,"Lerista varia"
238,5556,232,64,"Lerista varia"
245,5730,218,67,"Lerista varia"
237,4666,218,67,"Lerista varia"
238,5799,201,66,"Lerista varia"
238,5841,204,70,"Lerista varia"
232,5409,270,72,"Lerista varia"
235,6061,214,60,"Lerista varia"
236,6051,208,63,"Lerista varia"
243,5884,261,72,"Lerista varia"
241,5307,224,73,"Lerista varia"
242,5535,221,67,"Lerista varia"
243,5995,247,70,"Lerista varia"
239,5993,213,64,"Lerista varia"
238,5992,229,64,"Lerista varia"
239,6004,205,62,"Lerista varia"
239,6021,204,63,"Lerista varia"
236,5850,210,66,"Lerista varia"
236,5941,197,68,"Lerista varia"
240,5108,213,67,"Lerista varia"
243,5933,220,64,"Lerista varia"
238,5716,239,59,"Lerista varia"
243,5988,246,72,"Lerista varia"
243,5864,250,63,"Lerista varia"
243,6059,225,68,"Lerista varia"
241,6036,204,63,"Lerista varia"
239,5280,237,75,"Lerista varia"
