"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
266,5418,332,93,"Lerista vermicularis"
270,3913,476,120,"Lerista vermicularis"
266,5587,360,82,"Lerista vermicularis"
272,5025,373,97,"Lerista vermicularis"
272,5626,312,86,"Lerista vermicularis"
264,5054,360,94,"Lerista vermicularis"
268,5775,308,80,"Lerista vermicularis"
272,5043,372,96,"Lerista vermicularis"
271,4412,392,103,"Lerista vermicularis"
268,5724,324,82,"Lerista vermicularis"
266,5278,339,89,"Lerista vermicularis"
274,4225,460,112,"Lerista vermicularis"
264,4971,403,97,"Lerista vermicularis"
268,5531,323,84,"Lerista vermicularis"
271,4355,381,102,"Lerista vermicularis"
270,4201,451,112,"Lerista vermicularis"
267,5097,387,95,"Lerista vermicularis"
277,4571,418,109,"Lerista vermicularis"
265,5092,362,93,"Lerista vermicularis"
268,3735,564,124,"Lerista vermicularis"
265,5069,381,94,"Lerista vermicularis"
266,4703,398,100,"Lerista vermicularis"
267,5380,328,88,"Lerista vermicularis"
272,3838,580,130,"Lerista vermicularis"
265,5059,375,94,"Lerista vermicularis"
264,4900,395,98,"Lerista vermicularis"
270,4291,380,102,"Lerista vermicularis"
268,5469,355,85,"Lerista vermicularis"
266,5482,325,84,"Lerista vermicularis"
268,5060,346,96,"Lerista vermicularis"
267,5633,322,78,"Lerista vermicularis"
265,4875,376,97,"Lerista vermicularis"
270,3929,471,111,"Lerista vermicularis"
267,4601,422,107,"Lerista vermicularis"
266,5512,348,83,"Lerista vermicularis"
267,4780,355,99,"Lerista vermicularis"
277,4562,427,108,"Lerista vermicularis"
266,5082,347,92,"Lerista vermicularis"
266,4886,379,102,"Lerista vermicularis"
272,4030,471,121,"Lerista vermicularis"
276,4721,405,105,"Lerista vermicularis"
276,4452,428,108,"Lerista vermicularis"
269,4512,412,108,"Lerista vermicularis"
267,4818,335,93,"Lerista vermicularis"
270,5510,321,86,"Lerista vermicularis"
262,4898,315,91,"Lerista vermicularis"
267,4696,420,106,"Lerista vermicularis"
266,4884,380,99,"Lerista vermicularis"
272,4932,371,98,"Lerista vermicularis"
264,4755,353,95,"Lerista vermicularis"
263,4903,286,90,"Lerista vermicularis"
271,4228,392,99,"Lerista vermicularis"
268,5690,327,83,"Lerista vermicularis"
266,4962,341,95,"Lerista vermicularis"
267,5339,357,87,"Lerista vermicularis"
276,4475,427,109,"Lerista vermicularis"
264,5486,369,85,"Lerista vermicularis"
266,5274,373,92,"Lerista vermicularis"
268,4103,436,103,"Lerista vermicularis"
271,5445,332,92,"Lerista vermicularis"
265,5157,388,90,"Lerista vermicularis"
265,4756,349,98,"Lerista vermicularis"
271,4464,395,103,"Lerista vermicularis"
262,4793,317,93,"Lerista vermicularis"
267,4784,422,105,"Lerista vermicularis"
271,4255,391,100,"Lerista vermicularis"
276,3544,589,131,"Lerista vermicularis"
272,5025,369,97,"Lerista vermicularis"
270,4786,423,105,"Lerista vermicularis"
273,5637,311,85,"Lerista vermicularis"
270,5682,321,80,"Lerista vermicularis"
267,5389,342,87,"Lerista vermicularis"
267,5318,326,91,"Lerista vermicularis"
263,4783,382,94,"Lerista vermicularis"
270,3884,530,129,"Lerista vermicularis"
268,5835,324,78,"Lerista vermicularis"
268,5816,341,77,"Lerista vermicularis"
267,5224,349,90,"Lerista vermicularis"
271,4910,410,101,"Lerista vermicularis"
268,4677,344,97,"Lerista vermicularis"
270,3968,494,119,"Lerista vermicularis"
269,4230,408,105,"Lerista vermicularis"
266,5060,376,95,"Lerista vermicularis"
266,5179,390,95,"Lerista vermicularis"
275,4226,441,115,"Lerista vermicularis"
267,5337,346,87,"Lerista vermicularis"
270,5524,320,84,"Lerista vermicularis"
269,3640,566,126,"Lerista vermicularis"
264,5608,362,81,"Lerista vermicularis"
268,5490,352,85,"Lerista vermicularis"
270,4507,400,106,"Lerista vermicularis"
265,4821,357,97,"Lerista vermicularis"
269,5524,342,86,"Lerista vermicularis"
267,5790,347,77,"Lerista vermicularis"
266,5479,367,88,"Lerista vermicularis"
272,3815,462,113,"Lerista vermicularis"
265,5152,382,92,"Lerista vermicularis"
266,5271,362,92,"Lerista vermicularis"
