"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
241,3558,641,78,"Lerista vittata"
245,3425,769,82,"Lerista vittata"
241,3575,656,74,"Lerista vittata"
237,3514,652,76,"Lerista vittata"
237,3589,551,78,"Lerista vittata"
227,3374,877,82,"Lerista vittata"
233,3444,818,82,"Lerista vittata"
238,3519,593,78,"Lerista vittata"
234,3409,640,84,"Lerista vittata"
244,3593,597,78,"Lerista vittata"
242,3371,679,89,"Lerista vittata"
238,3764,636,76,"Lerista vittata"
241,3701,571,74,"Lerista vittata"
235,3542,843,78,"Lerista vittata"
241,3808,704,74,"Lerista vittata"
236,3575,714,80,"Lerista vittata"
238,3502,573,80,"Lerista vittata"
239,3570,716,79,"Lerista vittata"
230,3418,669,82,"Lerista vittata"
242,3675,608,75,"Lerista vittata"
234,3389,645,84,"Lerista vittata"
239,3513,590,79,"Lerista vittata"
240,3567,607,76,"Lerista vittata"
244,3392,858,84,"Lerista vittata"
240,3394,751,89,"Lerista vittata"
237,3500,609,78,"Lerista vittata"
235,3467,584,79,"Lerista vittata"
240,3561,752,77,"Lerista vittata"
239,3578,722,76,"Lerista vittata"
233,3651,623,71,"Lerista vittata"
238,3766,700,76,"Lerista vittata"
238,3333,889,91,"Lerista vittata"
239,3693,596,72,"Lerista vittata"
240,3608,753,76,"Lerista vittata"
239,3548,692,81,"Lerista vittata"
238,3535,707,76,"Lerista vittata"
231,3564,860,76,"Lerista vittata"
233,3631,705,73,"Lerista vittata"
237,3604,620,79,"Lerista vittata"
241,3732,604,73,"Lerista vittata"
237,3565,731,79,"Lerista vittata"
235,3554,786,77,"Lerista vittata"
242,3738,632,74,"Lerista vittata"
243,3341,861,90,"Lerista vittata"
234,3488,785,82,"Lerista vittata"
241,3626,602,78,"Lerista vittata"
227,3399,848,81,"Lerista vittata"
237,3633,695,74,"Lerista vittata"
237,3673,680,72,"Lerista vittata"
237,3535,617,78,"Lerista vittata"
236,3589,780,76,"Lerista vittata"
242,3708,596,74,"Lerista vittata"
243,3340,1004,88,"Lerista vittata"
234,3617,665,77,"Lerista vittata"
230,3412,930,80,"Lerista vittata"
240,3780,741,74,"Lerista vittata"
236,3449,665,83,"Lerista vittata"
240,3726,648,71,"Lerista vittata"
236,3663,579,75,"Lerista vittata"
229,3359,950,84,"Lerista vittata"
242,3584,563,77,"Lerista vittata"
242,3325,874,92,"Lerista vittata"
228,3424,744,79,"Lerista vittata"
238,3511,716,79,"Lerista vittata"
237,3581,656,79,"Lerista vittata"
233,3613,747,74,"Lerista vittata"
235,3637,661,72,"Lerista vittata"
233,3581,687,77,"Lerista vittata"
243,3375,818,90,"Lerista vittata"
229,3353,938,87,"Lerista vittata"
233,3488,762,78,"Lerista vittata"
238,3346,995,87,"Lerista vittata"
236,3462,586,81,"Lerista vittata"
237,3527,616,77,"Lerista vittata"
227,3379,739,83,"Lerista vittata"
231,3587,707,78,"Lerista vittata"
244,3363,873,85,"Lerista vittata"
232,3555,535,78,"Lerista vittata"
238,3500,727,83,"Lerista vittata"
241,3757,618,75,"Lerista vittata"
232,3397,753,84,"Lerista vittata"
237,3570,725,82,"Lerista vittata"
243,3779,626,72,"Lerista vittata"
238,3619,806,76,"Lerista vittata"
235,3360,1010,84,"Lerista vittata"
235,3676,777,72,"Lerista vittata"
237,3703,702,73,"Lerista vittata"
235,3424,661,83,"Lerista vittata"
239,3717,569,71,"Lerista vittata"
241,3653,698,75,"Lerista vittata"
233,3605,682,73,"Lerista vittata"
234,3575,759,75,"Lerista vittata"
231,3617,665,73,"Lerista vittata"
237,3555,764,80,"Lerista vittata"
233,3715,768,74,"Lerista vittata"
238,3667,618,71,"Lerista vittata"
229,3404,910,82,"Lerista vittata"
233,3571,790,78,"Lerista vittata"
235,3630,821,74,"Lerista vittata"
241,3797,627,75,"Lerista vittata"
236,3583,676,80,"Lerista vittata"
245,3348,828,91,"Lerista vittata"
240,3319,1021,90,"Lerista vittata"
235,3677,589,70,"Lerista vittata"
238,3472,795,83,"Lerista vittata"
231,3450,773,79,"Lerista vittata"
232,3613,588,74,"Lerista vittata"
227,3398,890,82,"Lerista vittata"
233,3461,734,80,"Lerista vittata"
242,3777,602,74,"Lerista vittata"
241,3756,639,71,"Lerista vittata"
237,3477,583,81,"Lerista vittata"
237,3527,625,74,"Lerista vittata"
237,3621,698,77,"Lerista vittata"
239,3520,590,78,"Lerista vittata"
242,3766,592,71,"Lerista vittata"
229,3433,849,82,"Lerista vittata"
238,3562,723,81,"Lerista vittata"
236,3575,687,78,"Lerista vittata"
228,3565,582,76,"Lerista vittata"
236,3562,701,80,"Lerista vittata"
238,3704,543,74,"Lerista vittata"
240,3750,600,76,"Lerista vittata"
243,3750,644,74,"Lerista vittata"
236,3678,595,71,"Lerista vittata"
237,3473,575,81,"Lerista vittata"
222,3265,1056,88,"Lerista vittata"
235,3458,598,78,"Lerista vittata"
235,3574,812,76,"Lerista vittata"
239,3705,596,70,"Lerista vittata"
233,3423,649,82,"Lerista vittata"
241,3603,569,78,"Lerista vittata"
242,3782,594,69,"Lerista vittata"
245,3385,819,85,"Lerista vittata"
236,3601,738,75,"Lerista vittata"
241,3626,681,76,"Lerista vittata"
228,3323,991,86,"Lerista vittata"
243,3374,757,90,"Lerista vittata"
240,3696,554,75,"Lerista vittata"
239,3548,652,79,"Lerista vittata"
237,3491,701,79,"Lerista vittata"
236,3638,607,71,"Lerista vittata"
230,3493,613,79,"Lerista vittata"
241,3697,698,74,"Lerista vittata"
233,3598,778,78,"Lerista vittata"
243,3790,593,71,"Lerista vittata"
238,3670,792,74,"Lerista vittata"
243,3806,607,74,"Lerista vittata"
235,3673,800,71,"Lerista vittata"
232,3460,774,83,"Lerista vittata"
243,3528,546,80,"Lerista vittata"
235,3633,643,72,"Lerista vittata"
239,3730,728,71,"Lerista vittata"
239,3548,618,76,"Lerista vittata"
242,3722,703,73,"Lerista vittata"
242,3799,674,74,"Lerista vittata"
244,3567,563,80,"Lerista vittata"
237,3585,644,80,"Lerista vittata"
229,3315,834,86,"Lerista vittata"
236,3372,729,90,"Lerista vittata"
241,3732,580,74,"Lerista vittata"
223,3464,795,79,"Lerista vittata"
232,3435,635,80,"Lerista vittata"
234,3620,679,73,"Lerista vittata"
239,3527,548,77,"Lerista vittata"
240,3525,558,79,"Lerista vittata"
235,3430,663,83,"Lerista vittata"
243,3434,831,83,"Lerista vittata"
239,3659,567,74,"Lerista vittata"
234,3591,732,80,"Lerista vittata"
233,3609,702,77,"Lerista vittata"
241,3651,677,79,"Lerista vittata"
234,3393,678,84,"Lerista vittata"
237,3667,624,71,"Lerista vittata"
242,3773,659,73,"Lerista vittata"
233,3638,759,74,"Lerista vittata"
232,3372,736,86,"Lerista vittata"
231,3358,955,87,"Lerista vittata"
227,3437,848,79,"Lerista vittata"
239,3542,599,75,"Lerista vittata"
241,3604,678,80,"Lerista vittata"
231,3385,750,83,"Lerista vittata"
226,3323,958,87,"Lerista vittata"
230,3385,831,84,"Lerista vittata"
233,3590,764,74,"Lerista vittata"
235,3494,760,81,"Lerista vittata"
233,3590,786,77,"Lerista vittata"
233,3530,566,79,"Lerista vittata"
235,3599,598,76,"Lerista vittata"
235,3705,689,74,"Lerista vittata"
240,3749,589,69,"Lerista vittata"
238,3430,879,85,"Lerista vittata"
227,3308,1053,85,"Lerista vittata"
233,3410,759,84,"Lerista vittata"
239,3314,958,91,"Lerista vittata"
226,3370,703,81,"Lerista vittata"
239,3679,596,71,"Lerista vittata"
236,3645,676,71,"Lerista vittata"
235,3444,597,83,"Lerista vittata"
232,3535,531,77,"Lerista vittata"
244,3458,780,82,"Lerista vittata"
