"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
251,6333,252,61,"Liopholis kintorei"
202,6263,283,44,"Liopholis kintorei"
222,6154,205,50,"Liopholis kintorei"
200,5458,242,31,"Liopholis kintorei"
266,5245,369,93,"Liopholis kintorei"
239,5703,330,75,"Liopholis kintorei"
264,5923,326,74,"Liopholis kintorei"
251,6086,314,62,"Liopholis kintorei"
268,5162,343,91,"Liopholis kintorei"
243,6369,223,52,"Liopholis kintorei"
226,6473,247,41,"Liopholis kintorei"
237,6365,211,54,"Liopholis kintorei"
264,5702,376,77,"Liopholis kintorei"
267,3722,658,116,"Liopholis kintorei"
240,6376,218,52,"Liopholis kintorei"
279,3268,657,122,"Liopholis kintorei"
239,6193,328,58,"Liopholis kintorei"
258,5258,431,99,"Liopholis kintorei"
262,5103,454,98,"Liopholis kintorei"
200,5549,231,32,"Liopholis kintorei"
188,5425,231,14,"Liopholis kintorei"
232,6229,338,53,"Liopholis kintorei"
241,6377,258,53,"Liopholis kintorei"
201,6317,364,51,"Liopholis kintorei"
257,5364,390,95,"Liopholis kintorei"
225,6204,190,51,"Liopholis kintorei"
242,6379,216,55,"Liopholis kintorei"
272,3843,493,107,"Liopholis kintorei"
262,5066,453,99,"Liopholis kintorei"
272,4955,413,88,"Liopholis kintorei"
232,6456,284,48,"Liopholis kintorei"
204,5851,246,24,"Liopholis kintorei"
246,6394,235,58,"Liopholis kintorei"
274,2655,756,118,"Liopholis kintorei"
215,6227,278,46,"Liopholis kintorei"
246,5504,378,79,"Liopholis kintorei"
237,6386,209,57,"Liopholis kintorei"
275,4228,575,116,"Liopholis kintorei"
262,4946,445,101,"Liopholis kintorei"
264,6168,268,78,"Liopholis kintorei"
244,5887,321,69,"Liopholis kintorei"
242,6423,229,63,"Liopholis kintorei"
218,6032,358,55,"Liopholis kintorei"
256,5277,380,98,"Liopholis kintorei"
261,6048,337,62,"Liopholis kintorei"
231,6388,245,54,"Liopholis kintorei"
268,5931,304,83,"Liopholis kintorei"
251,5658,344,82,"Liopholis kintorei"
224,6143,206,33,"Liopholis kintorei"
282,3963,475,117,"Liopholis kintorei"
209,6139,373,48,"Liopholis kintorei"
283,4139,492,117,"Liopholis kintorei"
232,6345,211,58,"Liopholis kintorei"
270,5438,323,85,"Liopholis kintorei"
211,5855,215,46,"Liopholis kintorei"
257,5779,354,81,"Liopholis kintorei"
274,4007,546,109,"Liopholis kintorei"
268,4734,354,99,"Liopholis kintorei"
255,5877,367,74,"Liopholis kintorei"
253,6316,265,59,"Liopholis kintorei"
208,6205,287,36,"Liopholis kintorei"
200,5903,255,23,"Liopholis kintorei"
268,5927,305,75,"Liopholis kintorei"
259,6159,277,63,"Liopholis kintorei"
246,6443,215,63,"Liopholis kintorei"
254,6270,264,58,"Liopholis kintorei"
236,6220,322,57,"Liopholis kintorei"
212,6191,276,34,"Liopholis kintorei"
253,6056,344,70,"Liopholis kintorei"
215,5933,227,40,"Liopholis kintorei"
218,6171,216,29,"Liopholis kintorei"
