"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
152,3076,906,66,"Liopholis pulchra"
152,3987,707,70,"Liopholis pulchra"
154,2922,554,39,"Liopholis pulchra"
155,2678,1111,72,"Liopholis pulchra"
149,3143,821,63,"Liopholis pulchra"
164,3069,982,85,"Liopholis pulchra"
160,3085,474,30,"Liopholis pulchra"
156,2577,848,54,"Liopholis pulchra"
161,2424,1214,71,"Liopholis pulchra"
151,3552,425,51,"Liopholis pulchra"
155,2714,681,44,"Liopholis pulchra"
160,3595,875,76,"Liopholis pulchra"
150,2889,903,63,"Liopholis pulchra"
150,3462,462,56,"Liopholis pulchra"
161,2324,1116,62,"Liopholis pulchra"
154,2396,1306,62,"Liopholis pulchra"
147,3002,680,46,"Liopholis pulchra"
160,3124,480,38,"Liopholis pulchra"
184,3542,933,82,"Liopholis pulchra"
154,3381,743,66,"Liopholis pulchra"
160,3739,971,77,"Liopholis pulchra"
149,3641,642,68,"Liopholis pulchra"
161,2724,988,65,"Liopholis pulchra"
155,2635,791,50,"Liopholis pulchra"
152,3412,411,44,"Liopholis pulchra"
165,3560,976,88,"Liopholis pulchra"
156,2618,959,59,"Liopholis pulchra"
173,3245,846,81,"Liopholis pulchra"
149,3354,682,63,"Liopholis pulchra"
173,2972,872,83,"Liopholis pulchra"
151,2727,983,62,"Liopholis pulchra"
160,2684,608,33,"Liopholis pulchra"
169,2840,886,86,"Liopholis pulchra"
165,2483,1059,73,"Liopholis pulchra"
153,3772,776,75,"Liopholis pulchra"
165,2609,1032,82,"Liopholis pulchra"
148,2948,850,56,"Liopholis pulchra"
152,3288,572,55,"Liopholis pulchra"
149,2996,742,55,"Liopholis pulchra"
162,2335,1072,63,"Liopholis pulchra"
155,3148,431,26,"Liopholis pulchra"
161,2252,1191,68,"Liopholis pulchra"
155,4067,633,73,"Liopholis pulchra"
153,3499,670,63,"Liopholis pulchra"
153,2810,864,56,"Liopholis pulchra"
151,3451,410,43,"Liopholis pulchra"
158,2730,558,34,"Liopholis pulchra"
161,3803,974,79,"Liopholis pulchra"
154,3449,932,68,"Liopholis pulchra"
166,2528,1058,85,"Liopholis pulchra"
177,3382,936,79,"Liopholis pulchra"
162,2949,847,73,"Liopholis pulchra"
152,2651,838,49,"Liopholis pulchra"
148,3247,556,48,"Liopholis pulchra"
150,2816,855,58,"Liopholis pulchra"
153,3083,509,42,"Liopholis pulchra"
163,3402,932,83,"Liopholis pulchra"
160,3627,988,80,"Liopholis pulchra"
148,2510,942,52,"Liopholis pulchra"
186,3428,819,84,"Liopholis pulchra"
151,3685,429,52,"Liopholis pulchra"
153,3669,777,73,"Liopholis pulchra"
163,2311,1082,65,"Liopholis pulchra"
160,3893,866,73,"Liopholis pulchra"
164,2593,1009,80,"Liopholis pulchra"
164,3732,1191,85,"Liopholis pulchra"
153,4053,741,71,"Liopholis pulchra"
151,2720,954,61,"Liopholis pulchra"
151,3072,735,63,"Liopholis pulchra"
155,2677,869,55,"Liopholis pulchra"
164,3697,1301,84,"Liopholis pulchra"
163,2300,1109,66,"Liopholis pulchra"
156,4012,472,61,"Liopholis pulchra"
147,3307,483,44,"Liopholis pulchra"
164,3701,801,77,"Liopholis pulchra"
152,3187,717,64,"Liopholis pulchra"
160,2919,935,71,"Liopholis pulchra"
153,2413,1243,59,"Liopholis pulchra"
149,3138,963,70,"Liopholis pulchra"
155,2826,670,45,"Liopholis pulchra"
181,3596,1017,84,"Liopholis pulchra"
180,3901,1045,87,"Liopholis pulchra"
160,3813,702,76,"Liopholis pulchra"
162,3950,1055,78,"Liopholis pulchra"
156,4128,529,60,"Liopholis pulchra"
157,2722,1106,68,"Liopholis pulchra"
155,3960,501,64,"Liopholis pulchra"
155,4020,530,61,"Liopholis pulchra"
157,3971,646,70,"Liopholis pulchra"
159,2900,1021,80,"Liopholis pulchra"
155,2719,684,41,"Liopholis pulchra"
147,3175,572,49,"Liopholis pulchra"
157,2539,1065,55,"Liopholis pulchra"
153,3588,598,72,"Liopholis pulchra"
158,4149,477,65,"Liopholis pulchra"
153,2641,1118,62,"Liopholis pulchra"
153,3363,395,41,"Liopholis pulchra"
153,2671,1064,64,"Liopholis pulchra"
149,3000,620,49,"Liopholis pulchra"
154,2940,533,40,"Liopholis pulchra"
167,3608,1271,87,"Liopholis pulchra"
148,3223,1062,76,"Liopholis pulchra"
166,2993,954,87,"Liopholis pulchra"
174,2497,1026,86,"Liopholis pulchra"
185,3451,855,82,"Liopholis pulchra"
159,3110,953,73,"Liopholis pulchra"
146,2644,1224,59,"Liopholis pulchra"
187,3474,770,83,"Liopholis pulchra"
152,3360,404,47,"Liopholis pulchra"
154,3984,468,60,"Liopholis pulchra"
152,3494,387,44,"Liopholis pulchra"
149,3341,444,53,"Liopholis pulchra"
147,2878,771,49,"Liopholis pulchra"
168,4098,958,82,"Liopholis pulchra"
148,3677,491,53,"Liopholis pulchra"
147,3692,508,51,"Liopholis pulchra"
159,2606,714,47,"Liopholis pulchra"
148,3036,559,47,"Liopholis pulchra"
157,2522,854,53,"Liopholis pulchra"
149,3638,441,47,"Liopholis pulchra"
151,2935,1128,71,"Liopholis pulchra"
156,2909,553,43,"Liopholis pulchra"
184,3277,872,84,"Liopholis pulchra"
174,4186,893,83,"Liopholis pulchra"
166,3959,1183,81,"Liopholis pulchra"
150,3196,802,64,"Liopholis pulchra"
152,3151,494,47,"Liopholis pulchra"
170,3589,1093,88,"Liopholis pulchra"
158,2451,868,54,"Liopholis pulchra"
151,2317,1149,60,"Liopholis pulchra"
149,2744,1084,65,"Liopholis pulchra"
162,2355,986,58,"Liopholis pulchra"
147,3281,796,65,"Liopholis pulchra"
154,2909,873,68,"Liopholis pulchra"
153,2907,822,63,"Liopholis pulchra"
153,3551,713,66,"Liopholis pulchra"
156,2708,632,38,"Liopholis pulchra"
176,3488,1001,83,"Liopholis pulchra"
153,3128,492,44,"Liopholis pulchra"
156,2554,871,54,"Liopholis pulchra"
