"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
218,6408,302,47,"Liopholis slateri"
229,6538,203,51,"Liopholis slateri"
211,6295,328,47,"Liopholis slateri"
213,6417,238,39,"Liopholis slateri"
227,6458,207,40,"Liopholis slateri"
231,6509,187,43,"Liopholis slateri"
218,6325,361,50,"Liopholis slateri"
203,6243,293,41,"Liopholis slateri"
213,6407,221,41,"Liopholis slateri"
214,6425,292,45,"Liopholis slateri"
228,6517,213,47,"Liopholis slateri"
208,6337,313,47,"Liopholis slateri"
218,6405,320,47,"Liopholis slateri"
221,6403,314,48,"Liopholis slateri"
226,6481,212,44,"Liopholis slateri"
220,6463,221,42,"Liopholis slateri"
209,6341,313,47,"Liopholis slateri"
217,6439,209,44,"Liopholis slateri"
214,6400,202,48,"Liopholis slateri"
215,6324,309,47,"Liopholis slateri"
222,6395,318,49,"Liopholis slateri"
228,6406,291,48,"Liopholis slateri"
224,6432,224,39,"Liopholis slateri"
228,6378,320,52,"Liopholis slateri"
221,6471,239,39,"Liopholis slateri"
224,6492,222,46,"Liopholis slateri"
211,6397,312,48,"Liopholis slateri"
227,6482,223,39,"Liopholis slateri"
223,6412,290,42,"Liopholis slateri"
222,6475,224,45,"Liopholis slateri"
227,6466,285,47,"Liopholis slateri"
217,6438,197,43,"Liopholis slateri"
215,6403,221,42,"Liopholis slateri"
220,6399,281,42,"Liopholis slateri"
234,6425,291,50,"Liopholis slateri"
219,6396,309,48,"Liopholis slateri"
227,6502,217,42,"Liopholis slateri"
221,6471,237,41,"Liopholis slateri"
222,6475,238,39,"Liopholis slateri"
221,6470,239,40,"Liopholis slateri"
221,6467,267,41,"Liopholis slateri"
228,6510,190,40,"Liopholis slateri"
227,6380,312,51,"Liopholis slateri"
204,6278,293,43,"Liopholis slateri"
212,6386,226,41,"Liopholis slateri"
208,6331,323,46,"Liopholis slateri"
227,6496,182,45,"Liopholis slateri"
224,6432,240,39,"Liopholis slateri"
227,6503,204,46,"Liopholis slateri"
215,6439,268,38,"Liopholis slateri"
220,6309,366,51,"Liopholis slateri"
216,6393,308,47,"Liopholis slateri"
224,6470,269,42,"Liopholis slateri"
221,6425,289,41,"Liopholis slateri"
199,6287,260,45,"Liopholis slateri"
217,6325,309,49,"Liopholis slateri"
228,6510,189,40,"Liopholis slateri"
212,6390,231,40,"Liopholis slateri"
222,6477,214,46,"Liopholis slateri"
214,6397,222,41,"Liopholis slateri"
219,6454,239,38,"Liopholis slateri"
227,6516,168,51,"Liopholis slateri"
209,6319,331,47,"Liopholis slateri"
233,6429,296,50,"Liopholis slateri"
200,6288,283,52,"Liopholis slateri"
232,6423,300,50,"Liopholis slateri"
224,6498,206,46,"Liopholis slateri"
223,6452,264,40,"Liopholis slateri"
215,6380,289,40,"Liopholis slateri"
230,6423,298,49,"Liopholis slateri"
217,6428,207,48,"Liopholis slateri"
218,6411,289,46,"Liopholis slateri"
199,6239,325,43,"Liopholis slateri"
229,6513,173,42,"Liopholis slateri"
203,6241,332,45,"Liopholis slateri"
222,6410,301,47,"Liopholis slateri"
216,6308,291,49,"Liopholis slateri"
221,6365,353,42,"Liopholis slateri"
202,6305,261,39,"Liopholis slateri"
218,6443,234,44,"Liopholis slateri"
205,6290,299,44,"Liopholis slateri"
223,6427,261,41,"Liopholis slateri"
229,6385,316,52,"Liopholis slateri"
221,6463,185,59,"Liopholis slateri"
210,6307,334,47,"Liopholis slateri"
230,6508,212,43,"Liopholis slateri"
219,6418,279,46,"Liopholis slateri"
225,6444,221,39,"Liopholis slateri"
211,6409,268,37,"Liopholis slateri"
229,6533,179,46,"Liopholis slateri"
219,6374,328,49,"Liopholis slateri"
206,6348,293,50,"Liopholis slateri"
209,6306,327,47,"Liopholis slateri"
226,6469,217,44,"Liopholis slateri"
228,6469,278,47,"Liopholis slateri"
212,6386,293,47,"Liopholis slateri"
228,6496,216,42,"Liopholis slateri"
216,6326,389,44,"Liopholis slateri"
205,6298,318,44,"Liopholis slateri"
224,6435,300,48,"Liopholis slateri"
207,6330,306,46,"Liopholis slateri"
204,6296,322,48,"Liopholis slateri"
205,6315,328,49,"Liopholis slateri"
222,6446,263,40,"Liopholis slateri"
222,6477,234,42,"Liopholis slateri"
214,6418,232,42,"Liopholis slateri"
221,6443,233,43,"Liopholis slateri"
197,6163,384,42,"Liopholis slateri"
225,6504,202,51,"Liopholis slateri"
212,6391,222,40,"Liopholis slateri"
229,6386,311,51,"Liopholis slateri"
222,6473,250,39,"Liopholis slateri"
211,6307,378,48,"Liopholis slateri"
218,6450,206,43,"Liopholis slateri"
198,6287,268,49,"Liopholis slateri"
224,6494,222,47,"Liopholis slateri"
226,6421,267,47,"Liopholis slateri"
223,6471,227,46,"Liopholis slateri"
208,6379,324,48,"Liopholis slateri"
233,6526,173,44,"Liopholis slateri"
213,6399,303,48,"Liopholis slateri"
228,6504,210,40,"Liopholis slateri"
204,6310,312,51,"Liopholis slateri"
204,6332,362,50,"Liopholis slateri"
226,6504,168,57,"Liopholis slateri"
213,6298,287,42,"Liopholis slateri"
222,6402,325,42,"Liopholis slateri"
222,6439,246,44,"Liopholis slateri"
210,6398,278,37,"Liopholis slateri"
219,6453,201,50,"Liopholis slateri"
210,6365,235,40,"Liopholis slateri"
227,6519,177,55,"Liopholis slateri"
232,6514,220,43,"Liopholis slateri"
214,6406,209,44,"Liopholis slateri"
214,6426,276,39,"Liopholis slateri"
210,6380,236,38,"Liopholis slateri"
212,6401,233,39,"Liopholis slateri"
218,6440,198,42,"Liopholis slateri"
202,6269,303,43,"Liopholis slateri"
226,6494,220,42,"Liopholis slateri"
229,6442,289,49,"Liopholis slateri"
228,6514,188,44,"Liopholis slateri"
190,6144,379,45,"Liopholis slateri"
222,6462,271,44,"Liopholis slateri"
209,6330,327,46,"Liopholis slateri"
230,6382,337,50,"Liopholis slateri"
218,6430,203,59,"Liopholis slateri"
213,6299,263,41,"Liopholis slateri"
238,6587,191,44,"Liopholis slateri"
226,6370,334,51,"Liopholis slateri"
223,6376,322,42,"Liopholis slateri"
205,6239,324,42,"Liopholis slateri"
209,6362,230,38,"Liopholis slateri"
212,6389,216,40,"Liopholis slateri"
215,6424,237,39,"Liopholis slateri"
224,6465,276,46,"Liopholis slateri"
204,6328,238,39,"Liopholis slateri"
230,6463,294,47,"Liopholis slateri"
217,6446,239,38,"Liopholis slateri"
235,6533,175,44,"Liopholis slateri"
204,6298,325,47,"Liopholis slateri"
226,6472,260,42,"Liopholis slateri"
218,6442,217,45,"Liopholis slateri"
217,6435,211,42,"Liopholis slateri"
221,6471,185,56,"Liopholis slateri"
229,6448,282,47,"Liopholis slateri"
222,6417,259,39,"Liopholis slateri"
220,6460,200,43,"Liopholis slateri"
225,6453,246,40,"Liopholis slateri"
209,6359,245,38,"Liopholis slateri"
227,6501,202,41,"Liopholis slateri"
199,6218,327,42,"Liopholis slateri"
230,6450,293,49,"Liopholis slateri"
227,6471,269,46,"Liopholis slateri"
228,6434,299,45,"Liopholis slateri"
220,6332,314,51,"Liopholis slateri"
220,6465,229,39,"Liopholis slateri"
213,6395,219,40,"Liopholis slateri"
196,6255,282,45,"Liopholis slateri"
226,6499,209,40,"Liopholis slateri"
216,6428,292,46,"Liopholis slateri"
226,6513,166,58,"Liopholis slateri"
188,6187,354,40,"Liopholis slateri"
227,6522,198,53,"Liopholis slateri"
221,6436,247,40,"Liopholis slateri"
222,6475,216,45,"Liopholis slateri"
228,6518,206,46,"Liopholis slateri"
199,6252,320,45,"Liopholis slateri"
217,6434,203,57,"Liopholis slateri"
225,6396,304,43,"Liopholis slateri"
233,6532,176,44,"Liopholis slateri"
207,6321,326,46,"Liopholis slateri"
218,6442,234,46,"Liopholis slateri"
237,6569,189,45,"Liopholis slateri"
223,6476,243,45,"Liopholis slateri"
224,6490,224,47,"Liopholis slateri"
208,6340,303,46,"Liopholis slateri"
230,6530,200,45,"Liopholis slateri"
209,6359,229,38,"Liopholis slateri"
218,6456,268,40,"Liopholis slateri"
214,6318,314,47,"Liopholis slateri"
217,6414,302,46,"Liopholis slateri"
227,6505,221,42,"Liopholis slateri"
218,6455,236,40,"Liopholis slateri"
233,6514,214,41,"Liopholis slateri"
223,6487,206,43,"Liopholis slateri"
220,6467,211,46,"Liopholis slateri"
223,6485,191,44,"Liopholis slateri"
213,6398,219,41,"Liopholis slateri"
226,6487,189,46,"Liopholis slateri"
228,6505,220,43,"Liopholis slateri"
201,6247,308,46,"Liopholis slateri"
222,6429,242,39,"Liopholis slateri"
202,6260,291,43,"Liopholis slateri"
212,6294,341,48,"Liopholis slateri"
226,6408,308,49,"Liopholis slateri"
225,6458,223,39,"Liopholis slateri"
223,6404,285,40,"Liopholis slateri"
208,6266,290,41,"Liopholis slateri"
215,6328,305,45,"Liopholis slateri"
205,6244,304,41,"Liopholis slateri"
218,6361,341,49,"Liopholis slateri"
207,6351,306,49,"Liopholis slateri"
204,6344,247,37,"Liopholis slateri"
226,6508,197,45,"Liopholis slateri"
227,6469,257,43,"Liopholis slateri"
201,6262,332,48,"Liopholis slateri"
215,6356,334,48,"Liopholis slateri"
224,6494,200,46,"Liopholis slateri"
227,6487,224,44,"Liopholis slateri"
231,6548,181,44,"Liopholis slateri"
219,6452,230,44,"Liopholis slateri"
219,6387,323,48,"Liopholis slateri"
227,6419,280,46,"Liopholis slateri"
209,6389,277,43,"Liopholis slateri"
202,6320,270,53,"Liopholis slateri"
223,6477,233,41,"Liopholis slateri"
234,6523,201,44,"Liopholis slateri"
225,6401,300,43,"Liopholis slateri"
233,6424,302,50,"Liopholis slateri"
215,6409,220,41,"Liopholis slateri"
225,6497,195,48,"Liopholis slateri"
224,6449,261,40,"Liopholis slateri"
203,6264,297,43,"Liopholis slateri"
213,6314,318,49,"Liopholis slateri"
207,6346,321,48,"Liopholis slateri"
228,6475,203,41,"Liopholis slateri"
202,6289,267,45,"Liopholis slateri"
210,6315,321,46,"Liopholis slateri"
219,6340,305,50,"Liopholis slateri"
221,6458,273,44,"Liopholis slateri"
225,6436,247,40,"Liopholis slateri"
210,6318,323,45,"Liopholis slateri"
206,6348,296,50,"Liopholis slateri"
