"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
132,3890,589,21,"Lissolepis coventryi"
115,4223,1257,28,"Lissolepis coventryi"
133,2922,1151,25,"Lissolepis coventryi"
104,3920,1091,22,"Lissolepis coventryi"
97,4425,818,15,"Lissolepis coventryi"
83,4310,771,15,"Lissolepis coventryi"
68,4118,1041,14,"Lissolepis coventryi"
128,4048,629,25,"Lissolepis coventryi"
155,3192,965,15,"Lissolepis coventryi"
144,4443,437,26,"Lissolepis coventryi"
146,3836,550,39,"Lissolepis coventryi"
141,4438,643,15,"Lissolepis coventryi"
146,2705,711,51,"Lissolepis coventryi"
147,3372,783,13,"Lissolepis coventryi"
153,3255,984,14,"Lissolepis coventryi"
135,4120,546,29,"Lissolepis coventryi"
124,3871,704,14,"Lissolepis coventryi"
136,4144,597,29,"Lissolepis coventryi"
120,4199,609,30,"Lissolepis coventryi"
150,4671,586,17,"Lissolepis coventryi"
150,3154,927,11,"Lissolepis coventryi"
139,3034,748,30,"Lissolepis coventryi"
136,2897,743,26,"Lissolepis coventryi"
144,3175,673,16,"Lissolepis coventryi"
147,4533,515,21,"Lissolepis coventryi"
146,3070,558,14,"Lissolepis coventryi"
151,3249,1028,14,"Lissolepis coventryi"
139,3507,601,38,"Lissolepis coventryi"
137,3781,1100,14,"Lissolepis coventryi"
147,3223,799,13,"Lissolepis coventryi"
141,2615,846,26,"Lissolepis coventryi"
141,2796,773,31,"Lissolepis coventryi"
141,2942,732,34,"Lissolepis coventryi"
142,3045,641,10,"Lissolepis coventryi"
135,2812,935,27,"Lissolepis coventryi"
126,4693,852,22,"Lissolepis coventryi"
145,3314,865,14,"Lissolepis coventryi"
150,4244,464,37,"Lissolepis coventryi"
138,3289,620,25,"Lissolepis coventryi"
147,3379,766,15,"Lissolepis coventryi"
138,2911,867,47,"Lissolepis coventryi"
137,3116,645,21,"Lissolepis coventryi"
129,4282,570,12,"Lissolepis coventryi"
146,2540,689,53,"Lissolepis coventryi"
143,2436,736,44,"Lissolepis coventryi"
140,3145,567,22,"Lissolepis coventryi"
138,3430,720,37,"Lissolepis coventryi"
126,4612,1058,22,"Lissolepis coventryi"
144,3118,600,17,"Lissolepis coventryi"
148,3299,1067,15,"Lissolepis coventryi"
145,3578,802,11,"Lissolepis coventryi"
134,4068,658,33,"Lissolepis coventryi"
149,3970,509,40,"Lissolepis coventryi"
152,4752,394,27,"Lissolepis coventryi"
138,3318,695,25,"Lissolepis coventryi"
118,4841,1405,35,"Lissolepis coventryi"
