"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
265,2573,795,111,"Lophognathus gilberti"
249,6386,212,58,"Lophognathus gilberti"
263,3425,652,111,"Lophognathus gilberti"
256,5341,370,93,"Lophognathus gilberti"
271,3776,542,118,"Lophognathus gilberti"
258,4780,438,99,"Lophognathus gilberti"
277,2031,1445,105,"Lophognathus gilberti"
269,4166,465,105,"Lophognathus gilberti"
264,2245,1148,106,"Lophognathus gilberti"
282,3126,638,113,"Lophognathus gilberti"
273,4069,323,95,"Lophognathus gilberti"
284,2957,716,128,"Lophognathus gilberti"
226,4354,540,63,"Lophognathus gilberti"
271,4397,428,108,"Lophognathus gilberti"
224,6063,296,57,"Lophognathus gilberti"
257,4988,394,89,"Lophognathus gilberti"
268,2172,1005,111,"Lophognathus gilberti"
256,4891,338,86,"Lophognathus gilberti"
264,4970,288,94,"Lophognathus gilberti"
261,4801,407,94,"Lophognathus gilberti"
210,6265,328,25,"Lophognathus gilberti"
247,6536,203,54,"Lophognathus gilberti"
237,6226,255,63,"Lophognathus gilberti"
273,3439,449,111,"Lophognathus gilberti"
206,5519,540,33,"Lophognathus gilberti"
270,2976,860,114,"Lophognathus gilberti"
258,5361,381,96,"Lophognathus gilberti"
241,4088,527,80,"Lophognathus gilberti"
251,5896,302,74,"Lophognathus gilberti"
230,5477,488,57,"Lophognathus gilberti"
273,4682,486,93,"Lophognathus gilberti"
271,3802,529,109,"Lophognathus gilberti"
286,3642,515,118,"Lophognathus gilberti"
209,6223,356,29,"Lophognathus gilberti"
271,2775,798,123,"Lophognathus gilberti"
253,5309,381,86,"Lophognathus gilberti"
205,5642,580,41,"Lophognathus gilberti"
260,3916,531,111,"Lophognathus gilberti"
244,6360,213,62,"Lophognathus gilberti"
222,6480,220,39,"Lophognathus gilberti"
196,4806,675,46,"Lophognathus gilberti"
234,5818,273,66,"Lophognathus gilberti"
213,5641,491,46,"Lophognathus gilberti"
264,2695,819,109,"Lophognathus gilberti"
241,5745,375,61,"Lophognathus gilberti"
227,3736,672,89,"Lophognathus gilberti"
211,6297,298,28,"Lophognathus gilberti"
259,5280,484,97,"Lophognathus gilberti"
236,6299,245,61,"Lophognathus gilberti"
252,5780,274,72,"Lophognathus gilberti"
209,5827,522,35,"Lophognathus gilberti"
200,4939,652,51,"Lophognathus gilberti"
237,5772,366,71,"Lophognathus gilberti"
269,3270,727,114,"Lophognathus gilberti"
222,5934,310,62,"Lophognathus gilberti"
281,3433,650,122,"Lophognathus gilberti"
243,4750,518,77,"Lophognathus gilberti"
270,4107,327,106,"Lophognathus gilberti"
238,6528,199,49,"Lophognathus gilberti"
274,4018,509,120,"Lophognathus gilberti"
230,4295,549,64,"Lophognathus gilberti"
227,6402,235,43,"Lophognathus gilberti"
269,2408,944,109,"Lophognathus gilberti"
268,1481,1348,102,"Lophognathus gilberti"
272,1647,1308,112,"Lophognathus gilberti"
248,5202,370,96,"Lophognathus gilberti"
265,3315,722,112,"Lophognathus gilberti"
265,2879,891,114,"Lophognathus gilberti"
243,5646,284,84,"Lophognathus gilberti"
238,6338,204,58,"Lophognathus gilberti"
227,6457,241,44,"Lophognathus gilberti"
270,2248,1030,124,"Lophognathus gilberti"
258,1741,1188,119,"Lophognathus gilberti"
272,4294,520,110,"Lophognathus gilberti"
259,2204,1567,105,"Lophognathus gilberti"
247,6521,191,58,"Lophognathus gilberti"
278,3751,583,105,"Lophognathus gilberti"
271,4754,274,91,"Lophognathus gilberti"
269,2835,794,123,"Lophognathus gilberti"
261,4996,454,94,"Lophognathus gilberti"
246,5561,352,80,"Lophognathus gilberti"
265,1673,1312,98,"Lophognathus gilberti"
262,3541,706,119,"Lophognathus gilberti"
264,3033,805,118,"Lophognathus gilberti"
241,6568,182,47,"Lophognathus gilberti"
270,4540,465,106,"Lophognathus gilberti"
262,3392,697,111,"Lophognathus gilberti"
203,4821,655,42,"Lophognathus gilberti"
246,6128,228,63,"Lophognathus gilberti"
259,4804,451,115,"Lophognathus gilberti"
247,5861,258,76,"Lophognathus gilberti"
232,6430,246,48,"Lophognathus gilberti"
255,5927,327,75,"Lophognathus gilberti"
240,4428,511,76,"Lophognathus gilberti"
257,5284,452,93,"Lophognathus gilberti"
233,4184,587,64,"Lophognathus gilberti"
238,6560,152,44,"Lophognathus gilberti"
222,6142,278,57,"Lophognathus gilberti"
251,5305,356,86,"Lophognathus gilberti"
219,6402,343,39,"Lophognathus gilberti"
251,1916,1604,116,"Lophognathus gilberti"
263,4627,487,108,"Lophognathus gilberti"
264,3564,634,114,"Lophognathus gilberti"
247,6517,212,54,"Lophognathus gilberti"
260,4886,408,99,"Lophognathus gilberti"
212,5928,439,47,"Lophognathus gilberti"
275,1299,1604,96,"Lophognathus gilberti"
242,6290,279,60,"Lophognathus gilberti"
231,6068,280,58,"Lophognathus gilberti"
263,2885,870,117,"Lophognathus gilberti"
203,5834,506,35,"Lophognathus gilberti"
274,3822,554,133,"Lophognathus gilberti"
268,2903,963,114,"Lophognathus gilberti"
270,4368,372,100,"Lophognathus gilberti"
270,3329,670,112,"Lophognathus gilberti"
269,4364,471,108,"Lophognathus gilberti"
243,6235,241,60,"Lophognathus gilberti"
245,6570,165,64,"Lophognathus gilberti"
217,4558,718,61,"Lophognathus gilberti"
263,3345,777,120,"Lophognathus gilberti"
275,1721,1665,106,"Lophognathus gilberti"
254,4970,380,99,"Lophognathus gilberti"
257,5827,359,79,"Lophognathus gilberti"
266,4448,471,104,"Lophognathus gilberti"
287,3576,586,120,"Lophognathus gilberti"
259,3426,658,112,"Lophognathus gilberti"
219,6181,396,47,"Lophognathus gilberti"
283,2419,939,114,"Lophognathus gilberti"
264,4717,389,96,"Lophognathus gilberti"
235,5646,315,70,"Lophognathus gilberti"
273,1304,1374,105,"Lophognathus gilberti"
277,1994,1251,105,"Lophognathus gilberti"
266,3577,662,119,"Lophognathus gilberti"
246,5649,335,80,"Lophognathus gilberti"
239,4409,506,82,"Lophognathus gilberti"
241,6029,311,62,"Lophognathus gilberti"
268,4568,364,99,"Lophognathus gilberti"
233,5955,295,74,"Lophognathus gilberti"
224,6307,338,45,"Lophognathus gilberti"
241,4841,470,70,"Lophognathus gilberti"
267,4609,388,106,"Lophognathus gilberti"
231,6456,205,56,"Lophognathus gilberti"
263,1698,1405,117,"Lophognathus gilberti"
260,5095,428,91,"Lophognathus gilberti"
268,4535,444,109,"Lophognathus gilberti"
241,6533,183,52,"Lophognathus gilberti"
264,4501,309,93,"Lophognathus gilberti"
268,2263,1085,115,"Lophognathus gilberti"
222,6429,280,42,"Lophognathus gilberti"
220,6434,276,40,"Lophognathus gilberti"
243,5556,280,88,"Lophognathus gilberti"
279,2851,901,116,"Lophognathus gilberti"
247,6034,243,72,"Lophognathus gilberti"
273,1618,1256,112,"Lophognathus gilberti"
220,5676,425,51,"Lophognathus gilberti"
274,3746,310,102,"Lophognathus gilberti"
265,5229,293,86,"Lophognathus gilberti"
259,5135,350,94,"Lophognathus gilberti"
256,5510,438,90,"Lophognathus gilberti"
271,3009,768,124,"Lophognathus gilberti"
272,3583,330,98,"Lophognathus gilberti"
268,3188,841,121,"Lophognathus gilberti"
253,5776,281,78,"Lophognathus gilberti"
237,6361,225,63,"Lophognathus gilberti"
279,2881,854,116,"Lophognathus gilberti"
275,1806,1076,111,"Lophognathus gilberti"
271,3005,814,111,"Lophognathus gilberti"
241,6619,186,45,"Lophognathus gilberti"
266,2379,963,116,"Lophognathus gilberti"
212,5938,473,46,"Lophognathus gilberti"
267,5101,319,85,"Lophognathus gilberti"
266,4669,317,89,"Lophognathus gilberti"
265,3683,593,117,"Lophognathus gilberti"
225,6499,160,54,"Lophognathus gilberti"
260,5072,448,98,"Lophognathus gilberti"
242,6614,187,45,"Lophognathus gilberti"
227,6472,256,43,"Lophognathus gilberti"
266,3646,630,116,"Lophognathus gilberti"
265,4735,423,99,"Lophognathus gilberti"
218,5844,459,41,"Lophognathus gilberti"
240,5637,380,61,"Lophognathus gilberti"
264,3598,609,109,"Lophognathus gilberti"
244,5708,314,77,"Lophognathus gilberti"
244,5540,380,68,"Lophognathus gilberti"
235,6266,227,57,"Lophognathus gilberti"
290,2630,693,112,"Lophognathus gilberti"
258,5080,313,92,"Lophognathus gilberti"
223,4856,490,53,"Lophognathus gilberti"
213,6052,403,38,"Lophognathus gilberti"
215,6415,247,30,"Lophognathus gilberti"
239,5827,295,79,"Lophognathus gilberti"
231,6330,265,49,"Lophognathus gilberti"
282,2800,714,124,"Lophognathus gilberti"
257,5290,345,92,"Lophognathus gilberti"
224,6450,240,43,"Lophognathus gilberti"
250,4733,452,102,"Lophognathus gilberti"
261,5037,410,89,"Lophognathus gilberti"
205,4973,596,42,"Lophognathus gilberti"
270,2873,739,112,"Lophognathus gilberti"
219,6409,306,37,"Lophognathus gilberti"
221,6475,198,45,"Lophognathus gilberti"
225,6387,230,46,"Lophognathus gilberti"
272,2825,871,108,"Lophognathus gilberti"
