"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
196,5781,272,27,"Lophognathus longirostris"
244,6372,268,56,"Lophognathus longirostris"
271,4128,343,102,"Lophognathus longirostris"
217,6000,228,42,"Lophognathus longirostris"
236,6609,189,42,"Lophognathus longirostris"
268,5098,406,88,"Lophognathus longirostris"
247,6362,235,53,"Lophognathus longirostris"
267,5367,347,88,"Lophognathus longirostris"
265,5256,324,86,"Lophognathus longirostris"
248,6037,233,70,"Lophognathus longirostris"
237,5294,401,95,"Lophognathus longirostris"
224,6376,237,42,"Lophognathus longirostris"
245,6375,197,62,"Lophognathus longirostris"
261,5495,439,92,"Lophognathus longirostris"
252,5944,245,76,"Lophognathus longirostris"
283,3220,627,111,"Lophognathus longirostris"
257,6025,275,76,"Lophognathus longirostris"
244,4125,243,76,"Lophognathus longirostris"
241,6407,268,67,"Lophognathus longirostris"
221,6414,272,39,"Lophognathus longirostris"
223,6268,259,51,"Lophognathus longirostris"
259,6132,288,64,"Lophognathus longirostris"
263,5137,264,87,"Lophognathus longirostris"
254,5040,372,90,"Lophognathus longirostris"
243,6277,291,58,"Lophognathus longirostris"
225,6453,223,49,"Lophognathus longirostris"
263,4064,550,112,"Lophognathus longirostris"
272,3387,330,99,"Lophognathus longirostris"
269,3685,612,105,"Lophognathus longirostris"
206,5714,235,27,"Lophognathus longirostris"
245,6123,258,70,"Lophognathus longirostris"
223,6459,170,32,"Lophognathus longirostris"
261,6138,300,66,"Lophognathus longirostris"
217,6251,136,35,"Lophognathus longirostris"
263,4894,364,96,"Lophognathus longirostris"
254,6316,281,74,"Lophognathus longirostris"
239,6444,214,51,"Lophognathus longirostris"
264,5301,358,82,"Lophognathus longirostris"
259,5654,330,71,"Lophognathus longirostris"
255,5873,381,72,"Lophognathus longirostris"
242,6376,245,53,"Lophognathus longirostris"
250,5942,248,69,"Lophognathus longirostris"
251,5834,260,80,"Lophognathus longirostris"
236,5771,276,69,"Lophognathus longirostris"
278,3709,609,115,"Lophognathus longirostris"
268,3710,547,116,"Lophognathus longirostris"
271,5027,405,89,"Lophognathus longirostris"
266,6173,283,79,"Lophognathus longirostris"
223,6394,313,41,"Lophognathus longirostris"
265,4084,488,110,"Lophognathus longirostris"
261,5672,229,84,"Lophognathus longirostris"
210,6323,305,45,"Lophognathus longirostris"
241,6551,157,56,"Lophognathus longirostris"
262,6051,226,66,"Lophognathus longirostris"
256,4989,365,88,"Lophognathus longirostris"
230,6285,208,37,"Lophognathus longirostris"
239,6376,293,56,"Lophognathus longirostris"
214,6327,253,43,"Lophognathus longirostris"
234,5995,327,58,"Lophognathus longirostris"
236,5386,436,90,"Lophognathus longirostris"
264,4257,472,106,"Lophognathus longirostris"
237,6405,237,60,"Lophognathus longirostris"
252,6321,219,66,"Lophognathus longirostris"
262,5760,282,84,"Lophognathus longirostris"
238,6672,175,49,"Lophognathus longirostris"
236,6099,202,62,"Lophognathus longirostris"
223,6393,315,42,"Lophognathus longirostris"
212,6376,225,39,"Lophognathus longirostris"
263,4935,361,95,"Lophognathus longirostris"
228,6456,196,52,"Lophognathus longirostris"
274,3880,318,95,"Lophognathus longirostris"
216,6168,204,42,"Lophognathus longirostris"
260,3023,866,114,"Lophognathus longirostris"
260,4627,445,100,"Lophognathus longirostris"
250,6230,304,73,"Lophognathus longirostris"
262,5818,266,81,"Lophognathus longirostris"
209,6001,327,53,"Lophognathus longirostris"
204,5211,212,24,"Lophognathus longirostris"
220,6365,169,35,"Lophognathus longirostris"
266,2703,724,111,"Lophognathus longirostris"
243,6604,161,60,"Lophognathus longirostris"
207,3806,356,91,"Lophognathus longirostris"
248,6145,196,69,"Lophognathus longirostris"
229,6509,177,45,"Lophognathus longirostris"
247,6387,253,64,"Lophognathus longirostris"
200,5556,259,24,"Lophognathus longirostris"
254,5551,314,88,"Lophognathus longirostris"
232,6102,300,60,"Lophognathus longirostris"
242,6556,160,56,"Lophognathus longirostris"
211,6205,252,33,"Lophognathus longirostris"
247,4919,253,79,"Lophognathus longirostris"
230,6209,303,62,"Lophognathus longirostris"
248,6110,357,64,"Lophognathus longirostris"
279,3424,625,133,"Lophognathus longirostris"
258,5079,364,97,"Lophognathus longirostris"
252,5866,253,76,"Lophognathus longirostris"
247,6098,332,68,"Lophognathus longirostris"
248,6022,238,73,"Lophognathus longirostris"
206,5672,222,36,"Lophognathus longirostris"
243,5921,240,72,"Lophognathus longirostris"
232,6336,236,58,"Lophognathus longirostris"
254,6331,258,61,"Lophognathus longirostris"
268,5466,374,87,"Lophognathus longirostris"
247,5295,372,88,"Lophognathus longirostris"
237,6059,235,68,"Lophognathus longirostris"
257,5188,356,91,"Lophognathus longirostris"
251,6202,273,59,"Lophognathus longirostris"
261,5122,352,92,"Lophognathus longirostris"
257,6260,274,61,"Lophognathus longirostris"
228,6532,144,36,"Lophognathus longirostris"
223,6176,207,52,"Lophognathus longirostris"
252,6251,227,67,"Lophognathus longirostris"
241,5482,240,74,"Lophognathus longirostris"
203,5628,231,24,"Lophognathus longirostris"
221,6172,186,31,"Lophognathus longirostris"
207,6112,259,28,"Lophognathus longirostris"
209,6383,249,38,"Lophognathus longirostris"
256,5025,376,99,"Lophognathus longirostris"
241,6629,183,44,"Lophognathus longirostris"
218,5915,215,36,"Lophognathus longirostris"
273,3630,431,106,"Lophognathus longirostris"
249,6340,279,70,"Lophognathus longirostris"
249,3267,231,77,"Lophognathus longirostris"
268,3982,280,92,"Lophognathus longirostris"
230,6343,252,60,"Lophognathus longirostris"
253,4656,514,108,"Lophognathus longirostris"
231,6426,297,50,"Lophognathus longirostris"
245,5615,390,88,"Lophognathus longirostris"
249,5868,276,75,"Lophognathus longirostris"
257,5306,300,92,"Lophognathus longirostris"
214,6373,207,40,"Lophognathus longirostris"
268,3834,527,112,"Lophognathus longirostris"
259,5137,440,99,"Lophognathus longirostris"
274,3935,515,108,"Lophognathus longirostris"
