"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
200,5837,205,23,"Lucasium damaeum"
245,6582,187,53,"Lucasium damaeum"
241,6608,156,55,"Lucasium damaeum"
186,4841,187,11,"Lucasium damaeum"
238,6652,166,55,"Lucasium damaeum"
195,6115,373,20,"Lucasium damaeum"
184,5142,212,23,"Lucasium damaeum"
236,6232,248,61,"Lucasium damaeum"
202,5473,223,29,"Lucasium damaeum"
197,6086,236,17,"Lucasium damaeum"
224,6526,147,29,"Lucasium damaeum"
245,6579,169,62,"Lucasium damaeum"
209,6338,237,29,"Lucasium damaeum"
186,5094,222,20,"Lucasium damaeum"
241,6575,159,56,"Lucasium damaeum"
194,6035,252,12,"Lucasium damaeum"
195,5611,209,15,"Lucasium damaeum"
187,4936,211,27,"Lucasium damaeum"
191,5360,179,18,"Lucasium damaeum"
195,6025,246,13,"Lucasium damaeum"
220,6400,177,31,"Lucasium damaeum"
185,4937,211,25,"Lucasium damaeum"
211,5953,475,31,"Lucasium damaeum"
195,4838,196,16,"Lucasium damaeum"
184,5098,210,22,"Lucasium damaeum"
222,6428,157,35,"Lucasium damaeum"
184,6062,375,10,"Lucasium damaeum"
223,6384,167,27,"Lucasium damaeum"
176,5339,266,19,"Lucasium damaeum"
171,4390,251,18,"Lucasium damaeum"
168,5152,312,18,"Lucasium damaeum"
235,6170,256,53,"Lucasium damaeum"
189,6070,281,16,"Lucasium damaeum"
199,5272,215,18,"Lucasium damaeum"
187,5116,196,14,"Lucasium damaeum"
215,5997,421,43,"Lucasium damaeum"
193,4812,199,22,"Lucasium damaeum"
224,6477,215,47,"Lucasium damaeum"
188,5989,279,12,"Lucasium damaeum"
238,6634,161,53,"Lucasium damaeum"
201,5802,215,19,"Lucasium damaeum"
175,5869,379,11,"Lucasium damaeum"
203,6245,258,37,"Lucasium damaeum"
213,6397,304,47,"Lucasium damaeum"
190,6087,272,14,"Lucasium damaeum"
207,6065,152,27,"Lucasium damaeum"
215,6019,416,42,"Lucasium damaeum"
210,6266,304,42,"Lucasium damaeum"
220,6466,225,34,"Lucasium damaeum"
211,6354,301,47,"Lucasium damaeum"
166,5297,323,17,"Lucasium damaeum"
236,6527,203,46,"Lucasium damaeum"
189,5920,478,17,"Lucasium damaeum"
201,5790,209,11,"Lucasium damaeum"
232,6626,154,44,"Lucasium damaeum"
240,6660,169,49,"Lucasium damaeum"
197,5588,198,13,"Lucasium damaeum"
219,6476,174,41,"Lucasium damaeum"
186,5260,200,19,"Lucasium damaeum"
219,6188,308,50,"Lucasium damaeum"
244,6513,222,51,"Lucasium damaeum"
189,4887,196,15,"Lucasium damaeum"
209,6054,417,32,"Lucasium damaeum"
207,6089,405,29,"Lucasium damaeum"
176,6001,431,12,"Lucasium damaeum"
174,5773,366,13,"Lucasium damaeum"
193,5373,189,11,"Lucasium damaeum"
215,6192,339,40,"Lucasium damaeum"
205,5610,239,34,"Lucasium damaeum"
221,6448,241,42,"Lucasium damaeum"
244,6471,167,55,"Lucasium damaeum"
223,6372,136,33,"Lucasium damaeum"
226,6544,142,30,"Lucasium damaeum"
220,6469,228,39,"Lucasium damaeum"
222,6450,217,44,"Lucasium damaeum"
208,6292,225,38,"Lucasium damaeum"
218,6400,199,39,"Lucasium damaeum"
203,6002,188,30,"Lucasium damaeum"
202,5931,200,24,"Lucasium damaeum"
179,5631,266,14,"Lucasium damaeum"
174,5807,392,13,"Lucasium damaeum"
214,5996,321,54,"Lucasium damaeum"
236,6588,181,38,"Lucasium damaeum"
202,6027,436,25,"Lucasium damaeum"
217,6365,169,28,"Lucasium damaeum"
244,6588,169,60,"Lucasium damaeum"
224,6335,303,43,"Lucasium damaeum"
178,5992,413,11,"Lucasium damaeum"
169,5041,297,22,"Lucasium damaeum"
193,5435,189,14,"Lucasium damaeum"
213,6134,370,36,"Lucasium damaeum"
203,5996,442,30,"Lucasium damaeum"
199,5901,205,21,"Lucasium damaeum"
217,6256,343,45,"Lucasium damaeum"
176,5900,415,7,"Lucasium damaeum"
200,5816,180,22,"Lucasium damaeum"
189,4748,194,15,"Lucasium damaeum"
211,6295,308,28,"Lucasium damaeum"
208,6239,297,38,"Lucasium damaeum"
202,6130,175,18,"Lucasium damaeum"
244,6312,264,61,"Lucasium damaeum"
227,6383,282,47,"Lucasium damaeum"
217,6175,312,50,"Lucasium damaeum"
169,3904,289,15,"Lucasium damaeum"
190,5122,205,16,"Lucasium damaeum"
221,6337,322,43,"Lucasium damaeum"
204,6070,225,38,"Lucasium damaeum"
225,6519,169,29,"Lucasium damaeum"
199,5879,286,30,"Lucasium damaeum"
200,5834,155,24,"Lucasium damaeum"
193,6091,204,21,"Lucasium damaeum"
198,5785,190,19,"Lucasium damaeum"
170,5037,299,23,"Lucasium damaeum"
195,5632,165,17,"Lucasium damaeum"
180,6006,368,10,"Lucasium damaeum"
182,6051,200,22,"Lucasium damaeum"
216,5861,460,46,"Lucasium damaeum"
200,6234,270,18,"Lucasium damaeum"
199,5019,202,26,"Lucasium damaeum"
215,6339,169,40,"Lucasium damaeum"
213,6140,380,37,"Lucasium damaeum"
215,6431,241,31,"Lucasium damaeum"
202,5084,205,19,"Lucasium damaeum"
192,5516,167,13,"Lucasium damaeum"
237,6534,153,48,"Lucasium damaeum"
189,4930,196,14,"Lucasium damaeum"
199,5892,250,13,"Lucasium damaeum"
177,5337,242,19,"Lucasium damaeum"
191,5249,212,14,"Lucasium damaeum"
168,5891,490,11,"Lucasium damaeum"
230,6545,161,55,"Lucasium damaeum"
213,6125,303,50,"Lucasium damaeum"
192,5457,192,13,"Lucasium damaeum"
201,5886,208,28,"Lucasium damaeum"
228,6517,180,38,"Lucasium damaeum"
189,6042,420,21,"Lucasium damaeum"
186,5161,219,19,"Lucasium damaeum"
234,6622,166,52,"Lucasium damaeum"
225,6246,293,49,"Lucasium damaeum"
224,6373,281,42,"Lucasium damaeum"
197,6111,285,34,"Lucasium damaeum"
196,5198,217,28,"Lucasium damaeum"
201,5829,169,25,"Lucasium damaeum"
207,6250,194,20,"Lucasium damaeum"
167,4312,293,30,"Lucasium damaeum"
183,5515,234,13,"Lucasium damaeum"
204,6078,416,23,"Lucasium damaeum"
215,6312,282,36,"Lucasium damaeum"
245,6390,185,58,"Lucasium damaeum"
242,6535,160,56,"Lucasium damaeum"
209,6230,345,28,"Lucasium damaeum"
213,6308,167,23,"Lucasium damaeum"
192,6054,439,21,"Lucasium damaeum"
222,6366,152,34,"Lucasium damaeum"
215,5942,441,45,"Lucasium damaeum"
198,5757,257,25,"Lucasium damaeum"
178,5596,279,11,"Lucasium damaeum"
212,6000,441,32,"Lucasium damaeum"
240,6296,291,60,"Lucasium damaeum"
189,5809,220,16,"Lucasium damaeum"
231,6540,181,42,"Lucasium damaeum"
232,6529,172,58,"Lucasium damaeum"
223,6410,267,42,"Lucasium damaeum"
232,6611,151,38,"Lucasium damaeum"
226,6552,148,29,"Lucasium damaeum"
204,6107,227,32,"Lucasium damaeum"
212,6379,228,40,"Lucasium damaeum"
200,5969,343,49,"Lucasium damaeum"
225,6494,163,37,"Lucasium damaeum"
181,5569,265,11,"Lucasium damaeum"
198,5719,169,17,"Lucasium damaeum"
193,5611,162,14,"Lucasium damaeum"
178,5656,266,12,"Lucasium damaeum"
196,6100,215,21,"Lucasium damaeum"
195,6031,193,15,"Lucasium damaeum"
185,5995,305,11,"Lucasium damaeum"
211,6211,350,27,"Lucasium damaeum"
206,6092,154,37,"Lucasium damaeum"
209,6200,169,41,"Lucasium damaeum"
189,5368,176,11,"Lucasium damaeum"
218,6388,171,34,"Lucasium damaeum"
214,6344,163,31,"Lucasium damaeum"
193,5605,162,14,"Lucasium damaeum"
188,5372,187,14,"Lucasium damaeum"
212,6215,320,45,"Lucasium damaeum"
224,6509,233,45,"Lucasium damaeum"
184,5633,230,11,"Lucasium damaeum"
185,5023,211,12,"Lucasium damaeum"
177,5427,265,15,"Lucasium damaeum"
168,5337,317,15,"Lucasium damaeum"
201,6249,314,18,"Lucasium damaeum"
210,6194,358,25,"Lucasium damaeum"
205,6198,159,23,"Lucasium damaeum"
208,5495,251,30,"Lucasium damaeum"
222,6467,249,41,"Lucasium damaeum"
212,6102,322,49,"Lucasium damaeum"
209,5869,489,35,"Lucasium damaeum"
218,6170,319,48,"Lucasium damaeum"
194,5435,229,18,"Lucasium damaeum"
210,6323,322,45,"Lucasium damaeum"
182,5997,208,17,"Lucasium damaeum"
198,5740,162,20,"Lucasium damaeum"
202,6004,243,31,"Lucasium damaeum"
197,5715,214,21,"Lucasium damaeum"
196,5499,225,19,"Lucasium damaeum"
240,6498,172,52,"Lucasium damaeum"
192,5475,172,12,"Lucasium damaeum"
189,6058,383,18,"Lucasium damaeum"
214,6424,288,46,"Lucasium damaeum"
192,6094,260,13,"Lucasium damaeum"
248,6481,206,55,"Lucasium damaeum"
181,6030,347,13,"Lucasium damaeum"
163,5208,338,20,"Lucasium damaeum"
208,6291,310,22,"Lucasium damaeum"
219,6208,372,48,"Lucasium damaeum"
226,6476,141,38,"Lucasium damaeum"
191,4852,209,23,"Lucasium damaeum"
186,4970,214,16,"Lucasium damaeum"
209,6098,156,36,"Lucasium damaeum"
215,6405,173,27,"Lucasium damaeum"
188,4838,189,13,"Lucasium damaeum"
201,6189,234,21,"Lucasium damaeum"
196,5639,169,17,"Lucasium damaeum"
208,6333,260,21,"Lucasium damaeum"
190,5307,187,10,"Lucasium damaeum"
227,6317,270,46,"Lucasium damaeum"
220,6475,238,31,"Lucasium damaeum"
241,6605,186,44,"Lucasium damaeum"
242,6492,173,58,"Lucasium damaeum"
230,6532,195,44,"Lucasium damaeum"
214,6398,224,41,"Lucasium damaeum"
187,6044,292,15,"Lucasium damaeum"
220,6461,216,46,"Lucasium damaeum"
199,6273,293,41,"Lucasium damaeum"
177,5660,293,12,"Lucasium damaeum"
207,6270,315,22,"Lucasium damaeum"
184,5685,248,11,"Lucasium damaeum"
240,6512,151,48,"Lucasium damaeum"
170,5307,312,15,"Lucasium damaeum"
237,6375,191,56,"Lucasium damaeum"
229,6522,215,44,"Lucasium damaeum"
219,6480,180,38,"Lucasium damaeum"
199,5838,218,23,"Lucasium damaeum"
222,6504,185,37,"Lucasium damaeum"
194,5839,286,29,"Lucasium damaeum"
211,6188,270,33,"Lucasium damaeum"
200,5863,224,24,"Lucasium damaeum"
201,5924,179,28,"Lucasium damaeum"
210,5798,520,46,"Lucasium damaeum"
224,6516,221,42,"Lucasium damaeum"
189,5227,194,10,"Lucasium damaeum"
231,6588,151,39,"Lucasium damaeum"
229,6144,291,53,"Lucasium damaeum"
198,5743,162,22,"Lucasium damaeum"
171,5436,306,15,"Lucasium damaeum"
176,5668,314,13,"Lucasium damaeum"
238,6165,264,60,"Lucasium damaeum"
