"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
173,4824,336,25,"Lucasium maini"
194,5928,262,39,"Lucasium maini"
191,4948,202,26,"Lucasium maini"
184,4009,221,17,"Lucasium maini"
199,5780,221,33,"Lucasium maini"
185,5280,331,55,"Lucasium maini"
173,4545,334,31,"Lucasium maini"
195,5186,225,28,"Lucasium maini"
187,5320,269,22,"Lucasium maini"
195,5964,249,29,"Lucasium maini"
211,5892,240,33,"Lucasium maini"
181,4764,239,30,"Lucasium maini"
210,6184,257,46,"Lucasium maini"
193,5312,213,29,"Lucasium maini"
170,3220,320,21,"Lucasium maini"
192,4730,209,24,"Lucasium maini"
191,5375,348,63,"Lucasium maini"
182,4112,193,12,"Lucasium maini"
196,5516,249,26,"Lucasium maini"
185,4343,213,19,"Lucasium maini"
175,3424,272,19,"Lucasium maini"
206,5694,233,32,"Lucasium maini"
186,4563,203,23,"Lucasium maini"
189,5044,214,28,"Lucasium maini"
212,5915,230,33,"Lucasium maini"
183,4684,235,30,"Lucasium maini"
171,3631,352,27,"Lucasium maini"
201,5128,214,26,"Lucasium maini"
193,5560,334,57,"Lucasium maini"
206,6124,244,51,"Lucasium maini"
179,3673,222,17,"Lucasium maini"
189,5066,226,27,"Lucasium maini"
198,5984,287,44,"Lucasium maini"
183,4046,211,16,"Lucasium maini"
210,6275,258,40,"Lucasium maini"
178,5150,348,51,"Lucasium maini"
199,5517,233,32,"Lucasium maini"
170,2925,310,23,"Lucasium maini"
192,5138,214,26,"Lucasium maini"
170,4065,333,15,"Lucasium maini"
197,6091,286,30,"Lucasium maini"
198,6016,264,23,"Lucasium maini"
180,4797,285,28,"Lucasium maini"
194,4793,209,18,"Lucasium maini"
182,4893,250,28,"Lucasium maini"
209,6115,286,46,"Lucasium maini"
171,4985,381,55,"Lucasium maini"
177,5283,331,49,"Lucasium maini"
202,5590,232,30,"Lucasium maini"
168,3683,364,19,"Lucasium maini"
187,5100,221,22,"Lucasium maini"
189,4906,204,26,"Lucasium maini"
193,5327,243,24,"Lucasium maini"
212,6102,225,40,"Lucasium maini"
188,4279,196,14,"Lucasium maini"
179,4803,278,23,"Lucasium maini"
183,4126,225,17,"Lucasium maini"
171,3927,347,25,"Lucasium maini"
196,5774,315,46,"Lucasium maini"
201,5674,297,58,"Lucasium maini"
181,4769,263,20,"Lucasium maini"
210,5914,241,36,"Lucasium maini"
204,6064,265,34,"Lucasium maini"
185,4402,205,22,"Lucasium maini"
171,3755,354,27,"Lucasium maini"
200,5742,298,50,"Lucasium maini"
192,5334,214,25,"Lucasium maini"
206,6061,275,52,"Lucasium maini"
193,4733,193,15,"Lucasium maini"
192,5020,210,26,"Lucasium maini"
184,5224,353,65,"Lucasium maini"
171,4810,350,57,"Lucasium maini"
180,4502,275,12,"Lucasium maini"
186,4275,195,12,"Lucasium maini"
190,4561,191,16,"Lucasium maini"
186,4219,207,12,"Lucasium maini"
206,6207,269,34,"Lucasium maini"
208,6210,250,29,"Lucasium maini"
197,5631,326,59,"Lucasium maini"
182,5266,331,43,"Lucasium maini"
185,4271,183,12,"Lucasium maini"
194,5360,243,31,"Lucasium maini"
186,5590,287,29,"Lucasium maini"
207,5955,240,31,"Lucasium maini"
180,5168,314,47,"Lucasium maini"
181,3879,206,14,"Lucasium maini"
163,4090,359,33,"Lucasium maini"
179,5160,307,33,"Lucasium maini"
184,4025,214,16,"Lucasium maini"
177,4058,280,20,"Lucasium maini"
