"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
242,5267,228,75,"Lucasium squarrosum"
232,5955,209,59,"Lucasium squarrosum"
217,6214,249,48,"Lucasium squarrosum"
229,6441,199,55,"Lucasium squarrosum"
259,5371,260,82,"Lucasium squarrosum"
248,6332,239,65,"Lucasium squarrosum"
223,6228,215,45,"Lucasium squarrosum"
268,6018,301,79,"Lucasium squarrosum"
202,6129,239,52,"Lucasium squarrosum"
251,6095,244,69,"Lucasium squarrosum"
266,5254,334,91,"Lucasium squarrosum"
216,5633,278,57,"Lucasium squarrosum"
245,6379,243,56,"Lucasium squarrosum"
241,5772,268,82,"Lucasium squarrosum"
271,4791,308,97,"Lucasium squarrosum"
250,6368,253,59,"Lucasium squarrosum"
245,6210,247,69,"Lucasium squarrosum"
216,6133,238,49,"Lucasium squarrosum"
245,6117,243,74,"Lucasium squarrosum"
258,4798,276,86,"Lucasium squarrosum"
258,4735,367,95,"Lucasium squarrosum"
236,6181,225,57,"Lucasium squarrosum"
246,4702,442,99,"Lucasium squarrosum"
244,6228,228,67,"Lucasium squarrosum"
237,6413,233,58,"Lucasium squarrosum"
257,6231,270,61,"Lucasium squarrosum"
242,6411,243,64,"Lucasium squarrosum"
254,6130,240,70,"Lucasium squarrosum"
229,6214,215,55,"Lucasium squarrosum"
272,4135,318,98,"Lucasium squarrosum"
245,5683,231,61,"Lucasium squarrosum"
234,6400,242,58,"Lucasium squarrosum"
264,4432,313,94,"Lucasium squarrosum"
268,3703,256,95,"Lucasium squarrosum"
231,6435,223,47,"Lucasium squarrosum"
255,6276,267,60,"Lucasium squarrosum"
233,6401,269,56,"Lucasium squarrosum"
232,6105,210,58,"Lucasium squarrosum"
207,6147,231,38,"Lucasium squarrosum"
267,4452,307,92,"Lucasium squarrosum"
239,6388,236,62,"Lucasium squarrosum"
267,4807,320,100,"Lucasium squarrosum"
275,4259,312,98,"Lucasium squarrosum"
209,6109,201,37,"Lucasium squarrosum"
220,4056,284,84,"Lucasium squarrosum"
211,6016,207,50,"Lucasium squarrosum"
239,6362,214,60,"Lucasium squarrosum"
227,6392,236,46,"Lucasium squarrosum"
238,6366,219,57,"Lucasium squarrosum"
261,5816,280,83,"Lucasium squarrosum"
217,6096,234,50,"Lucasium squarrosum"
248,6261,256,73,"Lucasium squarrosum"
266,6244,270,73,"Lucasium squarrosum"
246,5705,294,83,"Lucasium squarrosum"
262,5584,291,91,"Lucasium squarrosum"
248,6363,282,70,"Lucasium squarrosum"
212,3486,416,87,"Lucasium squarrosum"
265,5946,272,78,"Lucasium squarrosum"
252,5710,295,85,"Lucasium squarrosum"
219,6317,228,39,"Lucasium squarrosum"
228,6436,218,37,"Lucasium squarrosum"
256,5373,275,82,"Lucasium squarrosum"
251,4587,247,80,"Lucasium squarrosum"
249,6370,232,54,"Lucasium squarrosum"
269,3984,306,94,"Lucasium squarrosum"
248,5816,348,80,"Lucasium squarrosum"
227,6464,220,45,"Lucasium squarrosum"
238,6402,206,58,"Lucasium squarrosum"
267,5393,352,87,"Lucasium squarrosum"
241,6404,212,58,"Lucasium squarrosum"
235,6424,249,58,"Lucasium squarrosum"
239,5377,217,64,"Lucasium squarrosum"
