"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
257,1770,1506,97,"Lygisaurus malleolus"
250,1771,1467,100,"Lygisaurus malleolus"
250,1846,1208,106,"Lygisaurus malleolus"
258,2199,1010,115,"Lygisaurus malleolus"
212,2343,1400,103,"Lygisaurus malleolus"
258,1897,1118,108,"Lygisaurus malleolus"
216,2508,1128,110,"Lygisaurus malleolus"
256,2013,1090,115,"Lygisaurus malleolus"
215,2542,1015,102,"Lygisaurus malleolus"
234,2099,943,109,"Lygisaurus malleolus"
257,1959,982,113,"Lygisaurus malleolus"
250,1802,1577,99,"Lygisaurus malleolus"
228,1890,2453,86,"Lygisaurus malleolus"
249,1989,1166,104,"Lygisaurus malleolus"
221,2719,708,103,"Lygisaurus malleolus"
241,2279,784,110,"Lygisaurus malleolus"
240,1898,1837,100,"Lygisaurus malleolus"
229,2326,791,111,"Lygisaurus malleolus"
237,2113,1019,110,"Lygisaurus malleolus"
250,2024,929,111,"Lygisaurus malleolus"
256,2178,985,113,"Lygisaurus malleolus"
224,2603,846,110,"Lygisaurus malleolus"
246,1900,1422,103,"Lygisaurus malleolus"
260,1739,1517,95,"Lygisaurus malleolus"
239,1952,1673,100,"Lygisaurus malleolus"
259,2299,1020,112,"Lygisaurus malleolus"
242,2064,1283,110,"Lygisaurus malleolus"
212,2646,810,98,"Lygisaurus malleolus"
254,2188,999,113,"Lygisaurus malleolus"
257,2048,1105,116,"Lygisaurus malleolus"
231,2153,1171,99,"Lygisaurus malleolus"
252,2192,1796,91,"Lygisaurus malleolus"
252,2358,785,110,"Lygisaurus malleolus"
230,2311,1064,100,"Lygisaurus malleolus"
223,2361,787,110,"Lygisaurus malleolus"
219,2181,1719,96,"Lygisaurus malleolus"
257,2167,1056,112,"Lygisaurus malleolus"
219,2425,1126,105,"Lygisaurus malleolus"
253,2251,972,113,"Lygisaurus malleolus"
236,2024,1280,105,"Lygisaurus malleolus"
249,1990,1004,115,"Lygisaurus malleolus"
240,1917,1359,101,"Lygisaurus malleolus"
256,2178,971,114,"Lygisaurus malleolus"
253,2125,1233,115,"Lygisaurus malleolus"
231,2465,753,115,"Lygisaurus malleolus"
258,2051,976,116,"Lygisaurus malleolus"
239,2100,951,114,"Lygisaurus malleolus"
261,2349,935,114,"Lygisaurus malleolus"
245,1962,1807,90,"Lygisaurus malleolus"
229,2603,918,108,"Lygisaurus malleolus"
254,2117,1174,116,"Lygisaurus malleolus"
212,2073,2214,91,"Lygisaurus malleolus"
215,2085,2306,92,"Lygisaurus malleolus"
245,2197,1193,113,"Lygisaurus malleolus"
249,2052,1193,113,"Lygisaurus malleolus"
234,2231,747,111,"Lygisaurus malleolus"
253,2346,843,110,"Lygisaurus malleolus"
259,2329,955,112,"Lygisaurus malleolus"
236,2120,1044,109,"Lygisaurus malleolus"
243,1877,1855,100,"Lygisaurus malleolus"
262,2356,937,113,"Lygisaurus malleolus"
214,2491,1113,109,"Lygisaurus malleolus"
228,1908,1644,107,"Lygisaurus malleolus"
258,1744,1707,95,"Lygisaurus malleolus"
260,2016,977,116,"Lygisaurus malleolus"
258,2000,1033,115,"Lygisaurus malleolus"
247,2442,781,114,"Lygisaurus malleolus"
255,2113,1111,112,"Lygisaurus malleolus"
220,2409,1302,101,"Lygisaurus malleolus"
245,1910,2860,87,"Lygisaurus malleolus"
235,2064,921,113,"Lygisaurus malleolus"
243,2085,2744,85,"Lygisaurus malleolus"
225,2502,797,112,"Lygisaurus malleolus"
257,1866,1167,108,"Lygisaurus malleolus"
237,2138,895,112,"Lygisaurus malleolus"
248,2217,938,113,"Lygisaurus malleolus"
226,2215,2057,93,"Lygisaurus malleolus"
247,2080,1082,115,"Lygisaurus malleolus"
242,2424,731,113,"Lygisaurus malleolus"
222,2463,932,101,"Lygisaurus malleolus"
244,2196,1016,114,"Lygisaurus malleolus"
243,2448,809,114,"Lygisaurus malleolus"
202,2416,1137,94,"Lygisaurus malleolus"
219,2128,966,107,"Lygisaurus malleolus"
224,2310,1305,96,"Lygisaurus malleolus"
244,2031,2312,86,"Lygisaurus malleolus"
256,2079,1129,115,"Lygisaurus malleolus"
243,1956,1083,109,"Lygisaurus malleolus"
230,2335,1069,102,"Lygisaurus malleolus"
238,1953,3241,83,"Lygisaurus malleolus"
226,2284,1305,97,"Lygisaurus malleolus"
255,2016,1199,114,"Lygisaurus malleolus"
241,2386,781,114,"Lygisaurus malleolus"
239,2316,922,110,"Lygisaurus malleolus"
217,2119,1232,96,"Lygisaurus malleolus"
235,2080,955,113,"Lygisaurus malleolus"
218,2114,1067,105,"Lygisaurus malleolus"
225,2194,1761,94,"Lygisaurus malleolus"
251,1996,1214,105,"Lygisaurus malleolus"
247,2032,2098,87,"Lygisaurus malleolus"
244,2468,791,114,"Lygisaurus malleolus"
247,2073,2260,86,"Lygisaurus malleolus"
247,1802,1435,103,"Lygisaurus malleolus"
235,2264,1052,110,"Lygisaurus malleolus"
226,2170,1320,104,"Lygisaurus malleolus"
245,1777,1903,98,"Lygisaurus malleolus"
243,1988,1289,99,"Lygisaurus malleolus"
244,2222,885,115,"Lygisaurus malleolus"
261,2334,950,113,"Lygisaurus malleolus"
242,2455,810,114,"Lygisaurus malleolus"
259,2009,1008,114,"Lygisaurus malleolus"
254,1796,1188,103,"Lygisaurus malleolus"
226,2688,987,108,"Lygisaurus malleolus"
232,2324,1035,102,"Lygisaurus malleolus"
242,1995,1721,93,"Lygisaurus malleolus"
240,1956,1399,98,"Lygisaurus malleolus"
257,2215,1088,115,"Lygisaurus malleolus"
258,1993,1077,114,"Lygisaurus malleolus"
246,2107,982,118,"Lygisaurus malleolus"
217,2144,1273,110,"Lygisaurus malleolus"
240,1974,1086,110,"Lygisaurus malleolus"
213,2094,1279,96,"Lygisaurus malleolus"
228,2441,768,112,"Lygisaurus malleolus"
247,2055,982,110,"Lygisaurus malleolus"
235,1915,1646,106,"Lygisaurus malleolus"
222,2337,1123,92,"Lygisaurus malleolus"
202,2019,1640,99,"Lygisaurus malleolus"
256,2062,1099,115,"Lygisaurus malleolus"
244,1978,1935,90,"Lygisaurus malleolus"
257,2082,917,117,"Lygisaurus malleolus"
231,2307,1292,103,"Lygisaurus malleolus"
254,2065,2450,84,"Lygisaurus malleolus"
205,2322,2329,78,"Lygisaurus malleolus"
249,2220,1032,113,"Lygisaurus malleolus"
210,2387,1694,77,"Lygisaurus malleolus"
258,2046,924,116,"Lygisaurus malleolus"
254,1767,1590,98,"Lygisaurus malleolus"
256,1760,1667,97,"Lygisaurus malleolus"
243,1924,1418,108,"Lygisaurus malleolus"
249,2191,1127,114,"Lygisaurus malleolus"
256,2256,931,113,"Lygisaurus malleolus"
245,2158,2121,89,"Lygisaurus malleolus"
252,1935,1109,107,"Lygisaurus malleolus"
240,2321,775,111,"Lygisaurus malleolus"
248,2382,732,112,"Lygisaurus malleolus"
216,2119,1274,111,"Lygisaurus malleolus"
247,2138,873,113,"Lygisaurus malleolus"
258,1999,1101,115,"Lygisaurus malleolus"
253,2045,2468,84,"Lygisaurus malleolus"
254,1899,1410,101,"Lygisaurus malleolus"
217,2250,1094,105,"Lygisaurus malleolus"
241,2027,1273,112,"Lygisaurus malleolus"
215,2418,1129,113,"Lygisaurus malleolus"
245,1770,1715,100,"Lygisaurus malleolus"
227,1913,3426,84,"Lygisaurus malleolus"
207,2099,1213,109,"Lygisaurus malleolus"
187,1919,2220,92,"Lygisaurus malleolus"
229,2487,713,114,"Lygisaurus malleolus"
258,1985,1070,114,"Lygisaurus malleolus"
250,1923,1318,103,"Lygisaurus malleolus"
250,1904,1434,98,"Lygisaurus malleolus"
255,2107,977,116,"Lygisaurus malleolus"
