"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
277,1509,1666,107,"Menetia alanae"
278,1503,1565,103,"Menetia alanae"
278,1576,1663,104,"Menetia alanae"
277,1646,1648,104,"Menetia alanae"
278,1531,1672,107,"Menetia alanae"
279,1604,1499,105,"Menetia alanae"
278,1607,1545,104,"Menetia alanae"
277,1459,1705,104,"Menetia alanae"
277,1621,1639,104,"Menetia alanae"
276,1636,1620,102,"Menetia alanae"
277,1604,1470,101,"Menetia alanae"
279,1630,1413,102,"Menetia alanae"
279,1654,1579,105,"Menetia alanae"
279,1637,1521,103,"Menetia alanae"
278,1676,1496,104,"Menetia alanae"
278,1579,1674,102,"Menetia alanae"
278,1531,1717,103,"Menetia alanae"
277,1638,1634,103,"Menetia alanae"
278,1533,1545,104,"Menetia alanae"
279,1576,1464,103,"Menetia alanae"
279,1565,1583,104,"Menetia alanae"
277,1514,1638,103,"Menetia alanae"
277,1544,1759,102,"Menetia alanae"
277,1604,1656,102,"Menetia alanae"
277,1605,1619,104,"Menetia alanae"
278,1550,1580,104,"Menetia alanae"
278,1546,1670,104,"Menetia alanae"
278,1711,1554,105,"Menetia alanae"
279,1671,1420,102,"Menetia alanae"
277,1490,1705,103,"Menetia alanae"
277,1671,1655,104,"Menetia alanae"
277,1557,1703,105,"Menetia alanae"
278,1593,1610,105,"Menetia alanae"
278,1531,1615,102,"Menetia alanae"
276,1657,1647,105,"Menetia alanae"
279,1650,1463,103,"Menetia alanae"
277,1599,1676,105,"Menetia alanae"
278,1628,1443,101,"Menetia alanae"
280,1682,1412,103,"Menetia alanae"
278,1504,1727,105,"Menetia alanae"
278,1535,1566,104,"Menetia alanae"
277,1521,1701,106,"Menetia alanae"
278,1619,1579,104,"Menetia alanae"
278,1522,1642,106,"Menetia alanae"
279,1571,1546,103,"Menetia alanae"
278,1696,1526,103,"Menetia alanae"
278,1586,1581,104,"Menetia alanae"
277,1474,1714,104,"Menetia alanae"
275,1669,1663,104,"Menetia alanae"
278,1532,1602,103,"Menetia alanae"
276,1483,1701,104,"Menetia alanae"
279,1752,1350,102,"Menetia alanae"
278,1598,1657,104,"Menetia alanae"
278,1503,1583,104,"Menetia alanae"
279,1564,1527,104,"Menetia alanae"
277,1659,1651,105,"Menetia alanae"
277,1543,1677,105,"Menetia alanae"
280,1650,1405,102,"Menetia alanae"
279,1730,1492,105,"Menetia alanae"
278,1528,1609,103,"Menetia alanae"
280,1737,1405,102,"Menetia alanae"
277,1535,1599,103,"Menetia alanae"
278,1615,1713,104,"Menetia alanae"
278,1528,1652,104,"Menetia alanae"
279,1671,1494,104,"Menetia alanae"
278,1667,1545,103,"Menetia alanae"
278,1620,1600,105,"Menetia alanae"
278,1561,1592,104,"Menetia alanae"
279,1650,1480,103,"Menetia alanae"
278,1494,1656,105,"Menetia alanae"
279,1758,1406,103,"Menetia alanae"
277,1657,1582,104,"Menetia alanae"
278,1528,1589,104,"Menetia alanae"
279,1612,1486,102,"Menetia alanae"
276,1575,1787,102,"Menetia alanae"
280,1679,1439,103,"Menetia alanae"
278,1589,1706,103,"Menetia alanae"
276,1636,1714,102,"Menetia alanae"
279,1577,1542,105,"Menetia alanae"
278,1492,1553,103,"Menetia alanae"
279,1769,1346,103,"Menetia alanae"
277,1634,1714,105,"Menetia alanae"
279,1721,1398,103,"Menetia alanae"
279,1689,1528,104,"Menetia alanae"
278,1562,1732,104,"Menetia alanae"
278,1561,1619,106,"Menetia alanae"
279,1606,1570,103,"Menetia alanae"
277,1614,1710,104,"Menetia alanae"
279,1756,1339,101,"Menetia alanae"
278,1541,1621,105,"Menetia alanae"
278,1564,1720,103,"Menetia alanae"
278,1562,1669,102,"Menetia alanae"
278,1496,1633,105,"Menetia alanae"
277,1763,1436,102,"Menetia alanae"
278,1756,1380,103,"Menetia alanae"
278,1560,1509,103,"Menetia alanae"
279,1631,1432,101,"Menetia alanae"
279,1634,1553,106,"Menetia alanae"
277,1643,1583,104,"Menetia alanae"
278,1674,1506,101,"Menetia alanae"
279,1620,1481,104,"Menetia alanae"
277,1662,1565,104,"Menetia alanae"
280,1657,1462,104,"Menetia alanae"
277,1614,1722,105,"Menetia alanae"
277,1594,1554,103,"Menetia alanae"
276,1603,1778,104,"Menetia alanae"
276,1509,1769,102,"Menetia alanae"
279,1640,1445,101,"Menetia alanae"
276,1716,1559,102,"Menetia alanae"
279,1554,1680,104,"Menetia alanae"
278,1595,1551,103,"Menetia alanae"
279,1672,1381,100,"Menetia alanae"
278,1545,1708,105,"Menetia alanae"
278,1769,1386,103,"Menetia alanae"
277,1653,1537,102,"Menetia alanae"
277,1626,1607,103,"Menetia alanae"
279,1580,1582,104,"Menetia alanae"
277,1635,1554,104,"Menetia alanae"
279,1734,1291,101,"Menetia alanae"
277,1693,1659,103,"Menetia alanae"
278,1586,1638,103,"Menetia alanae"
278,1531,1734,102,"Menetia alanae"
280,1725,1370,102,"Menetia alanae"
279,1550,1526,104,"Menetia alanae"
277,1489,1719,104,"Menetia alanae"
279,1604,1565,104,"Menetia alanae"
278,1525,1670,103,"Menetia alanae"
