"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
255,353,2824,19,"Morelia viridis"
179,332,3944,10,"Morelia viridis"
259,535,2990,44,"Morelia viridis"
174,278,2097,20,"Morelia viridis"
258,613,2822,25,"Morelia viridis"
261,426,3755,38,"Morelia viridis"
253,207,2934,9,"Morelia viridis"
249,527,4302,30,"Morelia viridis"
259,354,3379,17,"Morelia viridis"
258,466,4768,11,"Morelia viridis"
255,346,1478,41,"Morelia viridis"
251,535,3905,18,"Morelia viridis"
258,182,3443,11,"Morelia viridis"
218,213,2879,16,"Morelia viridis"
215,586,2549,29,"Morelia viridis"
263,384,3662,25,"Morelia viridis"
259,475,2530,20,"Morelia viridis"
166,592,2839,29,"Morelia viridis"
252,792,1611,47,"Morelia viridis"
259,456,2411,16,"Morelia viridis"
219,756,2673,20,"Morelia viridis"
227,215,3331,32,"Morelia viridis"
254,172,2519,27,"Morelia viridis"
269,325,2424,23,"Morelia viridis"
258,564,2967,33,"Morelia viridis"
252,210,1870,15,"Morelia viridis"
258,584,5308,13,"Morelia viridis"
254,750,3003,32,"Morelia viridis"
254,340,3012,20,"Morelia viridis"
252,675,2355,46,"Morelia viridis"
258,587,4603,15,"Morelia viridis"
257,580,2687,42,"Morelia viridis"
254,681,2611,34,"Morelia viridis"
211,466,2677,21,"Morelia viridis"
266,549,2718,58,"Morelia viridis"
245,255,3268,11,"Morelia viridis"
168,342,4603,10,"Morelia viridis"
253,725,4186,19,"Morelia viridis"
223,216,2796,18,"Morelia viridis"
259,398,4168,27,"Morelia viridis"
259,526,3185,34,"Morelia viridis"
258,767,2042,46,"Morelia viridis"
259,452,4562,13,"Morelia viridis"
245,175,2692,15,"Morelia viridis"
265,205,2995,11,"Morelia viridis"
264,322,2999,28,"Morelia viridis"
238,352,2696,13,"Morelia viridis"
223,222,4077,9,"Morelia viridis"
264,1050,1687,99,"Morelia viridis"
257,559,2690,49,"Morelia viridis"
214,208,4447,13,"Morelia viridis"
251,231,3315,9,"Morelia viridis"
244,84,3968,46,"Morelia viridis"
259,488,4784,12,"Morelia viridis"
261,513,4926,14,"Morelia viridis"
257,449,4839,11,"Morelia viridis"
259,703,3095,25,"Morelia viridis"
260,249,2304,28,"Morelia viridis"
232,593,3147,55,"Morelia viridis"
256,661,4268,22,"Morelia viridis"
241,308,3513,29,"Morelia viridis"
255,218,3546,7,"Morelia viridis"
231,270,2604,29,"Morelia viridis"
260,360,3036,14,"Morelia viridis"
258,814,1959,52,"Morelia viridis"
262,267,2704,23,"Morelia viridis"
256,205,2935,11,"Morelia viridis"
236,412,3907,37,"Morelia viridis"
255,205,2399,24,"Morelia viridis"
259,457,4691,11,"Morelia viridis"
201,439,4534,11,"Morelia viridis"
241,169,2310,39,"Morelia viridis"
181,263,2270,22,"Morelia viridis"
266,154,1965,28,"Morelia viridis"
253,554,6288,12,"Morelia viridis"
268,178,2495,18,"Morelia viridis"
256,545,2922,41,"Morelia viridis"
254,739,3102,29,"Morelia viridis"
258,204,2392,25,"Morelia viridis"
210,227,2793,37,"Morelia viridis"
229,340,3635,30,"Morelia viridis"
256,342,2903,17,"Morelia viridis"
262,706,1751,60,"Morelia viridis"
259,232,2771,30,"Morelia viridis"
261,121,4035,43,"Morelia viridis"
250,239,2449,16,"Morelia viridis"
255,611,3636,13,"Morelia viridis"
200,450,2424,55,"Morelia viridis"
266,681,2660,35,"Morelia viridis"
199,190,3601,37,"Morelia viridis"
258,568,3037,34,"Morelia viridis"
263,560,4331,23,"Morelia viridis"
254,195,3163,33,"Morelia viridis"
204,722,2632,21,"Morelia viridis"
258,535,2939,37,"Morelia viridis"
217,338,2626,12,"Morelia viridis"
263,223,2080,23,"Morelia viridis"
209,234,5032,9,"Morelia viridis"
258,708,2015,53,"Morelia viridis"
261,522,4463,15,"Morelia viridis"
226,744,2199,19,"Morelia viridis"
258,752,2060,45,"Morelia viridis"
260,262,3300,13,"Morelia viridis"
259,565,5280,11,"Morelia viridis"
165,429,3357,41,"Morelia viridis"
244,1574,1144,120,"Morelia viridis"
229,583,4897,12,"Morelia viridis"
261,187,2679,26,"Morelia viridis"
240,478,2365,12,"Morelia viridis"
260,172,3040,42,"Morelia viridis"
266,240,1869,33,"Morelia viridis"
140,424,5250,26,"Morelia viridis"
265,624,2389,63,"Morelia viridis"
259,1241,1612,97,"Morelia viridis"
259,495,3574,43,"Morelia viridis"
233,224,3462,14,"Morelia viridis"
211,448,1962,31,"Morelia viridis"
221,296,3135,29,"Morelia viridis"
264,199,2158,36,"Morelia viridis"
259,445,2375,15,"Morelia viridis"
232,1527,1248,119,"Morelia viridis"
262,202,2291,9,"Morelia viridis"
264,532,2925,55,"Morelia viridis"
242,804,2342,18,"Morelia viridis"
257,525,4399,11,"Morelia viridis"
188,389,2934,11,"Morelia viridis"
221,405,2434,24,"Morelia viridis"
232,264,3564,32,"Morelia viridis"
236,209,3148,37,"Morelia viridis"
260,533,1698,37,"Morelia viridis"
262,508,4455,11,"Morelia viridis"
258,526,4998,11,"Morelia viridis"
230,572,4822,30,"Morelia viridis"
248,254,1573,25,"Morelia viridis"
265,479,3262,49,"Morelia viridis"
253,688,2877,35,"Morelia viridis"
262,685,1861,61,"Morelia viridis"
260,557,4315,18,"Morelia viridis"
232,492,3830,27,"Morelia viridis"
253,619,2311,28,"Morelia viridis"
229,1484,1680,116,"Morelia viridis"
265,255,2968,12,"Morelia viridis"
243,224,3419,12,"Morelia viridis"
268,109,2742,50,"Morelia viridis"
256,463,2560,30,"Morelia viridis"
239,1483,1587,116,"Morelia viridis"
186,703,3146,22,"Morelia viridis"
224,485,2878,22,"Morelia viridis"
265,193,2433,10,"Morelia viridis"
260,733,1620,47,"Morelia viridis"
241,173,3137,35,"Morelia viridis"
264,500,3798,18,"Morelia viridis"
219,225,3106,23,"Morelia viridis"
261,1067,1603,102,"Morelia viridis"
203,224,3511,24,"Morelia viridis"
