"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
257,1305,1339,102,"Nactus eboracensis"
266,1329,1580,118,"Nactus eboracensis"
246,1306,1947,93,"Nactus eboracensis"
265,1495,1514,121,"Nactus eboracensis"
268,1361,1749,123,"Nactus eboracensis"
260,1509,1298,111,"Nactus eboracensis"
259,1434,1341,113,"Nactus eboracensis"
265,1164,1607,118,"Nactus eboracensis"
259,1074,1814,97,"Nactus eboracensis"
258,1625,1459,115,"Nactus eboracensis"
269,1160,1691,118,"Nactus eboracensis"
261,1607,1521,119,"Nactus eboracensis"
270,1406,1763,123,"Nactus eboracensis"
249,1249,1934,102,"Nactus eboracensis"
259,1317,1509,110,"Nactus eboracensis"
263,1544,1357,116,"Nactus eboracensis"
259,1289,1460,110,"Nactus eboracensis"
242,1347,1672,106,"Nactus eboracensis"
261,1558,1452,115,"Nactus eboracensis"
249,1433,1375,116,"Nactus eboracensis"
255,1367,1515,109,"Nactus eboracensis"
260,1073,1866,92,"Nactus eboracensis"
252,1429,1457,114,"Nactus eboracensis"
261,1097,1636,95,"Nactus eboracensis"
260,1364,1404,98,"Nactus eboracensis"
267,1470,1622,124,"Nactus eboracensis"
252,1342,1822,94,"Nactus eboracensis"
257,1208,1599,106,"Nactus eboracensis"
257,1346,1564,114,"Nactus eboracensis"
265,1219,1494,114,"Nactus eboracensis"
266,1057,1580,112,"Nactus eboracensis"
257,1324,1334,105,"Nactus eboracensis"
261,1216,1510,101,"Nactus eboracensis"
267,1137,1690,121,"Nactus eboracensis"
233,1539,1289,117,"Nactus eboracensis"
263,1061,1698,96,"Nactus eboracensis"
257,1310,1404,113,"Nactus eboracensis"
252,1434,1290,108,"Nactus eboracensis"
256,1631,1241,114,"Nactus eboracensis"
270,1487,1671,123,"Nactus eboracensis"
264,1182,1559,117,"Nactus eboracensis"
261,1045,1891,102,"Nactus eboracensis"
248,1415,1614,114,"Nactus eboracensis"
262,1242,1466,112,"Nactus eboracensis"
263,1112,1627,108,"Nactus eboracensis"
264,1041,1673,115,"Nactus eboracensis"
267,1385,1625,116,"Nactus eboracensis"
266,1048,1667,115,"Nactus eboracensis"
262,1112,1747,95,"Nactus eboracensis"
264,1298,1897,116,"Nactus eboracensis"
263,1095,1619,111,"Nactus eboracensis"
265,1092,1594,111,"Nactus eboracensis"
260,1472,1319,114,"Nactus eboracensis"
260,1342,1493,97,"Nactus eboracensis"
259,1087,1667,104,"Nactus eboracensis"
264,1279,1536,115,"Nactus eboracensis"
264,1606,1334,117,"Nactus eboracensis"
259,1376,1407,102,"Nactus eboracensis"
267,1530,1575,122,"Nactus eboracensis"
257,1055,1805,106,"Nactus eboracensis"
258,1333,1818,93,"Nactus eboracensis"
264,1383,1528,116,"Nactus eboracensis"
261,1489,1791,117,"Nactus eboracensis"
260,1062,1844,96,"Nactus eboracensis"
259,1501,1244,117,"Nactus eboracensis"
259,1058,1758,102,"Nactus eboracensis"
251,1504,1235,117,"Nactus eboracensis"
258,1444,1305,115,"Nactus eboracensis"
263,1050,1651,100,"Nactus eboracensis"
268,1330,1706,120,"Nactus eboracensis"
263,1100,1714,111,"Nactus eboracensis"
270,1241,1970,120,"Nactus eboracensis"
261,1045,1683,104,"Nactus eboracensis"
265,1357,1712,117,"Nactus eboracensis"
268,1234,1880,120,"Nactus eboracensis"
262,1213,1580,113,"Nactus eboracensis"
259,1397,1352,101,"Nactus eboracensis"
267,1515,1609,123,"Nactus eboracensis"
259,1579,1452,112,"Nactus eboracensis"
251,1333,1412,103,"Nactus eboracensis"
255,1648,1250,117,"Nactus eboracensis"
252,1262,1560,109,"Nactus eboracensis"
259,1532,1362,116,"Nactus eboracensis"
263,1253,1550,114,"Nactus eboracensis"
270,1168,1780,120,"Nactus eboracensis"
254,1220,1771,97,"Nactus eboracensis"
258,1322,1363,106,"Nactus eboracensis"
264,1536,1365,115,"Nactus eboracensis"
256,1349,1424,110,"Nactus eboracensis"
242,1335,1758,104,"Nactus eboracensis"
261,1374,1600,115,"Nactus eboracensis"
248,1349,1463,106,"Nactus eboracensis"
261,1208,1492,100,"Nactus eboracensis"
261,1545,1383,113,"Nactus eboracensis"
261,1083,1654,107,"Nactus eboracensis"
262,1230,1459,97,"Nactus eboracensis"
267,1213,1785,117,"Nactus eboracensis"
266,1046,1797,101,"Nactus eboracensis"
270,1150,1698,120,"Nactus eboracensis"
253,1594,1156,118,"Nactus eboracensis"
260,1192,1487,114,"Nactus eboracensis"
270,1194,2037,118,"Nactus eboracensis"
270,1467,1706,123,"Nactus eboracensis"
263,1156,1779,90,"Nactus eboracensis"
262,1530,1407,117,"Nactus eboracensis"
266,1335,1874,121,"Nactus eboracensis"
262,1161,1696,96,"Nactus eboracensis"
254,1530,1364,114,"Nactus eboracensis"
263,1479,1383,117,"Nactus eboracensis"
269,1138,1620,119,"Nactus eboracensis"
261,1327,1562,94,"Nactus eboracensis"
261,1302,1531,117,"Nactus eboracensis"
259,1174,1698,102,"Nactus eboracensis"
253,1457,1258,112,"Nactus eboracensis"
260,1102,1679,96,"Nactus eboracensis"
253,1379,1515,99,"Nactus eboracensis"
260,1372,1432,115,"Nactus eboracensis"
253,1491,1359,114,"Nactus eboracensis"
259,1296,1732,92,"Nactus eboracensis"
259,1429,1436,111,"Nactus eboracensis"
268,1180,1783,121,"Nactus eboracensis"
264,1589,1407,116,"Nactus eboracensis"
260,1627,1294,118,"Nactus eboracensis"
242,1371,1754,101,"Nactus eboracensis"
256,1263,1845,95,"Nactus eboracensis"
247,1209,2143,95,"Nactus eboracensis"
267,1041,1622,111,"Nactus eboracensis"
260,1601,1384,113,"Nactus eboracensis"
251,1677,1339,115,"Nactus eboracensis"
258,1114,1771,99,"Nactus eboracensis"
259,1168,1669,108,"Nactus eboracensis"
264,1097,1714,114,"Nactus eboracensis"
265,1482,1551,118,"Nactus eboracensis"
264,1058,1679,98,"Nactus eboracensis"
250,1438,1429,117,"Nactus eboracensis"
259,1540,1305,118,"Nactus eboracensis"
262,1106,1631,96,"Nactus eboracensis"
257,1250,1728,96,"Nactus eboracensis"
271,1172,1905,121,"Nactus eboracensis"
253,1585,1357,115,"Nactus eboracensis"
265,1428,1760,121,"Nactus eboracensis"
263,1067,1799,92,"Nactus eboracensis"
265,1180,1555,114,"Nactus eboracensis"
258,1358,1439,110,"Nactus eboracensis"
266,1345,1703,121,"Nactus eboracensis"
268,1417,1743,124,"Nactus eboracensis"
