"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
224,4550,595,57,"Nebulifera robusta"
208,5865,475,38,"Nebulifera robusta"
165,5002,629,25,"Nebulifera robusta"
146,4534,872,42,"Nebulifera robusta"
209,6061,418,34,"Nebulifera robusta"
199,6046,417,24,"Nebulifera robusta"
197,5022,605,34,"Nebulifera robusta"
208,5867,477,38,"Nebulifera robusta"
167,5007,767,38,"Nebulifera robusta"
229,3445,649,97,"Nebulifera robusta"
187,3951,1039,46,"Nebulifera robusta"
201,5754,517,33,"Nebulifera robusta"
204,5792,514,35,"Nebulifera robusta"
187,5441,633,32,"Nebulifera robusta"
172,5045,653,31,"Nebulifera robusta"
195,5824,475,24,"Nebulifera robusta"
202,5059,635,39,"Nebulifera robusta"
202,4132,723,46,"Nebulifera robusta"
210,4475,847,50,"Nebulifera robusta"
177,5119,668,34,"Nebulifera robusta"
211,3662,936,46,"Nebulifera robusta"
202,4940,741,44,"Nebulifera robusta"
177,5606,565,18,"Nebulifera robusta"
222,4427,686,47,"Nebulifera robusta"
211,3549,1207,48,"Nebulifera robusta"
210,3408,1647,40,"Nebulifera robusta"
204,4867,653,46,"Nebulifera robusta"
199,6062,410,23,"Nebulifera robusta"
212,4762,828,54,"Nebulifera robusta"
208,6009,426,30,"Nebulifera robusta"
207,5937,470,31,"Nebulifera robusta"
228,2306,823,110,"Nebulifera robusta"
177,5237,681,28,"Nebulifera robusta"
197,3823,952,40,"Nebulifera robusta"
205,5423,561,34,"Nebulifera robusta"
202,6038,480,25,"Nebulifera robusta"
193,4186,810,39,"Nebulifera robusta"
159,4908,731,27,"Nebulifera robusta"
227,4288,573,59,"Nebulifera robusta"
193,4712,651,37,"Nebulifera robusta"
176,5596,592,19,"Nebulifera robusta"
230,4057,603,55,"Nebulifera robusta"
206,5652,543,38,"Nebulifera robusta"
189,5047,615,34,"Nebulifera robusta"
201,6055,418,26,"Nebulifera robusta"
154,4407,747,20,"Nebulifera robusta"
192,4740,657,36,"Nebulifera robusta"
176,3892,1188,26,"Nebulifera robusta"
225,4357,686,49,"Nebulifera robusta"
187,5857,477,15,"Nebulifera robusta"
158,4565,823,21,"Nebulifera robusta"
199,5212,610,32,"Nebulifera robusta"
235,3171,702,111,"Nebulifera robusta"
165,5260,571,18,"Nebulifera robusta"
198,4896,576,34,"Nebulifera robusta"
203,5833,507,35,"Nebulifera robusta"
224,3791,786,58,"Nebulifera robusta"
204,5778,517,35,"Nebulifera robusta"
151,4810,705,33,"Nebulifera robusta"
189,4571,583,33,"Nebulifera robusta"
213,3669,922,50,"Nebulifera robusta"
157,5064,685,28,"Nebulifera robusta"
205,4566,668,47,"Nebulifera robusta"
201,3611,951,52,"Nebulifera robusta"
204,5009,586,38,"Nebulifera robusta"
202,4946,592,39,"Nebulifera robusta"
146,4146,879,39,"Nebulifera robusta"
206,5782,515,36,"Nebulifera robusta"
207,3697,651,47,"Nebulifera robusta"
225,4579,688,61,"Nebulifera robusta"
199,4928,631,54,"Nebulifera robusta"
226,2477,879,112,"Nebulifera robusta"
240,3101,786,112,"Nebulifera robusta"
212,2790,974,101,"Nebulifera robusta"
162,4856,760,29,"Nebulifera robusta"
209,3601,1095,50,"Nebulifera robusta"
229,3457,676,103,"Nebulifera robusta"
185,5236,593,24,"Nebulifera robusta"
172,5006,621,28,"Nebulifera robusta"
183,5765,500,16,"Nebulifera robusta"
191,5225,600,33,"Nebulifera robusta"
206,5237,575,47,"Nebulifera robusta"
175,3811,1262,41,"Nebulifera robusta"
201,5010,545,48,"Nebulifera robusta"
193,5484,578,24,"Nebulifera robusta"
181,5797,500,13,"Nebulifera robusta"
224,3125,1141,50,"Nebulifera robusta"
181,4539,617,28,"Nebulifera robusta"
162,5305,662,25,"Nebulifera robusta"
162,5125,677,27,"Nebulifera robusta"
209,5935,443,38,"Nebulifera robusta"
185,4365,634,38,"Nebulifera robusta"
189,4294,659,40,"Nebulifera robusta"
198,4291,645,37,"Nebulifera robusta"
213,4716,595,46,"Nebulifera robusta"
176,4930,746,35,"Nebulifera robusta"
192,3743,827,55,"Nebulifera robusta"
137,5072,802,17,"Nebulifera robusta"
196,3885,912,42,"Nebulifera robusta"
206,3502,1535,46,"Nebulifera robusta"
226,3822,781,58,"Nebulifera robusta"
166,4359,660,27,"Nebulifera robusta"
191,4537,648,39,"Nebulifera robusta"
170,5361,711,29,"Nebulifera robusta"
216,3889,725,48,"Nebulifera robusta"
209,3767,907,55,"Nebulifera robusta"
222,3313,906,51,"Nebulifera robusta"
215,4510,676,50,"Nebulifera robusta"
202,5746,518,36,"Nebulifera robusta"
202,3568,1538,47,"Nebulifera robusta"
200,3679,886,49,"Nebulifera robusta"
203,5406,549,38,"Nebulifera robusta"
149,4862,589,27,"Nebulifera robusta"
115,4032,1081,48,"Nebulifera robusta"
208,5888,482,37,"Nebulifera robusta"
189,5944,478,20,"Nebulifera robusta"
201,4505,654,40,"Nebulifera robusta"
123,3952,1400,45,"Nebulifera robusta"
200,3592,766,49,"Nebulifera robusta"
197,3142,1611,37,"Nebulifera robusta"
228,3492,717,93,"Nebulifera robusta"
198,4670,756,43,"Nebulifera robusta"
228,3361,708,99,"Nebulifera robusta"
208,5487,543,39,"Nebulifera robusta"
185,5867,500,16,"Nebulifera robusta"
194,3999,843,48,"Nebulifera robusta"
211,3721,915,51,"Nebulifera robusta"
201,5402,549,43,"Nebulifera robusta"
162,4197,828,44,"Nebulifera robusta"
168,4124,848,42,"Nebulifera robusta"
208,3905,661,47,"Nebulifera robusta"
212,3094,1570,40,"Nebulifera robusta"
208,5353,537,36,"Nebulifera robusta"
202,4289,626,39,"Nebulifera robusta"
208,5707,515,34,"Nebulifera robusta"
192,5431,568,24,"Nebulifera robusta"
208,4184,717,43,"Nebulifera robusta"
188,3718,1132,47,"Nebulifera robusta"
201,3990,760,41,"Nebulifera robusta"
173,5144,748,30,"Nebulifera robusta"
204,5595,525,36,"Nebulifera robusta"
172,4165,764,39,"Nebulifera robusta"
207,5467,582,34,"Nebulifera robusta"
204,5169,589,35,"Nebulifera robusta"
219,4605,596,60,"Nebulifera robusta"
205,5530,568,32,"Nebulifera robusta"
167,4631,741,34,"Nebulifera robusta"
203,5943,459,33,"Nebulifera robusta"
183,5347,684,35,"Nebulifera robusta"
193,6039,420,18,"Nebulifera robusta"
232,4009,646,57,"Nebulifera robusta"
222,3447,825,54,"Nebulifera robusta"
225,3896,641,51,"Nebulifera robusta"
218,4540,669,54,"Nebulifera robusta"
223,4358,639,48,"Nebulifera robusta"
173,3965,1166,50,"Nebulifera robusta"
163,5547,597,16,"Nebulifera robusta"
202,6049,431,25,"Nebulifera robusta"
185,5507,648,31,"Nebulifera robusta"
226,4298,673,49,"Nebulifera robusta"
224,2526,1005,111,"Nebulifera robusta"
211,3712,606,51,"Nebulifera robusta"
189,3849,937,46,"Nebulifera robusta"
188,3915,952,44,"Nebulifera robusta"
208,5781,529,36,"Nebulifera robusta"
221,4151,575,55,"Nebulifera robusta"
199,4275,681,43,"Nebulifera robusta"
202,3977,790,43,"Nebulifera robusta"
216,2866,901,99,"Nebulifera robusta"
214,3157,824,90,"Nebulifera robusta"
189,5596,602,30,"Nebulifera robusta"
225,3802,609,52,"Nebulifera robusta"
186,4043,763,41,"Nebulifera robusta"
200,4286,671,42,"Nebulifera robusta"
158,5577,636,14,"Nebulifera robusta"
185,5292,578,28,"Nebulifera robusta"
217,4548,608,57,"Nebulifera robusta"
208,4662,679,51,"Nebulifera robusta"
227,4352,662,64,"Nebulifera robusta"
200,5052,624,35,"Nebulifera robusta"
227,3679,642,60,"Nebulifera robusta"
182,5844,507,14,"Nebulifera robusta"
204,5940,460,34,"Nebulifera robusta"
217,3521,937,56,"Nebulifera robusta"
206,6124,404,26,"Nebulifera robusta"
206,5691,536,35,"Nebulifera robusta"
179,5752,511,11,"Nebulifera robusta"
163,5297,645,31,"Nebulifera robusta"
162,5361,623,16,"Nebulifera robusta"
197,3322,1393,37,"Nebulifera robusta"
191,5515,612,30,"Nebulifera robusta"
144,4831,689,20,"Nebulifera robusta"
210,4430,716,43,"Nebulifera robusta"
213,3786,755,55,"Nebulifera robusta"
231,4167,594,54,"Nebulifera robusta"
171,5554,568,13,"Nebulifera robusta"
177,5356,599,31,"Nebulifera robusta"
212,3002,865,96,"Nebulifera robusta"
205,4621,685,40,"Nebulifera robusta"
157,4766,738,26,"Nebulifera robusta"
203,5588,602,41,"Nebulifera robusta"
148,4357,983,16,"Nebulifera robusta"
202,4015,691,49,"Nebulifera robusta"
228,4163,639,53,"Nebulifera robusta"
145,4625,782,25,"Nebulifera robusta"
226,4330,676,52,"Nebulifera robusta"
220,3322,933,49,"Nebulifera robusta"
205,5404,573,33,"Nebulifera robusta"
187,5331,614,27,"Nebulifera robusta"
207,4786,742,55,"Nebulifera robusta"
178,4325,778,34,"Nebulifera robusta"
166,4979,728,31,"Nebulifera robusta"
219,3374,903,57,"Nebulifera robusta"
119,4313,879,39,"Nebulifera robusta"
205,5015,586,40,"Nebulifera robusta"
202,3921,789,52,"Nebulifera robusta"
203,5732,534,37,"Nebulifera robusta"
209,5907,465,38,"Nebulifera robusta"
172,4552,848,35,"Nebulifera robusta"
202,4338,654,45,"Nebulifera robusta"
209,4653,652,44,"Nebulifera robusta"
219,4564,625,53,"Nebulifera robusta"
150,3767,1341,45,"Nebulifera robusta"
224,4459,661,54,"Nebulifera robusta"
240,2686,951,115,"Nebulifera robusta"
203,4249,698,44,"Nebulifera robusta"
176,4692,585,31,"Nebulifera robusta"
194,6011,432,17,"Nebulifera robusta"
191,5946,463,17,"Nebulifera robusta"
204,5348,577,33,"Nebulifera robusta"
184,5919,487,16,"Nebulifera robusta"
200,3848,727,43,"Nebulifera robusta"
201,4584,733,42,"Nebulifera robusta"
206,5383,562,35,"Nebulifera robusta"
202,5230,587,34,"Nebulifera robusta"
192,2568,1715,71,"Nebulifera robusta"
205,5352,566,41,"Nebulifera robusta"
197,4837,676,44,"Nebulifera robusta"
124,4505,946,20,"Nebulifera robusta"
201,5974,447,26,"Nebulifera robusta"
220,4437,691,50,"Nebulifera robusta"
211,4632,728,51,"Nebulifera robusta"
205,5625,547,38,"Nebulifera robusta"
172,5267,640,32,"Nebulifera robusta"
228,4386,688,63,"Nebulifera robusta"
207,5751,540,36,"Nebulifera robusta"
208,5831,498,39,"Nebulifera robusta"
153,5348,801,11,"Nebulifera robusta"
186,4365,695,41,"Nebulifera robusta"
194,4928,693,56,"Nebulifera robusta"
201,5309,592,31,"Nebulifera robusta"
119,4413,898,28,"Nebulifera robusta"
227,4435,646,55,"Nebulifera robusta"
157,5463,615,12,"Nebulifera robusta"
189,5228,623,29,"Nebulifera robusta"
173,4169,696,37,"Nebulifera robusta"
152,3971,1020,40,"Nebulifera robusta"
228,4069,577,63,"Nebulifera robusta"
205,5297,595,37,"Nebulifera robusta"
245,3056,740,115,"Nebulifera robusta"
224,3197,1039,51,"Nebulifera robusta"
141,5502,756,11,"Nebulifera robusta"
160,5190,637,19,"Nebulifera robusta"
203,6142,392,24,"Nebulifera robusta"
207,3581,1347,46,"Nebulifera robusta"
221,3318,801,93,"Nebulifera robusta"
170,4245,883,38,"Nebulifera robusta"
206,3581,1190,45,"Nebulifera robusta"
215,4370,587,41,"Nebulifera robusta"
186,5481,617,32,"Nebulifera robusta"
159,3927,1062,22,"Nebulifera robusta"
243,2833,766,112,"Nebulifera robusta"
210,5968,438,35,"Nebulifera robusta"
199,4058,600,36,"Nebulifera robusta"
187,4793,709,53,"Nebulifera robusta"
190,6015,457,23,"Nebulifera robusta"
217,3183,828,94,"Nebulifera robusta"
228,3999,594,49,"Nebulifera robusta"
120,4339,887,39,"Nebulifera robusta"
203,5907,476,32,"Nebulifera robusta"
200,5192,589,43,"Nebulifera robusta"
219,3326,964,51,"Nebulifera robusta"
197,5548,555,26,"Nebulifera robusta"
155,4809,799,25,"Nebulifera robusta"
204,5787,518,34,"Nebulifera robusta"
205,5469,526,34,"Nebulifera robusta"
210,4631,614,56,"Nebulifera robusta"
192,4388,647,41,"Nebulifera robusta"
131,4267,951,40,"Nebulifera robusta"
200,6074,410,25,"Nebulifera robusta"
165,5053,715,24,"Nebulifera robusta"
122,4224,1030,39,"Nebulifera robusta"
206,5209,583,37,"Nebulifera robusta"
204,5432,560,33,"Nebulifera robusta"
214,3100,804,94,"Nebulifera robusta"
130,5076,795,13,"Nebulifera robusta"
204,4890,559,44,"Nebulifera robusta"
223,2675,1528,36,"Nebulifera robusta"
183,4283,740,47,"Nebulifera robusta"
157,5283,709,23,"Nebulifera robusta"
197,4706,892,53,"Nebulifera robusta"
196,5301,618,28,"Nebulifera robusta"
200,3624,1026,42,"Nebulifera robusta"
209,6013,421,31,"Nebulifera robusta"
190,5525,615,30,"Nebulifera robusta"
209,6017,424,32,"Nebulifera robusta"
211,3852,775,49,"Nebulifera robusta"
191,5818,495,23,"Nebulifera robusta"
157,5488,599,11,"Nebulifera robusta"
205,5233,561,35,"Nebulifera robusta"
229,4064,594,55,"Nebulifera robusta"
208,5749,542,35,"Nebulifera robusta"
226,4234,732,56,"Nebulifera robusta"
202,5627,577,33,"Nebulifera robusta"
130,4482,856,35,"Nebulifera robusta"
210,4845,715,45,"Nebulifera robusta"
157,5330,692,16,"Nebulifera robusta"
207,4511,703,43,"Nebulifera robusta"
224,3139,977,47,"Nebulifera robusta"
134,4909,700,16,"Nebulifera robusta"
238,3263,712,111,"Nebulifera robusta"
221,4650,583,61,"Nebulifera robusta"
198,4835,635,38,"Nebulifera robusta"
221,4157,693,58,"Nebulifera robusta"
180,4102,890,28,"Nebulifera robusta"
167,4252,686,38,"Nebulifera robusta"
205,5604,595,44,"Nebulifera robusta"
184,5927,483,16,"Nebulifera robusta"
229,3933,745,60,"Nebulifera robusta"
176,3887,1310,48,"Nebulifera robusta"
201,5017,584,36,"Nebulifera robusta"
158,5389,650,16,"Nebulifera robusta"
216,4390,861,49,"Nebulifera robusta"
126,4576,925,14,"Nebulifera robusta"
206,5523,566,42,"Nebulifera robusta"
201,5476,572,33,"Nebulifera robusta"
226,3438,705,93,"Nebulifera robusta"
153,4772,838,31,"Nebulifera robusta"
214,4615,670,47,"Nebulifera robusta"
197,4085,747,46,"Nebulifera robusta"
197,4889,695,44,"Nebulifera robusta"
217,4486,734,54,"Nebulifera robusta"
238,2946,789,111,"Nebulifera robusta"
206,5866,505,34,"Nebulifera robusta"
208,4834,638,46,"Nebulifera robusta"
204,5035,636,49,"Nebulifera robusta"
182,3946,854,23,"Nebulifera robusta"
206,4665,695,53,"Nebulifera robusta"
188,4573,847,54,"Nebulifera robusta"
203,5355,595,32,"Nebulifera robusta"
217,3026,791,108,"Nebulifera robusta"
184,3831,1172,54,"Nebulifera robusta"
188,4769,669,41,"Nebulifera robusta"
208,4697,741,51,"Nebulifera robusta"
183,5814,508,14,"Nebulifera robusta"
229,3448,576,94,"Nebulifera robusta"
206,5485,628,41,"Nebulifera robusta"
171,5431,737,25,"Nebulifera robusta"
183,3579,1029,37,"Nebulifera robusta"
208,6094,412,32,"Nebulifera robusta"
202,4606,663,42,"Nebulifera robusta"
229,4265,615,50,"Nebulifera robusta"
205,4239,618,44,"Nebulifera robusta"
158,5587,602,12,"Nebulifera robusta"
201,2674,1950,73,"Nebulifera robusta"
200,5905,459,28,"Nebulifera robusta"
186,5354,648,35,"Nebulifera robusta"
201,5021,622,43,"Nebulifera robusta"
164,4750,684,36,"Nebulifera robusta"
229,4382,649,63,"Nebulifera robusta"
211,3039,898,99,"Nebulifera robusta"
112,4421,1103,22,"Nebulifera robusta"
147,4173,973,46,"Nebulifera robusta"
204,5762,531,35,"Nebulifera robusta"
180,5150,610,29,"Nebulifera robusta"
192,4609,579,33,"Nebulifera robusta"
169,5590,606,14,"Nebulifera robusta"
181,3566,1023,52,"Nebulifera robusta"
227,4487,601,54,"Nebulifera robusta"
227,4425,581,57,"Nebulifera robusta"
184,4501,680,37,"Nebulifera robusta"
197,4620,644,41,"Nebulifera robusta"
251,2757,951,118,"Nebulifera robusta"
196,4076,643,42,"Nebulifera robusta"
203,5649,545,36,"Nebulifera robusta"
191,3839,1187,48,"Nebulifera robusta"
142,5040,652,21,"Nebulifera robusta"
202,5402,593,30,"Nebulifera robusta"
190,4053,874,48,"Nebulifera robusta"
203,5257,581,35,"Nebulifera robusta"
143,4337,750,36,"Nebulifera robusta"
199,5685,526,27,"Nebulifera robusta"
253,2639,898,116,"Nebulifera robusta"
219,4526,726,53,"Nebulifera robusta"
208,5789,521,37,"Nebulifera robusta"
178,3874,1070,22,"Nebulifera robusta"
174,5097,683,30,"Nebulifera robusta"
206,5741,533,34,"Nebulifera robusta"
199,4678,791,52,"Nebulifera robusta"
244,2841,874,116,"Nebulifera robusta"
205,3120,1581,41,"Nebulifera robusta"
202,5898,499,31,"Nebulifera robusta"
206,4320,708,47,"Nebulifera robusta"
185,5535,606,26,"Nebulifera robusta"
195,4966,626,31,"Nebulifera robusta"
206,6071,406,27,"Nebulifera robusta"
163,3804,1281,48,"Nebulifera robusta"
192,5184,602,30,"Nebulifera robusta"
203,4856,709,45,"Nebulifera robusta"
208,5903,457,38,"Nebulifera robusta"
215,2980,771,95,"Nebulifera robusta"
209,3578,1094,48,"Nebulifera robusta"
188,6000,472,24,"Nebulifera robusta"
218,3208,1238,55,"Nebulifera robusta"
194,5983,449,19,"Nebulifera robusta"
159,4470,740,37,"Nebulifera robusta"
193,5696,555,30,"Nebulifera robusta"
191,4815,620,43,"Nebulifera robusta"
229,4098,665,58,"Nebulifera robusta"
188,5146,604,30,"Nebulifera robusta"
194,4823,589,35,"Nebulifera robusta"
204,5065,660,47,"Nebulifera robusta"
152,4058,1114,43,"Nebulifera robusta"
195,6015,429,18,"Nebulifera robusta"
231,3795,620,56,"Nebulifera robusta"
185,5937,480,19,"Nebulifera robusta"
249,2807,776,116,"Nebulifera robusta"
131,4273,814,29,"Nebulifera robusta"
188,3891,912,42,"Nebulifera robusta"
143,5287,776,11,"Nebulifera robusta"
169,5159,714,26,"Nebulifera robusta"
157,4152,923,31,"Nebulifera robusta"
205,5169,591,38,"Nebulifera robusta"
195,3715,1029,46,"Nebulifera robusta"
229,4027,732,53,"Nebulifera robusta"
205,5468,575,32,"Nebulifera robusta"
175,4491,636,35,"Nebulifera robusta"
227,4271,604,58,"Nebulifera robusta"
205,5664,525,35,"Nebulifera robusta"
181,5468,629,28,"Nebulifera robusta"
233,2842,848,109,"Nebulifera robusta"
128,5041,808,17,"Nebulifera robusta"
239,2292,882,108,"Nebulifera robusta"
143,4537,848,33,"Nebulifera robusta"
227,4422,658,55,"Nebulifera robusta"
213,4493,812,60,"Nebulifera robusta"
199,5927,444,23,"Nebulifera robusta"
227,2767,777,107,"Nebulifera robusta"
183,5863,505,16,"Nebulifera robusta"
199,6025,425,25,"Nebulifera robusta"
224,4259,616,48,"Nebulifera robusta"
189,3991,849,47,"Nebulifera robusta"
203,4418,740,39,"Nebulifera robusta"
201,5229,644,49,"Nebulifera robusta"
161,5238,651,23,"Nebulifera robusta"
207,3342,1134,38,"Nebulifera robusta"
208,3743,622,47,"Nebulifera robusta"
155,5255,789,27,"Nebulifera robusta"
217,3175,719,91,"Nebulifera robusta"
197,4923,652,57,"Nebulifera robusta"
203,5825,509,36,"Nebulifera robusta"
165,4360,674,22,"Nebulifera robusta"
209,5625,549,35,"Nebulifera robusta"
229,4295,586,62,"Nebulifera robusta"
187,4090,789,41,"Nebulifera robusta"
201,4062,779,43,"Nebulifera robusta"
226,4091,589,60,"Nebulifera robusta"
202,3946,813,40,"Nebulifera robusta"
175,4161,673,38,"Nebulifera robusta"
229,4133,631,55,"Nebulifera robusta"
207,4157,736,44,"Nebulifera robusta"
161,4896,636,30,"Nebulifera robusta"
191,6017,439,18,"Nebulifera robusta"
205,4263,606,40,"Nebulifera robusta"
172,4875,517,31,"Nebulifera robusta"
175,5261,599,29,"Nebulifera robusta"
174,5816,476,10,"Nebulifera robusta"
172,4592,698,48,"Nebulifera robusta"
204,5650,517,33,"Nebulifera robusta"
199,5540,572,37,"Nebulifera robusta"
209,4825,687,44,"Nebulifera robusta"
189,5850,473,17,"Nebulifera robusta"
224,4320,632,48,"Nebulifera robusta"
152,4258,744,31,"Nebulifera robusta"
198,4547,623,41,"Nebulifera robusta"
218,4682,610,59,"Nebulifera robusta"
228,3951,582,52,"Nebulifera robusta"
224,4427,727,52,"Nebulifera robusta"
205,4306,611,41,"Nebulifera robusta"
207,5919,480,33,"Nebulifera robusta"
215,3485,1059,49,"Nebulifera robusta"
203,3179,1565,43,"Nebulifera robusta"
204,5749,530,35,"Nebulifera robusta"
183,5240,647,26,"Nebulifera robusta"
127,4528,856,25,"Nebulifera robusta"
214,3832,776,49,"Nebulifera robusta"
192,4737,627,33,"Nebulifera robusta"
221,3242,756,91,"Nebulifera robusta"
185,5924,484,17,"Nebulifera robusta"
209,3657,1101,48,"Nebulifera robusta"
206,3839,761,47,"Nebulifera robusta"
226,4269,595,61,"Nebulifera robusta"
161,5222,616,20,"Nebulifera robusta"
171,4442,659,38,"Nebulifera robusta"
204,6080,429,26,"Nebulifera robusta"
201,5275,530,41,"Nebulifera robusta"
223,3348,618,94,"Nebulifera robusta"
204,5754,529,35,"Nebulifera robusta"
200,5027,551,48,"Nebulifera robusta"
110,3906,1320,39,"Nebulifera robusta"
177,5644,530,15,"Nebulifera robusta"
159,4846,752,36,"Nebulifera robusta"
189,4027,989,52,"Nebulifera robusta"
171,5543,614,18,"Nebulifera robusta"
125,4284,949,23,"Nebulifera robusta"
179,4088,742,46,"Nebulifera robusta"
236,3223,633,111,"Nebulifera robusta"
207,4070,564,46,"Nebulifera robusta"
188,5146,675,30,"Nebulifera robusta"
215,3022,1565,41,"Nebulifera robusta"
181,4266,736,30,"Nebulifera robusta"
179,5105,568,31,"Nebulifera robusta"
177,4883,697,30,"Nebulifera robusta"
224,4278,508,49,"Nebulifera robusta"
217,4406,568,54,"Nebulifera robusta"
226,4465,637,60,"Nebulifera robusta"
122,4437,894,23,"Nebulifera robusta"
184,4577,730,37,"Nebulifera robusta"
199,5968,439,25,"Nebulifera robusta"
203,3453,962,37,"Nebulifera robusta"
197,5462,579,32,"Nebulifera robusta"
192,4647,570,33,"Nebulifera robusta"
204,5685,566,36,"Nebulifera robusta"
181,3895,827,21,"Nebulifera robusta"
207,4250,579,44,"Nebulifera robusta"
201,5236,608,47,"Nebulifera robusta"
202,4626,621,40,"Nebulifera robusta"
206,5636,542,33,"Nebulifera robusta"
209,5139,581,46,"Nebulifera robusta"
217,3825,591,49,"Nebulifera robusta"
191,5666,565,30,"Nebulifera robusta"
216,3699,833,57,"Nebulifera robusta"
132,5013,819,21,"Nebulifera robusta"
205,5036,615,39,"Nebulifera robusta"
162,4797,633,30,"Nebulifera robusta"
180,5024,646,25,"Nebulifera robusta"
222,3938,639,50,"Nebulifera robusta"
174,3213,2206,42,"Nebulifera robusta"
204,5250,595,34,"Nebulifera robusta"
217,3495,1022,49,"Nebulifera robusta"
214,3545,1073,50,"Nebulifera robusta"
181,5426,676,32,"Nebulifera robusta"
189,4124,704,36,"Nebulifera robusta"
179,5795,514,13,"Nebulifera robusta"
191,4834,714,54,"Nebulifera robusta"
188,3605,1073,37,"Nebulifera robusta"
186,5294,573,28,"Nebulifera robusta"
189,5992,451,19,"Nebulifera robusta"
225,3402,782,100,"Nebulifera robusta"
144,4711,735,13,"Nebulifera robusta"
228,4026,639,62,"Nebulifera robusta"
218,3276,1198,46,"Nebulifera robusta"
168,4093,1197,51,"Nebulifera robusta"
195,6027,423,18,"Nebulifera robusta"
210,4528,590,39,"Nebulifera robusta"
214,4621,632,43,"Nebulifera robusta"
186,3776,1068,52,"Nebulifera robusta"
197,4894,745,46,"Nebulifera robusta"
181,5742,497,13,"Nebulifera robusta"
204,5493,533,35,"Nebulifera robusta"
147,4479,839,32,"Nebulifera robusta"
221,4665,705,56,"Nebulifera robusta"
178,4857,774,40,"Nebulifera robusta"
217,4528,841,49,"Nebulifera robusta"
206,5503,551,30,"Nebulifera robusta"
205,3631,1195,49,"Nebulifera robusta"
213,3680,954,48,"Nebulifera robusta"
201,4672,609,42,"Nebulifera robusta"
205,5552,551,35,"Nebulifera robusta"
168,5058,759,30,"Nebulifera robusta"
190,3742,878,49,"Nebulifera robusta"
162,5331,661,19,"Nebulifera robusta"
176,5083,600,28,"Nebulifera robusta"
180,5332,631,28,"Nebulifera robusta"
207,5708,568,41,"Nebulifera robusta"
204,3939,614,43,"Nebulifera robusta"
228,4128,688,57,"Nebulifera robusta"
196,3337,1379,56,"Nebulifera robusta"
158,5089,627,28,"Nebulifera robusta"
215,3557,819,67,"Nebulifera robusta"
171,5752,529,11,"Nebulifera robusta"
197,4719,607,39,"Nebulifera robusta"
191,4104,688,42,"Nebulifera robusta"
197,4660,609,42,"Nebulifera robusta"
209,5753,502,37,"Nebulifera robusta"
215,3529,988,50,"Nebulifera robusta"
193,5488,557,23,"Nebulifera robusta"
216,4516,722,55,"Nebulifera robusta"
153,4732,794,30,"Nebulifera robusta"
161,4449,834,34,"Nebulifera robusta"
193,5809,493,23,"Nebulifera robusta"
199,5008,658,50,"Nebulifera robusta"
179,3717,1176,45,"Nebulifera robusta"
175,4393,721,37,"Nebulifera robusta"
189,5584,594,30,"Nebulifera robusta"
193,5743,519,26,"Nebulifera robusta"
207,6114,411,31,"Nebulifera robusta"
205,5692,544,35,"Nebulifera robusta"
205,5686,550,34,"Nebulifera robusta"
220,4309,789,52,"Nebulifera robusta"
200,5836,492,32,"Nebulifera robusta"
185,4056,851,43,"Nebulifera robusta"
208,5779,519,37,"Nebulifera robusta"
202,4668,814,52,"Nebulifera robusta"
167,5665,595,11,"Nebulifera robusta"
207,4844,658,58,"Nebulifera robusta"
224,4598,558,54,"Nebulifera robusta"
204,5288,575,35,"Nebulifera robusta"
160,5616,564,16,"Nebulifera robusta"
200,2685,2289,78,"Nebulifera robusta"
214,4720,651,54,"Nebulifera robusta"
226,4625,581,57,"Nebulifera robusta"
168,4239,725,41,"Nebulifera robusta"
155,5261,741,18,"Nebulifera robusta"
223,3884,761,60,"Nebulifera robusta"
224,4610,641,59,"Nebulifera robusta"
140,5038,671,16,"Nebulifera robusta"
216,4353,558,55,"Nebulifera robusta"
184,5639,583,21,"Nebulifera robusta"
205,6149,400,27,"Nebulifera robusta"
222,3904,587,48,"Nebulifera robusta"
203,5256,549,39,"Nebulifera robusta"
171,4978,635,27,"Nebulifera robusta"
197,5965,438,24,"Nebulifera robusta"
211,4553,667,45,"Nebulifera robusta"
203,5169,594,36,"Nebulifera robusta"
192,3992,808,48,"Nebulifera robusta"
200,3695,1203,52,"Nebulifera robusta"
194,5143,671,35,"Nebulifera robusta"
225,4283,566,49,"Nebulifera robusta"
204,5448,583,32,"Nebulifera robusta"
214,3593,1040,52,"Nebulifera robusta"
205,5111,597,39,"Nebulifera robusta"
190,4777,795,51,"Nebulifera robusta"
203,5548,559,33,"Nebulifera robusta"
231,4109,640,56,"Nebulifera robusta"
228,3897,732,59,"Nebulifera robusta"
201,6080,411,25,"Nebulifera robusta"
224,4056,646,53,"Nebulifera robusta"
