"CHELSA_bio10_01","CHELSA_bio10_04","CHELSA_bio10_12","CHELSA_bio10_15","taxon"
228,6309,309,52,"Nephrurus amyae"
225,5932,314,62,"Nephrurus amyae"
233,6486,233,48,"Nephrurus amyae"
223,6381,313,42,"Nephrurus amyae"
220,6154,295,56,"Nephrurus amyae"
229,6526,209,48,"Nephrurus amyae"
221,6275,268,48,"Nephrurus amyae"
214,5941,322,60,"Nephrurus amyae"
225,6409,307,43,"Nephrurus amyae"
218,6409,284,41,"Nephrurus amyae"
219,6100,333,59,"Nephrurus amyae"
218,6382,317,42,"Nephrurus amyae"
224,6259,287,50,"Nephrurus amyae"
234,5668,340,71,"Nephrurus amyae"
209,5897,392,60,"Nephrurus amyae"
225,6116,305,57,"Nephrurus amyae"
212,6123,326,49,"Nephrurus amyae"
225,6439,221,39,"Nephrurus amyae"
213,6157,319,49,"Nephrurus amyae"
215,5967,310,58,"Nephrurus amyae"
227,6427,262,40,"Nephrurus amyae"
225,6384,299,43,"Nephrurus amyae"
223,6371,257,43,"Nephrurus amyae"
229,5878,288,64,"Nephrurus amyae"
222,6406,304,41,"Nephrurus amyae"
214,6248,389,43,"Nephrurus amyae"
198,5814,357,56,"Nephrurus amyae"
227,6472,232,42,"Nephrurus amyae"
222,6479,209,46,"Nephrurus amyae"
227,6463,229,38,"Nephrurus amyae"
212,6091,333,48,"Nephrurus amyae"
222,6472,243,41,"Nephrurus amyae"
225,6237,318,53,"Nephrurus amyae"
239,6510,201,51,"Nephrurus amyae"
224,6115,300,56,"Nephrurus amyae"
224,5937,294,61,"Nephrurus amyae"
236,6501,206,46,"Nephrurus amyae"
219,6212,319,49,"Nephrurus amyae"
213,5958,367,59,"Nephrurus amyae"
226,6435,268,39,"Nephrurus amyae"
219,6130,286,50,"Nephrurus amyae"
219,6161,331,53,"Nephrurus amyae"
216,5974,275,60,"Nephrurus amyae"
230,6519,207,44,"Nephrurus amyae"
224,6418,300,42,"Nephrurus amyae"
224,5972,295,62,"Nephrurus amyae"
215,6145,307,50,"Nephrurus amyae"
229,6527,204,49,"Nephrurus amyae"
207,6117,314,47,"Nephrurus amyae"
223,6464,229,46,"Nephrurus amyae"
228,6527,205,47,"Nephrurus amyae"
232,6531,203,44,"Nephrurus amyae"
224,6369,346,44,"Nephrurus amyae"
231,5821,298,64,"Nephrurus amyae"
237,6538,196,48,"Nephrurus amyae"
230,5792,287,65,"Nephrurus amyae"
221,6285,264,49,"Nephrurus amyae"
227,6484,224,38,"Nephrurus amyae"
232,6031,303,61,"Nephrurus amyae"
232,6526,170,43,"Nephrurus amyae"
